"","GO.ID","Term","Annotated","Significant","Expected","raw.p.value"
"1","GO:0005576","extracellular region",862,29,8.93,"1.5e-09"
"2","GO:0110165","cellular anatomical entity",9423,121,97.66,"4.5e-07"
"3","GO:0099503","secretory vesicle",77,5,0.8,"0.00082"
"4","GO:0043231","intracellular membrane-bounded organelle",8067,95,83.61,"0.00095"
"5","GO:0012505","endomembrane system",1281,22,13.28,"0.00444"
"6","GO:0005575","cellular_component",9708,123,100.62,"0.00659"
"7","GO:0030312","external encapsulating structure",236,7,2.45,"0.00733"
"8","GO:0010282","senescence-associated vacuole",1,1,0.01,"0.00951"
"9","GO:0016020","membrane",2255,32,23.37,"0.01070"
"10","GO:0005886","plasma membrane",1332,21,13.81,"0.01391"
"11","GO:0071944","cell periphery",1555,27,16.12,"0.01587"
"12","GO:0009505","plant-type cell wall",223,6,2.31,"0.01972"
"13","GO:0005794","Golgi apparatus",649,12,6.73,"0.02064"
"14","GO:0000325","plant-type vacuole",432,10,4.48,"0.02080"
"15","GO:0005618","cell wall",230,6,2.38,"0.02257"
"16","GO:0005737","cytoplasm",6533,76,67.71,"0.02286"
"17","GO:0032432","actin filament bundle",3,1,0.03,"0.02827"
"18","GO:1990246","uniplex complex",3,1,0.03,"0.02827"
"19","GO:0034704","calcium channel complex",3,1,0.03,"0.02827"
"20","GO:0005773","vacuole",549,11,5.69,"0.03438"
"21","GO:0034702","ion channel complex",4,1,0.04,"0.03752"
"22","GO:0034703","cation channel complex",4,1,0.04,"0.03752"
"23","GO:0005615","extracellular space",36,2,0.37,"0.04584"
"24","GO:0031588","nucleotide-activated protein kinase complex",5,1,0.05,"0.04668"
"25","GO:0031012","extracellular matrix",6,1,0.06,"0.05575"
"26","GO:0005911","cell-cell junction",441,8,4.57,"0.05941"
"27","GO:0055044","symplast",441,8,4.57,"0.05941"
"28","GO:0009506","plasmodesma",441,8,4.57,"0.05941"
"29","GO:0070161","anchoring junction",441,8,4.57,"0.05941"
"30","GO:0030054","cell junction",442,8,4.58,"0.06004"
"31","GO:0005884","actin filament",7,1,0.07,"0.06474"
"32","GO:0030015","CCR4-NOT core complex",8,1,0.08,"0.07364"
"33","GO:0000139","Golgi membrane",50,2,0.52,"0.08187"
"34","GO:0000322","storage vacuole",10,1,0.1,"0.09119"
"35","GO:0000326","protein storage vacuole",10,1,0.1,"0.09119"
"36","GO:0005802","trans-Golgi network",184,4,1.91,"0.09855"
"37","GO:0005783","endoplasmic reticulum",579,9,6,"0.10045"
"38","GO:0005768","endosome",267,5,2.77,"0.11118"
"39","GO:0030014","CCR4-NOT complex",13,1,0.13,"0.11691"
"40","GO:0005764","lysosome",19,1,0.2,"0.16619"
"41","GO:0009507","chloroplast",2560,29,26.53,"0.17219"
"42","GO:0098791","Golgi apparatus subcompartment",238,4,2.47,"0.19130"
"43","GO:0009504","cell plate",25,1,0.26,"0.21274"
