,gene_ID,module,AT_gene_id,Symbol,TopBlastHitDescription,Position
1,Dm_00000003-RA,3,AT3G54200.1, Symbols: NHL39 ,  , chr3:20065731-20066438 FORWARD LENGTH=235
65,Dm_00000120-RA,3,AT1G76010.2," Symbols: ALBA1, Atalba1, ALBA4 ",  , chr1:28528505-28530488 REVERSE LENGTH=350
185,Dm_00000344-RA,3,AT5G46230.1, Symbols: SVB3 ,  , chr5:18742593-18743024 REVERSE LENGTH=143
186,Dm_00000345-RA,3,AT2G34480.1," Symbols: L18aB, RPL18aB ",  , chr2:14532916-14534161 REVERSE LENGTH=178
207,Dm_00000391-RA,3,AT2G01690.1," Symbols: VAC1, VAC14 ",  , chr2:309144-313499 REVERSE LENGTH=743
238,Dm_00000439-RA,3,AT1G76940.2, Symbols: NSRa ,  , chr1:28902707-28904085 REVERSE LENGTH=179
245,Dm_00000456-RA,3,AT4G10955.2, Symbols: PRLIP9 ,  , chr4:6713778-6715372 REVERSE LENGTH=350
259,Dm_00000485-RA,3,AT2G28060.4, Symbols: KINbeta3 ,  , chr2:11950174-11950618 REVERSE LENGTH=114
324,Dm_00000618-RA,3,AT5G27820.1, Symbols: uL18m ,  , chr5:9860584-9860928 FORWARD LENGTH=114
408,Dm_00000777-RA,3,AT5G03610.1, Symbols: GGL25 ,  , chr5:915650-918326 FORWARD LENGTH=359
412,Dm_00000781-RA,3,AT3G52780.1," Symbols: ATPAP20, PAP20 ",  , chr3:19561525-19564195 REVERSE LENGTH=427
453,Dm_00000859-RA,3,AT1G11650.2," Symbols: RBP45B, ATRBP45B ",  , chr1:3914895-3917941 FORWARD LENGTH=405
491,Dm_00000936-RA,3,AT3G07030.3, Symbols: ALBA6 ,  , chr3:2223001-2225254 REVERSE LENGTH=406
510,Dm_00000967-RA,3,AT4G24990.2," Symbols: MUB3, ATGP4 ",  , chr4:12849973-12851249 REVERSE LENGTH=118
627,Dm_00001190-RA,3,AT2G41540.4, Symbols: GPDHC1 ,  , chr2:17326801-17328654 FORWARD LENGTH=462
715,Dm_00001343-RA,3,AT1G08170.1, Symbols: HTB8 ,  , chr1:2562941-2563672 REVERSE LENGTH=243
795,Dm_00001488-RA,3,AT4G24130.1, Symbols: SVB5 ,  , chr4:12527861-12528423 FORWARD LENGTH=157
818,Dm_00001525-RA,3,AT5G55850.3, Symbols: NOI ,  , chr5:22603617-22604850 FORWARD LENGTH=79
1037,Dm_00001910-RA,3,AT4G15093.1," Symbols: LigB, AtLigB ",  , chr4:8618454-8619472 FORWARD LENGTH=269
1051,Dm_00001931-RA,3,AT5G37490.1," Symbols: CMPG5, PUB21 ",  , chr5:14887744-14889051 FORWARD LENGTH=435
1222,Dm_00002268-RA,3,AT4G38250.1, Symbols: At4g38250 ,  , chr4:17935533-17936843 FORWARD LENGTH=436
1337,Dm_00002510-RA,3,AT1G15320.2, Symbols: INP2 ,  , chr1:5272468-5274029 REVERSE LENGTH=289
1375,Dm_00002583-RA,3,AT5G28060.1, Symbols: RPS24B ,  , chr5:10069791-10070792 REVERSE LENGTH=133
1387,Dm_00002613-RA,3,AT5G26770.2, Symbols: AtNEAP2 ,  , chr5:9407981-9409735 REVERSE LENGTH=335
1412,Dm_00002658-RA,3,AT5G42940.2, Symbols: CTL06 ,  , chr5:17216649-17219171 REVERSE LENGTH=691
1636,Dm_00003106-RA,3,AT3G61790.1, Symbols: SINAT3 ,  , chr3:22871974-22873543 REVERSE LENGTH=326
1678,Dm_00003197-RA,3,AT2G01600.1, Symbols: PICALM1a ,  , chr2:268975-272356 FORWARD LENGTH=571
1738,Dm_00003308-RA,3,AT2G45910.2, Symbols: PUB33 ,  , chr2:18894520-18898212 FORWARD LENGTH=834
1742,Dm_00003321-RA,3,AT5G62930.1, Symbols: GGL29 ,  , chr5:25254912-25256357 FORWARD LENGTH=242
1786,Dm_00003414-RA,3,AT5G06120.1, Symbols: XPO7 ,  , chr5:1844797-1852601 FORWARD LENGTH=1066
1787,Dm_00003415-RA,3,AT5G06120.5, Symbols: XPO7 ,  , chr5:1844797-1852601 FORWARD LENGTH=1060
1823,Dm_00003482-RA,3,AT2G14960.1, Symbols: GH3.1 ,  , chr2:6451659-6453670 REVERSE LENGTH=590
1833,Dm_00003503-RA,3,AT3G54690.1, Symbols: SETH3 ,  , chr3:20246586-20247810 FORWARD LENGTH=350
