Orthogroup	V_vinifera.proteins	D_spatulata.proteins
OG0000011	VIT_212s0035g00020.1, VIT_212s0035g00080.3, VIT_212s0035g00080.2, VIT_212s0034g02580.1, VIT_212s0035g00080.1, VIT_212s0034g02570.1, VIT_212s0142g00760.1, VIT_212s0035g00180.1, VIT_212s0035g00070.1, VIT_211s0037g00680.1, VIT_212s0034g02590.1, VIT_212s0142g00780.1, VIT_212s0035g00150.1, VIT_212s0035g00110.1, VIT_212s0035g00140.1, VIT_212s0142g00800.1, VIT_213s0084g00560.1, VIT_211s0037g00660.1, VIT_211s0037g00670.1, VIT_211s0037g00690.1, VIT_217s0000g02390.1, VIT_217s0000g02370.1	Ds_00013568-RA
OG0000011	VIT_214s0108g00370.1, VIT_214s0066g02660.1, VIT_214s0066g02670.1, VIT_214s0066g02680.1, VIT_210s0042g00590.1, VIT_210s0042g00770.1, VIT_210s0042g00600.1, VIT_210s0042g00700.1, VIT_214s0108g00340.1, VIT_214s0108g00300.1, VIT_214s0108g00280.1, VIT_214s0108g00310.1, VIT_204s0079g00240.1	Ds_00015633-RA
OG0000011	VIT_207s0005g04060.1, VIT_207s0005g04050.1, VIT_207s0005g04020.1, VIT_207s0005g04040.1, VIT_207s0005g04080.1, VIT_207s0005g04100.1	Ds_00014454-RA, Ds_00015367-RA
OG0000015	VIT_219s0014g04210.1, VIT_219s0014g04220.1, VIT_218s0041g01065.1	Ds_00013983-RA
OG0000016	VIT_216s0098g00430.1	Ds_00000802-RA, Ds_00013779-RA, Ds_00012502-RA, Ds_00011161-RA, Ds_00004889-RA, Ds_00009386-RA, Ds_00009382-RA, Ds_00014480-RA
OG0000018	VIT_205s0049g00390.1, VIT_205s0049g00400.1, VIT_205s0049g00410.1, VIT_205s0049g00420.1, VIT_212s0028g02420.2, VIT_212s0028g02420.4, VIT_212s0028g02420.3, VIT_212s0028g02410.1, VIT_212s0028g02420.1, VIT_205s0049g00370.1, VIT_200s1313g00010.2, VIT_205s0049g00340.2, VIT_205s0049g00330.1, VIT_205s0049g00340.1, VIT_200s1313g00010.1, VIT_205s0049g00350.2, VIT_205s0049g00350.1	Ds_00006436-RA, Ds_00006435-RA, Ds_00014529-RA, Ds_00003183-RA
OG0000018	VIT_205s0049g00220.1, VIT_205s0049g00220.2, VIT_205s0049g00300.2, VIT_205s0049g00300.1, VIT_205s0049g00270.2, VIT_205s0049g00270.1, VIT_205s0049g00280.1, VIT_205s0049g00310.1	Ds_00003181-RA
OG0000018	VIT_205s0049g00430.1	Ds_00006689-RA
OG0000018	VIT_207s0005g03060.1	Ds_00015426-RA
OG0000021	VIT_202s0012g02360.1	Ds_00010245-RA
OG0000021	VIT_202s0012g02340.1, VIT_202s0012g02370.1, VIT_202s0025g04864.4, VIT_202s0025g04864.1, VIT_202s0025g04864.6, VIT_202s0025g04864.2, VIT_202s0025g04864.7, VIT_202s0025g04864.3, VIT_202s0025g04880.1, VIT_202s0025g04890.1, VIT_202s0025g04864.5, VIT_215s0048g01515.1, VIT_215s0048g01500.1, VIT_215s0048g01490.1, VIT_215s0048g01470.1, VIT_215s0048g01440.1, VIT_215s0048g01530.1, VIT_215s0048g01600.1, VIT_202s0012g02810.1, VIT_202s0012g02820.1, VIT_203s0097g00460.1	Ds_00016546-RA, Ds_00010246-RA, Ds_00013127-RA, Ds_00011994-RA
OG0000022	VIT_205s0020g01630.1, VIT_205s0020g01640.1, VIT_205s0020g01643.1	Ds_00000786-RA, Ds_00000789-RA, Ds_00013099-RA, Ds_00000790-RA, Ds_00000787-RA, Ds_00000788-RA
OG0000023	VIT_203s0088g00050.1, VIT_203s0088g00110.1	Ds_00012138-RA
OG0000023	VIT_203s0091g01290.2, VIT_203s0091g01290.1	Ds_00005184-RA, Ds_00006219-RA
OG0000023	VIT_218s0001g08840.1	Ds_00016053-RA
OG0000024	VIT_219s0027g00030.1, VIT_219s0135g00200.1, VIT_219s0135g00150.4, VIT_219s0135g00120.1, VIT_219s0135g00130.2, VIT_219s0015g02500.3	Ds_00010656-RA, Ds_00010658-RA, Ds_00010657-RA
OG0000026	VIT_218s0001g04510.1, VIT_218s0001g05460.1, VIT_218s0001g04090.1, VIT_218s0001g04830.1	Ds_00001373-RA
