Orthogroup	S_lycopersicum.proteins	A_hypochondriacus.proteins
OG0000005	Solyc02g050207.1.1	AH014531-RA, AH014533-RA
OG0000011	Solyc04g071680.2.1, Solyc04g074020.2.1, Solyc04g074050.3.1, Solyc04g074030.3.1, Solyc04g074000.3.1	AH002194-RA
OG0000011	Solyc09g072810.3.1	AH022040-RA, AH022041-RA, AH022042-RA, AH022043-RA
OG0000015	Solyc02g079590.3.1, Solyc03g006770.3.1	AH015162-RA, AH021574-RA
OG0000016	Solyc07g018180.2.1	AH005855-RA
OG0000016	Solyc03g118330.2.1, Solyc03g019980.2.1, Solyc03g098400.2.1	AH013795-RA
OG0000016	Solyc11g020270.1.1	AH007101-RA
OG0000018	Solyc09g010000.3.1, Solyc09g089580.3.1, Solyc03g095900.3.1, Solyc09g089740.3.1, Solyc09g089730.3.1, Solyc09g089720.2.1, Solyc09g089760.1.1, Solyc09g089690.3.1, Solyc12g006380.2.1, Solyc09g089680.3.1, Solyc09g009985.1.1, Solyc09g010040.2.1	AH019393-RA
OG0000018	Solyc09g089790.3.1, Solyc09g089830.3.1, Solyc09g089810.1.1, Solyc09g089800.2.1, Solyc09g089780.3.1, Solyc09g089820.2.1	AH019902-RA, AH019903-RA, AH007232-RA, AH007233-RA
OG0000021	Solyc06g084820.2.1, Solyc06g066270.1.1, Solyc06g066280.3.1	AH022150-RA, AH022153-RA, AH022151-RA, AH009173-RA, AH009171-RA, AH009170-RA, AH006881-RA, AH009424-RA, AH022152-RA, AH002452-RA, AH003417-RA, AH000687-RA, AH004291-RA, AH023178-RA, AH022149-RA, AH022148-RA
OG0000024	Solyc07g052070.2.1, Solyc07g052073.1.1, Solyc10g007930.3.1, Solyc10g007900.3.1, Solyc06g084770.2.1, Solyc07g052025.1.1	AH017854-RA, AH007410-RA
OG0000024	Solyc10g007890.3.1, Solyc10g051020.2.1, Solyc10g007880.3.1, Solyc07g006145.1.1, Solyc07g062520.3.1, Solyc07g062510.2.1, Solyc06g084760.2.1, Solyc07g062500.3.1, Solyc07g055350.3.1, Solyc07g055560.3.1, Solyc07g055550.2.1, Solyc07g055440.2.1, Solyc07g055450.2.1, Solyc07g055362.1.1, Solyc07g055460.3.1, Solyc07g055530.3.1, Solyc07g055480.2.1, Solyc07g055470.3.1, Solyc07g055540.3.1, Solyc07g055490.3.1	AH007961-RA, AH010292-RA, AH007960-RA, AH007959-RA
OG0000025	Solyc10g054733.1.1, Solyc10g054750.1.1, Solyc01g110900.1.1	AH001710-RA, AH001709-RA, AH023136-RA
OG0000026	Solyc01g101190.3.1, Solyc01g101180.3.1, Solyc01g101210.4.1, Solyc01g101170.3.1, Solyc04g054380.1.1, Solyc04g051620.2.1	AH012493-RA
OG0000026	Solyc06g060010.3.1	AH010288-RA
OG0000026	Solyc06g060013.1.1, Solyc07g052120.3.1	AH010101-RA
OG0000027	Solyc00g257110.3.1, Solyc03g113405.1.1, Solyc06g071100.3.1	AH002791-RA
OG0000027	Solyc08g078200.2.1	AH009374-RA
OG0000028	Solyc10g051253.1.1	AH010516-RA
OG0000029	Solyc09g015220.2.1, Solyc09g015240.1.1, Solyc09g015230.1.1	AH011677-RA, AH011675-RA, AH011673-RA, AH011672-RA, AH020079-RA, AH011691-RA, AH011681-RA
OG0000029	Solyc09g015200.1.1	AH006350-RA
OG0000029	Solyc05g017780.1.1	AH011168-RA
OG0000030	Solyc02g082980.1.1, Solyc02g082985.1.1	AH004946-RA, AH004294-RA
OG0000030	Solyc02g083120.2.1	AH004951-RA, AH004295-RA
OG0000031	Solyc09g091530.2.1, Solyc09g091540.1.1, Solyc09g091550.3.1, Solyc04g055260.3.1, Solyc00g032947.1.1, Solyc12g036673.1.1, Solyc01g081340.3.1	AH006620-RA, AH020546-RA, AH017304-RA
OG0000031	Solyc02g084950.3.1	AH005774-RA
OG0000031	Solyc04g080660.3.1	AH010116-RA
OG0000032	Solyc01g102900.3.1, Solyc01g102875.1.1, Solyc01g102910.3.1, Solyc01g102890.3.1	AH008800-RA, AH014263-RA, AH017723-RA, AH022573-RA, AH003819-RA
OG0000034	Solyc02g080040.3.1, Solyc02g080010.2.1, Solyc02g080070.3.1, Solyc02g080080.3.1, Solyc02g079990.3.1, Solyc02g080090.1.1, Solyc02g080030.1.1	AH015068-RA
OG0000037	Solyc09g059240.3.1	AH022157-RA, AH022156-RA
OG0000038	Solyc06g076160.3.1	AH013584-RA, AH013587-RA, AH013583-RA, AH013586-RA
OG0000041	Solyc01g079620.3.1, Solyc12g049350.2.1, Solyc06g009710.3.1	AH002675-RA, AH017708-RA
OG0000042	Solyc03g096650.2.1	AH016437-RA
OG0000042	Solyc10g086620.2.1, Solyc04g054950.3.1, Solyc09g011130.1.1, Solyc09g011140.3.1, Solyc10g081560.2.1	AH008196-RA, AH010186-RA, AH023344-RA, AH023345-RA, AH023732-RA
OG0000043	Solyc04g078360.1.1, Solyc04g078340.3.1, Solyc07g014670.3.1, Solyc04g078370.3.1	AH015480-RA, AH006791-RA
OG0000043	Solyc04g078270.3.1, Solyc04g078290.3.1	AH023189-RA, AH006139-RA, AH016708-RA, AH014191-RA, AH008398-RA
OG0000044	Solyc02g085580.3.1, Solyc02g062940.3.1	AH003991-RA
OG0000044	Solyc04g008500.3.1	AH006255-RA
OG0000044	Solyc01g007890.2.1	AH016207-RA
OG0000044	Solyc03g121660.3.1, Solyc06g062670.3.1	AH013313-RA
OG0000044	Solyc07g053570.3.1	AH001378-RA
OG0000044	Solyc09g065670.3.1	AH002596-RA, AH017804-RA
OG0000046	Solyc11g044460.2.1, Solyc01g109530.3.1, Solyc10g051330.2.1	AH000561-RA
OG0000046	Solyc12g007110.2.1	AH020861-RA
OG0000046	Solyc05g010140.3.1, Solyc01g010030.3.1	AH005447-RA, AH004082-RA
OG0000046	Solyc02g089760.3.1	AH016482-RA
OG0000046	Solyc02g089750.4.1	AH003338-RA, AH002087-RA, AH000466-RA
OG0000047	Solyc04g078300.3.1	AH003569-RA
OG0000047	Solyc04g025050.1.1	AH011231-RA, AH020493-RA, AH010621-RA
OG0000047	Solyc01g106170.3.1	AH002383-RA
OG0000047	Solyc12g088080.1.1	AH008924-RA
OG0000047	Solyc12g087830.2.1	AH023632-RA, AH004534-RA
OG0000047	Solyc06g035560.2.1	AH009198-RA
OG0000048	Solyc10g075070.2.1, Solyc10g075060.2.1, Solyc10g075090.2.1, Solyc10g075110.2.1, Solyc10g075050.2.1, Solyc10g075150.2.1, Solyc10g075130.2.1, Solyc10g076200.2.1, Solyc09g008500.2.1, Solyc09g018010.3.1, Solyc10g075100.2.1	AH012470-RA, AH003272-RA, AH012469-RA, AH012467-RA, AH012466-RA, AH021362-RA, AH012468-RA, AH021718-RA, AH012465-RA
