target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	827.301	142	12.4694
Dm_00008772-RA	1272	1082.3	81.2843	5.45605
Dm_00008770-RA	1722	1532.3	113	5.3574
Dm_00008771-RA	636	446.559	37	6.01925
Dm_00008682-RA	906	716.301	405	41.0752
Dm_00008591-RA	1308	1118.3	139	9.02975
Dm_00008592-RA	2436	2246.3	158	5.10986
Dm_00008593-RA	759	569.361	2470	315.159
Dm_00008594-RA	969	779.301	852	79.4244
Dm_00010209-RA	468	279.148	0	0
Dm_00010051-RA	693	503.417	5	0.721542
Dm_00009727-RA	234	59.4564	0	0
Dm_00009728-RA	1161	971.301	0	0
Dm_00009413-RA	1368	1178.3	380	23.4286
Dm_00009412-RA	2105	1915.3	898	34.0611
Dm_00009411-RA	2682	2492.3	171	4.98443
Dm_00009410-RA	432	243.429	15	4.4765
Dm_00009021-RA	1668	1478.3	369	18.1336
Dm_00009020-RA	414	225.688	29	9.3349
Dm_00009748-RA	1554	1364.3	74	3.94041
Dm_00009749-RA	1092	902.301	455	36.6336
Dm_00009750-RA	941	751.301	259	25.0441
Dm_00010290-RA	1116	926.301	155	12.1562
Dm_00010291-RA	969	779.301	50	4.66106
Dm_00007855-RA	945	755.301	426	40.9741
Dm_00007856-RA	786	596.361	152	18.5163
Dm_00007858-RA	2466	2276.3	614	19.5956
Dm_00007859-RA	2304	2114.3	189	6.49404
Dm_00007857-RA	873	683.301	42	4.46537
Dm_00009353-RA	471	282.148	64	16.4787
Dm_00009317-RA	312	127.324	143	81.5916
Dm_00010173-RA	1548	1358.3	296	15.8313
Dm_00010171-RA	228	54.6639	36	47.8434
Dm_00010172-RA	258	79.005	11	10.1148
Dm_00009367-RA	1566	1376.3	627	33.0959
Dm_00009368-RA	171	16.2698	78	348.284
Dm_00009369-RA	984	794.301	314	28.7187
Dm_00009983-RA	1065	875.301	84	6.97175
Dm_00009982-RA	975	785.301	2	0.185018
Dm_00009984-RA	537	347.713	0	0
Dm_00009718-RA	1158	968.301	1215	91.1561
Dm_00009717-RA	753	563.361	225	29.0145
Dm_00009950-RA	1842	1652.3	20	0.879348
Dm_00009953-RA	1437	1247.3	247	14.3862
Dm_00009948-RA	1638	1448.3	391	19.6127
Dm_00009949-RA	879	689.301	199	20.9732
Dm_00009951-RA	729	539.417	0	0
Dm_00009952-RA	444	255.255	0	0
Dm_00009009-RA	738	548.417	1	0.132467
Dm_00009010-RA	303	119.156	5.04988	3.07881
Dm_00009007-RA	891	701.301	0	0
Dm_00009008-RA	1164	974.301	36	2.68429
Dm_00009011-RA	3048	2858.3	27.0215	0.686786
Dm_00009012-RA	684	494.466	0	0
Dm_00010080-RA	1113	923.301	6	0.472093
Dm_00010081-RA	354	167.279	536	232.779
Dm_00010084-RA	1518	1328.3	201	10.9931
Dm_00010083-RA	1140	950.301	144	11.0083
Dm_00010082-RA	375	187.439	101	39.1454
Dm_00010098-RA	1200	1010.3	0	0
Dm_00010096-RA	390	202.05	0	0
Dm_00010097-RA	666	476.466	112	17.0768
Dm_00008796-RA	414	225.688	0	0
Dm_00010370-RA	1886	1696.3	288	12.3342
Dm_00010369-RA	192	29.2914	0	0
Dm_00009774-RA	1998	1808.3	259	10.4052
Dm_00009775-RA	354	167.279	208	90.3322
Dm_00010288-RA	1401	1211.3	483	28.9678
Dm_00009493-RA	963	773.301	331	31.0956
Dm_00009494-RA	984	794.301	143	13.0789
Dm_00009495-RA	714	524.417	0	0
Dm_00006316-RA	993	803.301	2	0.180872
Dm_00008938-RA	897	707.301	125	12.8388
Dm_00008942-RA	1680	1490.3	288	14.0391
Dm_00008940-RA	834	644.301	82	9.24581
Dm_00008939-RA	651	461.559	68	10.7029
Dm_00008941-RA	531	341.748	70	14.8803
Dm_00010031-RA	3168	2978.3	599	14.6109
Dm_00009533-RA	1185	995.301	125	9.12379
Dm_00009536-RA	1041	851.301	149.086	12.7225
Dm_00009535-RA	792	602.301	1504	181.407
Dm_00009534-RA	1146	956.301	921	69.9656
Dm_00009696-RA	606	416.559	0	0
Dm_00009720-RA	456	267.203	0	0
Dm_00009719-RA	795	605.301	0	0
Dm_00009254-RA	1287	1097.3	122	8.07707
Dm_00009255-RA	4353	4163.3	56	0.97717
Dm_00009256-RA	834	644.301	377	42.5082
Dm_00009072-RA	282	100.067	0	0
Dm_00009813-RA	6525	6335.3	266	3.05024
Dm_00009814-RA	2781	2591.3	45	1.26158
Dm_00009915-RA	564	374.678	0	0
Dm_00009914-RA	258	79.005	0	0
Dm_00009695-RA	2650	2460.3	529	15.6202
Dm_00009694-RA	624	434.559	135	22.5686
Dm_00009693-RA	861	671.301	146	15.7999
Dm_00008273-RA	1188	998.301	5	0.363855
Dm_00008274-RA	912	722.301	245	24.6415
Dm_00008656-RA	612	422.559	0	0
Dm_00009771-RA	1848	1658.3	124	5.43223
Dm_00010784-RA	594	404.6	0	0
Dm_00010112-RA	711	521.417	1592	221.808
Dm_00010111-RA	402	213.842	294	99.879
Dm_00009955-RA	255	76.5198	15	14.2409
Dm_00009954-RA	1899	1709.3	114	4.84514
Dm_00010107-RA	1728	1538.3	300	14.1677
Dm_00010108-RA	582	392.64	0	0
Dm_00010391-RA	2043	1853.3	664.421	26.0446
Dm_00010390-RA	711	521.417	0	0
Dm_00008774-RA	1182	992.301	287	21.0116
Dm_00008773-RA	2106	1916.3	315	11.9417
Dm_00009260-RA	264	84.2329	2765	2384.7
Dm_00009262-RA	1596	1406.3	857	44.2713
Dm_00009259-RA	873	683.301	128.931	13.7077
Dm_00009261-RA	858	668.301	297	32.2852
Dm_00010532-RA	2697	2507.3	131	3.79564
Dm_00008895-RA	687	497.417	631	92.157
Dm_00010337-RA	1866	1676.3	1295	56.1226
Dm_00010336-RA	1530	1340.3	470	25.4751
Dm_00010339-RA	1194	1004.3	40	2.89345
Dm_00010335-RA	630	440.559	318	52.4376
Dm_00010338-RA	594	404.6	186	33.3969
Dm_00008749-RA	558	368.678	678	133.599
