Orthogroup	A_vesiculosa.proteins	L_sativa.proteins
OG0000005	Av_00025058-RA, Av_00025057-RA, Av_00025077-RA, Av_00025081-RA, Av_00025079-RA, Av_00025059-RA, Av_00025080-RA, Av_00025120-RA, Av_00020485-RA, Av_00010667-RA, Av_00019411-RA, Av_00014007-RA	Lsat_1_v5_gn_7_36361.1
OG0000008	Av_00016512-RA	Lsat_1_v5_gn_3_111360.3, Lsat_1_v5_gn_3_111340.3, Lsat_1_v5_gn_3_111340.1
OG0000008	Av_00023836-RA	Lsat_1_v5_gn_9_9621.1, Lsat_1_v5_gn_9_9621.2
OG0000011	Av_00002197-RA	Lsat_1_v5_gn_5_183260.1, Lsat_1_v5_gn_5_183260.6, Lsat_1_v5_gn_5_183260.3
OG0000015	Av_00016901-RA, Av_00010123-RA, Av_00014290-RA	Lsat_1_v5_gn_8_19401.4, Lsat_1_v5_gn_8_19401.6, Lsat_1_v5_gn_7_49320.1, Lsat_1_v5_gn_7_49320.3, Lsat_1_v5_gn_8_19481.2, Lsat_1_v5_gn_8_19481.1, Lsat_1_v5_gn_8_19501.1, Lsat_1_v5_gn_8_19501.3, Lsat_1_v5_gn_8_19521.3, Lsat_1_v5_gn_8_19521.1, Lsat_1_v5_gn_8_19641.3, Lsat_1_v5_gn_8_19641.1, Lsat_1_v5_gn_1_113320.2, Lsat_1_v5_gn_1_113320.1, Lsat_1_v5_gn_1_113320.3, Lsat_1_v5_gn_8_19381.1, Lsat_1_v5_gn_8_19381.2, Lsat_1_v5_gn_3_33700.1, Lsat_1_v5_gn_3_33700.3, Lsat_1_v5_gn_8_142060.1, Lsat_1_v5_gn_8_142060.3, Lsat_1_v5_gn_8_142140.2, Lsat_1_v5_gn_8_142140.1, Lsat_1_v5_gn_7_80960.2, Lsat_1_v5_gn_7_80960.1, Lsat_1_v5_gn_8_19660.3, Lsat_1_v5_gn_8_19660.1, Lsat_1_v5_gn_8_19660.2, Lsat_1_v5_gn_2_113361.1, Lsat_1_v5_gn_6_112280.5, Lsat_1_v5_gn_2_113381.1, Lsat_1_v5_gn_2_113381.2, Lsat_1_v5_gn_2_113381.3, Lsat_1_v5_gn_2_113361.3, Lsat_1_v5_gn_2_113341.3, Lsat_1_v5_gn_2_113341.1
OG0000016	Av_00024235-RA	Lsat_1_v5_gn_2_122720.3, Lsat_1_v5_gn_2_122720.1
OG0000018	Av_00017038-RA, Av_00013504-RA	Lsat_1_v5_gn_3_111780.1
OG0000018	Av_00002303-RA, Av_00009695-RA	Lsat_1_v5_gn_9_8761.2, Lsat_1_v5_gn_9_8761.1, Lsat_1_v5_gn_9_8761.3
OG0000021	Av_00016821-RA, Av_00016683-RA	Lsat_1_v5_gn_8_141940.1
OG0000021	Av_00016682-RA	Lsat_1_v5_gn_7_7821.2, Lsat_1_v5_gn_4_37601.2, Lsat_1_v5_gn_4_37601.1, Lsat_1_v5_gn_7_7921.1, Lsat_1_v5_gn_7_7781.1, Lsat_1_v5_gn_7_7681.1, Lsat_1_v5_gn_7_7761.1, Lsat_1_v5_gn_7_7761.2, Lsat_1_v5_gn_7_65320.1, Lsat_1_v5_gn_8_157801.1
