Orthogroup	D_spatulata.proteins	A_thaliana.proteins
OG0000011	Ds_00013568-RA	AT4G08850.1, AT4G08850.2, AT1G35710.1
OG0000015	Ds_00009995-RA, Ds_00016103-RA, Ds_00016102-RA, Ds_00004166-RA, Ds_00016104-RA	AT4G27290.2, AT4G27290.1
OG0000018	Ds_00006436-RA, Ds_00006435-RA, Ds_00014529-RA, Ds_00003183-RA, Ds_00003181-RA	AT5G59540.1, AT5G59540.2, AT5G59530.1, AT1G04350.1, AT2G30830.1, AT2G25450.1, AT2G30840.1, AT2G30840.3, AT2G30840.2, AT1G06645.1, AT1G03410.1, AT1G03410.2, AT1G03400.2, AT1G03400.1, AT1G06620.2, AT1G06620.1
OG0000021	Ds_00016546-RA, Ds_00010246-RA, Ds_00013127-RA, Ds_00011994-RA	AT3G61040.1, AT3G61040.2, AT2G45560.2, AT2G45560.3, AT2G45560.1, AT2G45570.1, AT2G45550.1, AT1G33730.1, AT1G33730.2, AT1G33720.3, AT1G33720.5, AT1G33720.2, AT1G33720.4, AT1G33720.1
OG0000023	Ds_00012138-RA, Ds_00005184-RA, Ds_00006219-RA	AT1G33540.1, AT1G33540.2
OG0000023	Ds_00016053-RA	AT2G22920.3, AT3G10450.4, AT3G10450.2, AT3G10450.3, AT3G10450.1, AT1G73290.1, AT1G73290.2, AT1G73280.2, AT1G73290.3, AT1G73310.2, AT1G73310.1, AT1G73300.1, AT1G73280.4, AT1G73280.3, AT5G36180.3, AT5G36180.2, AT1G73310.3, AT5G36180.4, AT5G36180.5, AT1G73280.1, AT5G36180.1, AT1G73300.2, AT1G73270.1, AT1G73270.2, AT2G23010.2, AT2G23010.1, AT2G22990.4, AT2G22990.2, AT2G22990.6, AT2G22990.5, AT2G22990.3, AT2G22990.1, AT2G23000.1, AT2G23000.2, AT2G22970.4, AT2G22970.3, AT2G22920.1, AT2G22920.4, AT2G22970.2, AT2G22970.1, AT2G22980.1, AT2G22980.3, AT2G22980.5, AT2G22980.4, AT2G22980.2, AT2G22920.2, AT5G09640.1
OG0000024	Ds_00010656-RA, Ds_00010658-RA, Ds_00010657-RA	AT1G17060.1
OG0000025	Ds_00008906-RA, Ds_00008905-RA, Ds_00011235-RA	AT4G34800.1
OG0000026	Ds_00006582-RA	AT5G23960.2, AT5G23960.1
OG0000027	Ds_00000646-RA	AT2G24520.4, AT5G57350.3
