Orthogroup	D_spatulata.proteins	A_hypochondriacus.proteins
OG0000008	Ds_00005008-RA	AH000127-RA
OG0000008	Ds_00004058-RA, Ds_00005252-RA, Ds_00011612-RA, Ds_00001046-RA, Ds_00004374-RA, Ds_00004371-RA, Ds_00009680-RA, Ds_00006455-RA	AH018654-RA, AH011176-RA, AH011177-RA, AH011187-RA, AH011181-RA, AH011178-RA, AH011185-RA, AH011186-RA, AH011182-RA, AH011175-RA, AH011188-RA, AH011179-RA, AH008576-RA, AH010059-RA, AH020450-RA
OG0000011	Ds_00013568-RA	AH002194-RA
OG0000011	Ds_00015633-RA	AH001485-RA, AH001483-RA, AH001487-RA
OG0000011	Ds_00014454-RA, Ds_00015367-RA	AH022040-RA, AH022041-RA, AH022042-RA, AH022043-RA
OG0000016	Ds_00000802-RA, Ds_00013779-RA, Ds_00012502-RA, Ds_00011161-RA, Ds_00004889-RA, Ds_00009386-RA, Ds_00009382-RA, Ds_00014480-RA	AH005855-RA
OG0000018	Ds_00003181-RA	AH019393-RA
OG0000018	Ds_00006689-RA	AH019902-RA, AH019903-RA, AH007232-RA, AH007233-RA
OG0000021	Ds_00002132-RA	AH003127-RA, AH003133-RA
OG0000021	Ds_00016546-RA, Ds_00010246-RA, Ds_00013127-RA, Ds_00011994-RA	AH022150-RA, AH022153-RA, AH022151-RA, AH009173-RA, AH009171-RA, AH009170-RA, AH006881-RA, AH009424-RA, AH022152-RA, AH002452-RA, AH003417-RA, AH000687-RA, AH004291-RA, AH023178-RA, AH022149-RA, AH022148-RA
OG0000022	Ds_00003849-RA, Ds_00003832-RA, Ds_00007689-RA, Ds_00013775-RA, Ds_00009114-RA, Ds_00005092-RA	AH012456-RA, AH021712-RA
OG0000024	Ds_00004822-RA, Ds_00007355-RA, Ds_00014543-RA, Ds_00017860-RA, Ds_00010656-RA, Ds_00010658-RA, Ds_00010657-RA	AH017854-RA, AH007410-RA
OG0000024	Ds_00007357-RA, Ds_00007354-RA	AH007961-RA, AH010292-RA
OG0000024	Ds_00014538-RA	AH007960-RA, AH007959-RA
OG0000025	Ds_00000314-RA	AH001710-RA, AH001709-RA, AH023136-RA
