Orthogroup	S_lycopersicum.proteins	B_vulgaris.proteins
OG0000005	Solyc02g050207.1.1	Bevul.6G144600.1.p
OG0000011	Solyc04g071680.2.1, Solyc04g074020.2.1, Solyc04g074050.3.1, Solyc04g074030.3.1, Solyc04g074000.3.1	Bevul.9G145000.1.p
OG0000011	Solyc09g072810.3.1	Bevul.7G111500.1.p, Bevul.7G111300.1.p
OG0000015	Solyc02g079590.3.1, Solyc03g006770.3.1	Bevul.8G062600.1.p
OG0000016	Solyc10g012140.1.1	Bevul.3G098500.1.p, Bevul.3G063500.1.p
OG0000016	Solyc07g018180.2.1	Bevul.9G202400.1.p, Bevul.6G093300.1.p, Bevul.1G082700.1.p, Bevul.6G098600.1.p
OG0000016	Solyc11g020270.1.1	Bevul.9G175500.1.p, Bevul.9G175500.3.p, Bevul.9G175500.2.p, Bevul.9G175700.1.p, Bevul.9G175800.1.p, Bevul.9G176100.1.p, Bevul.9G176000.1.p, Bevul.9G176400.1.p, Bevul.8G121500.1.p, Bevul.9G175900.1.p, Bevul.9G176500.1.p
OG0000018	Solyc09g089770.3.1	Bevul.6G029800.1.p, Bevul.3G012700.1.p, Bevul.3G012800.1.p
OG0000018	Solyc09g010000.3.1, Solyc09g089580.3.1, Solyc03g095900.3.1, Solyc09g089740.3.1, Solyc09g089730.3.1, Solyc09g089720.2.1, Solyc09g089760.1.1, Solyc09g089690.3.1, Solyc12g006380.2.1, Solyc09g089680.3.1, Solyc09g009985.1.1, Solyc09g010040.2.1	Bevul.3G094700.1.p, Bevul.3G094800.1.p, Bevul.6G052200.1.p, Bevul.3G190300.1.p
OG0000018	Solyc09g089790.3.1, Solyc09g089830.3.1, Solyc09g089810.1.1, Solyc09g089800.2.1, Solyc09g089780.3.1, Solyc09g089820.2.1	Bevul.3G188900.1.p, Bevul.3G012200.1.p, Bevul.3G012300.1.p, Bevul.3G012500.1.p, Bevul.3G012400.1.p
OG0000021	Solyc06g084820.2.1, Solyc06g066270.1.1, Solyc06g066280.3.1	Bevul.5G145300.1.p, Bevul.1G126100.1.p, Bevul.1G126200.1.p, Bevul.1G126300.1.p, Bevul.1G126500.1.p, Bevul.1G126400.1.p, Bevul.2G184100.1.p, Bevul.9G220700.1.p, Bevul.9G220500.1.p, Bevul.9G220600.1.p, Bevul.9G219000.1.p, Bevul.1G207900.1.p, Bevul.1G207800.1.p
OG0000022	Solyc04g051880.2.1	Bevul.7G006300.1.p
OG0000022	Solyc04g011700.2.1	Bevul.1G097600.1.p
OG0000024	Solyc07g052070.2.1, Solyc07g052073.1.1, Solyc10g007930.3.1, Solyc10g007900.3.1, Solyc06g084770.2.1, Solyc07g052025.1.1	Bevul.5G208100.1.p, Bevul.5G208400.1.p, Bevul.5G208500.1.p, Bevul.1G056100.1.p
OG0000024	Solyc10g007890.3.1, Solyc10g051020.2.1, Solyc10g007880.3.1, Solyc07g006145.1.1, Solyc07g062520.3.1, Solyc07g062510.2.1, Solyc06g084760.2.1, Solyc07g062500.3.1, Solyc07g055350.3.1, Solyc07g055560.3.1, Solyc07g055550.2.1, Solyc07g055440.2.1, Solyc07g055450.2.1, Solyc07g055362.1.1, Solyc07g055460.3.1, Solyc07g055530.3.1, Solyc07g055480.2.1, Solyc07g055470.3.1, Solyc07g055540.3.1, Solyc07g055490.3.1	Bevul.4G087500.1.p, Bevul.5G049900.1.p, Bevul.5G050000.1.p, Bevul.4G087600.1.p, Bevul.4G004600.1.p
OG0000025	Solyc10g054733.1.1, Solyc10g054750.1.1, Solyc01g110900.1.1	Bevul.9G156900.1.p
OG0000025	Solyc01g110970.3.1, Solyc10g052585.1.1, Solyc12g036405.1.1, Solyc04g052895.1.1, Solyc04g052975.1.1, Solyc01g110785.1.1, Solyc11g011655.1.1, Solyc10g052545.1.1, Solyc04g053023.1.1, Solyc10g054737.1.1, Solyc01g110647.1.1	Bevul.9G157100.1.p
OG0000025	Solyc01g110830.3.1, Solyc01g110870.3.1, Solyc01g110843.1.1, Solyc01g110860.1.1, Solyc01g110847.1.1, Solyc01g110880.1.1, Solyc10g054760.1.1	Bevul.9G229000.1.p
OG0000026	Solyc01g101190.3.1, Solyc01g101180.3.1, Solyc01g101210.4.1, Solyc01g101170.3.1, Solyc04g054380.1.1, Solyc04g051620.2.1	Bevul.6G022200.1.p, Bevul.7G010100.2.p, Bevul.7G010100.1.p
OG0000026	Solyc06g060010.3.1	Bevul.4G049100.1.p
OG0000026	Solyc06g060013.1.1, Solyc07g052120.3.1	Bevul.4G079600.1.p
OG0000027	Solyc00g257110.3.1, Solyc03g113405.1.1, Solyc06g071100.3.1	Bevul.5G197000.1.p
OG0000027	Solyc08g078200.2.1	Bevul.1G144100.1.p
OG0000027	Solyc07g017780.3.1	Bevul.8G210000.1.p, Bevul.2G132800.2.p, Bevul.2G132800.1.p
OG0000027	Solyc12g010360.2.1	Bevul.8G159900.1.p
OG0000027	Solyc03g117150.3.1	Bevul.9G228300.1.p, Bevul.9G228300.2.p
OG0000029	Solyc09g015220.2.1, Solyc09g015240.1.1, Solyc09g015230.1.1	Bevul.3G107500.1.p, Bevul.3G108400.1.p, Bevul.3G107400.1.p, Bevul.3G107700.1.p, Bevul.3G135600.1.p, Bevul.3G108200.1.p, Bevul.3G108600.1.p, Bevul.3G108500.1.p, Bevul.3G108800.1.p
OG0000029	Solyc11g072140.2.1, Solyc09g014730.3.1, Solyc09g014710.3.1, Solyc09g014720.2.1, Solyc09g014740.3.1, Solyc10g076530.2.1	Bevul.2G150500.1.p, Bevul.2G150800.1.p, Bevul.2G150300.1.p
OG0000030	Solyc02g082980.1.1, Solyc02g082985.1.1	Bevul.6G220100.1.p
