gene_ID,module,ATgene_ID,TopBLASTHit_Symbol,TopBLASTHit_Name,TopBLASTHit_Position
Dm_00000041-RA,2,AT3G08850.1," Symbols: RAPTOR1B, ATRAPTOR1B, RAPTOR1 ",  , chr3:2686978-2694911 REVERSE LENGTH=1344
Dm_00000090-RA,2,AT2G02160.1," Symbols: AtC3H17, C3H17 ",  , chr2:553407-555899 REVERSE LENGTH=669
Dm_00000248-RA,2,AT4G17900.1, Symbols: PLATZ11 ,  , chr4:9946046-9947697 FORWARD LENGTH=227
Dm_00000398-RA,2,AT2G01600.1, Symbols: PICALM1a ,  , chr2:268975-272356 FORWARD LENGTH=571
Dm_00000399-RA,2,AT1G14910.2, Symbols: PICALM1b ,  , chr1:5139928-5143571 REVERSE LENGTH=687
Dm_00000499-RA,2,AT2G30880.1," Symbols: SWAP70, AtSWAP70 ",  , chr2:13142926-13145718 REVERSE LENGTH=504
Dm_00000598-RA,2,AT1G09060.4, Symbols: JMJ24 ,  , chr1:2921235-2925254 REVERSE LENGTH=944
Dm_00000632-RA,2,AT4G32620.1, Symbols: EPCR1 ,  , chr4:15731968-15737222 FORWARD LENGTH=1539
Dm_00000874-RA,2,AT5G47370.1, Symbols: HAT2 ,  , chr5:19216482-19217647 REVERSE LENGTH=283
Dm_00000923-RA,2,AT3G24880.3, Symbols: AtEAF1A ,  , chr3:9086457-9095537 REVERSE LENGTH=1909
Dm_00001009-RA,2,AT5G57830.1, Symbols: MyoB12 ,  , chr5:23429406-23430860 REVERSE LENGTH=387
Dm_00001106-RA,2,AT2G24290.1, Symbols: ELMO5 ,  , chr2:10338779-10339859 FORWARD LENGTH=173
Dm_00001194-RA,2,AT4G27990.1," Symbols: ATYLMG1-2, YLMG1-2 ",  , chr4:13923991-13924647 REVERSE LENGTH=218
Dm_00001215-RA,2,AT4G26640.6," Symbols: AtWRKY20, WRKY20 ",  , chr4:13437298-13438881 REVERSE LENGTH=381
Dm_00001337-RA,2,AT5G51340.1, Symbols: SCC4 ,  , chr5:20863594-20867171 FORWARD LENGTH=726
Dm_00001426-RA,2,AT1G21150.3, Symbols: mTERF27 ,  , chr1:7406406-7407770 REVERSE LENGTH=354
Dm_00001480-RA,2,AT5G42090.1, Symbols: 7TM4 ,  , chr5:16826830-16828149 FORWARD LENGTH=439
Dm_00001574-RA,2,AT3G08760.3, Symbols: ATSIK ,  , chr3:2658129-2659984 REVERSE LENGTH=557
Dm_00002062-RA,2,AT2G17980.1, Symbols: ATSLY1 ,  , chr2:7824352-7826404 FORWARD LENGTH=627
Dm_00002396-RA,2,AT3G42050.1, Symbols: VHA-H ,  , chr3:14228846-14232228 REVERSE LENGTH=441
Dm_00003216-RA,2,AT3G50590.2, Symbols: TWD40-1 ,  , chr3:18771292-18779220 FORWARD LENGTH=1606
Dm_00003333-RA,2,AT5G07900.1, Symbols: mTERF7 ,  , chr5:2520188-2521405 FORWARD LENGTH=405
Dm_00003400-RA,2,AT5G42940.2, Symbols: CTL06 ,  , chr5:17216649-17219171 REVERSE LENGTH=691
Dm_00003574-RA,2,AT3G61690.3, Symbols: NTP8 ,  , chr3:22828349-22833477 FORWARD LENGTH=1303
Dm_00003912-RA,2,AT4G26640.6," Symbols: AtWRKY20, WRKY20 ",  , chr4:13437298-13438881 REVERSE LENGTH=381
Dm_00004283-RA,2,AT1G62310.1, Symbols: JMJ29 ,  , chr1:23036039-23039301 REVERSE LENGTH=883
Dm_00004455-RA,2,AT5G01160.2, Symbols: HAKAI ,  , chr5:54280-55727 FORWARD LENGTH=360
Dm_00004704-RA,2,AT5G66030.2," Symbols: GRIP, ATGRIP ",  , chr5:26405133-26409888 REVERSE LENGTH=765
Dm_00004757-RA,2,AT1G11950.3, Symbols: JMJ26 ,  , chr1:4034747-4038310 REVERSE LENGTH=875
Dm_00004829-RA,2,AT3G02090.1, Symbols: MPPBETA ,  , chr3:365624-368526 FORWARD LENGTH=531
Dm_00004884-RA,2,AT1G04970.1, Symbols: LBR-1 ,  , chr1:1411216-1413431 FORWARD LENGTH=488
Dm_00005065-RA,2,AT1G12230.1, Symbols: GSM2-LIKE ,  , chr1:4148050-4150708 FORWARD LENGTH=405
