Orthogroup	D_muscipula.proteins	V_vinifera.proteins
OG0000008	Dm_00017627-RA, Dm_00015033-RA	VIT_205s0020g04920.1
OG0000011	Dm_00003465-RA	VIT_212s0035g00020.1, VIT_212s0035g00080.3, VIT_212s0035g00080.2, VIT_212s0034g02580.1, VIT_212s0035g00080.1, VIT_212s0034g02570.1, VIT_212s0142g00760.1, VIT_212s0035g00180.1, VIT_212s0035g00070.1, VIT_211s0037g00680.1, VIT_212s0034g02590.1, VIT_212s0142g00780.1, VIT_212s0035g00150.1, VIT_212s0035g00110.1, VIT_212s0035g00140.1, VIT_212s0142g00800.1, VIT_213s0084g00560.1, VIT_211s0037g00660.1, VIT_211s0037g00670.1, VIT_211s0037g00690.1, VIT_217s0000g02390.1, VIT_217s0000g02370.1
OG0000011	Dm_00013516-RA	VIT_207s0005g04060.1, VIT_207s0005g04050.1, VIT_207s0005g04020.1, VIT_207s0005g04040.1, VIT_207s0005g04080.1, VIT_207s0005g04100.1
OG0000015	Dm_00007752-RA	VIT_219s0014g04210.1, VIT_219s0014g04220.1, VIT_218s0041g01065.1
OG0000015	Dm_00009736-RA	VIT_200s0353g00060.4, VIT_200s0353g00060.5, VIT_200s0353g00060.3, VIT_200s0353g00060.2, VIT_200s0353g00060.1
OG0000018	Dm_00020011-RA	VIT_205s0049g00390.1, VIT_205s0049g00400.1, VIT_205s0049g00410.1, VIT_205s0049g00420.1, VIT_212s0028g02420.2, VIT_212s0028g02420.4, VIT_212s0028g02420.3, VIT_212s0028g02410.1, VIT_212s0028g02420.1, VIT_205s0049g00370.1, VIT_200s1313g00010.2, VIT_205s0049g00340.2, VIT_205s0049g00330.1, VIT_205s0049g00340.1, VIT_200s1313g00010.1, VIT_205s0049g00350.2, VIT_205s0049g00350.1
OG0000018	Dm_00012812-RA	VIT_207s0005g03060.1
OG0000021	Dm_00010344-RA	VIT_202s0012g02360.1
OG0000021	Dm_00010968-RA, Dm_00020262-RA, Dm_00001605-RA, Dm_00003958-RA, Dm_00016187-RA, Dm_00018023-RA, Dm_00013333-RA, Dm_00010156-RA	VIT_202s0012g02340.1, VIT_202s0012g02370.1, VIT_202s0025g04864.4, VIT_202s0025g04864.1, VIT_202s0025g04864.6, VIT_202s0025g04864.2, VIT_202s0025g04864.7, VIT_202s0025g04864.3, VIT_202s0025g04880.1, VIT_202s0025g04890.1, VIT_202s0025g04864.5, VIT_215s0048g01515.1, VIT_215s0048g01500.1, VIT_215s0048g01490.1, VIT_215s0048g01470.1, VIT_215s0048g01440.1, VIT_215s0048g01530.1, VIT_215s0048g01600.1, VIT_202s0012g02810.1, VIT_202s0012g02820.1, VIT_203s0097g00460.1
OG0000022	Dm_00009918-RA	VIT_207s0031g01450.1
OG0000023	Dm_00006887-RA	VIT_203s0088g00260.3, VIT_203s0088g00260.2, VIT_203s0088g00260.1
OG0000023	Dm_00006652-RA	VIT_203s0091g01290.2, VIT_203s0091g01290.1
OG0000023	Dm_00007864-RA, Dm_00007863-RA	VIT_218s0001g08840.1
OG0000026	Dm_00006966-RA, Dm_00006968-RA, Dm_00006808-RA	VIT_219s0014g04900.1, VIT_219s0014g04900.3, VIT_219s0014g04900.4
OG0000026	Dm_00006967-RA	VIT_218s0001g04110.1, VIT_218s0001g05450.1, VIT_218s0001g04530.1
OG0000027	Dm_00002324-RA, Dm_00004939-RA	VIT_209s0002g00130.3, VIT_209s0002g00130.4
OG0000027	Dm_00000274-RA	VIT_211s0149g00210.1
OG0000028	Dm_00006419-RA, Dm_00006416-RA, Dm_00006418-RA, Dm_00001425-RA, Dm_00020344-RA, Dm_00016376-RA, Dm_00001424-RA, Dm_00006415-RA, Dm_00001427-RA, Dm_00006417-RA, Dm_00006319-RA, Dm_00006317-RA, Dm_00005629-RA, Dm_00015141-RA, Dm_00006322-RA, Dm_00006318-RA, Dm_00002878-RA, Dm_00002994-RA, Dm_00005634-RA, Dm_00016871-RA, Dm_00002995-RA	VIT_213s0064g00135.1, VIT_212s0057g00780.1, VIT_216s0013g01700.1, VIT_216s0013g01730.1
OG0000030	Dm_00000141-RA	VIT_203s0038g03350.1, VIT_203s0038g03360.1, VIT_203s0038g03390.1, VIT_203s0038g03370.1, VIT_203s0038g03380.1, VIT_203s0038g03280.1, VIT_203s0038g03320.1, VIT_203s0038g03290.1, VIT_203s0038g03300.1, VIT_203s0038g03340.1, VIT_214s0081g00742.1, VIT_214s0081g00734.1
OG0000031	Dm_00013082-RA, Dm_00002750-RA, Dm_00019538-RA, Dm_00005346-RA	VIT_204s0023g03790.1, VIT_204s0023g03810.1
OG0000032	Dm_00020696-RA	VIT_214s0128g00680.1, VIT_214s0128g00660.1, VIT_214s0128g00610.1, VIT_214s0128g00640.1, VIT_214s0128g00610.2, VIT_214s0060g02730.1, VIT_214s0128g00650.1, VIT_214s0128g00610.3, VIT_214s0128g01000.1, VIT_214s0128g00920.1, VIT_214s0128g00980.1, VIT_214s0128g01020.1, VIT_214s0128g00990.1, VIT_214s0128g00970.1, VIT_214s0060g02760.1, VIT_214s0128g01030.1, VIT_214s0128g01010.1, VIT_214s0060g02710.1, VIT_214s0060g02750.1, VIT_214s0128g00690.1
OG0000034	Dm_00017791-RA	VIT_203s0017g01550.1, VIT_203s0017g01550.2, VIT_202s0087g01020.1
OG0000034	Dm_00013221-RA	VIT_215s0024g01700.1, VIT_215s0024g01670.1, VIT_210s0092g00680.1
OG0000034	Dm_00008931-RA, Dm_00011829-RA	VIT_200s0748g00020.1, VIT_200s0409g00010.1, VIT_200s0409g00020.1, VIT_200s0262g00130.1, VIT_200s0398g00060.1
OG0000037	Dm_00020788-RA	VIT_212s0035g00580.1, VIT_218s0001g11440.1, VIT_218s0001g11410.1, VIT_218s0001g11450.1
OG0000038	Dm_00004693-RA	VIT_219s0015g00070.1, VIT_217s0000g09550.1
OG0000038	Dm_00001698-RA	VIT_217s0000g09610.1
OG0000038	Dm_00019675-RA, Dm_00001701-RA, Dm_00001700-RA	VIT_217s0000g09570.1, VIT_217s0000g09510.1
OG0000040	Dm_00008090-RA, Dm_00014922-RA	VIT_214s0006g02640.1, VIT_216s0098g00420.1, VIT_216s0098g00420.2, VIT_216s0022g01710.1, VIT_216s0039g01310.1, VIT_216s0022g01650.1, VIT_216s0022g01670.1, VIT_216s0098g00030.1
OG0000041	Dm_00005610-RA, Dm_00016090-RA	VIT_204s0023g03710.1, VIT_203s0038g02310.1
OG0000041	Dm_00017104-RA, Dm_00020901-RA	VIT_207s0130g00040.1
OG0000041	Dm_00004417-RA	VIT_217s0000g02660.1, VIT_214s0006g01620.1, VIT_201s0011g04760.1
OG0000041	Dm_00009275-RA, Dm_00004200-RA	VIT_207s0005g01210.2, VIT_207s0005g01210.1, VIT_205s0077g01360.1
OG0000041	Dm_00010291-RA	VIT_211s0016g01300.1, VIT_209s0002g01400.1
OG0000041	Dm_00012002-RA	VIT_211s0016g01320.1, VIT_211s0016g01310.1, VIT_204s0008g01840.1
OG0000041	Dm_00006869-RA, Dm_00012805-RA, Dm_00020049-RA	VIT_208s0007g07230.1
OG0000042	Dm_00012006-RA	VIT_206s0004g05320.1, VIT_206s0004g05320.2, VIT_206s0004g05450.1, VIT_206s0004g05280.5
OG0000042	Dm_00000170-RA, Dm_00003840-RA, Dm_00003839-RA	VIT_208s0007g00890.1, VIT_208s0007g00900.1, VIT_208s0007g00920.1
OG0000044	Dm_00020841-RA	VIT_204s0023g01430.1
