Orthogroup	A_hypochondriacus.proteins	A_vesiculosa.proteins
OG0000005	AH014531-RA	Av_00007495-RA, Av_00024486-RA, Av_00022371-RA, Av_00019607-RA, Av_00012217-RA, Av_00021532-RA, Av_00022864-RA, Av_00023461-RA, Av_00024984-RA, Av_00020486-RA, Av_00024292-RA, Av_00024666-RA, Av_00023531-RA, Av_00024923-RA, Av_00021429-RA, Av_00009848-RA, Av_00024577-RA, Av_00023506-RA, Av_00024960-RA, Av_00013801-RA, Av_00024223-RA, Av_00022326-RA, Av_00007382-RA, Av_00016966-RA, Av_00023509-RA, Av_00007367-RA, Av_00015996-RA
OG0000005	AH014533-RA	Av_00002340-RA, Av_00004822-RA, Av_00024998-RA, Av_00014554-RA, Av_00024667-RA, Av_00014995-RA, Av_00022016-RA, Av_00024273-RA, Av_00020632-RA, Av_00012601-RA, Av_00010519-RA, Av_00014456-RA, Av_00006395-RA, Av_00019777-RA, Av_00017755-RA, Av_00020160-RA, Av_00017142-RA, Av_00024246-RA, Av_00022325-RA, Av_00023530-RA, Av_00022236-RA, Av_00024837-RA, Av_00005724-RA, Av_00005970-RA, Av_00015997-RA, Av_00009542-RA, Av_00023464-RA, Av_00013328-RA, Av_00023231-RA, Av_00025068-RA, Av_00009690-RA, Av_00024983-RA, Av_00017147-RA, Av_00019228-RA, Av_00013576-RA, Av_00011310-RA, Av_00024785-RA, Av_00018673-RA, Av_00007529-RA, Av_00012075-RA, Av_00007420-RA, Av_00020484-RA, Av_00005668-RA, Av_00013987-RA, Av_00019658-RA, Av_00019722-RA, Av_00005726-RA, Av_00000506-RA, Av_00024504-RA, Av_00023112-RA, Av_00019952-RA, Av_00016567-RA, Av_00022437-RA, Av_00010537-RA, Av_00020998-RA, Av_00023890-RA, Av_00013457-RA, Av_00016984-RA, Av_00021959-RA, Av_00009543-RA, Av_00010477-RA, Av_00024290-RA, Av_00020636-RA, Av_00024281-RA, Av_00022613-RA, Av_00016921-RA, Av_00018786-RA, Av_00013329-RA, Av_00022866-RA, Av_00015998-RA, Av_00020549-RA, Av_00016856-RA, Av_00015717-RA, Av_00006396-RA, Av_00025090-RA, Av_00024349-RA, Av_00010038-RA, Av_00021516-RA, Av_00019229-RA, Av_00004159-RA, Av_00009849-RA, Av_00002556-RA, Av_00015801-RA, Av_00023056-RA, Av_00007383-RA, Av_00023650-RA, Av_00022441-RA, Av_00024836-RA, Av_00019325-RA, Av_00024272-RA, Av_00022112-RA, Av_00019412-RA, Av_00003156-RA, Av_00012510-RA, Av_00004450-RA, Av_00023233-RA, Av_00008539-RA, Av_00019209-RA, Av_00009452-RA, Av_00025055-RA, Av_00025065-RA, Av_00023749-RA, Av_00006460-RA, Av_00021146-RA, Av_00023626-RA, Av_00020539-RA, Av_00024116-RA, Av_00017515-RA, Av_00004953-RA, Av_00018423-RA, Av_00012868-RA, Av_00011311-RA, Av_00024925-RA, Av_00025078-RA, Av_00020228-RA, Av_00021430-RA, Av_00017526-RA, Av_00017202-RA, Av_00013955-RA, Av_00022324-RA, Av_00024917-RA, Av_00022681-RA, Av_00023460-RA, Av_00020256-RA, Av_00023463-RA, Av_00004594-RA, Av_00024291-RA, Av_00012797-RA, Av_00024280-RA, Av_00021562-RA, Av_00007366-RA, Av_00013800-RA
OG0000008	AH000127-RA	Av_00016512-RA, Av_00011034-RA
OG0000008	AH018654-RA, AH011176-RA, AH011177-RA, AH011187-RA, AH011181-RA, AH011178-RA, AH011185-RA, AH011186-RA, AH011182-RA, AH011175-RA, AH011188-RA, AH011179-RA, AH008576-RA, AH010059-RA, AH020450-RA	Av_00017274-RA, Av_00024183-RA
OG0000011	AH022040-RA, AH022041-RA, AH022042-RA, AH022043-RA	Av_00002197-RA
OG0000016	AH005855-RA	Av_00024235-RA
OG0000021	AH022150-RA, AH022153-RA, AH022151-RA, AH009173-RA, AH009171-RA, AH009170-RA, AH006881-RA, AH009424-RA, AH022152-RA, AH002452-RA, AH003417-RA, AH000687-RA, AH004291-RA, AH023178-RA, AH022149-RA, AH022148-RA	Av_00016682-RA
OG0000022	AH012456-RA, AH021712-RA	Av_00004845-RA, Av_00003462-RA, Av_00003476-RA, Av_00003461-RA, Av_00004843-RA, Av_00021879-RA, Av_00002137-RA, Av_00001706-RA, Av_00009282-RA
OG0000023	AH013573-RA, AH014496-RA, AH007059-RA, AH021142-RA	Av_00004265-RA
OG0000023	AH000663-RA	Av_00008849-RA
