Orthogroup	D_spatulata.proteins	L_sativa.proteins
OG0000008	Ds_00005008-RA	Lsat_1_v5_gn_3_111360.3, Lsat_1_v5_gn_3_111340.3, Lsat_1_v5_gn_3_111340.1
OG0000011	Ds_00013568-RA	Lsat_1_v5_gn_6_100741.1, Lsat_1_v5_gn_9_41461.1, Lsat_1_v5_gn_4_41280.1, Lsat_1_v5_gn_4_41340.1, Lsat_1_v5_gn_4_41240.1, Lsat_1_v5_gn_1_81560.1, Lsat_1_v5_gn_1_81560.2
OG0000011	Ds_00015633-RA	Lsat_1_v5_gn_1_47320.1, Lsat_1_v5_gn_1_47320.4, Lsat_1_v5_gn_2_11081.3, Lsat_1_v5_gn_2_11081.1, Lsat_1_v5_gn_4_26720.3
OG0000011	Ds_00014454-RA, Ds_00015367-RA	Lsat_1_v5_gn_5_183260.1, Lsat_1_v5_gn_5_183260.6, Lsat_1_v5_gn_5_183260.3
OG0000015	Ds_00009995-RA, Ds_00016103-RA, Ds_00016102-RA, Ds_00004166-RA, Ds_00016104-RA	Lsat_1_v5_gn_8_19401.4, Lsat_1_v5_gn_8_19401.6, Lsat_1_v5_gn_7_49320.1, Lsat_1_v5_gn_7_49320.3, Lsat_1_v5_gn_8_19481.2, Lsat_1_v5_gn_8_19481.1, Lsat_1_v5_gn_8_19501.1, Lsat_1_v5_gn_8_19501.3, Lsat_1_v5_gn_8_19521.3, Lsat_1_v5_gn_8_19521.1, Lsat_1_v5_gn_8_19641.3, Lsat_1_v5_gn_8_19641.1, Lsat_1_v5_gn_1_113320.2, Lsat_1_v5_gn_1_113320.1, Lsat_1_v5_gn_1_113320.3, Lsat_1_v5_gn_8_19381.1, Lsat_1_v5_gn_8_19381.2, Lsat_1_v5_gn_3_33700.1, Lsat_1_v5_gn_3_33700.3, Lsat_1_v5_gn_8_142060.1, Lsat_1_v5_gn_8_142060.3, Lsat_1_v5_gn_8_142140.2, Lsat_1_v5_gn_8_142140.1, Lsat_1_v5_gn_7_80960.2, Lsat_1_v5_gn_7_80960.1, Lsat_1_v5_gn_8_19660.3, Lsat_1_v5_gn_8_19660.1, Lsat_1_v5_gn_8_19660.2, Lsat_1_v5_gn_2_113361.1, Lsat_1_v5_gn_6_112280.5, Lsat_1_v5_gn_2_113381.1, Lsat_1_v5_gn_2_113381.2, Lsat_1_v5_gn_2_113381.3, Lsat_1_v5_gn_2_113361.3, Lsat_1_v5_gn_2_113341.3, Lsat_1_v5_gn_2_113341.1
OG0000016	Ds_00000802-RA, Ds_00013779-RA, Ds_00012502-RA, Ds_00011161-RA, Ds_00004889-RA, Ds_00009386-RA, Ds_00009382-RA, Ds_00014480-RA	Lsat_1_v5_gn_2_122720.3, Lsat_1_v5_gn_2_122720.1
OG0000018	Ds_00006436-RA, Ds_00006435-RA, Ds_00014529-RA, Ds_00003183-RA	Lsat_1_v5_gn_3_111780.1
OG0000018	Ds_00003181-RA	Lsat_1_v5_gn_5_159640.1, Lsat_1_v5_gn_3_63520.1, Lsat_1_v5_gn_3_63520.2, Lsat_1_v5_gn_9_62660.1, Lsat_1_v5_gn_5_159640.3, Lsat_1_v5_gn_4_165860.3, Lsat_1_v5_gn_4_165860.1, Lsat_1_v5_gn_6_18560.1, Lsat_1_v5_gn_4_168381.1, Lsat_1_v5_gn_5_11300.2, Lsat_1_v5_gn_3_121100.3, Lsat_1_v5_gn_3_121100.1, Lsat_1_v5_gn_3_121180.5, Lsat_1_v5_gn_3_121180.4, Lsat_1_v5_gn_3_120981.1, Lsat_1_v5_gn_3_120981.3, Lsat_1_v5_gn_3_121041.1, Lsat_1_v5_gn_3_121081.1, Lsat_1_v5_gn_3_121300.2, Lsat_1_v5_gn_3_121300.1, Lsat_1_v5_gn_3_121280.1, Lsat_1_v5_gn_3_120060.1, Lsat_1_v5_gn_3_120060.2, Lsat_1_v5_gn_3_121660.1, Lsat_1_v5_gn_3_122040.1, Lsat_1_v5_gn_3_122040.2, Lsat_1_v5_gn_3_121600.1, Lsat_1_v5_gn_3_121560.1, Lsat_1_v5_gn_3_121560.3, Lsat_1_v5_gn_0_19261.2, Lsat_1_v5_gn_0_19261.1, Lsat_1_v5_gn_3_121180.1, Lsat_1_v5_gn_3_121021.1, Lsat_1_v5_gn_3_121220.3, Lsat_1_v5_gn_5_124860.1
OG0000018	Ds_00006689-RA	Lsat_1_v5_gn_5_71340.1, Lsat_1_v5_gn_5_71340.3, Lsat_1_v5_gn_5_71221.1
OG0000018	Ds_00015426-RA	Lsat_1_v5_gn_9_8761.2, Lsat_1_v5_gn_9_8761.1, Lsat_1_v5_gn_9_8761.3
