Orthogroup	S_lycopersicum.proteins	V_vinifera.proteins
OG0000008	Solyc04g080120.1.1, Solyc06g007740.1.1, Solyc06g007300.2.1	VIT_214s0081g00270.1, VIT_214s0030g02280.1, VIT_214s0081g00120.1, VIT_202s0033g01375.1, VIT_214s0081g00280.1, VIT_212s0028g02320.1
OG0000011	Solyc04g071680.2.1	VIT_212s0035g00020.1, VIT_212s0035g00080.3, VIT_212s0035g00080.2, VIT_212s0034g02580.1, VIT_212s0035g00080.1, VIT_212s0034g02570.1, VIT_212s0142g00760.1, VIT_212s0035g00180.1, VIT_212s0035g00070.1, VIT_211s0037g00680.1, VIT_212s0034g02590.1, VIT_212s0142g00780.1, VIT_212s0035g00150.1, VIT_212s0035g00110.1, VIT_212s0035g00140.1, VIT_212s0142g00800.1, VIT_213s0084g00560.1, VIT_211s0037g00660.1, VIT_211s0037g00670.1, VIT_211s0037g00690.1
OG0000011	Solyc04g074020.2.1, Solyc04g074050.3.1, Solyc04g074030.3.1, Solyc04g074000.3.1	VIT_217s0000g02390.1, VIT_217s0000g02370.1
OG0000011	Solyc09g072810.3.1	VIT_207s0005g04060.1, VIT_207s0005g04050.1, VIT_207s0005g04020.1, VIT_207s0005g04040.1, VIT_207s0005g04080.1, VIT_207s0005g04100.1
OG0000011	Solyc01g057680.3.1	VIT_207s0005g04070.1, VIT_214s0108g00360.1
OG0000015	Solyc02g030383.1.1, Solyc02g030300.3.1, Solyc02g030380.2.1	VIT_219s0014g04210.1, VIT_219s0014g04220.1, VIT_218s0041g01065.1
OG0000015	Solyc02g079590.3.1, Solyc03g006770.3.1	VIT_200s0353g00060.4, VIT_200s0353g00060.5, VIT_200s0353g00060.3, VIT_200s0353g00060.2, VIT_200s0353g00060.1
OG0000016	Solyc10g012140.1.1	VIT_213s0067g00470.1
OG0000016	Solyc07g018180.2.1	VIT_216s0098g00430.1
OG0000016	Solyc07g018190.3.1, Solyc10g085120.2.1, Solyc03g118330.2.1, Solyc03g019980.2.1, Solyc03g098400.2.1, Solyc11g020270.1.1, Solyc03g096190.2.1, Solyc04g009040.3.1	VIT_213s0067g00490.1
OG0000018	Solyc09g089770.3.1	VIT_205s0049g00390.1, VIT_205s0049g00400.1, VIT_205s0049g00410.1, VIT_205s0049g00420.1, VIT_212s0028g02420.2, VIT_212s0028g02420.4, VIT_212s0028g02420.3, VIT_212s0028g02410.1, VIT_212s0028g02420.1, VIT_205s0049g00370.1, VIT_200s1313g00010.2, VIT_205s0049g00340.2, VIT_205s0049g00330.1, VIT_205s0049g00340.1, VIT_200s1313g00010.1, VIT_205s0049g00350.2, VIT_205s0049g00350.1
OG0000018	Solyc09g010000.3.1, Solyc09g089580.3.1, Solyc03g095900.3.1, Solyc09g089740.3.1, Solyc09g089730.3.1, Solyc09g089720.2.1, Solyc09g089760.1.1, Solyc09g089690.3.1, Solyc12g006380.2.1, Solyc09g089680.3.1, Solyc09g009985.1.1, Solyc09g010040.2.1	VIT_205s0049g00220.1, VIT_205s0049g00220.2, VIT_205s0049g00300.2, VIT_205s0049g00300.1, VIT_205s0049g00270.2, VIT_205s0049g00270.1, VIT_205s0049g00280.1, VIT_205s0049g00310.1
OG0000018	Solyc09g089700.3.1, Solyc03g095920.2.1	VIT_205s0049g00250.1
OG0000018	Solyc09g089790.3.1, Solyc09g089830.3.1, Solyc09g089810.1.1, Solyc09g089800.2.1, Solyc09g089780.3.1, Solyc09g089820.2.1	VIT_205s0049g00430.1
OG0000021	Solyc02g090265.1.1	VIT_202s0012g02360.1
OG0000021	Solyc06g084820.2.1, Solyc06g066270.1.1, Solyc06g066280.3.1	VIT_202s0012g02810.1, VIT_202s0012g02820.1, VIT_203s0097g00460.1
OG0000022	Solyc04g051880.2.1	VIT_205s0020g01630.1, VIT_205s0020g01640.1, VIT_205s0020g01643.1
OG0000022	Solyc04g011700.2.1	VIT_207s0031g01450.1
OG0000023	Solyc12g088260.1.1, Solyc12g019560.1.1	VIT_203s0091g01200.3, VIT_203s0091g01200.1, VIT_203s0091g01200.2, VIT_203s0088g00160.1
OG0000023	Solyc10g049270.2.1, Solyc10g049210.2.1	VIT_203s0091g01270.1, VIT_203s0091g01240.1, VIT_203s0091g01240.2
OG0000023	Solyc12g088250.2.1, Solyc04g077670.3.1, Solyc04g079070.3.1, Solyc04g079047.1.1, Solyc04g079060.3.1, Solyc04g079040.3.1, Solyc12g088280.2.1, Solyc12g019570.2.1, Solyc04g077640.3.1, Solyc04g077630.3.1, Solyc04g077650.3.1, Solyc05g050770.3.1, Solyc05g050780.3.1	VIT_218s0001g08840.1
OG0000024	Solyc07g052073.1.1	VIT_219s0027g00030.1
OG0000024	Solyc10g007930.3.1, Solyc10g007900.3.1, Solyc06g084770.2.1	VIT_219s0135g00200.1
OG0000024	Solyc07g052025.1.1	VIT_219s0135g00150.4, VIT_219s0135g00120.1, VIT_219s0135g00130.2, VIT_219s0015g02500.3
OG0000024	Solyc07g061980.2.1	VIT_219s0015g02050.1
OG0000025	Solyc11g011700.1.1, Solyc11g011650.1.1, Solyc04g053000.1.1, Solyc04g052970.2.1, Solyc11g011680.1.1, Solyc10g052540.1.1, Solyc10g052580.2.1, Solyc11g011720.1.1, Solyc04g025535.1.1, Solyc01g110790.3.1, Solyc01g110980.3.1, Solyc01g110735.1.1, Solyc01g110660.3.1, Solyc01g110710.3.1, Solyc01g110770.2.1, Solyc01g110670.3.1, Solyc01g110720.2.1, Solyc01g110680.3.1, Solyc01g110930.1.1, Solyc01g110800.3.1, Solyc01g110920.3.1, Solyc01g110780.1.1, Solyc01g110940.3.1, Solyc01g110630.3.1, Solyc01g110917.1.1	VIT_218s0001g14000.1
OG0000025	Solyc01g110830.3.1, Solyc01g110870.3.1, Solyc01g110843.1.1, Solyc01g110860.1.1, Solyc01g110847.1.1, Solyc01g110880.1.1, Solyc10g054760.1.1	VIT_204s0023g00490.1, VIT_204s0023g00500.1, VIT_204s0023g00520.1, VIT_204s0023g00505.1, VIT_204s0023g00540.1, VIT_204s0023g00530.1, VIT_204s0023g00555.1, VIT_204s0023g00550.1, VIT_204s0023g00580.1, VIT_204s0023g00570.1, VIT_204s0023g00560.1
OG0000026	Solyc06g059930.3.1	VIT_219s0014g04880.1, VIT_219s0014g04930.1, VIT_219s0014g04900.2, VIT_219s0015g02070.2, VIT_219s0015g02070.1, VIT_218s0082g00072.1
OG0000026	Solyc06g060010.3.1	VIT_218s0001g04510.1, VIT_218s0001g05460.1
OG0000026	Solyc06g060013.1.1	VIT_218s0001g04110.1, VIT_218s0001g05450.1, VIT_218s0001g04530.1
OG0000027	Solyc00g257110.3.1, Solyc03g113405.1.1	VIT_209s0002g00130.3, VIT_209s0002g00130.4
OG0000027	Solyc06g071100.3.1	VIT_217s0000g05540.1, VIT_214s0066g02550.1
OG0000027	Solyc08g078200.2.1	VIT_215s0021g01660.4, VIT_215s0021g01660.3, VIT_215s0021g01660.1, VIT_215s0021g01660.2
OG0000027	Solyc07g005040.3.1	VIT_217s0000g05540.2
OG0000027	Solyc07g017780.3.1	VIT_211s0052g00620.1, VIT_204s0008g02460.1
OG0000027	Solyc12g010360.2.1	VIT_211s0149g00210.1
OG0000027	Solyc03g117150.3.1	VIT_209s0002g02260.1
OG0000028	Solyc01g098370.1.1	VIT_219s0085g00160.1
OG0000029	Solyc09g015210.1.1	VIT_217s0000g02105.1, VIT_217s0000g02100.1, VIT_218s0041g00010.1
OG0000029	Solyc09g015220.2.1, Solyc09g015240.1.1, Solyc09g015230.1.1	VIT_218s0041g00020.1, VIT_218s0041g00040.1
OG0000029	Solyc09g015200.1.1	VIT_203s0132g00390.1, VIT_203s0132g00350.1
OG0000030	Solyc02g082980.1.1	VIT_200s0918g00015.1
OG0000030	Solyc02g083050.1.1, Solyc02g083040.1.1, Solyc02g083070.2.1, Solyc02g083100.2.1, Solyc02g083090.1.1, Solyc03g032230.1.1, Solyc02g083010.1.1, Solyc02g083020.1.1, Solyc02g083030.1.1, Solyc02g083000.1.1	VIT_200s0976g00003.1, VIT_200s0560g00020.1, VIT_200s0517g00010.1, VIT_200s0869g00010.1, VIT_200s0560g00010.1, VIT_200s0517g00020.1, VIT_200s1235g00030.1, VIT_200s0976g00006.1, VIT_200s2386g00010.1
OG0000030	Solyc02g083120.2.1	VIT_200s0976g00010.1, VIT_200s1235g00020.1
OG0000031	Solyc10g061840.2.1, Solyc01g080970.3.1, Solyc01g080990.3.1	VIT_204s0023g02200.3, VIT_204s0023g02200.1, VIT_204s0023g02200.4, VIT_204s0023g02200.2, VIT_204s0023g02210.1, VIT_204s0023g02210.2
OG0000031	Solyc01g080980.1.1	VIT_210s0003g04920.1
OG0000031	Solyc09g091530.2.1, Solyc09g091540.1.1, Solyc09g091550.3.1, Solyc04g055260.3.1, Solyc00g032947.1.1, Solyc12g036673.1.1, Solyc01g081340.3.1	VIT_204s0023g02260.1, VIT_204s0023g02320.1, VIT_204s0023g02230.1, VIT_204s0023g02240.1, VIT_204s0023g02290.3, VIT_204s0023g02290.1, VIT_204s0023g02290.2, VIT_204s0023g02290.4, VIT_204s0023g02280.1, VIT_204s0023g02310.1, VIT_204s0023g02220.1
OG0000031	Solyc02g084950.3.1	VIT_204s0023g02170.2, VIT_204s0023g02170.1
OG0000031	Solyc04g080660.3.1	VIT_218s0001g12880.1, VIT_218s0001g12900.1, VIT_218s0001g12890.1
OG0000032	Solyc01g102900.3.1, Solyc01g102875.1.1, Solyc01g102910.3.1, Solyc01g102890.3.1	VIT_214s0128g00680.1, VIT_214s0128g00660.1, VIT_214s0128g00610.1, VIT_214s0128g00640.1, VIT_214s0128g00610.2, VIT_214s0060g02730.1, VIT_214s0128g00650.1, VIT_214s0128g00610.3, VIT_214s0128g01000.1, VIT_214s0128g00920.1, VIT_214s0128g00980.1, VIT_214s0128g01020.1, VIT_214s0128g00990.1, VIT_214s0128g00970.1, VIT_214s0060g02760.1, VIT_214s0128g01030.1, VIT_214s0128g01010.1, VIT_214s0060g02710.1, VIT_214s0060g02750.1, VIT_214s0128g00690.1
OG0000032	Solyc10g078850.1.1, Solyc10g078840.1.1	VIT_210s0003g05310.1, VIT_210s0003g05300.1, VIT_210s0003g05260.1, VIT_210s0003g05250.1, VIT_210s0003g05336.1, VIT_210s0003g05340.1, VIT_210s0003g05360.1, VIT_212s0059g00730.1
OG0000034	Solyc02g080000.1.1	VIT_200s0532g00070.1
