Orthogroup	A_thaliana.proteins	D_spatulata.proteins
OG0000011	AT4G08850.1, AT4G08850.2, AT1G35710.1	Ds_00013568-RA
OG0000015	AT4G27290.2, AT4G27290.1	Ds_00009995-RA, Ds_00016103-RA, Ds_00016102-RA, Ds_00004166-RA, Ds_00016104-RA
OG0000018	AT5G59540.1, AT5G59540.2, AT5G59530.1, AT1G04350.1, AT2G30830.1, AT2G25450.1, AT2G30840.1, AT2G30840.3, AT2G30840.2, AT1G06645.1, AT1G03410.1, AT1G03410.2, AT1G03400.2, AT1G03400.1, AT1G06620.2, AT1G06620.1	Ds_00006436-RA, Ds_00006435-RA, Ds_00014529-RA, Ds_00003183-RA, Ds_00003181-RA
OG0000021	AT3G61040.1, AT3G61040.2, AT2G45560.2, AT2G45560.3, AT2G45560.1, AT2G45570.1, AT2G45550.1, AT1G33730.1, AT1G33730.2, AT1G33720.3, AT1G33720.5, AT1G33720.2, AT1G33720.4, AT1G33720.1	Ds_00016546-RA, Ds_00010246-RA, Ds_00013127-RA, Ds_00011994-RA
OG0000023	AT1G33540.1, AT1G33540.2	Ds_00012138-RA, Ds_00005184-RA, Ds_00006219-RA
OG0000023	AT2G22920.3, AT3G10450.4, AT3G10450.2, AT3G10450.3, AT3G10450.1, AT1G73290.1, AT1G73290.2, AT1G73280.2, AT1G73290.3, AT1G73310.2, AT1G73310.1, AT1G73300.1, AT1G73280.4, AT1G73280.3, AT5G36180.3, AT5G36180.2, AT1G73310.3, AT5G36180.4, AT5G36180.5, AT1G73280.1, AT5G36180.1, AT1G73300.2, AT1G73270.1, AT1G73270.2, AT2G23010.2, AT2G23010.1, AT2G22990.4, AT2G22990.2, AT2G22990.6, AT2G22990.5, AT2G22990.3, AT2G22990.1, AT2G23000.1, AT2G23000.2, AT2G22970.4, AT2G22970.3, AT2G22920.1, AT2G22920.4, AT2G22970.2, AT2G22970.1, AT2G22980.1, AT2G22980.3, AT2G22980.5, AT2G22980.4, AT2G22980.2, AT2G22920.2, AT5G09640.1	Ds_00016053-RA
OG0000024	AT1G17060.1	Ds_00010656-RA, Ds_00010658-RA, Ds_00010657-RA
OG0000025	AT4G34800.1	Ds_00008906-RA, Ds_00008905-RA, Ds_00011235-RA
OG0000026	AT5G23960.2, AT5G23960.1	Ds_00006582-RA
OG0000027	AT2G24520.4, AT5G57350.3	Ds_00000646-RA
OG0000028	AT1G47890.1, AT1G45616.1	Ds_00010076-RA, Ds_00010074-RA, Ds_00011383-RA, Ds_00011387-RA, Ds_00011371-RA, Ds_00011381-RA, Ds_00011382-RA, Ds_00011384-RA, Ds_00007266-RA, Ds_00017487-RA, Ds_00017857-RA, Ds_00017485-RA, Ds_00011376-RA, Ds_00017484-RA, Ds_00017856-RA, Ds_00017796-RA, Ds_00017486-RA, Ds_00017858-RA, Ds_00003798-RA, Ds_00011377-RA, Ds_00011385-RA, Ds_00017488-RA, Ds_00011386-RA, Ds_00011732-RA
OG0000029	AT1G21240.2, AT1G21240.1, AT1G21245.1, AT3G25490.1, AT1G21230.1, AT1G21250.1, AT1G21270.1, AT1G21210.1	Ds_00010871-RA, Ds_00010870-RA
OG0000030	AT2G17070.1, AT2G17080.1, AT4G35210.1, AT4G35200.1, AT2G17043.1	Ds_00015041-RA
OG0000031	AT4G36470.1	Ds_00001472-RA
OG0000031	AT1G19640.1	Ds_00000354-RA, Ds_00000355-RA
OG0000034	AT4G23320.2, AT4G23320.1, AT4G23320.3	Ds_00010206-RA, Ds_00010205-RA, Ds_00010204-RA, Ds_00010207-RA, Ds_00010200-RA, Ds_00015919-RA
OG0000034	AT4G23150.1, AT4G23140.2, AT4G23140.1, AT4G23160.1, AT4G23230.1, AT4G23180.3, AT4G23180.2, AT4G23180.1, AT4G05200.1, AT4G05200.2	Ds_00010208-RA, Ds_00015077-RA
OG0000034	AT4G23220.1	Ds_00015914-RA
OG0000037	AT3G25180.1, AT3G25180.2	Ds_00015216-RA
OG0000038	AT1G11610.1, AT1G11610.2, AT2G30750.1, AT2G30770.1, AT5G42590.1, AT3G48290.1, AT3G48290.2, AT3G48310.1, AT3G48320.1, AT3G48300.2, AT3G48300.1, AT3G48270.1, AT3G48280.1	Ds_00003814-RA, Ds_00013787-RA, Ds_00015024-RA
OG0000040	AT5G38240.2, AT5G38240.1, AT5G38240.3, AT5G38250.1, AT1G66920.1, AT1G66920.3, AT1G66920.2, AT5G38260.1	Ds_00008461-RA, Ds_00008462-RA
OG0000041	AT2G16720.1, AT4G34990.1, AT4G38620.1	Ds_00000048-RA, Ds_00013581-RA, Ds_00013013-RA
OG0000041	AT5G49330.1, AT3G62610.1, AT2G47460.1	Ds_00012521-RA, Ds_00002853-RA, Ds_00015029-RA
OG0000041	AT3G13540.1	Ds_00006077-RA
OG0000042	AT1G07440.2, AT2G29170.1	Ds_00012464-RA
OG0000042	AT2G29260.1	Ds_00015505-RA
OG0000042	AT1G07450.1, AT1G07440.1, AT2G30670.1, AT2G29330.1, AT2G29340.1, AT2G29340.2, AT2G29310.3, AT2G29310.4, AT2G29310.2, AT2G29310.1, AT2G29340.3, AT2G29340.4, AT2G29320.3, AT2G29300.2, AT2G29300.1, AT2G29320.2, AT2G29320.1	Ds_00007701-RA
OG0000043	AT5G10610.1, AT5G10600.1	Ds_00000548-RA, Ds_00002531-RA
OG0000044	AT3G50700.1, AT5G66730.1	Ds_00010910-RA, Ds_00011206-RA
OG0000044	AT2G02080.6, AT2G02080.2, AT2G02080.4, AT2G02080.5, AT2G02080.3, AT2G02080.1, AT1G14580.1, AT1G14580.4, AT1G14580.3, AT1G14580.2, AT2G02070.2, AT2G02070.1	Ds_00005439-RA
OG0000044	AT5G03150.1	Ds_00008781-RA
OG0000044	AT1G55110.1, AT1G55110.3, AT1G55110.2	Ds_00012803-RA
OG0000044	AT4G02670.1, AT4G02670.2	Ds_00008624-RA
OG0000045	AT1G67020.1	Ds_00009752-RA
OG0000046	AT4G34440.2, AT4G34440.1, AT1G49270.1, AT3G18810.1	Ds_00016515-RA, Ds_00004346-RA
OG0000046	AT3G24550.1, AT3G24540.1	Ds_00013053-RA
OG0000046	AT1G68690.3, AT1G68690.1, AT1G68690.2, AT1G68690.4, AT1G26150.2, AT1G26150.1	Ds_00008610-RA
OG0000046	AT5G38560.1	Ds_00008496-RA, Ds_00012090-RA
OG0000047	AT1G77950.1, AT1G77950.2, AT1G77950.4, AT1G77950.3, AT1G22130.1, AT1G77980.1	Ds_00001929-RA
OG0000047	AT2G34440.1, AT3G66656.1	Ds_00013036-RA, Ds_00005948-RA
OG0000047	AT5G62165.14	Ds_00012963-RA, Ds_00012019-RA, Ds_00012017-RA
OG0000048	AT4G33355.2, AT4G33355.1	Ds_00006839-RA, Ds_00015981-RA, Ds_00006837-RA, Ds_00006838-RA, Ds_00001864-RA
OG0000050	AT1G21280.1	Ds_00008162-RA, Ds_00014906-RA, Ds_00017061-RA, Ds_00010616-RA, Ds_00007525-RA, Ds_00014948-RA
OG0000055	AT5G13160.1	Ds_00010593-RA
OG0000055	AT5G18610.1, AT5G18610.2, AT5G18610.3	Ds_00014521-RA
OG0000055	AT3G07070.1	Ds_00001014-RA
OG0000055	AT3G20530.2, AT3G20530.1	Ds_00002955-RA
OG0000055	AT5G02800.1, AT1G07870.1, AT1G07870.2	Ds_00001660-RA
OG0000058	AT5G59190.1, AT5G59100.1, AT3G46850.1, AT3G46840.1, AT5G58840.1, AT5G58840.3, AT5G58840.2, AT5G58820.1, AT5G58830.1, AT5G59090.3, AT5G59090.2, AT5G59090.1, AT5G59120.1, AT5G59130.2, AT5G59130.1, AT5G59130.4, AT5G59130.3, AT4G15040.1, AT4G15040.2	Ds_00011609-RA, Ds_00005255-RA
OG0000058	AT5G59110.1	Ds_00002067-RA
OG0000058	AT5G03620.2, AT5G03620.1	Ds_00016966-RA, Ds_00002065-RA, Ds_00002073-RA
OG0000059	AT1G16130.1, AT1G16150.1, AT1G79670.2, AT1G79670.1, AT1G16120.1, AT1G16160.1, AT1G16110.1, AT1G69730.1, AT1G79680.1, AT1G17910.1, AT1G16260.1, AT1G16260.2, AT1G16260.3	Ds_00009643-RA, Ds_00013734-RA
OG0000059	AT1G16090.1	Ds_00013728-RA
OG0000060	ATMG00810.1	Ds_00017662-RA
OG0000065	AT3G09270.1	Ds_00009318-RA, Ds_00016604-RA
OG0000067	AT5G60210.4, AT5G60210.2, AT5G60210.6, AT5G60210.5, AT5G60210.3, AT5G60210.1	Ds_00004112-RA, Ds_00014586-RA, Ds_00005210-RA
OG0000070	AT5G09810.1	Ds_00003633-RA
