"gene_ID","AT_gene_id","annotation"
"Dm_00014879-RA","AT1G48310.1","| Symbols: CHA18, CHR18 | chromatin remodeling factor18 | chr1:17848620-17853731 REVERSE LENGTH=673"
"Dm_00013498-RA","AT5G52510.1","| Symbols: SCL8 | SCARECROW-like 8 | chr5:21307196-21309118 FORWARD LENGTH=640"
"Dm_00013360-RA","AT3G58490.1","| Symbols: SPP1, AtSPP1, LPPdelta | sphingoid phosphate phosphatase 1, lipid phosphate phosphatase delta | chr3:21633065-21635057 FORWARD LENGTH=416"
"Dm_00014860-RA","AT5G25770.1","| Symbols: no symbol available | no full name available | chr5:8969308-8971389 REVERSE LENGTH=360"
"Dm_00014711-RA","AT2G05940.1","| Symbols: RIPK, PBL14 | PBS1-LIKE 14, RPM1-induced protein kinase | chr2:2287514-2289270 REVERSE LENGTH=462"
"Dm_00014979-RA","AT1G47240.1","| Symbols: NRAMP2, ATNRAMP2 | NRAMP metal ion transporter 2 | chr1:17309043-17311308 REVERSE LENGTH=530"
"Dm_00014629-RA","AT4G27430.2","| Symbols: CIP7 | COP1-interacting protein 7 | chr4:13718817-13722736 FORWARD LENGTH=1058"
"Dm_00014754-RA","AT4G14760.4","| Symbols: NET1B | Networked 1B | chr4:8475718-8481094 FORWARD LENGTH=1710"
"Dm_00013837-RA","AT2G18360.1","| Symbols: no symbol available | no full name available | chr2:7976848-7979221 REVERSE LENGTH=313"
"Dm_00013596-RA","AT3G05210.1","| Symbols: UVR7, ERCC1 | UV REPAIR DEFICIENT 7 | chr3:1479591-1481823 FORWARD LENGTH=410"
"Dm_00014701-RA","AT2G41010.1","| Symbols: ATCAMBP25, CAMBP25 | calmodulin (CAM)-binding protein of 25 kDa | chr2:17114015-17114731 REVERSE LENGTH=238"
"Dm_00014840-RA","AT2G31810.3","| Symbols: AHASS1, AIP1 | acetolactate synthase small subunit 1, ALS-INTERACTING PROTEIN1 | chr2:13524271-13528246 FORWARD LENGTH=469"
"Dm_00014841-RA","AT5G17000.1","| Symbols: no symbol available | no full name available | chr5:5584983-5586991 REVERSE LENGTH=345"
"Dm_00006479-RA","AT3G57570.1","| Symbols: no symbol available | no full name available | chr3:21312598-21320105 FORWARD LENGTH=1092"
"Dm_00005971-RA","AT3G02430.1","| Symbols: DMP5 | DUF679 domain membrane protein 5 | chr3:499360-500019 FORWARD LENGTH=219"
"Dm_00006065-RA","AT1G26520.1","| Symbols: no symbol available | no full name available | chr1:9163448-9165594 REVERSE LENGTH=374"
"Dm_00006069-RA","AT2G03505.3","| Symbols: no symbol available | no full name available | chr2:1064317-1064834 FORWARD LENGTH=118"
"Dm_00006070-RA","AT1G13820.1","| Symbols: no symbol available | no full name available | chr1:4735622-4737617 FORWARD LENGTH=339"
"Dm_00006226-RA","AT2G30080.1","| Symbols: ATZIP6, ZIP6 |  | chr2:12838730-12840112 REVERSE LENGTH=341"
"Dm_00006224-RA","AT5G58560.1","| Symbols: FOLK | farnesol kinase | chr5:23670513-23672570 FORWARD LENGTH=307"
"Dm_00006219-RA","AT3G45640.1","| Symbols: ATMAPK3, ATMPK3, MPK3 | mitogen-activated protein kinase 3 | chr3:16756918-16758476 FORWARD LENGTH=370"
"Dm_00006394-RA","AT4G18820.1","| Symbols: no symbol available | no full name available | chr4:10330371-10334090 FORWARD LENGTH=1097"
"Dm_00006176-RA","AT1G11360.4","| Symbols: no symbol available | no full name available | chr1:3822171-3822899 REVERSE LENGTH=242"
"Dm_00006177-RA","AT5G54470.1","| Symbols: BBX29 | B-box domain protein 29 | chr5:22114584-22115315 REVERSE LENGTH=215"
"Dm_00006403-RA","AT4G12350.1","| Symbols: AtMYB42, MYB42 | myb domain protein 42 | chr4:7324912-7326636 FORWARD LENGTH=286"
"Dm_00005783-RA","AT1G64980.2","| Symbols: CDI | cadmium 2+ induced | chr1:24137840-24138679 REVERSE LENGTH=279"
"Dm_00005779-RA","AT1G15550.1","| Symbols: GA4, ATGA3OX1, GA3OX1 | ARABIDOPSIS THALIANA GIBBERELLIN 3 BETA-HYDROXYLASE 1, GA REQUIRING 4, gibberellin 3-oxidase 1 | chr1:5344569-5346078 REVERSE LENGTH=358"
"Dm_00005782-RA","AT1G04250.1","| Symbols: AtIAA17, IAA17, AXR3 | indole-3-acetic acid inducible 17, AUXIN RESISTANT 3 | chr1:1136382-1138340 FORWARD LENGTH=229"
"Dm_00005781-RA","AT1G80380.2","| Symbols: GLYK | glycerate kinase | chr1:30217332-30219784 FORWARD LENGTH=456"
"Dm_00005780-RA","AT1G80350.1","| Symbols: AAA1, FTR, KTN1, ERH3, ATKTN1, KATANIN, FRA2, LUE1, BOT1, FRC4, FRC2 | BOTERO 1, FRAGILE FIBER 2, KATANIN 1, ECTOPIC ROOT HAIR 3, FURCA4, FURCA2, FAT ROOT | chr1:30205499-30208050 REVERSE LENGTH=523"
"Dm_00006919-RA","AT4G13040.8","| Symbols: APD1 | Apetala 2 family protein involved in SA mediated disease defense 1 | chr4:7614267-7615310 FORWARD LENGTH=196"
"Dm_00006916-RA","AT3G25110.1","| Symbols: FaTA, AtFaTA, FATA1 | fatA acyl-ACP thioesterase 1, fatA acyl-ACP thioesterase | chr3:9146589-9148273 REVERSE LENGTH=362"
"Dm_00006371-RA","AT1G06520.1","| Symbols: sn-2-GPAT1, ATGPAT1, GPAT1 | GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 1 | chr1:1994170-1996067 REVERSE LENGTH=585"
"Dm_00005281-RA","AT3G04670.1","| Symbols: WRKY39, ATWRKY39 | WRKY DNA-BINDING PROTEIN 39, WRKY DNA-binding protein 39 | chr3:1266530-1267691 REVERSE LENGTH=330"
"Dm_00006567-RA","AT5G13930.1","| Symbols: ATCHS, CHS, TT4 | TRANSPARENT TESTA 4, CHALCONE SYNTHASE | chr5:4488762-4490035 FORWARD LENGTH=395"
"Dm_00005804-RA","AT1G07570.5","| Symbols: APK1A, APK1, PBL9 | PBS1-Like 9 | chr1:2331369-2333210 REVERSE LENGTH=410"
"Dm_00021116-RA","AT1G48910.1","| Symbols: YUC10 | YUCCA 10 | chr1:18091681-18093774 FORWARD LENGTH=383"
"Dm_00021114-RA","AT1G02180.1","| Symbols: no symbol available | no full name available | chr1:413619-414505 REVERSE LENGTH=226"
"Dm_00021132-RA","AT2G21100.2","| Symbols: no symbol available | no full name available | chr2:9048687-9049336 REVERSE LENGTH=187"
"Dm_00021115-RA","AT2G01170.1","| Symbols: AtGABP, GABP, BAT1 | GABA permease, bidirectional amino acid transporter 1 | chr2:102364-104462 REVERSE LENGTH=516"
"Dm_00021068-RA","AT1G63800.1","| Symbols: UBC5 | ubiquitin-conjugating enzyme 5 | chr1:23667888-23669003 REVERSE LENGTH=185"
"Dm_00010738-RA","AT5G10480.1","| Symbols: PEP, PAS2, PEPINO | PEPINO, PASTICCINO 2 | chr5:3298047-3300048 REVERSE LENGTH=221"
"Dm_00011942-RA","AT1G78060.1","| Symbols: no symbol available | no full name available | chr1:29349796-29352868 REVERSE LENGTH=767"
"Dm_00011833-RA","AT1G77690.1","| Symbols: LAX3 | like AUX1 3 | chr1:29201232-29203317 REVERSE LENGTH=470"
"Dm_00011452-RA","AT5G06390.1","| Symbols: FLA17 | FASCICLIN-like arabinogalactan protein 17 precursor | chr5:1952939-1955047 FORWARD LENGTH=458"
"Dm_00011726-RA","AT1G09380.1","| Symbols: UMAMIT25 | Usually multiple acids move in and out Transporters 25 | chr1:3026351-3029322 REVERSE LENGTH=374"
"Dm_00012445-RA","AT1G10870.1","| Symbols: AGD4, VAL3 | VAN3-like protein3, ARF-GAP domain 4 | chr1:3616905-3623612 REVERSE LENGTH=775"
"Dm_00010932-RA","AT2G47240.3","| Symbols: LACS1, CER8 | LONG-CHAIN ACYL-COA SYNTHASE 1, ECERIFERUM 8 | chr2:19393835-19397616 FORWARD LENGTH=660"
"Dm_00010933-RA","AT3G14470.2","| Symbols: no symbol available | no full name available | chr3:4857940-4861104 FORWARD LENGTH=1054"
"Dm_00012284-RA","AT3G04020.2","| Symbols: no symbol available | no full name available | chr3:1040996-1042377 FORWARD LENGTH=239"
"Dm_00009732-RA","AT2G37670.2","| Symbols: no symbol available | no full name available | chr2:15797384-15800539 REVERSE LENGTH=904"
"Dm_00009731-RA","AT3G09470.2","| Symbols: AtUNC93 | At Uncoordinated protein 93 | chr3:2911668-2914410 REVERSE LENGTH=437"
"Dm_00011580-RA","AT3G01980.4","| Symbols: no symbol available | no full name available | chr3:327747-328833 REVERSE LENGTH=266"
"Dm_00012194-RA","AT4G00210.1","| Symbols: LBD31 | LOB domain-containing protein 31 | chr4:85693-86888 REVERSE LENGTH=220"
"Dm_00010121-RA","AT3G60720.2","| Symbols: PDLP8 | plasmodesmata-located protein 8 | chr3:22442035-22442778 FORWARD LENGTH=247"
"Dm_00015325-RA","AT3G26420.1","| Symbols: RZ-1A, ATRZ-1A, RBGB2 | RNA-binding glycine-rich protein B2, RZ-1A | chr3:9671953-9673055 FORWARD LENGTH=245"
"Dm_00015083-RA","AT1G48320.1","| Symbols: DHNAT1 | DHNA-CoA thioesterase 1 | chr1:17855024-17855577 REVERSE LENGTH=156"
"Dm_00015680-RA","AT2G41190.1","| Symbols: no symbol available | no full name available | chr2:17167561-17170145 REVERSE LENGTH=536"
"Dm_00015681-RA","AT4G11220.1","| Symbols: BTI2, RTNLB2, RTN2 | reticulon 2, VIRB2-interacting protein 2, Reticulan like protein B2 | chr4:6838176-6839578 REVERSE LENGTH=271"
"Dm_00013162-RA","AT4G23060.1","| Symbols: IQD22 | IQ-domain 22 | chr4:12087283-12090408 FORWARD LENGTH=484"
"Dm_00014995-RA","AT5G62680.1","| Symbols: GTR2, AtNPF2.11, NPF2.11 | GLUCOSINOLATE TRANSPORTER-2, NRT1/ PTR family 2.11 | chr5:25165430-25167822 REVERSE LENGTH=616"
"Dm_00014996-RA","AT3G47950.2","| Symbols: AHA4, HA4 | H(+)-ATPase 4 | chr3:17693015-17697801 FORWARD LENGTH=960"
"Dm_00014939-RA","AT5G60970.1","| Symbols: TCP5 | ""TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 5"" | chr5:24535570-24536652 REVERSE LENGTH=360"
"Dm_00015475-RA","AT2G44740.1","| Symbols: CYCP4;1 | cyclin p4;1 | chr2:18442287-18443304 REVERSE LENGTH=202"
"Dm_00014758-RA","AT1G35140.1","| Symbols: HUP46, PHI-1, EXL1 | EXORDIUM like 1, PHOSPHATE-INDUCED 1, HYPOXIA  RESPONSE UNKNOWN PROTEIN 46 | chr1:12852089-12853018 FORWARD LENGTH=309"
"Dm_00015498-RA","AT2G44730.1","| Symbols: no symbol available | no full name available | chr2:18437447-18438565 REVERSE LENGTH=372"
"Dm_00015695-RA","AT3G10420.2","| Symbols: SPD1 | SEEDLING PLASTID DEVELOPMENT 1 | chr3:3239307-3242274 FORWARD LENGTH=684"
"Dm_00014668-RA","AT3G14470.2","| Symbols: no symbol available | no full name available | chr3:4857940-4861104 FORWARD LENGTH=1054"
"Dm_00015464-RA","AT3G62720.2","| Symbols: XXT1, AtXXT1, ATXT1, XT1 | xylosyltransferase 1, XYG XYLOSYLTRANSFERASE 1 | chr3:23201326-23202708 FORWARD LENGTH=460"
"Dm_00015542-RA","AT3G16730.1","| Symbols: CAP-H2, HEB2 | hypersensitive to excess boron 2 | chr3:5695633-5698863 REVERSE LENGTH=683"
"Dm_00015239-RA","AT3G22440.1","| Symbols: no symbol available | no full name available | chr3:7959854-7961886 FORWARD LENGTH=532"
"Dm_00015457-RA","AT5G12250.1","| Symbols: TUB6 | beta-6 tubulin | chr5:3961317-3962971 REVERSE LENGTH=449"
"Dm_00012769-RA","AT1G35910.1","| Symbols: AtTPPD, TPPD | trehalose-6-phosphate phosphatase D | chr1:13363200-13364965 REVERSE LENGTH=369"
"Dm_00005595-RA","AT3G58710.1","| Symbols: WRKY69, ATWRKY69 | WRKY DNA-binding protein 69, RABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 69 | chr3:21715192-21716766 FORWARD LENGTH=272"
"Dm_00005594-RA","AT3G58710.1","| Symbols: WRKY69, ATWRKY69 | WRKY DNA-binding protein 69, RABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 69 | chr3:21715192-21716766 FORWARD LENGTH=272"
"Dm_00005956-RA","AT3G11760.1","| Symbols: no symbol available | no full name available | chr3:3718529-3721123 FORWARD LENGTH=702"
"Dm_00005376-RA","AT5G55970.2","| Symbols: DDR1 | Drought-Responsive RING Protein 1 | chr5:22668019-22669312 FORWARD LENGTH=343"
"Dm_00005189-RA","AT4G15420.2","| Symbols: no symbol available | no full name available | chr4:8823453-8825949 FORWARD LENGTH=684"
"Dm_00004844-RA","AT5G40830.2","| Symbols: ICA | INCREASED CAMBIAL ACTIVITY | chr5:16354611-16355855 REVERSE LENGTH=414"
"Dm_00005301-RA","AT4G19460.1","| Symbols: no symbol available | no full name available | chr4:10610422-10611972 REVERSE LENGTH=516"
"Dm_00005305-RA","AT1G55535.1","| Symbols: no symbol available | no full name available | chr1:20732081-20733802 REVERSE LENGTH=260"
"Dm_00005096-RA","AT3G21070.2","| Symbols: NADK1, ATNADK-1 | NAD KINASE 1, NAD kinase 1 | chr3:7380434-7383874 REVERSE LENGTH=524"
"Dm_00005465-RA","AT5G55230.3","| Symbols: MAP65-1, ATMAP65-1 | microtubule-associated proteins 65-1 | chr5:22402716-22405182 FORWARD LENGTH=587"
"Dm_00004997-RA","AT1G05500.1","| Symbols: SYTE, NTMC2T2.1, ATSYTE, NTMC2TYPE2.1, SYT5 | SYNAPTOTAGMIN HOMOLOG E, synaptotagmin 5, ARABIDOPSIS THALIANA SYNAPTOTAGMIN HOMOLOG E | chr1:1625098-1628940 FORWARD LENGTH=560"
"Dm_00005483-RA","AT4G00300.1","| Symbols: no symbol available | no full name available | chr4:128690-130126 FORWARD LENGTH=478"
"Dm_00005338-RA","AT5G47390.1","| Symbols: KUA1, MYBH | MYB hypocotyl elongation-related, KUODA1 (Chinese for enlarge or expand) | chr5:19227001-19228546 FORWARD LENGTH=365"
"Dm_00004661-RA","AT4G22130.1","| Symbols: SRF8 | STRUBBELIG-receptor family 8 | chr4:11723733-11727331 FORWARD LENGTH=703"
"Dm_00005287-RA","AT4G02900.2","| Symbols: OSCA1.7 |  | chr4:1284817-1287612 FORWARD LENGTH=607"
"Dm_00005286-RA","AT2G42610.2","| Symbols: LSH10 | LIGHT SENSITIVE HYPOCOTYLS 10 | chr2:17748005-17748538 FORWARD LENGTH=177"
"Dm_00005289-RA","AT4G02900.4","| Symbols: OSCA1.7 |  | chr4:1284066-1287612 FORWARD LENGTH=768"
"Dm_00004620-RA","AT1G13560.2","| Symbols: ATAAPT1, AAPT1 | aminoalcoholphosphotransferase 1 | chr1:4638834-4641563 REVERSE LENGTH=346"
"Dm_00004628-RA","AT1G13580.3","| Symbols: LOH3, LAG13 | LAG1 longevity assurance homolog 3, LAG One Homologue 3 | chr1:4645006-4646765 REVERSE LENGTH=308"
"Dm_00006036-RA","AT5G54860.1","| Symbols: no symbol available | no full name available | chr5:22284721-22287025 FORWARD LENGTH=491"
"Dm_00006043-RA","AT5G54890.1","| Symbols: mCSF2 | mitochondrial CAF-like splicing factor 2 | chr5:22293346-22294909 FORWARD LENGTH=358"
"Dm_00005227-RA","AT3G03190.1","| Symbols: GSTF11, ATGSTF6, ATGSTF11 | ARABIDOPSIS GLUTATHIONE-S-TRANSFERASE 6, glutathione S-transferase F11 | chr3:735071-735877 FORWARD LENGTH=214"
"Dm_00005233-RA","AT1G65900.1","| Symbols: no symbol available | no full name available | chr1:24516023-24518325 REVERSE LENGTH=408"
"Dm_00005239-RA","AT4G33280.2","| Symbols: no symbol available | no full name available | chr4:16048193-16049310 REVERSE LENGTH=285"
"Dm_00004645-RA","AT2G28260.1","| Symbols: ATCNGC15, CNGC15 | cyclic nucleotide-gated channel 15 | chr2:12049989-12052453 FORWARD LENGTH=678"
"Dm_00004635-RA","AT2G17220.2","| Symbols: PBL32, Kin3 | kinase 3, PBS1-Like 32 | chr2:7487866-7489768 REVERSE LENGTH=413"
"Dm_00004639-RA","AT2G17220.1","| Symbols: PBL32, Kin3 | kinase 3, PBS1-Like 32 | chr2:7487866-7489768 REVERSE LENGTH=414"
"Dm_00004637-RA","AT2G17220.1","| Symbols: PBL32, Kin3 | kinase 3, PBS1-Like 32 | chr2:7487866-7489768 REVERSE LENGTH=414"
"Dm_00004640-RA","AT2G38660.3","| Symbols: no symbol available | no full name available | chr2:16166392-16168194 FORWARD LENGTH=352"
"Dm_00004642-RA","AT3G45600.1","| Symbols: TET3 | tetraspanin3 | chr3:16733973-16735854 REVERSE LENGTH=285"
"Dm_00005372-RA","AT1G69530.2","| Symbols: AT-EXP1, ATHEXP ALPHA 1.2, EXP1, ATEXPA1, EXPA1, ATEXP1 | EXPANSIN 1, expansin A1 | chr1:26142034-26143051 FORWARD LENGTH=250"
"Dm_00004385-RA","AT3G57400.1","| Symbols: no symbol available | no full name available | chr3:21238547-21239971 FORWARD LENGTH=474"
"Dm_00005444-RA","AT3G15470.1","| Symbols: no symbol available | no full name available | chr3:5216630-5219868 REVERSE LENGTH=883"
"Dm_00005449-RA","AT5G53760.2","| Symbols: MLO11, ATMLO11 | MILDEW RESISTANCE LOCUS O 11 | chr5:21823055-21826289 FORWARD LENGTH=573"
"Dm_00004833-RA","AT1G69310.4","| Symbols: ATWRKY57, WRKY57 | WRKY DNA-binding protein 57 | chr1:26056118-26057909 REVERSE LENGTH=287"
"Dm_00004834-RA","AT1G69310.3","| Symbols: ATWRKY57, WRKY57 | WRKY DNA-binding protein 57 | chr1:26056118-26057909 REVERSE LENGTH=283"
"Dm_00003961-RA","AT1G12480.1","| Symbols: SLAC1, CDI3, RCD3, OZS1 | CARBON DIOXIDE INSENSITIVE 3, SLOW ANION CHANNEL-ASSOCIATED 1, RADICAL-INDUCED CELL DEATH 3, OZONE-SENSITIVE 1 | chr1:4257427-4259249 REVERSE LENGTH=556"
"Dm_00009413-RA","AT1G79020.1","| Symbols: no symbol available | no full name available | chr1:29727282-29730059 REVERSE LENGTH=453"
"Dm_00010290-RA","AT5G09380.2","| Symbols: no symbol available | no full name available | chr5:2911313-2913136 REVERSE LENGTH=272"
"Dm_00010173-RA","AT3G55140.1","| Symbols: no symbol available | no full name available | chr3:20438819-20440225 FORWARD LENGTH=331"
"Dm_00009948-RA","AT3G07790.1","| Symbols: no symbol available | no full name available | chr3:2487491-2489017 FORWARD LENGTH=508"
"Dm_00010097-RA","AT1G21320.5","| Symbols: NSRb |  | chr1:7462834-7463938 REVERSE LENGTH=210"
"Dm_00009774-RA","AT3G62200.1","| Symbols: no symbol available | no full name available | chr3:23023437-23025671 REVERSE LENGTH=673"
"Dm_00009494-RA","AT3G18630.1","| Symbols: ATUNG, UNG | uracil dna glycosylase | chr3:6411325-6413002 REVERSE LENGTH=330"
