target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	815.723	166	11.4267
Dm_00008772-RA	1272	1070.72	169.505	8.88914
Dm_00008770-RA	1722	1520.72	273	10.0801
Dm_00008771-RA	636	435.306	59	7.61046
Dm_00008682-RA	906	704.799	790	62.9383
Dm_00008591-RA	1308	1106.72	51	2.58753
Dm_00008592-RA	2436	2234.72	577	14.4979
Dm_00008593-RA	759	558.154	8197	824.621
Dm_00008594-RA	969	767.723	1322	96.6898
Dm_00010209-RA	468	268.499	0	0
Dm_00010051-RA	693	492.258	8	0.912538
Dm_00009727-RA	234	56.8224	0	0
Dm_00009728-RA	1161	959.723	1	0.058507
Dm_00009413-RA	1368	1166.72	247	11.8873
Dm_00009412-RA	2105	1903.72	126	3.71638
Dm_00009411-RA	2682	2480.72	76	1.72024
Dm_00009410-RA	432	233.021	1	0.240967
Dm_00009021-RA	1668	1466.72	969	37.0962
Dm_00009020-RA	414	215.381	7	1.82492
Dm_00009748-RA	1554	1352.72	515	21.3773
Dm_00009749-RA	1092	890.723	710	44.7579
Dm_00009750-RA	941	739.799	139	10.55
Dm_00010290-RA	1116	914.723	97	5.95437
Dm_00010291-RA	969	767.723	879	64.2892
Dm_00007855-RA	945	743.799	460	34.7261
Dm_00007856-RA	786	584.985	335	32.1554
Dm_00007858-RA	2466	2264.72	1529	37.9093
Dm_00007859-RA	2304	2102.72	477	12.7377
Dm_00007857-RA	873	671.799	754	63.021
Dm_00009353-RA	471	271.499	41	8.47947
Dm_00009317-RA	312	120.037	108	50.5197
Dm_00010173-RA	1548	1346.72	168	7.00462
Dm_00010171-RA	228	52.5815	10	10.6787
Dm_00010172-RA	258	74.862	5	3.75027
Dm_00009367-RA	1566	1364.72	756	31.105
Dm_00009368-RA	171	16.2256	71	245.703
Dm_00009369-RA	984	782.723	270	19.3691
Dm_00009983-RA	1065	863.723	33	2.14532
Dm_00009982-RA	975	773.723	34	2.46744
Dm_00009984-RA	537	336.638	0	0
Dm_00009718-RA	1158	956.723	2633	154.532
Dm_00009717-RA	753	552.154	123	12.5083
Dm_00009950-RA	1842	1640.72	34	1.16358
Dm_00009953-RA	1437	1235.72	839	38.1236
Dm_00009948-RA	1638	1436.72	379	14.8122
Dm_00009949-RA	879	677.799	421	34.8766
Dm_00009951-RA	729	528.154	0	0
Dm_00009952-RA	444	244.806	0	0
Dm_00009009-RA	738	537.154	0	0
Dm_00009010-RA	303	112.139	5.01741	2.51232
Dm_00009007-RA	891	689.799	0	0
Dm_00009008-RA	1164	962.723	38	2.21634
Dm_00009011-RA	3048	2846.72	19.0082	0.37493
Dm_00009012-RA	684	483.306	0	0
Dm_00010080-RA	1113	911.723	39	2.4019
Dm_00010081-RA	354	158.486	498	176.438
Dm_00010084-RA	1518	1316.72	498	21.2368
Dm_00010083-RA	1140	938.723	203	12.1426
Dm_00010082-RA	375	178.25	151	47.5665
Dm_00010098-RA	1200	998.723	0	0
Dm_00010096-RA	390	192.464	0	0
Dm_00010097-RA	666	465.306	90	10.8607
Dm_00008796-RA	414	215.381	0	0
Dm_00010370-RA	1886	1684.72	571	19.031
Dm_00010369-RA	192	28.5695	0	0
Dm_00009774-RA	1998	1796.72	298	9.31298
Dm_00009775-RA	354	158.486	113	40.035
Dm_00010288-RA	1401	1199.72	952	44.5563
Dm_00009493-RA	963	761.799	330	24.3235
Dm_00009494-RA	984	782.723	78	5.59552
Dm_00009495-RA	714	513.258	0	0
Dm_00006316-RA	993	791.723	2	0.141844
Dm_00008938-RA	897	695.799	569	45.9179
Dm_00008942-RA	1680	1478.72	366	13.8979
Dm_00008940-RA	834	632.863	94	8.34011
Dm_00008939-RA	651	450.306	118	14.7139
Dm_00008941-RA	531	330.671	111	18.8486
Dm_00010031-RA	3168	2966.72	414	7.83568
Dm_00009533-RA	1185	983.723	2	0.114159
Dm_00009536-RA	1041	839.723	24	1.60483
Dm_00009535-RA	792	590.985	1473	139.952
Dm_00009534-RA	1146	944.723	577	34.2945
Dm_00009696-RA	606	405.306	0	0
Dm_00009720-RA	456	256.606	0	0
Dm_00009719-RA	795	593.926	0	0
Dm_00009254-RA	1287	1085.72	42	2.17212
Dm_00009255-RA	4353	4151.72	40	0.540985
Dm_00009256-RA	834	632.863	749	66.4547
Dm_00009072-RA	282	94.214	0	0
Dm_00009813-RA	6525	6323.72	355	3.15217
Dm_00009814-RA	2781	2579.72	63	1.37126
Dm_00009915-RA	564	363.532	0	0
Dm_00009914-RA	258	74.862	0	0
Dm_00009695-RA	2650	2448.72	743	17.0374
Dm_00009694-RA	624	423.306	185	24.5398
Dm_00009693-RA	861	659.799	188	15.9992
Dm_00008273-RA	1188	986.723	1	0.056906
Dm_00008274-RA	912	710.799	206	16.2732
Dm_00008656-RA	612	411.306	0	0
Dm_00009771-RA	1848	1646.72	1219	41.5659
Dm_00010784-RA	594	393.346	0	0
Dm_00010112-RA	711	510.258	3559	391.644
Dm_00010111-RA	402	203.846	530	145.992
Dm_00009955-RA	255	72.5697	19	14.7012
Dm_00009954-RA	1899	1697.72	244	8.07006
Dm_00010107-RA	1728	1526.72	621	22.8394
Dm_00010108-RA	582	381.346	2	0.294486
Dm_00010391-RA	2043	1841.72	2899	88.3848
Dm_00010390-RA	711	510.258	0	0
Dm_00008774-RA	1182	980.723	267	15.2869
Dm_00008773-RA	2106	1904.72	446	13.1479
Dm_00009260-RA	264	79.7394	4062	2860.36
Dm_00009262-RA	1596	1394.72	1359	54.7123
Dm_00009259-RA	873	671.799	122.612	10.2482
Dm_00009261-RA	858	656.799	452	38.642
Dm_00010532-RA	2697	2495.72	91	2.04738
Dm_00008895-RA	687	486.258	777.525	89.7845
Dm_00010337-RA	1866	1664.72	1348	45.4675
Dm_00010336-RA	1530	1328.72	617	26.0738
Dm_00010339-RA	1194	992.723	21	1.1878
Dm_00010335-RA	630	429.306	1259	164.669
Dm_00010338-RA	594	393.346	377	53.8171
Dm_00008749-RA	558	357.532	237	37.2209
Dm_00008748-RA	213	42.2322	7	9.30695
Dm_00008876-RA	1122	920.723	85	5.18374
Dm_00008877-RA	1599	1397.72	0	0
Dm_00008875-RA	630	429.306	0	0
Dm_00009056-RA	951	749.799	0	0
Dm_00010140-RA	3342	3140.72	18	0.321808
Dm_00009531-RA	459	259.606	0	0
Dm_00009530-RA	525	324.671	0	0
Dm_00009739-RA	1890	1688.72	164	5.45304
Dm_00009740-RA	1218	1016.72	61	3.36884
Dm_00009741-RA	2091	1889.72	235	6.9827
Dm_00010362-RA	240	61.2395	385	353.006
Dm_00010363-RA	1167	965.723	0	0
Dm_00010361-RA	534	333.638	0	0
Dm_00009129-RA	2028	1826.72	695	21.3632
Dm_00009128-RA	915	713.799	20	1.57328
Dm_00009306-RA	1404	1202.72	1	0.0466861
Dm_00009305-RA	1164	962.723	425	24.788
