Orthogroup	D_muscipula.proteins	B_vulgaris.proteins
OG0000008	Dm_00017626-RA, Dm_00017535-RA, Dm_00017356-RA, Dm_00015034-RA, Dm_00018541-RA, Dm_00016863-RA	Bevul.4G169600.1.p, Bevul.4G164800.1.p, Bevul.8G132800.1.p, Bevul.4G167500.1.p, Bevul.4G167700.1.p, Bevul.4G161700.1.p, Bevul.4G162100.1.p, Bevul.4G175000.1.p, Bevul.4G171100.1.p, Bevul.4G158600.1.p, Bevul.4G162000.1.p, Bevul.4G158700.1.p, Bevul.4G163200.1.p, Bevul.4G160400.1.p, Bevul.4G163300.1.p, Bevul.4G163900.1.p, Bevul.4G171200.1.p, Bevul.4G171300.1.p, Bevul.4G171400.1.p, Bevul.4G199500.1.p, Bevul.4G199400.1.p, Bevul.4G199300.1.p, Bevul.4G192000.1.p, Bevul.4G188200.1.p, Bevul.4G192200.1.p, Bevul.4G177300.1.p, Bevul.4G188000.1.p, Bevul.4G191800.1.p, Bevul.4G191900.1.p, Bevul.4G187800.1.p, Bevul.4G188300.1.p, Bevul.4G192300.1.p, Bevul.4G192100.1.p, Bevul.4G184600.1.p, Bevul.4G192400.1.p, Bevul.4G194600.1.p
OG0000009	Dm_00014133-RA, Dm_00007027-RA, Dm_00020798-RA, Dm_00018592-RA, Dm_00020457-RA, Dm_00014650-RA, Dm_00013176-RA, Dm_00007594-RA, Dm_00010221-RA, Dm_00010409-RA, Dm_00021012-RA, Dm_00019564-RA, Dm_00019202-RA, Dm_00010575-RA, Dm_00015990-RA, Dm_00015152-RA, Dm_00020116-RA, Dm_00020710-RA, Dm_00013536-RA, Dm_00019409-RA, Dm_00020484-RA, Dm_00019842-RA, Dm_00019596-RA, Dm_00006839-RA, Dm_00012890-RA, Dm_00019684-RA, Dm_00017717-RA, Dm_00009449-RA, Dm_00020351-RA, Dm_00011337-RA, Dm_00018193-RA, Dm_00019843-RA, Dm_00015441-RA, Dm_00015618-RA, Dm_00015427-RA, Dm_00019837-RA, Dm_00020740-RA, Dm_00018795-RA, Dm_00019516-RA, Dm_00007935-RA, Dm_00019094-RA	Bevul.8G212100.1.p, Bevul.1G086700.1.p, Bevul.1G091900.1.p, Bevul.7G138300.1.p, Bevul.8G195200.1.p
OG0000011	Dm_00003465-RA	Bevul.9G145000.1.p
OG0000011	Dm_00013516-RA	Bevul.7G111500.1.p, Bevul.7G111300.1.p
OG0000013	Dm_00007052-RA, Dm_00019541-RA, Dm_00014843-RA, Dm_00017297-RA, Dm_00013640-RA, Dm_00018233-RA, Dm_00014215-RA, Dm_00019239-RA, Dm_00015435-RA, Dm_00003648-RA, Dm_00020849-RA, Dm_00015901-RA, Dm_00007032-RA, Dm_00006134-RA, Dm_00020752-RA, Dm_00017023-RA, Dm_00009914-RA, Dm_00002139-RA, Dm_00003317-RA, Dm_00011512-RA, Dm_00019593-RA, Dm_00012914-RA, Dm_00020238-RA, Dm_00013662-RA, Dm_00020287-RA, Dm_00014988-RA, Dm_00013988-RA, Dm_00021054-RA, Dm_00020941-RA, Dm_00015437-RA, Dm_00017135-RA, Dm_00010616-RA, Dm_00020728-RA, Dm_00017113-RA, Dm_00015655-RA, Dm_00018928-RA, Dm_00016617-RA, Dm_00020296-RA, Dm_00018994-RA, Dm_00010329-RA, Dm_00018117-RA, Dm_00019252-RA, Dm_00017296-RA, Dm_00012932-RA, Dm_00020356-RA, Dm_00020354-RA, Dm_00015654-RA, Dm_00020253-RA, Dm_00018841-RA, Dm_00020288-RA, Dm_00013507-RA, Dm_00020756-RA, Dm_00013365-RA, Dm_00019786-RA, Dm_00016967-RA, Dm_00019400-RA, Dm_00020674-RA, Dm_00014740-RA, Dm_00016811-RA, Dm_00019308-RA, Dm_00016977-RA, Dm_00017350-RA, Dm_00012265-RA, Dm_00020850-RA, Dm_00016783-RA, Dm_00008066-RA, Dm_00019423-RA, Dm_00010939-RA, Dm_00015902-RA, Dm_00013405-RA, Dm_00015863-RA, Dm_00014527-RA, Dm_00015434-RA, Dm_00017047-RA, Dm_00020535-RA, Dm_00016980-RA, Dm_00012685-RA, Dm_00020613-RA, Dm_00014116-RA, Dm_00018457-RA, Dm_00016860-RA, Dm_00010679-RA, Dm_00004615-RA, Dm_00014150-RA, Dm_00010087-RA, Dm_00020527-RA, Dm_00017268-RA, Dm_00020876-RA, Dm_00019240-RA, Dm_00015954-RA, Dm_00020856-RA, Dm_00009282-RA, Dm_00009697-RA, Dm_00020826-RA, Dm_00013954-RA, Dm_00018831-RA, Dm_00017203-RA, Dm_00011423-RA, Dm_00018977-RA, Dm_00016486-RA, Dm_00021047-RA, Dm_00014647-RA, Dm_00017855-RA, Dm_00020643-RA, Dm_00012105-RA, Dm_00018054-RA, Dm_00017024-RA, Dm_00019484-RA, Dm_00012836-RA, Dm_00017804-RA, Dm_00007481-RA, Dm_00013691-RA, Dm_00017803-RA, Dm_00016949-RA, Dm_00020523-RA, Dm_00018260-RA, Dm_00005929-RA, Dm_00019905-RA, Dm_00014415-RA, Dm_00011604-RA, Dm_00014736-RA, Dm_00019377-RA, Dm_00015426-RA, Dm_00020534-RA, Dm_00018207-RA, Dm_00017980-RA, Dm_00011266-RA, Dm_00019923-RA, Dm_00017182-RA, Dm_00015876-RA, Dm_00015653-RA, Dm_00018572-RA, Dm_00017981-RA, Dm_00018891-RA, Dm_00015909-RA, Dm_00015202-RA, Dm_00017427-RA, Dm_00020417-RA, Dm_00015927-RA, Dm_00020153-RA, Dm_00017114-RA, Dm_00007033-RA, Dm_00016008-RA, Dm_00014956-RA, Dm_00009270-RA, Dm_00018306-RA, Dm_00017376-RA, Dm_00010778-RA, Dm_00013871-RA, Dm_00012673-RA, Dm_00020940-RA, Dm_00021006-RA, Dm_00013953-RA, Dm_00013496-RA, Dm_00015172-RA, Dm_00020495-RA, Dm_00019806-RA, Dm_00015438-RA, Dm_00010671-RA, Dm_00020257-RA, Dm_00018571-RA, Dm_00015473-RA, Dm_00020532-RA, Dm_00016750-RA, Dm_00017490-RA, Dm_00021009-RA, Dm_00014510-RA, Dm_00009915-RA, Dm_00018462-RA, Dm_00020235-RA, Dm_00018799-RA, Dm_00020727-RA, Dm_00013048-RA, Dm_00019255-RA, Dm_00016574-RA, Dm_00006135-RA, Dm_00018617-RA, Dm_00017459-RA, Dm_00018999-RA, Dm_00020533-RA, Dm_00016151-RA, Dm_00006611-RA, Dm_00016968-RA, Dm_00014957-RA, Dm_00012915-RA, Dm_00007342-RA, Dm_00015106-RA, Dm_00009424-RA, Dm_00020827-RA, Dm_00020289-RA, Dm_00018235-RA, Dm_00015821-RA, Dm_00019066-RA, Dm_00013719-RA, Dm_00020214-RA, Dm_00016950-RA, Dm_00014528-RA, Dm_00019424-RA, Dm_00020653-RA, Dm_00020963-RA, Dm_00018901-RA, Dm_00020675-RA, Dm_00021063-RA	Bevul.9G069400.1.p, Bevul.2G085500.1.p
OG0000015	Dm_00009736-RA	Bevul.8G062600.1.p
OG0000015	Dm_00001315-RA	Bevul.9G113800.1.p, Bevul.9G113800.4.p, Bevul.9G113800.3.p, Bevul.9G113800.5.p, Bevul.9G113800.2.p
OG0000018	Dm_00020011-RA	Bevul.6G029800.1.p
OG0000018	Dm_00012812-RA	Bevul.5G246300.1.p
OG0000020	Dm_00011749-RA, Dm_00019082-RA, Dm_00017569-RA, Dm_00020366-RA, Dm_00010309-RA, Dm_00013471-RA, Dm_00017109-RA, Dm_00017423-RA, Dm_00010590-RA, Dm_00016323-RA	Bevul.5G114900.1.p
