target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	826.129	64	7.72339
Dm_00008772-RA	1272	1081.13	107	9.86693
Dm_00008770-RA	1722	1531.13	183	11.9156
Dm_00008771-RA	636	445.454	60	13.4284
Dm_00008682-RA	906	715.129	111	15.4744
Dm_00008591-RA	1308	1117.13	15	1.33864
Dm_00008592-RA	2436	2245.13	621	27.5757
Dm_00008593-RA	759	568.253	1403	246.145
Dm_00008594-RA	969	778.129	901	115.438
Dm_00010209-RA	468	277.87	0	0
Dm_00010051-RA	693	502.359	9	1.78609
Dm_00009727-RA	234	59.3917	0	0
Dm_00009728-RA	1161	970.129	0	0
Dm_00009413-RA	1368	1177.13	427	36.1643
Dm_00009412-RA	2105	1914.13	383	19.9482
Dm_00009411-RA	2682	2491.13	200	8.00405
Dm_00009410-RA	432	242.21	13	5.3509
Dm_00009021-RA	1668	1477.13	2610	176.156
Dm_00009020-RA	414	224.419	14	6.21935
Dm_00009748-RA	1554	1363.13	553	40.4449
Dm_00009749-RA	1092	901.129	376	41.5984
Dm_00009750-RA	941	750.129	315	41.8649
Dm_00010290-RA	1116	925.129	139	14.9792
Dm_00010291-RA	969	778.129	25	3.20305
Dm_00007855-RA	945	754.129	534	70.5946
Dm_00007856-RA	786	595.253	137	22.9454
Dm_00007858-RA	2466	2275.13	805	35.2749
Dm_00007859-RA	2304	2113.13	298	14.0594
Dm_00007857-RA	873	682.129	289	42.2384
Dm_00009353-RA	471	280.787	46	16.3327
Dm_00009317-RA	312	125.742	340	269.572
Dm_00010173-RA	1548	1357.13	332	24.3889
Dm_00010171-RA	228	54.9018	56	101.69
Dm_00010172-RA	258	78.6297	1	1.26791
Dm_00009367-RA	1566	1375.13	742	53.7943
Dm_00009368-RA	171	16.5805	107	643.372
Dm_00009369-RA	984	793.129	205	25.7683
Dm_00009983-RA	1065	874.129	8	0.912411
Dm_00009982-RA	975	784.129	6	0.762851
Dm_00009984-RA	537	346.688	0	0
Dm_00009718-RA	1158	967.129	2926	301.624
Dm_00009717-RA	753	562.253	188	33.3351
Dm_00009950-RA	1842	1651.13	1	0.0603802
Dm_00009953-RA	1437	1246.13	175	14.0007
Dm_00009948-RA	1638	1447.13	569	39.1995
Dm_00009949-RA	879	688.129	92	13.3289
Dm_00009951-RA	729	538.253	1	0.185221
Dm_00009952-RA	444	254.084	0	0
Dm_00009009-RA	738	547.253	1	0.182175
Dm_00009010-RA	303	117.453	2.03154	1.72441
Dm_00009007-RA	891	700.129	0	0
Dm_00009008-RA	1164	973.129	74.9449	7.67799
Dm_00009011-RA	3048	2857.13	6.0046	0.209522
Dm_00009012-RA	684	493.359	0	0
Dm_00010080-RA	1113	922.129	9	0.973031
Dm_00010081-RA	354	165.736	143	86.019
Dm_00010084-RA	1518	1327.13	370	27.7949
Dm_00010083-RA	1140	949.129	152	15.9659
Dm_00010082-RA	375	186.212	75	40.1541
Dm_00010098-RA	1200	1009.13	3	0.296381
Dm_00010096-RA	390	200.862	0	0
Dm_00010097-RA	666	475.407	250	52.4264
Dm_00008796-RA	414	224.419	0	0
Dm_00010370-RA	1886	1695.13	469	27.5833
Dm_00010369-RA	192	29.5788	0	0
Dm_00009774-RA	1998	1807.13	982	54.1749
Dm_00009775-RA	354	165.736	124	74.5899
Dm_00010288-RA	1401	1210.13	196	16.1473
Dm_00009493-RA	963	772.129	246	31.763
Dm_00009494-RA	984	793.129	203	25.5169
Dm_00009495-RA	714	523.359	0	0
Dm_00006316-RA	993	802.129	20	2.48577
Dm_00008938-RA	897	706.129	378	53.3683
Dm_00008942-RA	1680	1489.13	346	23.1643
Dm_00008940-RA	834	643.129	127	19.6871
Dm_00008939-RA	651	460.454	135	29.2296
Dm_00008941-RA	531	340.722	217	63.4943
Dm_00010031-RA	3168	2977.13	645	21.5992
Dm_00009533-RA	1185	994.129	46	4.61308
Dm_00009536-RA	1041	850.129	822.34	96.4367
Dm_00009535-RA	792	601.253	1500	248.72
Dm_00009534-RA	1146	955.129	3055	318.878
Dm_00009696-RA	606	415.454	0	0
Dm_00009720-RA	456	266.033	37	13.8657
Dm_00009719-RA	795	604.253	0	0
Dm_00009254-RA	1287	1096.13	99	9.00429
Dm_00009255-RA	4353	4162.13	78	1.86834
Dm_00009256-RA	834	643.129	441	68.3622
Dm_00009072-RA	282	98.861	0	0
Dm_00009813-RA	6525	6334.13	576	9.06591
Dm_00009814-RA	2781	2590.13	116	4.46491
Dm_00009915-RA	564	373.652	0	0
Dm_00009914-RA	258	78.6297	0	0
Dm_00009695-RA	2650	2459.13	1023	41.4734
Dm_00009694-RA	624	433.454	229	52.6706
Dm_00009693-RA	861	670.129	223	33.1759
Dm_00008273-RA	1188	997.129	22	2.19962
Dm_00008274-RA	912	721.129	141	19.4931
Dm_00008656-RA	612	421.454	1	0.236551
Dm_00009771-RA	1848	1657.13	33	1.98533
Dm_00010784-RA	594	403.536	0	0
Dm_00010112-RA	711	520.359	1196	229.141
Dm_00010111-RA	402	212.593	183	85.8177
Dm_00009955-RA	255	76.113	25	32.7459
Dm_00009954-RA	1899	1708.13	140	8.17115
Dm_00010107-RA	1728	1537.13	393	25.4893
Dm_00010108-RA	582	391.536	4	1.01851
Dm_00010391-RA	2043	1852.13	1112	59.8562
Dm_00010390-RA	711	520.359	0	0
Dm_00008774-RA	1182	991.129	334	33.5964
Dm_00008773-RA	2106	1915.13	373	19.4172
Dm_00009260-RA	264	83.632	1967	2344.81
Dm_00009262-RA	1596	1405.13	1120	79.4653
Dm_00009259-RA	873	682.129	1	0.146154
Dm_00009261-RA	858	667.129	338	50.5106
Dm_00010532-RA	2697	2506.13	167	6.64338
Dm_00008895-RA	687	496.359	944	189.606
Dm_00010337-RA	1866	1675.13	1433	85.2852
Dm_00010336-RA	1530	1339.13	604	44.9666
Dm_00010339-RA	1194	1003.13	35	3.47846
Dm_00010335-RA	630	439.454	969	219.83
Dm_00010338-RA	594	403.536	297	73.3753
Dm_00008749-RA	558	367.652	535	145.075
