Orthogroup	D_muscipula.proteins	A_vesiculosa.proteins
OG0000004	Dm_00018819-RA	Av_00021085-RA
OG0000004	Dm_00006207-RA	Av_00010923-RA, Av_00022969-RA
OG0000004	Dm_00012545-RA	Av_00012080-RA, Av_00010527-RA, Av_00017192-RA
OG0000004	Dm_00009468-RA	Av_00012087-RA, Av_00016629-RA, Av_00007611-RA, Av_00005875-RA, Av_00018770-RA, Av_00008585-RA, Av_00017451-RA, Av_00012246-RA, Av_00014084-RA, Av_00002165-RA, Av_00009477-RA, Av_00006793-RA, Av_00017193-RA, Av_00011747-RA, Av_00015851-RA, Av_00024618-RA
OG0000004	Dm_00018820-RA	Av_00023339-RA, Av_00020528-RA, Av_00015718-RA, Av_00023813-RA, Av_00019177-RA, Av_00020244-RA, Av_00005111-RA, Av_00018074-RA, Av_00005107-RA, Av_00003109-RA, Av_00009979-RA, Av_00024303-RA, Av_00023380-RA, Av_00018948-RA, Av_00009972-RA, Av_00019258-RA, Av_00001240-RA, Av_00022001-RA, Av_00011326-RA, Av_00016460-RA, Av_00023100-RA, Av_00022044-RA, Av_00020971-RA, Av_00012462-RA, Av_00003257-RA, Av_00022055-RA, Av_00013829-RA, Av_00015699-RA, Av_00015710-RA, Av_00013432-RA, Av_00010787-RA, Av_00020409-RA, Av_00021999-RA, Av_00024213-RA, Av_00020312-RA, Av_00019261-RA, Av_00021815-RA, Av_00017778-RA, Av_00018067-RA, Av_00021374-RA, Av_00017235-RA, Av_00017173-RA, Av_00017635-RA, Av_00018073-RA, Av_00017552-RA, Av_00003765-RA, Av_00002171-RA, Av_00008577-RA, Av_00014742-RA, Av_00020647-RA, Av_00022233-RA, Av_00009539-RA, Av_00017466-RA, Av_00016850-RA, Av_00024571-RA, Av_00021338-RA, Av_00020766-RA, Av_00020373-RA, Av_00011852-RA, Av_00013532-RA, Av_00024516-RA, Av_00018081-RA, Av_00009935-RA, Av_00012245-RA, Av_00014810-RA, Av_00010560-RA, Av_00023334-RA, Av_00023548-RA, Av_00016853-RA, Av_00018090-RA, Av_00023416-RA
OG0000004	Dm_00005394-RA	Av_00015651-RA, Av_00005158-RA, Av_00020717-RA, Av_00017520-RA, Av_00018946-RA
OG0000004	Dm_00016017-RA	Av_00016421-RA, Av_00009422-RA, Av_00016852-RA, Av_00014070-RA, Av_00023975-RA, Av_00019782-RA, Av_00020526-RA, Av_00024357-RA, Av_00017331-RA
OG0000004	Dm_00016812-RA	Av_00021276-RA, Av_00017810-RA
OG0000004	Dm_00004832-RA	Av_00018769-RA, Av_00020372-RA, Av_00017191-RA
OG0000004	Dm_00016813-RA	Av_00022038-RA, Av_00009633-RA, Av_00010785-RA, Av_00016231-RA, Av_00014042-RA
