target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	829.282	150	16.9122
Dm_00008772-RA	1272	1084.28	116	10.0029
Dm_00008770-RA	1722	1534.28	277	16.8805
Dm_00008771-RA	636	448.476	60	12.509
Dm_00008682-RA	906	718.282	38	4.94652
Dm_00008591-RA	1308	1120.28	45	3.75575
Dm_00008592-RA	2436	2248.28	472	19.6292
Dm_00008593-RA	759	571.282	1906	311.949
Dm_00008594-RA	969	781.282	650	77.7887
Dm_00010209-RA	468	280.84	0	0
Dm_00010051-RA	693	505.337	1	0.185025
Dm_00009727-RA	234	60.9239	0	0
Dm_00009728-RA	1161	973.282	3	0.2882
Dm_00009413-RA	1368	1180.28	127	10.0607
Dm_00009412-RA	2105	1917.28	259	12.6306
Dm_00009411-RA	2682	2494.28	182	6.82239
Dm_00009410-RA	432	245.077	13	4.95966
Dm_00009021-RA	1668	1480.28	338	21.3493
Dm_00009020-RA	414	227.239	45	18.5157
Dm_00009748-RA	1554	1366.28	239	16.3557
Dm_00009749-RA	1092	904.282	249	25.7458
Dm_00009750-RA	941	753.282	272	33.7615
Dm_00010290-RA	1116	928.282	79	7.95716
Dm_00010291-RA	969	781.282	312	37.3386
Dm_00007855-RA	945	757.282	289	35.6822
Dm_00007856-RA	786	598.282	202	31.5687
Dm_00007858-RA	2466	2278.28	790	32.4213
Dm_00007859-RA	2304	2116.28	314	13.8729
Dm_00007857-RA	873	685.282	119	16.2364
Dm_00009353-RA	471	283.811	12	3.95332
Dm_00009317-RA	312	128.931	164	118.932
Dm_00010173-RA	1548	1360.28	225	15.4655
Dm_00010171-RA	228	56.1011	2	3.33327
Dm_00010172-RA	258	80.9045	0	0
Dm_00009367-RA	1566	1378.28	681	46.1977
Dm_00009368-RA	171	16.4802	63	357.429
Dm_00009369-RA	984	796.282	133	15.6169
Dm_00009983-RA	1065	877.282	43	4.5829
Dm_00009982-RA	975	787.282	6	0.712577
Dm_00009984-RA	537	349.591	0	0
Dm_00009718-RA	1158	970.282	1909	183.958
Dm_00009717-RA	753	565.282	164	27.1262
Dm_00009950-RA	1842	1654.28	3	0.16956
Dm_00009953-RA	1437	1249.28	403	30.1617
Dm_00009948-RA	1638	1450.28	260	16.7622
Dm_00009949-RA	879	691.282	151	20.4236
Dm_00009951-RA	729	541.337	1	0.17272
Dm_00009952-RA	444	257.028	0	0
Dm_00009009-RA	738	550.282	0	0
Dm_00009010-RA	303	120.634	1.01501	0.786704
Dm_00009007-RA	891	703.282	0	0
Dm_00009008-RA	1164	976.282	21	2.0112
Dm_00009011-RA	3048	2860.28	10.0103	0.327227
Dm_00009012-RA	684	496.337	0	0
Dm_00010080-RA	1113	925.282	2	0.2021
Dm_00010081-RA	354	168.685	236	130.812
Dm_00010084-RA	1518	1330.28	333	23.4052
Dm_00010083-RA	1140	952.282	135	13.255
Dm_00010082-RA	375	189.131	62	30.6507
Dm_00010098-RA	1200	1012.28	0	0
Dm_00010096-RA	390	203.737	0	0
Dm_00010097-RA	666	478.337	48	9.38249
Dm_00008796-RA	414	227.239	0	0
Dm_00010370-RA	1886	1698.28	510	28.0783
Dm_00010369-RA	192	29.6372	0	0
Dm_00009774-RA	1998	1810.28	272	14.0486
Dm_00009775-RA	354	168.685	104	57.6459
Dm_00010288-RA	1401	1213.28	606	46.7005
Dm_00009493-RA	963	775.282	182	21.9494
Dm_00009494-RA	984	796.282	98	11.5072
Dm_00009495-RA	714	526.337	0	0
Dm_00006316-RA	993	805.282	1	0.116108
Dm_00008938-RA	897	709.282	369	48.6428
Dm_00008942-RA	1680	1492.28	357	22.3681
Dm_00008940-RA	834	646.282	122	17.6502
Dm_00008939-RA	651	463.384	142	28.6522
Dm_00008941-RA	531	343.591	116	31.5666
Dm_00010031-RA	3168	2980.28	706	22.1492
Dm_00009533-RA	1185	997.282	4	0.375019
Dm_00009536-RA	1041	853.282	42.2299	4.62741
Dm_00009535-RA	792	604.282	916	141.732
Dm_00009534-RA	1146	958.282	785	76.5927
Dm_00009696-RA	606	418.519	0	0
Dm_00009720-RA	456	268.923	0	0
Dm_00009719-RA	795	607.282	0	0
Dm_00009254-RA	1287	1099.28	50	4.25277
Dm_00009255-RA	4353	4165.28	55	1.23461
Dm_00009256-RA	834	646.282	376	54.3972
Dm_00009072-RA	282	101.683	0	0
Dm_00009813-RA	6525	6337.28	500	7.37697
