Orthogroup	L_sativa.proteins	Other
OG0000011	Lsat_1_v5_gn_5_183260.1, Lsat_1_v5_gn_5_183260.6, Lsat_1_v5_gn_5_183260.3	Bevul.7G111600.1.p
OG0000024	Lsat_1_v5_gn_3_36180.4, Lsat_1_v5_gn_3_36440.3	AH018793-RA
OG0000024	Lsat_1_v5_gn_9_74581.2, Lsat_1_v5_gn_9_74581.1	FUN_011699-T1
OG0000027	Lsat_1_v5_gn_3_101980.3, Lsat_1_v5_gn_5_90761.3, Lsat_1_v5_gn_5_85480.2, Lsat_1_v5_gn_1_31841.2, Lsat_1_v5_gn_5_19060.2, Lsat_1_v5_gn_3_101980.1, Lsat_1_v5_gn_5_19060.1	FUN_008000-T1
OG0000027	Lsat_1_v5_gn_5_85480.2	AH000640-RA, AH014409-RA, AH020964-RA
OG0000027	Lsat_1_v5_gn_1_31841.2	AH014130-RA
OG0000027	Lsat_1_v5_gn_5_19060.2	AH015746-RA
OG0000042	Lsat_1_v5_gn_9_64341.1, Lsat_1_v5_gn_9_64341.2, Lsat_1_v5_gn_9_63660.3	Bevul.7G199900.1.p
OG0000068	Lsat_1_v5_gn_4_105500.5, Lsat_1_v5_gn_4_105500.1, Lsat_1_v5_gn_2_74860.1, Lsat_1_v5_gn_8_106801.3, Lsat_1_v5_gn_1_45260.4, Lsat_1_v5_gn_2_74920.3	FUN_045170-T1, FUN_045068-T1
OG0000112	Lsat_1_v5_gn_8_26500.1, Lsat_1_v5_gn_9_42020.1, Lsat_1_v5_gn_9_18701.1, Lsat_1_v5_gn_3_105620.1, Lsat_1_v5_gn_0_15540.1, Lsat_1_v5_gn_7_82600.1, Lsat_1_v5_gn_7_67161.1, Lsat_1_v5_gn_3_13441.1	Av_00019578-RA, Av_00020886-RA, Av_00015155-RA, Av_00018537-RA, Av_00024991-RA
OG0000118	Lsat_1_v5_gn_7_116161.1	Ds_00004923-RA
OG0000163	Lsat_1_v5_gn_8_91480.4, Lsat_1_v5_gn_6_62221.6, Lsat_1_v5_gn_9_9241.7, Lsat_1_v5_gn_9_9241.4	AH010762-RA
OG0000163	Lsat_1_v5_gn_8_91480.4	FUN_051143-T1
OG0000163	Lsat_1_v5_gn_6_62221.6, Lsat_1_v5_gn_9_9241.7, Lsat_1_v5_gn_9_9241.4	FUN_011634-T1
OG0000248	Lsat_1_v5_gn_3_49640.1, Lsat_1_v5_gn_3_49640.3	FUN_009157-T1
OG0000255	Lsat_1_v5_gn_5_121061.3, Lsat_1_v5_gn_5_121061.1, Lsat_1_v5_gn_5_120301.1, Lsat_1_v5_gn_5_120361.2, Lsat_1_v5_gn_5_120361.3, Lsat_1_v5_gn_5_121101.1	AH000042-RA, AH010279-RA, AH001023-RA, AH001025-RA
OG0000367	Lsat_1_v5_gn_2_75300.1, Lsat_1_v5_gn_2_75300.2, Lsat_1_v5_gn_2_75300.3	Av_00004876-RA
OG0000398	Lsat_1_v5_gn_9_31921.1	FUN_036311-T1
OG0000398	Lsat_1_v5_gn_9_31921.1	Bevul.3G203500.1.p
OG0000543	Lsat_1_v5_gn_6_101381.1, Lsat_1_v5_gn_2_70740.1	AT4G09760.1, AT4G09760.2, AT1G71697.1
