HOG	OG	Gene Tree Parent Clade	A_coerulea.proteins	A_hypochondriacus.proteins	A_thaliana.proteins	A_vesiculosa.proteins	B_vulgaris.proteins	D_muscipula.proteins	D_spatulata.proteins	G_max.proteins	L_sativa.proteins	P_amilis.proteins	S_lycopersicum.proteins	V_vinifera.proteins
N10.HOG0000000	OG0000003	n0					Bevul.9G056500.1.p							
N10.HOG0000001	OG0000005	n2		AH014531-RA										
N10.HOG0000002	OG0000005	n167		AH014533-RA			Bevul.6G144600.1.p							
N10.HOG0000003	OG0000008	n141		AH011176-RA, AH011177-RA, AH011187-RA, AH011181-RA, AH011178-RA, AH011185-RA, AH011186-RA, AH011182-RA, AH011175-RA, AH011188-RA, AH011179-RA			Bevul.4G169600.1.p, Bevul.4G164800.1.p, Bevul.8G132800.1.p, Bevul.4G167500.1.p, Bevul.4G167700.1.p, Bevul.4G161700.1.p, Bevul.4G162100.1.p, Bevul.4G175000.1.p, Bevul.4G171100.1.p, Bevul.4G158600.1.p, Bevul.4G162000.1.p, Bevul.4G158700.1.p, Bevul.4G163200.1.p, Bevul.4G160400.1.p, Bevul.4G163300.1.p, Bevul.4G163900.1.p, Bevul.4G171200.1.p, Bevul.4G171300.1.p, Bevul.4G171400.1.p							
N10.HOG0000004	OG0000008	n189		AH008576-RA, AH010059-RA, AH020450-RA			Bevul.4G199500.1.p, Bevul.4G199400.1.p, Bevul.4G199300.1.p, Bevul.4G192000.1.p, Bevul.4G188200.1.p, Bevul.4G192200.1.p, Bevul.4G177300.1.p, Bevul.4G188000.1.p, Bevul.4G191800.1.p, Bevul.4G191900.1.p, Bevul.4G187800.1.p, Bevul.4G188300.1.p, Bevul.4G192300.1.p, Bevul.4G192100.1.p, Bevul.4G184600.1.p, Bevul.4G192400.1.p, Bevul.4G194600.1.p							
N10.HOG0000005	OG0000008	n270					Bevul.5G243000.1.p							
N10.HOG0000006	OG0000009	n0					Bevul.8G212100.1.p, Bevul.1G086700.1.p, Bevul.1G091900.1.p, Bevul.7G138300.1.p, Bevul.8G195200.1.p							
N10.HOG0000007	OG0000011	n3		AH002194-RA			Bevul.9G145000.1.p							
N10.HOG0000008	OG0000011	n94		AH001485-RA, AH001483-RA, AH001487-RA			Bevul.3G168100.1.p							
N10.HOG0000009	OG0000011	n137		AH022040-RA			Bevul.7G111500.1.p							
N10.HOG0000010	OG0000011	n138		AH022041-RA, AH022042-RA, AH022043-RA			Bevul.7G111300.1.p							
N10.HOG0000011	OG0000013	n0					Bevul.9G069400.1.p, Bevul.2G085500.1.p							
N10.HOG0000012	OG0000015	n14		AH015162-RA, AH021574-RA			Bevul.8G062600.1.p							
N10.HOG0000013	OG0000015	n124					Bevul.9G113800.1.p, Bevul.9G113800.4.p, Bevul.9G113800.3.p, Bevul.9G113800.5.p, Bevul.9G113800.2.p							
N10.HOG0000014	OG0000015	n136					Bevul.9G014400.2.p, Bevul.9G014400.3.p, Bevul.9G014400.1.p							
N10.HOG0000015	OG0000015	n146		AH008115-RA, AH008114-RA, AH009972-RA										
N10.HOG0000016	OG0000016	n3					Bevul.3G098500.1.p, Bevul.3G063500.1.p							
N10.HOG0000017	OG0000016	n17		AH005855-RA			Bevul.9G202400.1.p, Bevul.6G093300.1.p, Bevul.1G082700.1.p, Bevul.6G098600.1.p							
N10.HOG0000018	OG0000016	n66		AH013795-RA										
N10.HOG0000019	OG0000016	n156		AH007101-RA			Bevul.9G175500.1.p, Bevul.9G175500.3.p, Bevul.9G175500.2.p, Bevul.9G175700.1.p							
N10.HOG0000020	OG0000016	n163					Bevul.9G175800.1.p, Bevul.9G176100.1.p, Bevul.9G176000.1.p, Bevul.9G176400.1.p, Bevul.8G121500.1.p, Bevul.9G175900.1.p, Bevul.9G176500.1.p							
N10.HOG0000021	OG0000018	n62					Bevul.6G029800.1.p							
N10.HOG0000022	OG0000018	n66					Bevul.3G012700.1.p, Bevul.3G012800.1.p							
N10.HOG0000023	OG0000018	n134		AH019393-RA			Bevul.3G094700.1.p, Bevul.3G094800.1.p, Bevul.6G052200.1.p							
N10.HOG0000024	OG0000018	n149					Bevul.3G190300.1.p							
N10.HOG0000025	OG0000018	n178		AH019902-RA, AH019903-RA, AH007232-RA			Bevul.3G188900.1.p, Bevul.3G012200.1.p							
N10.HOG0000026	OG0000018	n192		AH007233-RA			Bevul.3G012300.1.p, Bevul.3G012500.1.p, Bevul.3G012400.1.p							
N10.HOG0000027	OG0000018	n205					Bevul.5G246300.1.p							
N10.HOG0000028	OG0000020	n151					Bevul.9G084700.1.p, Bevul.9G073100.2.p, Bevul.4G085500.1.p							
N10.HOG0000029	OG0000020	n154					Bevul.5G114900.1.p							
N10.HOG0000030	OG0000021	n3					Bevul.5G038600.1.p, Bevul.2G167900.1.p, Bevul.8G145800.1.p, Bevul.8G146100.1.p, Bevul.5G040400.1.p							
N10.HOG0000031	OG0000021	n50		AH003127-RA, AH003133-RA										
N10.HOG0000032	OG0000021	n98		AH022150-RA, AH022153-RA, AH022151-RA, AH009173-RA, AH009171-RA, AH009170-RA, AH006881-RA, AH009424-RA, AH022152-RA, AH002452-RA, AH003417-RA, AH000687-RA, AH004291-RA, AH023178-RA			Bevul.5G145300.1.p							
N10.HOG0000033	OG0000021	n113		AH022149-RA, AH022148-RA			Bevul.1G126100.1.p, Bevul.1G126200.1.p, Bevul.1G126300.1.p, Bevul.1G126500.1.p, Bevul.1G126400.1.p							
N10.HOG0000034	OG0000021	n147					Bevul.2G184100.1.p							
N10.HOG0000035	OG0000021	n151					Bevul.9G220700.1.p, Bevul.9G220500.1.p, Bevul.9G220600.1.p, Bevul.9G219000.1.p							
N10.HOG0000036	OG0000021	n155					Bevul.1G207900.1.p, Bevul.1G207800.1.p							
N10.HOG0000037	OG0000022	n45					Bevul.7G006300.1.p							
N10.HOG0000038	OG0000022	n95		AH010680-RA, AH013136-RA, AH015771-RA, AH015772-RB, AH015772-RA, AH019050-RA			Bevul.4G114700.1.p							
N10.HOG0000039	OG0000022	n103					Bevul.1G097600.1.p							
N10.HOG0000040	OG0000022	n147		AH012456-RA, AH021712-RA			Bevul.9G163000.1.p, Bevul.9G163300.1.p, Bevul.9G163100.1.p, Bevul.7G006600.1.p, Bevul.9G162900.2.p, Bevul.9G162900.1.p, Bevul.7G128600.1.p							
N10.HOG0000041	OG0000022	n157					Bevul.7G005900.1.p							
N10.HOG0000042	OG0000023	n15		AH013573-RA, AH014496-RA			Bevul.1G139100.1.p							
N10.HOG0000043	OG0000023	n17		AH007059-RA			Bevul.3G136100.1.p, Bevul.3G136400.1.p, Bevul.3G136300.1.p							
N10.HOG0000044	OG0000023	n20		AH021142-RA										
N10.HOG0000045	OG0000023	n100		AH000663-RA			Bevul.9G223400.1.p							
N10.HOG0000046	OG0000023	n178					Bevul.1G009300.1.p							
N10.HOG0000047	OG0000024	n2		AH017854-RA, AH007410-RA			Bevul.5G208100.1.p, Bevul.5G208400.1.p, Bevul.5G208500.1.p, Bevul.1G056100.1.p							
N10.HOG0000048	OG0000024	n42		AH012583-RA			Bevul.7G020900.1.p, Bevul.7G020600.1.p							
N10.HOG0000049	OG0000024	n176		AH007961-RA			Bevul.4G087500.1.p							
N10.HOG0000050	OG0000024	n187		AH010292-RA			Bevul.5G049900.1.p, Bevul.5G050000.1.p							
N10.HOG0000051	OG0000024	n196		AH007960-RA, AH007959-RA			Bevul.4G087600.1.p, Bevul.4G004600.1.p							
N10.HOG0000052	OG0000025	n54		AH001710-RA, AH001709-RA, AH023136-RA			Bevul.9G156900.1.p							
N10.HOG0000053	OG0000025	n68					Bevul.9G157100.1.p							
N10.HOG0000054	OG0000025	n131		AH001717-RA			Bevul.9G156800.1.p, Bevul.9G157600.1.p							
N10.HOG0000055	OG0000025	n135					Bevul.9G156700.1.p							
N10.HOG0000056	OG0000025	n138					Bevul.9G229000.1.p							
N10.HOG0000057	OG0000025	n160					Bevul.9G157000.1.p							
N10.HOG0000058	OG0000025	n162		AH001716-RA			Bevul.9G157500.1.p, Bevul.9G157400.1.p							
N10.HOG0000059	OG0000025	n184		AH001699-RA, AH001703-RA			Bevul.9G229400.1.p, Bevul.9G230200.1.p, Bevul.9G229800.1.p							
N10.HOG0000060	OG0000025	n188		AH001700-RA			Bevul.9G230100.1.p, Bevul.9G229700.1.p, Bevul.9G230000.1.p, Bevul.9G229600.1.p, Bevul.9G229200.1.p							
N10.HOG0000061	OG0000025	n193		AH001701-RA, AH001705-RA			Bevul.9G229500.1.p, Bevul.9G229900.1.p, Bevul.9G229100.1.p, Bevul.9G230300.1.p							
N10.HOG0000062	OG0000026	n34					Bevul.6G022200.1.p							
N10.HOG0000063	OG0000026	n36		AH012493-RA			Bevul.7G010100.2.p, Bevul.7G010100.1.p							
N10.HOG0000064	OG0000026	n55		AH010288-RA										
N10.HOG0000065	OG0000026	n62		AH009955-RA, AH009957-RA, AH010103-RA, AH010096-RA										
N10.HOG0000066	OG0000026	n71		AH010098-RA, AH010095-RA, AH010094-RA										
N10.HOG0000067	OG0000026	n92		AH019482-RA										
N10.HOG0000068	OG0000026	n110		AH012021-RA, AH019650-RA										
N10.HOG0000069	OG0000026	n124		AH009956-RA										
N10.HOG0000070	OG0000026	n133		AH008142-RA, AH008143-RA										
N10.HOG0000071	OG0000026	n134		AH008141-RA			Bevul.4G046500.1.p							
