Orthogroup	A_thaliana.proteins	B_vulgaris.proteins
OG0000011	AT4G08850.1, AT4G08850.2, AT1G35710.1	Bevul.9G145000.1.p
OG0000015	AT4G21380.1, AT4G21380.2, AT1G65800.2, AT1G65800.1, AT1G65790.3, AT1G65790.2, AT1G65790.1	Bevul.8G062600.1.p
OG0000015	AT4G27290.2, AT4G27290.1	Bevul.9G113800.1.p, Bevul.9G113800.4.p, Bevul.9G113800.3.p, Bevul.9G113800.5.p, Bevul.9G113800.2.p, Bevul.9G014400.2.p, Bevul.9G014400.3.p, Bevul.9G014400.1.p
OG0000018	AT5G59540.1, AT5G59540.2, AT5G59530.1, AT1G04350.1, AT2G30830.1, AT2G25450.1, AT2G30840.1, AT2G30840.3, AT2G30840.2, AT1G06645.1, AT1G03410.1, AT1G03410.2, AT1G03400.2, AT1G03400.1, AT1G06620.2, AT1G06620.1	Bevul.6G029800.1.p, Bevul.3G012700.1.p, Bevul.3G012800.1.p, Bevul.3G094700.1.p, Bevul.3G094800.1.p, Bevul.6G052200.1.p, Bevul.3G190300.1.p
OG0000021	AT3G61040.1, AT3G61040.2, AT2G45560.2, AT2G45560.3, AT2G45560.1, AT2G45570.1, AT2G45550.1, AT1G33730.1, AT1G33730.2, AT1G33720.3, AT1G33720.5, AT1G33720.2, AT1G33720.4, AT1G33720.1	Bevul.5G145300.1.p, Bevul.1G126100.1.p, Bevul.1G126200.1.p, Bevul.1G126300.1.p, Bevul.1G126500.1.p, Bevul.1G126400.1.p, Bevul.2G184100.1.p, Bevul.9G220700.1.p, Bevul.9G220500.1.p, Bevul.9G220600.1.p, Bevul.9G219000.1.p, Bevul.1G207900.1.p, Bevul.1G207800.1.p
OG0000022	AT5G64950.1	Bevul.1G097600.1.p
OG0000023	AT1G33540.1, AT1G33540.2	Bevul.9G223400.1.p
OG0000023	AT5G09640.1	Bevul.1G009300.1.p
OG0000024	AT1G17060.1	Bevul.5G208100.1.p, Bevul.5G208400.1.p, Bevul.5G208500.1.p, Bevul.1G056100.1.p
OG0000025	AT4G34770.1	Bevul.9G156900.1.p
