target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	814.24	16	13.9341
Dm_00008772-RA	1272	1069.24	24.2606	16.0893
Dm_00008770-RA	1722	1519.24	33	15.4028
Dm_00008771-RA	636	433.24	6	9.82052
Dm_00008682-RA	906	703.24	14	14.1168
Dm_00008591-RA	1308	1105.24	2	1.28317
Dm_00008592-RA	2436	2233.24	116	36.8327
Dm_00008593-RA	759	556.24	405	516.303
Dm_00008594-RA	969	766.24	78	72.1841
Dm_00010209-RA	468	266.471	0	0
Dm_00010051-RA	693	490.24	0	0
Dm_00009727-RA	234	56.6254	0	0
Dm_00009728-RA	1161	958.24	0	0
Dm_00009413-RA	1368	1165.24	15	9.12824
Dm_00009412-RA	2105	1902.24	29	10.8105
Dm_00009411-RA	2682	2479.24	21	6.00637
Dm_00009410-RA	432	231.5	1	3.06309
Dm_00009021-RA	1668	1465.24	35	16.9383
Dm_00009020-RA	414	214.081	3	9.93697
Dm_00009748-RA	1554	1351.24	22	11.5452
Dm_00009749-RA	1092	889.24	40	31.8972
Dm_00009750-RA	941	738.24	24	23.0529
Dm_00010290-RA	1116	913.24	8	6.21179
Dm_00010291-RA	969	766.24	8	7.40349
Dm_00007855-RA	945	742.24	49	46.8127
Dm_00007856-RA	786	583.24	14	17.0213
Dm_00007858-RA	2466	2263.24	122	38.2244
Dm_00007859-RA	2304	2101.24	18	6.07447
Dm_00007857-RA	873	670.24	11	11.6379
Dm_00009353-RA	471	269.417	13	34.216
Dm_00009317-RA	312	119.423	6	35.6267
Dm_00010173-RA	1548	1345.24	26	13.7052
Dm_00010171-RA	228	52.2884	1	13.5615
Dm_00010172-RA	258	74.9293	0	0
Dm_00009367-RA	1566	1363.24	75	39.0122
Dm_00009368-RA	171	16.2962	8	348.109
Dm_00009369-RA	984	781.24	14	12.7074
Dm_00009983-RA	1065	862.24	4	3.2896
Dm_00009982-RA	975	772.24	0	0
Dm_00009984-RA	537	334.687	0	0
Dm_00009718-RA	1158	955.24	209	155.148
Dm_00009717-RA	753	550.24	24	30.9293
Dm_00009950-RA	1842	1639.24	1	0.432582
Dm_00009953-RA	1437	1234.24	47	27.0029
Dm_00009948-RA	1638	1435.24	42	20.7509
Dm_00009949-RA	879	676.24	24	25.1664
Dm_00009951-RA	729	526.24	0	0
Dm_00009952-RA	444	243.239	0	0
Dm_00009009-RA	738	535.24	0	0
Dm_00009010-RA	303	111.641	0	0
Dm_00009007-RA	891	688.24	0	0
Dm_00009008-RA	1164	961.24	3	2.2131
Dm_00009011-RA	3048	2845.24	5.00193	1.24661
Dm_00009012-RA	684	481.24	0	0
Dm_00010080-RA	1113	910.24	0	0
Dm_00010081-RA	354	157.283	36	162.305
Dm_00010084-RA	1518	1315.24	49	26.4182
Dm_00010083-RA	1140	937.24	20	15.1318
Dm_00010082-RA	375	176.996	10	40.0634
Dm_00010098-RA	1200	997.24	0	0
Dm_00010096-RA	390	191.269	0	0
Dm_00010097-RA	666	463.24	16	24.4921
Dm_00008796-RA	414	214.081	0	0
Dm_00010370-RA	1886	1683.24	66	27.8041
Dm_00010369-RA	192	28.2575	0	0
Dm_00009774-RA	1998	1795.24	35	13.8247
Dm_00009775-RA	354	157.283	7	31.5594
Dm_00010288-RA	1401	1198.24	62	36.691
Dm_00009493-RA	963	760.24	38	35.4441
Dm_00009494-RA	984	781.24	12	10.892
Dm_00009495-RA	714	511.24	0	0
Dm_00006316-RA	993	790.24	0	0
Dm_00008938-RA	897	694.24	54	55.1564
Dm_00008942-RA	1680	1477.24	45	21.6009
Dm_00008940-RA	834	631.24	13	14.6036
Dm_00008939-RA	651	448.24	8	12.6558
Dm_00008941-RA	531	328.687	5	10.7869
Dm_00010031-RA	3168	2965.24	68	16.2615
Dm_00009533-RA	1185	982.24	0	0
Dm_00009536-RA	1041	838.24	3	2.53784
Dm_00009535-RA	792	589.24	99	119.139
Dm_00009534-RA	1146	943.24	93	69.9153
Dm_00009696-RA	606	403.324	0	0
Dm_00009720-RA	456	254.865	0	0
Dm_00009719-RA	795	592.24	0	0
Dm_00009254-RA	1287	1084.24	7	4.57809
Dm_00009255-RA	4353	4150.24	4	0.683436
Dm_00009256-RA	834	631.24	48	53.921
Dm_00009072-RA	282	94.2751	0	0
Dm_00009813-RA	6525	6322.24	85	9.53365
Dm_00009814-RA	2781	2578.24	5	1.37517
Dm_00009915-RA	564	361.513	0	0
Dm_00009914-RA	258	74.9293	0	0
Dm_00009695-RA	2650	2447.24	36	10.4313
Dm_00009694-RA	624	421.282	9	15.1489
Dm_00009693-RA	861	658.24	12	12.9273
Dm_00008273-RA	1188	985.24	0	0
Dm_00008274-RA	912	709.24	23	22.9957
Dm_00008656-RA	612	409.324	0	0
Dm_00009771-RA	1848	1645.24	45	19.3952
Dm_00010784-RA	594	391.364	0	0
Dm_00010112-RA	711	508.24	262	365.548
Dm_00010111-RA	402	202.732	33	115.426
Dm_00009955-RA	255	72.6031	2	19.5338
Dm_00009954-RA	1899	1696.24	18	7.52483
Dm_00010107-RA	1728	1525.24	41	19.0615
Dm_00010108-RA	582	379.402	0	0
Dm_00010391-RA	2043	1840.24	243	93.6361
Dm_00010390-RA	711	508.24	0	0
Dm_00008774-RA	1182	979.24	17	12.3104
Dm_00008773-RA	2106	1903.24	29	10.8048
Dm_00009260-RA	264	79.6055	256	2280.39
Dm_00009262-RA	1596	1393.24	115	58.5306
Dm_00009259-RA	873	670.24	11	11.6379
Dm_00009261-RA	858	655.24	44	47.6172
Dm_00010532-RA	2697	2494.24	12	3.41157
Dm_00008895-RA	687	484.24	48	70.2898
Dm_00010337-RA	1866	1663.24	88	37.5179
Dm_00010336-RA	1530	1327.24	79	42.2074
Dm_00010339-RA	1194	991.24	0	0
Dm_00010335-RA	630	427.282	58	96.2552
Dm_00010338-RA	594	391.364	31	56.1684
Dm_00008749-RA	558	355.513	49	97.7354
Dm_00008748-RA	213	42.0129	1	16.8783
Dm_00008876-RA	1122	919.24	13	10.0283
Dm_00008877-RA	1599	1396.24	0	0
Dm_00008875-RA	630	427.282	0	0
Dm_00009056-RA	951	748.24	0	0
Dm_00010140-RA	3342	3139.24	1	0.225885
Dm_00009531-RA	459	257.813	0	0
Dm_00009530-RA	525	322.72	0	0
Dm_00009739-RA	1890	1687.24	25	10.5069
Dm_00009740-RA	1218	1015.24	14	9.77847
Dm_00009741-RA	2091	1888.24	28	10.5151
Dm_00010362-RA	240	61.1706	33	382.545
