Orthogroup	A_coerulea.proteins	S_lycopersicum.proteins
OG0000008	Aqcoe2G139900.1.p	Solyc06g007280.2.1, Solyc06g007820.1.1, Solyc06g005220.2.1, Solyc06g007850.3.1
OG0000011	Aqcoe4G037600.1.p, Aqcoe4G019500.1.p, Aqcoe4G037100.1.p, Aqcoe4G037700.1.p, Aqcoe4G019600.1.p, Aqcoe4G037300.1.p, Aqcoe4G037900.1.p, Aqcoe7G310000.1.p, Aqcoe4G037800.1.p, Aqcoe4G038000.1.p, Aqcoe4G037200.1.p, Aqcoe4G037500.1.p, Aqcoe4G109700.1.p, Aqcoe4G156400.1.p, Aqcoe4G156400.2.p, Aqcoe4G037000.1.p, Aqcoe4G077100.1.p, Aqcoe4G077300.1.p, Aqcoe4G228700.1.p, Aqcoe4G039300.1.p, Aqcoe4G210900.1.p, Aqcoe4G104100.1.p, Aqcoe4G072100.1.p	Solyc04g071680.2.1, Solyc04g074020.2.1, Solyc04g074050.3.1, Solyc04g074030.3.1, Solyc04g074000.3.1
OG0000011	Aqcoe5G018800.1.p, Aqcoe5G018900.1.p	Solyc09g072810.3.1
OG0000015	Aqcoe3G211700.1.p	Solyc02g079590.3.1, Solyc03g006770.3.1
OG0000015	Aqcoe4G310300.2.p, Aqcoe4G310300.3.p, Aqcoe4G310300.1.p, Aqcoe4G268700.2.p, Aqcoe4G268700.1.p, Aqcoe4G268700.3.p, Aqcoe4G268100.1.p, Aqcoe4G268000.1.p, Aqcoe4G268200.1.p, Aqcoe5G403000.1.p, Aqcoe4G267500.1.p	Solyc07g063750.3.1, Solyc07g063720.1.1, Solyc07g063730.2.1, Solyc07g063700.2.1, Solyc07g063710.2.1, Solyc10g006720.3.1
OG0000016	Aqcoe7G324100.1.p	Solyc10g012140.1.1
OG0000016	Aqcoe4G270500.1.p, Aqcoe4G270400.1.p	Solyc07g018190.3.1, Solyc10g085120.2.1
OG0000016	Aqcoe6G180900.1.p, Aqcoe6G180900.2.p, Aqcoe7G305600.1.p, Aqcoe0526s0001.1.p, Aqcoe0720s0001.1.p, Aqcoe6G180100.1.p, Aqcoe7G300400.1.p, Aqcoe6G178600.1.p, Aqcoe6G179400.1.p, Aqcoe6G179300.1.p, Aqcoe6G179700.1.p, Aqcoe4G167900.1.p, Aqcoe7G307200.1.p, Aqcoe0047s0002.1.p, Aqcoe7G307400.1.p, Aqcoe7G298000.1.p, Aqcoe0726s0001.1.p, Aqcoe7G299300.1.p, Aqcoe4G035100.1.p, Aqcoe7G315800.1.p, Aqcoe7G315700.1.p, Aqcoe7G315900.1.p, Aqcoe7G284100.1.p, Aqcoe7G307300.1.p	Solyc03g118330.2.1, Solyc03g019980.2.1, Solyc03g098400.2.1
OG0000016	Aqcoe4G174500.1.p	Solyc11g020270.1.1
OG0000018	Aqcoe1G212400.2.p, Aqcoe1G212400.1.p, Aqcoe1G212900.1.p, Aqcoe1G212600.1.p, Aqcoe1G212500.1.p, Aqcoe1G212500.2.p, Aqcoe7G278000.1.p, Aqcoe4G273500.2.p, Aqcoe4G273500.1.p, Aqcoe0023s0002.2.p, Aqcoe0023s0002.1.p, Aqcoe1G212800.1.p, Aqcoe1G212800.2.p, Aqcoe0023s0001.2.p, Aqcoe0023s0001.1.p, Aqcoe1G212700.1.p	Solyc04g009860.3.1, Solyc04g009850.3.1
OG0000018	Aqcoe2G370800.1.p	Solyc09g089700.3.1, Solyc03g095920.2.1
OG0000018	Aqcoe2G373300.1.p	Solyc09g089790.3.1, Solyc09g089830.3.1, Solyc09g089810.1.1, Solyc09g089800.2.1, Solyc09g089780.3.1, Solyc09g089820.2.1
OG0000021	Aqcoe4G117700.1.p, Aqcoe4G114000.1.p, Aqcoe4G069900.1.p, Aqcoe4G070100.1.p, Aqcoe4G070300.1.p, Aqcoe3G358600.1.p, Aqcoe3G417500.1.p, Aqcoe3G417300.1.p, Aqcoe3G417400.1.p	Solyc06g084820.2.1, Solyc06g066270.1.1, Solyc06g066280.3.1
OG0000022	Aqcoe5G366100.1.p	Solyc04g051880.2.1
OG0000022	Aqcoe5G365600.1.p, Aqcoe5G365500.1.p, Aqcoe5G402600.1.p, Aqcoe5G368400.1.p, Aqcoe5G366200.1.p, Aqcoe5G436000.1.p, Aqcoe5G366500.1.p, Aqcoe5G366400.1.p	Solyc04g011700.2.1, Solyc04g072510.3.1, Solyc04g072520.2.1, Solyc12g010650.1.1, Solyc04g072530.2.1, Solyc04g072540.3.1, Solyc04g072500.1.1, Solyc04g072550.2.1, Solyc11g022600.2.1
OG0000023	Aqcoe6G271700.1.p, Aqcoe6G271700.2.p, Aqcoe6G271600.1.p, Aqcoe6G271800.1.p, Aqcoe6G272000.1.p, Aqcoe6G272000.2.p	Solyc10g049270.2.1, Solyc10g049210.2.1
OG0000023	Aqcoe6G319600.1.p, Aqcoe0082s0005.2.p, Aqcoe0082s0005.1.p, Aqcoe6G319300.1.p, Aqcoe6G271000.2.p, Aqcoe6G271000.1.p, Aqcoe6G270900.1.p, Aqcoe6G271400.1.p, Aqcoe6G271500.2.p, Aqcoe6G271500.1.p, Aqcoe3G372600.3.p, Aqcoe3G372600.4.p, Aqcoe3G372600.2.p, Aqcoe3G372600.1.p, Aqcoe1G409000.1.p	Solyc12g088250.2.1, Solyc04g077670.3.1, Solyc04g079070.3.1, Solyc04g079047.1.1, Solyc04g079060.3.1, Solyc04g079040.3.1, Solyc12g088280.2.1, Solyc12g019570.2.1, Solyc04g077640.3.1, Solyc04g077630.3.1, Solyc04g077650.3.1, Solyc05g050770.3.1, Solyc05g050780.3.1
OG0000024	Aqcoe4G121400.1.p	Solyc07g052073.1.1, Solyc10g007930.3.1, Solyc10g007900.3.1, Solyc06g084770.2.1, Solyc07g052025.1.1
OG0000024	Aqcoe4G119900.1.p	Solyc07g061980.2.1
