Orthogroup	A_thaliana.proteins	V_vinifera.proteins
OG0000008	AT4G26800.1	VIT_205s0020g04920.1
OG0000008	AT1G64583.2, AT1G64583.1, AT5G16640.1, AT3G16710.2, AT3G16710.1, AT5G41170.2, AT5G41170.1, AT4G26800.3, AT4G26800.2, AT1G62680.1, AT1G62680.2, AT1G63070.1, AT1G12700.2, AT1G12700.3, AT1G12700.1, AT1G12620.1, AT1G12300.1, AT1G12775.1	VIT_214s0081g00270.1, VIT_214s0030g02280.1, VIT_214s0081g00120.1, VIT_202s0033g01375.1, VIT_214s0081g00280.1, VIT_212s0028g02320.1
OG0000011	AT4G08850.1, AT4G08850.2, AT1G35710.1	VIT_217s0000g02390.1, VIT_217s0000g02370.1
OG0000015	AT4G21380.1, AT4G21380.2, AT1G65800.2, AT1G65800.1, AT1G65790.3, AT1G65790.2, AT1G65790.1	VIT_200s0353g00060.4, VIT_200s0353g00060.5, VIT_200s0353g00060.3, VIT_200s0353g00060.2, VIT_200s0353g00060.1
OG0000016	AT3G47110.1, AT3G47580.1, AT3G47090.1, AT3G47570.1, AT5G39390.1, AT5G20480.1, AT5G20480.2	VIT_213s0067g00490.1
OG0000018	AT5G59540.1, AT5G59540.2, AT5G59530.1, AT1G04350.1, AT2G30830.1, AT2G25450.1, AT2G30840.1, AT2G30840.3, AT2G30840.2, AT1G06645.1, AT1G03410.1, AT1G03410.2, AT1G03400.2, AT1G03400.1, AT1G06620.2, AT1G06620.1	VIT_205s0049g00390.1, VIT_205s0049g00400.1, VIT_205s0049g00410.1, VIT_205s0049g00420.1, VIT_212s0028g02420.2, VIT_212s0028g02420.4, VIT_212s0028g02420.3, VIT_212s0028g02410.1, VIT_212s0028g02420.1, VIT_205s0049g00370.1, VIT_200s1313g00010.2, VIT_205s0049g00340.2, VIT_205s0049g00330.1, VIT_205s0049g00340.1, VIT_200s1313g00010.1, VIT_205s0049g00350.2, VIT_205s0049g00350.1, VIT_205s0049g00220.1, VIT_205s0049g00220.2, VIT_205s0049g00300.2, VIT_205s0049g00300.1, VIT_205s0049g00270.2, VIT_205s0049g00270.1, VIT_205s0049g00280.1, VIT_205s0049g00310.1
OG0000021	AT3G61040.1, AT3G61040.2, AT2G45560.2, AT2G45560.3, AT2G45560.1, AT2G45570.1, AT2G45550.1, AT1G33730.1, AT1G33730.2, AT1G33720.3, AT1G33720.5, AT1G33720.2, AT1G33720.4, AT1G33720.1	VIT_215s0048g01515.1, VIT_215s0048g01500.1, VIT_215s0048g01490.1, VIT_215s0048g01470.1, VIT_215s0048g01440.1, VIT_215s0048g01530.1, VIT_215s0048g01600.1, VIT_202s0012g02810.1, VIT_202s0012g02820.1, VIT_203s0097g00460.1
OG0000022	AT1G21150.2, AT1G21150.1, AT1G21150.3	VIT_207s0005g03850.1, VIT_207s0005g03840.1, VIT_207s0104g01500.1, VIT_207s0104g01560.1, VIT_207s0104g01505.1, VIT_207s0104g01495.1, VIT_207s0104g01550.1, VIT_204s0079g00125.1, VIT_207s0104g01530.1, VIT_207s0005g03860.1, VIT_207s0005g03870.1, VIT_207s0005g03890.1, VIT_207s0005g03880.1, VIT_207s0104g01490.1, VIT_207s0104g01485.1
OG0000022	AT5G64950.1	VIT_207s0031g01450.1
OG0000023	AT1G33540.1, AT1G33540.2	VIT_203s0091g01270.1, VIT_203s0091g01240.1, VIT_203s0091g01240.2, VIT_203s0088g00260.3, VIT_203s0088g00260.2, VIT_203s0088g00260.1, VIT_203s0088g00050.1, VIT_203s0088g00110.1, VIT_203s0091g01290.2, VIT_203s0091g01290.1
OG0000023	AT2G22920.3, AT3G10450.4, AT3G10450.2, AT3G10450.3, AT3G10450.1, AT1G73290.1, AT1G73290.2, AT1G73280.2, AT1G73290.3, AT1G73310.2, AT1G73310.1, AT1G73300.1, AT1G73280.4, AT1G73280.3, AT5G36180.3, AT5G36180.2, AT1G73310.3, AT5G36180.4, AT5G36180.5, AT1G73280.1, AT5G36180.1, AT1G73300.2, AT1G73270.1, AT1G73270.2, AT2G23010.2, AT2G23010.1, AT2G22990.4, AT2G22990.2, AT2G22990.6, AT2G22990.5, AT2G22990.3, AT2G22990.1, AT2G23000.1, AT2G23000.2, AT2G22970.4, AT2G22970.3, AT2G22920.1, AT2G22920.4, AT2G22970.2, AT2G22970.1, AT2G22980.1, AT2G22980.3, AT2G22980.5, AT2G22980.4, AT2G22980.2, AT2G22920.2, AT5G09640.1	VIT_218s0001g08840.1
OG0000024	AT1G17060.1	VIT_219s0027g00030.1, VIT_219s0135g00200.1
OG0000025	AT2G21210.1, AT2G21210.2	VIT_203s0038g01190.1, VIT_203s0038g01090.1, VIT_203s0038g01150.1, VIT_203s0038g01170.1, VIT_203s0038g01250.1, VIT_203s0038g01210.1, VIT_203s0038g01110.1, VIT_203s0038g01270.1, VIT_203s0038g01285.1, VIT_203s0038g01130.1, VIT_203s0038g01230.1, VIT_203s0038g01300.1, VIT_203s0038g01080.1, VIT_203s0038g01160.1, VIT_203s0038g01120.1, VIT_203s0038g01100.1, VIT_203s0038g01280.1, VIT_203s0038g01290.1, VIT_203s0038g01260.1, VIT_203s0038g01220.1, VIT_203s0038g01180.1
OG0000025	AT3G03820.1, AT3G03840.1, AT3G03850.1, AT3G03830.1, AT2G21200.1, AT4G38825.1, AT5G18020.1, AT5G18010.1, AT5G18080.1, AT5G18050.1, AT5G18060.1, AT5G18030.1, AT4G38850.1	VIT_218s0001g14000.1
OG0000025	AT4G34800.1	VIT_204s0023g00490.1, VIT_204s0023g00500.1, VIT_204s0023g00520.1, VIT_204s0023g00505.1, VIT_204s0023g00540.1, VIT_204s0023g00530.1, VIT_204s0023g00555.1, VIT_204s0023g00550.1, VIT_204s0023g00580.1, VIT_204s0023g00570.1, VIT_204s0023g00560.1
OG0000026	AT1G70080.1, AT5G48110.1	VIT_219s0014g04880.1, VIT_219s0014g04930.1, VIT_219s0014g04900.2, VIT_219s0015g02070.2, VIT_219s0015g02070.1, VIT_218s0082g00072.1
OG0000027	AT2G24520.4, AT5G57350.3	VIT_209s0002g00130.3, VIT_209s0002g00130.4
OG0000027	AT3G47950.1, AT3G47950.2, AT5G62670.1	VIT_217s0000g05540.1, VIT_214s0066g02550.1
OG0000027	AT3G60330.2, AT3G60330.1, AT3G60330.4, AT3G60330.3	VIT_215s0021g01660.4, VIT_215s0021g01660.3, VIT_215s0021g01660.1, VIT_215s0021g01660.2
OG0000027	AT1G17260.1	VIT_209s0002g00130.2, VIT_209s0002g00130.1
OG0000027	AT2G24520.3, AT2G24520.1, AT2G24520.2	VIT_204s0008g02460.1
OG0000027	AT2G07560.1, AT3G42640.1	VIT_211s0149g00210.1
OG0000027	AT1G80660.2, AT1G80660.1, AT1G80660.3, AT1G80660.4	VIT_209s0002g02260.1
OG0000028	AT1G47890.1, AT1G45616.1	VIT_218s0157g00040.1, VIT_212s0057g00750.1, VIT_212s0057g00760.1, VIT_212s0057g00800.1, VIT_212s0057g00620.1, VIT_213s0064g00135.1, VIT_212s0057g00780.1, VIT_216s0013g01700.1, VIT_216s0013g01730.1, VIT_219s0085g00160.1
OG0000029	AT1G21240.2, AT1G21240.1, AT1G21245.1, AT3G25490.1, AT1G21230.1, AT1G21250.1, AT1G21270.1, AT1G21210.1	VIT_218s0041g00020.1, VIT_218s0041g00040.1
OG0000029	AT1G22720.1	VIT_218s0001g01310.1
OG0000030	AT2G17070.1, AT2G17080.1, AT4G35210.1, AT4G35200.1, AT2G17043.1	VIT_203s0038g03350.1, VIT_203s0038g03360.1, VIT_203s0038g03390.1, VIT_203s0038g03370.1, VIT_203s0038g03380.1, VIT_203s0038g03280.1, VIT_203s0038g03320.1, VIT_203s0038g03290.1, VIT_203s0038g03300.1, VIT_203s0038g03340.1, VIT_214s0081g00742.1, VIT_214s0081g00734.1
OG0000030	AT4G35710.1, AT4G35690.1, AT2G17680.1	VIT_200s0976g00003.1, VIT_200s0560g00020.1, VIT_200s0517g00010.1, VIT_200s0869g00010.1, VIT_200s0560g00010.1, VIT_200s0517g00020.1, VIT_200s1235g00030.1, VIT_200s0976g00006.1, VIT_200s2386g00010.1
OG0000030	AT4G35720.1	VIT_200s0976g00010.1, VIT_200s1235g00020.1
OG0000031	AT3G21950.2, AT3G21950.1, AT5G38020.2, AT5G38020.1, AT2G14060.2, AT2G14060.1, AT5G66430.1, AT5G04380.3, AT5G04380.1, AT5G04380.2, AT3G11480.1, AT5G04370.1, AT5G04370.2, AT5G04370.3	VIT_204s0023g02200.3, VIT_204s0023g02200.1, VIT_204s0023g02200.4, VIT_204s0023g02200.2, VIT_204s0023g02210.1, VIT_204s0023g02210.2
OG0000031	AT4G36470.1	VIT_204s0023g02170.2, VIT_204s0023g02170.1
OG0000031	AT1G19640.1	VIT_218s0001g12880.1, VIT_218s0001g12900.1, VIT_218s0001g12890.1
OG0000032	AT3G04200.1, AT3G04180.1, AT3G04190.1, AT3G04150.2, AT3G04150.1, AT3G04170.1, AT3G05950.1, AT5G38940.2, AT5G38940.1, AT5G38930.1, AT5G38910.2, AT5G38910.1, AT5G38960.1, AT4G14630.1, AT5G39190.1, AT5G39190.2, AT5G39160.2, AT5G39160.3, AT5G39160.1, AT5G39130.1, AT5G39110.1, AT5G39100.1, AT5G39150.1, AT5G39180.1, AT5G39120.1	VIT_214s0128g00680.1, VIT_214s0128g00660.1, VIT_214s0128g00610.1, VIT_214s0128g00640.1, VIT_214s0128g00610.2, VIT_214s0060g02730.1, VIT_214s0128g00650.1, VIT_214s0128g00610.3, VIT_214s0128g01000.1, VIT_214s0128g00920.1, VIT_214s0128g00980.1, VIT_214s0128g01020.1, VIT_214s0128g00990.1, VIT_214s0128g00970.1, VIT_214s0060g02760.1, VIT_214s0128g01030.1, VIT_214s0128g01010.1, VIT_214s0060g02710.1, VIT_214s0060g02750.1, VIT_214s0128g00690.1
OG0000034	AT4G23320.2, AT4G23320.1, AT4G23320.3	VIT_200s0532g00070.1
OG0000034	AT4G23150.1, AT4G23140.2, AT4G23140.1, AT4G23160.1, AT4G23230.1, AT4G23180.3, AT4G23180.2, AT4G23180.1, AT4G05200.1, AT4G05200.2	VIT_203s0017g01550.1, VIT_203s0017g01550.2, VIT_202s0087g01020.1
OG0000034	AT4G23220.1	VIT_215s0024g01700.1, VIT_215s0024g01670.1, VIT_210s0092g00680.1
OG0000034	AT4G38830.1	VIT_200s0748g00020.1, VIT_200s0409g00010.1, VIT_200s0409g00020.1, VIT_200s0262g00130.1, VIT_200s0398g00060.1
OG0000037	AT4G31950.1, AT4G31970.1, AT4G31940.1	VIT_218s0001g11400.1
