Orthogroup	D_muscipula.proteins	Other
OG0000011	Dm_00013516-RA	Bevul.7G111600.1.p
OG0000027	Dm_00014996-RA, Dm_00013634-RA, Dm_00019371-RA, Dm_00002324-RA, Dm_00004939-RA, Dm_00004749-RA, Dm_00000738-RA	FUN_008000-T1
OG0000027	Dm_00019371-RA	AH022296-RA
OG0000027	Dm_00002324-RA, Dm_00004939-RA	AH000640-RA
OG0000027	Dm_00004749-RA, Dm_00000738-RA	AH014409-RA, AH020964-RA
OG0000163	Dm_00005033-RA, Dm_00013005-RA, Dm_00002817-RA, Dm_00007859-RA	AH010762-RA
OG0000163	Dm_00013005-RA	FUN_051143-T1
OG0000163	Dm_00002817-RA, Dm_00007859-RA	FUN_011634-T1
OG0000182	Dm_00018679-RA, Dm_00009374-RA	AT2G39010.2
OG0000182	Dm_00018679-RA, Dm_00009374-RA	AH012779-RA
OG0000182	Dm_00018679-RA, Dm_00009374-RA	FUN_014575-T2
OG0000182	Dm_00018679-RA, Dm_00009374-RA	VIT_203s0038g02520.1, VIT_203s0038g02520.3, VIT_203s0038g02520.4, VIT_203s0038g02520.2, VIT_206s0004g02850.2, VIT_208s0040g01890.2
OG0000182	Dm_00018679-RA, Dm_00009374-RA	Aqcoe1G144000.2.p
OG0000248	Dm_00006793-RA	FUN_009157-T1
OG0000394	Dm_00012359-RA	Solyc01g094890.3.1
OG0000491	Dm_00000304-RA, Dm_00001850-RA	Solyc06g072000.2.1, Solyc06g071980.3.1
OG0000532	Dm_00009378-RA	Solyc03g005500.1.1, Solyc09g089910.1.1
OG0000543	Dm_00018213-RA	AT4G09760.1, AT4G09760.2, AT1G71697.1
OG0000641	Dm_00011881-RA	Bevul.5G230800.1.p
OG0000641	Dm_00011881-RA	AH002552-RA, AH017861-RA
OG0000641	Dm_00011881-RA	Solyc09g018840.3.1
OG0000641	Dm_00011881-RA	Aqcoe7G286500.1.p
OG0000692	Dm_00020852-RA, Dm_00017236-RA	Lsat_1_v5_gn_1_59781.3, Lsat_1_v5_gn_1_59781.1, Lsat_1_v5_gn_6_37381.1, Lsat_1_v5_gn_6_37381.3
OG0000694	Dm_00002064-RA	AH016855-RA
OG0000698	Dm_00007721-RA	Lsat_1_v5_gn_7_31941.1, Lsat_1_v5_gn_7_31941.3
OG0000698	Dm_00007721-RA	AT1G30400.2, AT1G30400.1, AT2G34660.1, AT2G34660.2, AT2G34660.3
OG0000698	Dm_00007721-RA	VIT_210s0003g04460.1, VIT_210s0003g04460.2
