Orthogroup	G_max.proteins	A_thaliana.proteins
OG0000008	GmISU01.18G174900.1.p, GmISU01.09G219400.2.p, GmISU01.10G002600.4.p, GmISU01.10G002600.3.p, GmISU01.10G002600.1.p, GmISU01.02G002600.1.p	AT1G64583.2, AT1G64583.1, AT5G16640.1, AT3G16710.2, AT3G16710.1, AT5G41170.2, AT5G41170.1, AT4G26800.3, AT4G26800.2, AT1G62680.1, AT1G62680.2, AT1G63070.1, AT1G12700.2, AT1G12700.3, AT1G12700.1, AT1G12620.1, AT1G12300.1, AT1G12775.1
OG0000015	GmISU01.08G055600.2.p, GmISU01.08G055600.3.p, GmISU01.08G055600.1.p, GmISU01.15G061500.3.p, GmISU01.15G061500.4.p, GmISU01.15G061500.1.p, GmISU01.15G061500.2.p, GmISU01.13G214800.1.p	AT4G21380.1, AT4G21380.2, AT1G65800.2, AT1G65800.1, AT1G65790.3, AT1G65790.2, AT1G65790.1
OG0000015	GmISU01.06G218200.1.p	AT4G27290.2, AT4G27290.1
OG0000015	GmISU01.12G120000.2.p, GmISU01.12G120000.4.p, GmISU01.12G120000.3.p, GmISU01.12G120000.1.p, GmISU01.06G216900.1.p, GmISU01.06G217300.1.p, GmISU01.15G188700.1.p, GmISU01.06G216700.2.p, GmISU01.06G216700.1.p, GmISU01.06G216300.3.p, GmISU01.06G216300.1.p, GmISU01.12G120400.3.p, GmISU01.12G120400.1.p, GmISU01.12G120400.2.p, GmISU01.12G120400.4.p, GmISU01.12G120200.1.p, GmISU01.06G217000.1.p, GmISU01.13G133300.1.p	AT4G27300.1
OG0000018	GmISU01.18G125000.1.p, GmISU01.08G313800.1.p, GmISU01.08G313900.1.p, GmISU01.08G314000.1.p, GmISU01.09G114300.1.p, GmISU01.10G007000.1.p, GmISU01.10G007000.2.p, GmISU01.10G007000.3.p, GmISU01.10G006800.1.p, GmISU01.15G213400.1.p, GmISU01.07G106200.1.p, GmISU01.03G077100.1.p	AT5G59540.1, AT5G59540.2, AT5G59530.1, AT1G04350.1, AT2G30830.1, AT2G25450.1, AT2G30840.1, AT2G30840.3, AT2G30840.2, AT1G06645.1, AT1G03410.1, AT1G03410.2, AT1G03400.2, AT1G03400.1, AT1G06620.2, AT1G06620.1
OG0000021	GmISU01.07G075000.1.p, GmISU01.03G018200.1.p, GmISU01.18G170100.1.p, GmISU01.18G169800.1.p, GmISU01.18G169900.1.p	AT3G61040.1, AT3G61040.2, AT2G45560.2, AT2G45560.3, AT2G45560.1, AT2G45570.1, AT2G45550.1, AT1G33730.1, AT1G33730.2, AT1G33720.3, AT1G33720.5, AT1G33720.2, AT1G33720.4, AT1G33720.1
OG0000022	GmISU01.18G094000.2.p, GmISU01.18G094000.1.p, GmISU01.08G273600.1.p, GmISU01.08G273500.1.p, GmISU01.08G248900.1.p, GmISU01.18G094100.1.p, GmISU01.08G273400.1.p, GmISU01.18G094200.1.p, GmISU01.18G094400.1.p, GmISU01.18G094300.1.p, GmISU01.18G094300.2.p, GmISU01.18G094300.3.p, GmISU01.18G090800.1.p, GmISU01.08G272800.1.p, GmISU01.08G272700.2.p, GmISU01.18G094500.2.p, GmISU01.18G094500.1.p	AT5G07900.1
OG0000022	GmISU01.08G098000.1.p	AT5G64950.1
OG0000023	GmISU01.06G165800.1.p, GmISU01.13G189500.1.p, GmISU01.15G083700.1.p, GmISU01.06G042600.1.p, GmISU01.03G052600.2.p, GmISU01.03G052600.1.p	AT5G09640.1
OG0000025	GmISU01.04G006500.1.p, GmISU01.06G006000.1.p, GmISU01.04G006600.1.p, GmISU01.06G006100.1.p	AT2G21210.1, AT2G21210.2
