target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	816.771	37	6.37352
Dm_00008772-RA	1272	1071.77	87	11.4208
Dm_00008770-RA	1722	1521.77	137	12.6663
Dm_00008771-RA	636	435.906	41	13.2333
Dm_00008682-RA	906	705.771	303	60.4028
Dm_00008591-RA	1308	1107.77	125	15.8759
Dm_00008592-RA	2436	2235.77	472	29.7025
Dm_00008593-RA	759	558.771	818	205.967
Dm_00008594-RA	969	768.771	433	79.2445
Dm_00010209-RA	468	268.679	0	0
Dm_00010051-RA	693	492.771	2	0.571035
Dm_00009727-RA	234	56.895	0	0
Dm_00009728-RA	1161	960.771	0	0
Dm_00009413-RA	1368	1167.77	179	21.5662
Dm_00009412-RA	2105	1904.77	524	38.7049
Dm_00009411-RA	2682	2481.77	148	8.39031
Dm_00009410-RA	432	233.204	8	4.8265
Dm_00009021-RA	1668	1467.77	517	49.5576
Dm_00009020-RA	414	215.653	11	7.17653
Dm_00009748-RA	1554	1353.77	192	19.9542
Dm_00009749-RA	1092	891.771	222	35.025
Dm_00009750-RA	941	740.771	103	19.5628
Dm_00010290-RA	1116	915.771	88	13.5199
Dm_00010291-RA	969	768.771	5	0.915063
Dm_00007855-RA	945	744.771	302	57.0509
Dm_00007856-RA	786	585.771	127	30.5038
Dm_00007858-RA	2466	2265.77	308	19.1255
Dm_00007859-RA	2304	2103.77	181	12.1048
Dm_00007857-RA	873	672.771	108	22.5858
Dm_00009353-RA	471	271.652	32	16.5735
Dm_00009317-RA	312	120.272	130	152.075
Dm_00010173-RA	1548	1347.77	306	31.9436
Dm_00010171-RA	228	52.6289	33	88.2202
Dm_00010172-RA	258	75.032	1	1.87513
Dm_00009367-RA	1566	1365.77	448	46.1507
Dm_00009368-RA	171	16.4382	49	419.39
Dm_00009369-RA	984	783.771	75	13.4633
Dm_00009983-RA	1065	864.771	38	6.18245
Dm_00009982-RA	975	774.771	4	0.726381
Dm_00009984-RA	537	337.166	0	0
Dm_00009718-RA	1158	957.771	1149	168.786
Dm_00009717-RA	753	552.771	134	34.1065
Dm_00009950-RA	1842	1641.77	5	0.428485
Dm_00009953-RA	1437	1236.77	139	15.8126
Dm_00009948-RA	1638	1437.77	654	63.9979
Dm_00009949-RA	879	678.771	89	18.4478
Dm_00009951-RA	729	528.771	0	0
Dm_00009952-RA	444	245.037	0	0
Dm_00009009-RA	738	537.771	1	0.261626
Dm_00009010-RA	303	112.348	0	0
Dm_00009007-RA	891	690.771	0	0
Dm_00009008-RA	1164	963.771	64	9.34295
Dm_00009011-RA	3048	2847.77	3.00274	0.148351
Dm_00009012-RA	684	483.771	0	0
Dm_00010080-RA	1113	912.771	10	1.5414
Dm_00010081-RA	354	158.376	184	163.458
Dm_00010084-RA	1518	1317.77	233	24.8768
Dm_00010083-RA	1140	939.771	79	11.8272
Dm_00010082-RA	375	178.161	59	46.5925
Dm_00010098-RA	1200	999.771	3.26806	0.459904
Dm_00010096-RA	390	192.599	0	0
Dm_00010097-RA	666	465.817	136	41.0772
Dm_00008796-RA	414	215.653	0	0
Dm_00010370-RA	1886	1685.77	352	29.378
Dm_00010369-RA	192	28.6003	0	0
Dm_00009774-RA	1998	1797.77	350	27.3912
Dm_00009775-RA	354	158.376	62	55.0781
Dm_00010288-RA	1401	1200.77	52	6.09286
Dm_00009493-RA	963	762.771	237	43.7152
Dm_00009494-RA	984	783.771	163	29.2601
Dm_00009495-RA	714	513.771	0	0
Dm_00006316-RA	993	792.771	1	0.177472
Dm_00008938-RA	897	696.771	362	73.0965
Dm_00008942-RA	1680	1479.77	348	33.0874
Dm_00008940-RA	834	633.771	86	19.0917
Dm_00008939-RA	651	450.817	80	24.967
Dm_00008941-RA	531	331.266	87	36.9505
Dm_00010031-RA	3168	2967.77	509	24.1304
Dm_00009533-RA	1185	984.771	109	15.5729
Dm_00009536-RA	1041	840.771	1246.72	208.627
Dm_00009535-RA	792	591.771	1558	370.418
Dm_00009534-RA	1146	945.771	2377	353.607
Dm_00009696-RA	606	405.947	0	0
Dm_00009720-RA	456	256.811	5	2.73927
Dm_00009719-RA	795	594.771	0	0
Dm_00009254-RA	1287	1086.77	62	8.0266
Dm_00009255-RA	4353	4152.77	58	1.96502
Dm_00009256-RA	834	633.771	212	47.0632
Dm_00009072-RA	282	94.3858	0	0
Dm_00009813-RA	6525	6324.77	381	8.47536
Dm_00009814-RA	2781	2580.77	78	4.25229
Dm_00009915-RA	564	364.026	0	0
Dm_00009914-RA	258	75.032	0	0
Dm_00009695-RA	2650	2449.77	594	34.1145
Dm_00009694-RA	624	423.906	101	33.522
Dm_00009693-RA	861	660.771	104	22.1442
Dm_00008273-RA	1188	987.771	14	1.99411
Dm_00008274-RA	912	711.771	61	12.0578
Dm_00008656-RA	612	411.947	0	0
Dm_00009771-RA	1848	1647.77	14	1.19539
Dm_00010784-RA	594	393.987	0	0
Dm_00010112-RA	711	510.771	705	194.196
Dm_00010111-RA	402	204.181	101	69.5958
Dm_00009955-RA	255	72.6715	17	32.9126
Dm_00009954-RA	1899	1698.77	169	13.9968
Dm_00010107-RA	1728	1527.77	296	27.2591
Dm_00010108-RA	582	382.026	1	0.368286
Dm_00010391-RA	2043	1842.77	934	71.3105
Dm_00010390-RA	711	510.771	0	0
Dm_00008774-RA	1182	981.771	270	38.6929
Dm_00008773-RA	2106	1905.77	326	24.0672
Dm_00009260-RA	264	79.7518	1573	2775.02
Dm_00009262-RA	1596	1395.77	760	76.6086
Dm_00009259-RA	873	672.771	1	0.209127
Dm_00009261-RA	858	657.771	215	45.9877
Dm_00010532-RA	2697	2496.77	110	6.19858
Dm_00008895-RA	687	486.771	439	126.887
Dm_00010337-RA	1866	1665.77	1310	110.646
