Orthogroup	A_hypochondriacus.proteins	A_thaliana.proteins
OG0000008	AH000127-RA	AT4G26800.1
OG0000011	AH002194-RA	AT4G08850.1, AT4G08850.2, AT1G35710.1
OG0000015	AH015162-RA, AH021574-RA	AT4G21380.1, AT4G21380.2, AT1G65800.2, AT1G65800.1, AT1G65790.3, AT1G65790.2, AT1G65790.1
OG0000016	AH013795-RA	AT3G47110.1, AT3G47580.1, AT3G47090.1, AT3G47570.1, AT5G39390.1, AT5G20480.1, AT5G20480.2
OG0000018	AH019393-RA	AT5G59540.1, AT5G59540.2, AT5G59530.1, AT1G04350.1, AT2G30830.1, AT2G25450.1, AT2G30840.1, AT2G30840.3, AT2G30840.2, AT1G06645.1, AT1G03410.1, AT1G03410.2, AT1G03400.2, AT1G03400.1, AT1G06620.2, AT1G06620.1
OG0000021	AH022150-RA, AH022153-RA, AH022151-RA, AH009173-RA, AH009171-RA, AH009170-RA, AH006881-RA, AH009424-RA, AH022152-RA, AH002452-RA, AH003417-RA, AH000687-RA, AH004291-RA, AH023178-RA, AH022149-RA, AH022148-RA	AT3G61040.1, AT3G61040.2, AT2G45560.2, AT2G45560.3, AT2G45560.1, AT2G45570.1, AT2G45550.1, AT1G33730.1, AT1G33730.2, AT1G33720.3, AT1G33720.5, AT1G33720.2, AT1G33720.4, AT1G33720.1
OG0000023	AH000663-RA	AT1G33540.1, AT1G33540.2
OG0000024	AH017854-RA, AH007410-RA	AT1G17060.1
OG0000025	AH001710-RA, AH001709-RA, AH023136-RA	AT4G34770.1
OG0000025	AH001717-RA, AH001716-RA, AH001699-RA, AH001703-RA, AH001700-RA, AH001701-RA, AH001705-RA, AH001698-RA, AH001704-RA	AT4G34800.1
OG0000026	AH012493-RA	AT5G23960.2, AT5G23960.1
OG0000027	AH002791-RA	AT2G24520.4, AT5G57350.3, AT3G47950.1, AT3G47950.2, AT5G62670.1
OG0000027	AH009374-RA	AT3G60330.2, AT3G60330.1, AT3G60330.4, AT3G60330.3
OG0000028	AH018624-RA, AH018623-RA, AH019531-RA, AH013997-RA, AH020917-RA, AH018563-RA, AH017819-RA, AH017820-RA, AH017818-RA, AH020918-RA, AH013996-RA, AH019532-RA, AH010516-RA	AT1G47890.1, AT1G45616.1
OG0000029	AH011677-RA, AH011675-RA, AH011673-RA, AH011672-RA, AH020079-RA, AH011691-RA, AH011681-RA	AT1G21240.2, AT1G21240.1, AT1G21245.1, AT3G25490.1, AT1G21230.1, AT1G21250.1, AT1G21270.1, AT1G21210.1
OG0000030	AH004946-RA, AH004294-RA	AT4G35680.1, AT4G35660.1
OG0000030	AH016837-RA, AH023677-RA, AH023678-RA, AH002346-RA	AT2G17070.1, AT2G17080.1, AT4G35210.1, AT4G35200.1, AT2G17043.1
OG0000030	AH004951-RA, AH004295-RA	AT4G35720.1
OG0000031	AH005774-RA	AT4G36470.1
OG0000031	AH010116-RA	AT1G19640.1
OG0000032	AH008800-RA, AH014263-RA, AH017723-RA, AH022573-RA, AH003819-RA	AT3G04200.1, AT3G04180.1, AT3G04190.1, AT3G04150.2, AT3G04150.1, AT3G04170.1, AT3G05950.1, AT5G38940.2, AT5G38940.1, AT5G38930.1, AT5G38910.2, AT5G38910.1, AT5G38960.1, AT4G14630.1, AT5G39190.1, AT5G39190.2, AT5G39160.2, AT5G39160.3, AT5G39160.1, AT5G39130.1, AT5G39110.1, AT5G39100.1, AT5G39150.1, AT5G39180.1, AT5G39120.1
OG0000034	AH015068-RA	AT4G23150.1, AT4G23140.2, AT4G23140.1, AT4G23160.1, AT4G23230.1, AT4G23180.3, AT4G23180.2, AT4G23180.1, AT4G05200.1, AT4G05200.2, AT4G23220.1, AT4G38830.1
OG0000037	AH022157-RA, AH022156-RA	AT3G25180.1, AT3G25180.2
OG0000041	AH002675-RA, AH017708-RA	AT5G49330.1, AT3G62610.1, AT2G47460.1
OG0000042	AH016437-RA	AT1G07440.2, AT2G29170.1
OG0000042	AH022589-RA	AT2G29350.3, AT2G29350.1, AT2G29350.2, AT2G29290.2, AT2G29290.1, AT2G29360.1, AT2G29150.1, AT2G29370.1
