target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	817.365	155	11.3756
Dm_00008772-RA	1272	1072.37	149.26	8.34947
Dm_00008770-RA	1722	1522.37	417	16.4314
Dm_00008771-RA	636	436.874	82	11.2594
Dm_00008682-RA	906	706.365	68	5.77482
Dm_00008591-RA	1308	1108.37	51	2.76023
Dm_00008592-RA	2436	2236.36	1125	30.1765
Dm_00008593-RA	759	559.485	5542	594.206
Dm_00008594-RA	969	769.365	1492	116.331
Dm_00010209-RA	468	269.986	0	0
Dm_00010051-RA	693	493.593	6	0.72919
Dm_00009727-RA	234	57.4014	0	0
Dm_00009728-RA	1161	961.365	1	0.0623979
Dm_00009413-RA	1368	1168.37	255	13.0924
Dm_00009412-RA	2105	1905.37	408	12.8452
Dm_00009411-RA	2682	2482.36	276	6.66963
Dm_00009410-RA	432	234.511	18	4.60435
Dm_00009021-RA	1668	1468.37	733	29.9453
Dm_00009020-RA	414	216.963	25	6.91215
Dm_00009748-RA	1554	1354.37	409	18.1153
Dm_00009749-RA	1092	892.365	557	37.4431
Dm_00009750-RA	941	741.365	204	16.5066
Dm_00010290-RA	1116	916.365	87	5.6952
Dm_00010291-RA	969	769.365	631	49.1989
Dm_00007855-RA	945	745.365	657	52.8756
Dm_00007856-RA	786	586.428	335.298	34.2986
Dm_00007858-RA	2466	2266.36	2039	53.9692
Dm_00007859-RA	2304	2104.36	1139	32.4684
Dm_00007857-RA	873	673.365	363	32.3381
Dm_00009353-RA	471	272.877	41	9.01313
Dm_00009317-RA	312	121.332	91	44.991
Dm_00010173-RA	1548	1348.37	280	12.4569
Dm_00010171-RA	228	52.9879	11	12.453
Dm_00010172-RA	258	76.0343	3	2.36685
Dm_00009367-RA	1566	1366.37	952	41.7954
Dm_00009368-RA	171	16.194	86	318.569
Dm_00009369-RA	984	784.365	326	24.932
Dm_00009983-RA	1065	865.365	203	14.072
Dm_00009982-RA	975	775.365	6	0.464198
Dm_00009984-RA	537	338.103	0	0
Dm_00009718-RA	1158	958.365	2639	165.184
Dm_00009717-RA	753	553.485	192	20.8091
Dm_00009950-RA	1842	1642.37	29	1.05922
Dm_00009953-RA	1437	1237.37	643	31.1725
Dm_00009948-RA	1638	1438.37	521	21.7284
Dm_00009949-RA	879	679.365	363	32.0525
Dm_00009951-RA	729	529.593	0	0
Dm_00009952-RA	444	246.271	3	0.730747
Dm_00009009-RA	738	538.593	1.00122	0.111514
Dm_00009010-RA	303	113.717	0	0
Dm_00009007-RA	891	691.365	0	0
Dm_00009008-RA	1164	964.365	75	4.66529
Dm_00009011-RA	3048	2848.36	27.0125	0.56889
Dm_00009012-RA	684	484.739	0	0
Dm_00010080-RA	1113	913.365	25	1.64193
Dm_00010081-RA	354	159.918	361	135.415
Dm_00010084-RA	1518	1318.37	644	29.3028
Dm_00010083-RA	1140	940.365	275	17.5426
Dm_00010082-RA	375	179.455	105	35.0989
Dm_00010098-RA	1200	1000.37	1	0.0599653
Dm_00010096-RA	390	193.757	0	0
Dm_00010097-RA	666	466.739	101	12.9809
Dm_00008796-RA	414	216.963	0	0
Dm_00010370-RA	1886	1686.37	1050	37.3505
Dm_00010369-RA	192	28.48	0	0
Dm_00009774-RA	1998	1798.37	457	15.2439
Dm_00009775-RA	354	159.918	127	47.6391
Dm_00010288-RA	1401	1201.37	977	48.7841
Dm_00009493-RA	963	763.365	324	25.4608
Dm_00009494-RA	984	784.365	133	10.1717
Dm_00009495-RA	714	514.593	0	0
Dm_00006316-RA	993	793.365	1	0.0756111
Dm_00008938-RA	897	697.365	417	35.8703
Dm_00008942-RA	1680	1480.37	674	27.3118
Dm_00008940-RA	834	634.365	149	14.0898
Dm_00008939-RA	651	451.785	151	20.0495
Dm_00008941-RA	531	332.103	152	27.4555
Dm_00010031-RA	3168	2968.36	948	19.158
Dm_00009533-RA	1185	985.365	4	0.243513
Dm_00009536-RA	1041	841.365	28.3196	2.01912
Dm_00009535-RA	792	592.428	1171	118.571
Dm_00009534-RA	1146	946.365	1043	66.1126
Dm_00009696-RA	606	406.916	0	0
Dm_00009720-RA	456	258.145	1	0.232378
Dm_00009719-RA	795	595.428	0	0
Dm_00009254-RA	1287	1087.37	76	4.19273
Dm_00009255-RA	4353	4153.36	59	0.852139
Dm_00009256-RA	834	634.365	718	67.8959
Dm_00009072-RA	282	95.8397	0	0
Dm_00009813-RA	6525	6325.36	1120	10.6216
Dm_00009814-RA	2781	2581.36	234	5.43782
Dm_00009915-RA	564	365.032	0	0
Dm_00009914-RA	258	76.0343	0	0
Dm_00009695-RA	2650	2450.36	661	16.1819
Dm_00009694-RA	624	424.916	183	25.8349
Dm_00009693-RA	861	661.365	159	14.4216
Dm_00008273-RA	1188	988.365	16	0.971094
