target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	814.73	114	10.4797
Dm_00008772-RA	1272	1069.73	100	7.0014
Dm_00008770-RA	1722	1519.73	219	10.7929
Dm_00008771-RA	636	434.07	75	12.9408
Dm_00008682-RA	906	703.73	250	26.6068
Dm_00008591-RA	1308	1105.73	70	4.74141
Dm_00008592-RA	2436	2233.73	756	25.3484
Dm_00008593-RA	759	556.865	1509	202.954
Dm_00008594-RA	969	766.73	1157	113.019
Dm_00010209-RA	468	267.497	0	0
Dm_00010051-RA	693	491.022	8	1.22025
Dm_00009727-RA	234	57.3029	0	0
Dm_00009728-RA	1161	958.73	0	0
Dm_00009413-RA	1368	1165.73	359	23.0651
Dm_00009412-RA	2105	1902.73	1056	41.5667
Dm_00009411-RA	2682	2479.73	171	5.16477
Dm_00009410-RA	432	232.698	10	3.21859
Dm_00009021-RA	1668	1465.73	181	9.24876
Dm_00009020-RA	414	215.192	61	21.2306
Dm_00009748-RA	1554	1351.73	222	12.3005
Dm_00009749-RA	1092	889.73	478	40.2373
Dm_00009750-RA	941	738.73	273	27.6781
Dm_00010290-RA	1116	913.73	131	10.7377
Dm_00010291-RA	969	766.73	3	0.293047
Dm_00007855-RA	945	742.73	505	50.9236
Dm_00007856-RA	786	583.865	260	33.3519
Dm_00007858-RA	2466	2263.73	632	20.9099
Dm_00007859-RA	2304	2101.73	339	12.0804
Dm_00007857-RA	873	670.865	62	6.92175
Dm_00009353-RA	471	270.416	54	14.9562
Dm_00009317-RA	312	120.213	270	168.218
Dm_00010173-RA	1548	1345.73	485	26.9925
Dm_00010171-RA	228	52.8354	44	62.3716
Dm_00010172-RA	258	75.3945	3	2.98017
Dm_00009367-RA	1566	1363.73	839	46.0779
Dm_00009368-RA	171	16.4952	78	354.156
Dm_00009369-RA	984	781.73	671	64.2872
Dm_00009983-RA	1065	862.73	36	3.12526
Dm_00009982-RA	975	772.73	70	6.78468
Dm_00009984-RA	537	335.964	0	0
Dm_00009718-RA	1158	955.73	2584	202.496
Dm_00009717-RA	753	550.865	288	39.1567
Dm_00009950-RA	1842	1639.73	7	0.319731
Dm_00009953-RA	1437	1234.73	161	9.76591
Dm_00009948-RA	1638	1435.73	907	47.3144
Dm_00009949-RA	879	676.73	141	15.605
Dm_00009951-RA	729	526.918	0	0
Dm_00009952-RA	444	244.217	0	0
Dm_00009009-RA	738	535.865	0	0
Dm_00009010-RA	303	112.62	1.01176	0.672853
Dm_00009007-RA	891	688.73	0	0
Dm_00009008-RA	1164	961.73	119	9.26729
Dm_00009011-RA	3048	2845.73	0	0
Dm_00009012-RA	684	482.022	0	0
Dm_00010080-RA	1113	910.73	7	0.575662
Dm_00010081-RA	354	158.186	386	182.759
Dm_00010084-RA	1518	1315.73	457	26.0141
Dm_00010083-RA	1140	937.73	229	18.2901
Dm_00010082-RA	375	177.836	91	38.3249
Dm_00010098-RA	1200	997.73	0	0
Dm_00010096-RA	390	192.219	0	0
Dm_00010097-RA	666	464.07	277	44.7049
Dm_00008796-RA	414	215.192	0	0
Dm_00010370-RA	1886	1683.73	577	25.6662
Dm_00010369-RA	192	28.7027	0	0
Dm_00009774-RA	1998	1795.73	403	16.8083
Dm_00009775-RA	354	158.186	183	86.6449
Dm_00010288-RA	1401	1198.73	126	7.87242
Dm_00009493-RA	963	760.73	347	34.1631
Dm_00009494-RA	984	781.73	276	26.443
Dm_00009495-RA	714	512.022	0	0
Dm_00006316-RA	993	790.73	3	0.284153
Dm_00008938-RA	897	694.73	472	50.8844
Dm_00008942-RA	1680	1477.73	531	26.9128
Dm_00008940-RA	834	631.865	130	15.4091
Dm_00008939-RA	651	449.07	130	21.6815
