Orthogroup	B_vulgaris.proteins	G_max.proteins
OG0000009	Bevul.8G212100.1.p, Bevul.1G086700.1.p, Bevul.1G091900.1.p, Bevul.7G138300.1.p, Bevul.8G195200.1.p	GmISU01.13G229500.1.p
OG0000011	Bevul.9G145000.1.p	GmISU01.14G044700.1.p, GmISU01.14G044300.1.p, GmISU01.14G044500.1.p, GmISU01.02G229500.1.p, GmISU01.18G194700.1.p, GmISU01.18G195400.1.p, GmISU01.18G194900.1.p, GmISU01.09G200100.1.p, GmISU01.09G199900.1.p, GmISU01.16G059100.1.p, GmISU01.16G058300.1.p, GmISU01.16G058900.1.p, GmISU01.16G058000.1.p, GmISU01.16G058100.1.p, GmISU01.16G058300.2.p, GmISU01.16G058100.2.p, GmISU01.16G058800.1.p, GmISU01.16G057900.1.p, GmISU01.16G058400.1.p, GmISU01.16G058500.1.p, GmISU01.16G057800.1.p, GmISU01.16G057700.1.p, GmISU01.19G061700.1.p, GmISU01.18G147800.2.p, GmISU01.18G147800.3.p, GmISU01.18G147800.1.p, GmISU01.18G148600.1.p, GmISU01.18G148500.1.p
OG0000011	Bevul.3G168100.1.p	GmISU01.18G201800.1.p, GmISU01.03G020400.1.p, GmISU01.03G020400.3.p, GmISU01.03G023800.1.p, GmISU01.18G198300.1.p, GmISU01.18G199000.1.p, GmISU01.18G199100.1.p, GmISU01.18G198900.1.p, GmISU01.18G198900.2.p, GmISU01.18G202300.1.p, GmISU01.18G198600.1.p, GmISU01.18G198700.1.p, GmISU01.18G210800.1.p
OG0000011	Bevul.7G111500.1.p, Bevul.7G111300.1.p	GmISU01.03G128600.1.p, GmISU01.19G132900.1.p, GmISU01.19G132800.1.p, GmISU01.03G128900.1.p, GmISU01.03G128500.2.p, GmISU01.03G129000.1.p
OG0000015	Bevul.8G062600.1.p	GmISU01.08G055600.2.p, GmISU01.08G055600.3.p, GmISU01.08G055600.1.p, GmISU01.15G061500.3.p, GmISU01.15G061500.4.p, GmISU01.15G061500.1.p, GmISU01.15G061500.2.p, GmISU01.13G214800.1.p
OG0000015	Bevul.9G113800.1.p, Bevul.9G113800.4.p, Bevul.9G113800.3.p, Bevul.9G113800.5.p, Bevul.9G113800.2.p, Bevul.9G014400.2.p, Bevul.9G014400.3.p, Bevul.9G014400.1.p	GmISU01.06G218200.1.p
OG0000016	Bevul.9G175500.1.p, Bevul.9G175500.3.p, Bevul.9G175500.2.p, Bevul.9G175700.1.p, Bevul.9G175800.1.p, Bevul.9G176100.1.p, Bevul.9G176000.1.p, Bevul.9G176400.1.p, Bevul.8G121500.1.p, Bevul.9G175900.1.p, Bevul.9G176500.1.p	GmISU01.07G135800.1.p, GmISU01.09G176600.1.p, GmISU01.09G047000.2.p, GmISU01.09G047000.1.p, GmISU01.09G175700.2.p, GmISU01.09G175700.1.p, GmISU01.01G116100.1.p, GmISU01.01G118200.1.p, GmISU01.15G176300.1.p, GmISU01.03G072500.1.p, GmISU01.13G231200.1.p, GmISU01.09G176400.1.p, GmISU01.04G104000.1.p, GmISU01.01G116000.1.p
OG0000018	Bevul.6G029800.1.p, Bevul.3G012700.1.p, Bevul.3G012800.1.p	GmISU01.18G125000.1.p, GmISU01.08G313800.1.p, GmISU01.08G313900.1.p, GmISU01.08G314000.1.p, GmISU01.09G114300.1.p
OG0000018	Bevul.3G094700.1.p, Bevul.3G094800.1.p, Bevul.6G052200.1.p, Bevul.3G190300.1.p	GmISU01.10G007000.1.p, GmISU01.10G007000.2.p, GmISU01.10G007000.3.p, GmISU01.10G006800.1.p, GmISU01.15G213400.1.p, GmISU01.07G106200.1.p, GmISU01.03G077100.1.p
OG0000018	Bevul.3G188900.1.p, Bevul.3G012200.1.p, Bevul.3G012300.1.p, Bevul.3G012500.1.p, Bevul.3G012400.1.p, Bevul.5G246300.1.p	GmISU01.13G093800.1.p
OG0000021	Bevul.5G038600.1.p, Bevul.2G167900.1.p, Bevul.8G145800.1.p, Bevul.8G146100.1.p, Bevul.5G040400.1.p	GmISU01.10G209300.1.p, GmISU01.10G209200.1.p, GmISU01.20G112900.1.p, GmISU01.20G113000.1.p, GmISU01.10G167700.1.p, GmISU01.11G099600.1.p, GmISU01.13G228800.1.p
OG0000021	Bevul.5G145300.1.p, Bevul.1G126100.1.p, Bevul.1G126200.1.p, Bevul.1G126300.1.p, Bevul.1G126500.1.p, Bevul.1G126400.1.p, Bevul.2G184100.1.p, Bevul.9G220700.1.p, Bevul.9G220500.1.p, Bevul.9G220600.1.p, Bevul.9G219000.1.p, Bevul.1G207900.1.p, Bevul.1G207800.1.p	GmISU01.07G075000.1.p, GmISU01.03G018200.1.p, GmISU01.18G170100.1.p, GmISU01.18G169800.1.p, GmISU01.18G169900.1.p
OG0000022	Bevul.7G006300.1.p	GmISU01.15G141400.1.p
OG0000022	Bevul.1G097600.1.p	GmISU01.08G098000.1.p
OG0000023	Bevul.1G139100.1.p, Bevul.3G136100.1.p, Bevul.3G136400.1.p, Bevul.3G136300.1.p	GmISU01.20G031800.1.p, GmISU01.20G031800.5.p, GmISU01.20G031800.4.p, GmISU01.20G031800.3.p, GmISU01.20G031800.2.p, GmISU01.13G051100.1.p
OG0000023	Bevul.1G009300.1.p	GmISU01.06G165800.1.p, GmISU01.13G189500.1.p, GmISU01.15G083700.1.p, GmISU01.06G042600.1.p, GmISU01.03G052600.2.p, GmISU01.03G052600.1.p
OG0000024	Bevul.7G020900.1.p, Bevul.7G020600.1.p	GmISU01.06G198800.2.p, GmISU01.06G198800.1.p
OG0000025	Bevul.9G156900.1.p	GmISU01.09G178800.1.p, GmISU01.09G177900.1.p, GmISU01.12G030900.1.p
OG0000025	Bevul.9G157100.1.p	GmISU01.06G005700.1.p
OG0000025	Bevul.9G157000.1.p, Bevul.9G157500.1.p, Bevul.9G157400.1.p	GmISU01.06G005600.1.p, GmISU01.04G006100.1.p, GmISU01.12G030800.2.p, GmISU01.09G177800.1.p
OG0000027	Bevul.5G197000.1.p	GmISU01.17G087900.3.p, GmISU01.17G087900.4.p, GmISU01.17G087900.1.p, GmISU01.17G087900.7.p, GmISU01.05G027900.3.p, GmISU01.05G027900.1.p, GmISU01.05G027900.4.p, GmISU01.05G027900.5.p, GmISU01.17G087900.6.p, GmISU01.17G087900.5.p, GmISU01.05G027900.2.p, GmISU01.04G141400.1.p, GmISU01.04G141400.3.p, GmISU01.06G173000.1.p, GmISU01.13G043700.1.p, GmISU01.19G016900.1.p
OG0000027	Bevul.1G144100.1.p	GmISU01.07G101400.2.p, GmISU01.07G101400.3.p, GmISU01.07G101400.1.p, GmISU01.03G083300.2.p, GmISU01.07G101400.4.p, GmISU01.03G083300.1.p
OG0000027	Bevul.7G159800.1.p	GmISU01.03G219100.5.p, GmISU01.03G219100.4.p, GmISU01.03G219100.2.p, GmISU01.03G219100.3.p, GmISU01.03G219100.1.p
OG0000027	Bevul.2G132800.2.p, Bevul.2G132800.1.p	GmISU01.09G051300.3.p, GmISU01.09G051300.2.p, GmISU01.09G051300.1.p, GmISU01.15G147800.1.p, GmISU01.15G147800.2.p, GmISU01.13G070700.1.p, GmISU01.17G056800.1.p, GmISU01.04G069000.3.p, GmISU01.04G069000.1.p, GmISU01.06G069900.1.p, GmISU01.14G113600.1.p, GmISU01.17G172700.1.p
OG0000027	Bevul.8G159900.1.p	GmISU01.13G129000.1.p, GmISU01.17G095200.1.p, GmISU01.15G177700.1.p, GmISU01.13G129000.2.p, GmISU01.13G129000.3.p, GmISU01.17G095200.5.p, GmISU01.17G095200.6.p, GmISU01.17G095200.4.p, GmISU01.17G095200.3.p, GmISU01.17G095200.2.p
OG0000027	Bevul.9G228300.1.p, Bevul.9G228300.2.p	GmISU01.13G326900.3.p, GmISU01.13G326900.4.p, GmISU01.15G003900.2.p, GmISU01.13G326900.1.p, GmISU01.15G003900.1.p, GmISU01.08G201200.2.p, GmISU01.07G023600.3.p, GmISU01.08G201200.1.p, GmISU01.07G023600.2.p, GmISU01.07G023600.1.p
OG0000029	Bevul.3G107500.1.p, Bevul.3G108400.1.p, Bevul.3G107400.1.p, Bevul.3G107700.1.p, Bevul.3G135600.1.p, Bevul.3G108200.1.p, Bevul.3G108600.1.p, Bevul.3G108500.1.p, Bevul.3G108800.1.p	GmISU01.13G017500.3.p, GmISU01.13G017500.1.p, GmISU01.13G017500.2.p, GmISU01.14G128400.1.p, GmISU01.14G128600.2.p, GmISU01.14G128600.1.p, GmISU01.14G128600.3.p, GmISU01.14G128500.2.p, GmISU01.14G128500.1.p, GmISU01.14G128700.1.p, GmISU01.14G128700.2.p, GmISU01.13G017400.1.p, GmISU01.14G128200.1.p, GmISU01.14G128100.1.p, GmISU01.13G017200.1.p
OG0000030	Bevul.6G220100.1.p	GmISU01.11G076400.1.p, GmISU01.01G123300.1.p, GmISU01.16G098900.1.p, GmISU01.02G039700.1.p, GmISU01.11G076200.1.p, GmISU01.01G123500.1.p
OG0000030	Bevul.1G036200.1.p, Bevul.1G036300.1.p, Bevul.1G036100.1.p, Bevul.1G036000.1.p, Bevul.1G035800.1.p, Bevul.1G035900.1.p, Bevul.4G024300.1.p, Bevul.4G024500.1.p, Bevul.4G024400.1.p, Bevul.4G024600.1.p, Bevul.4G023700.1.p, Bevul.4G024100.1.p, Bevul.4G024000.1.p, Bevul.4G023800.1.p, Bevul.4G023900.1.p, Bevul.4G024200.1.p, Bevul.4G024700.1.p, Bevul.4G023200.1.p, Bevul.4G023500.1.p, Bevul.4G024800.1.p, Bevul.4G023100.1.p, Bevul.4G023400.1.p, Bevul.4G023600.1.p, Bevul.9G124900.1.p, Bevul.9G124800.1.p	GmISU01.04G010900.2.p, GmISU01.04G010900.1.p, GmISU01.06G010100.1.p, GmISU01.11G106600.1.p, GmISU01.12G037500.1.p, GmISU01.11G106666.1.p, GmISU01.11G106732.1.p, GmISU01.12G037800.1.p, GmISU01.12G037600.1.p, GmISU01.12G038000.1.p, GmISU01.11G106900.1.p, GmISU01.04G010700.1.p, GmISU01.06G010000.1.p, GmISU01.04G011100.1.p, GmISU01.04G011000.1.p, GmISU01.11G107000.1.p, GmISU01.04G010600.1.p, GmISU01.06G009800.1.p, GmISU01.12G037900.1.p, GmISU01.11G106800.1.p, GmISU01.06G009900.1.p, GmISU01.04G011200.1.p, GmISU01.04G010800.1.p, GmISU01.12G038100.1.p, GmISU01.12G038200.1.p, GmISU01.12G038300.1.p, GmISU01.19G061000.1.p, GmISU01.11G107100.1.p, GmISU01.11G107200.1.p
OG0000030	Bevul.6G220800.1.p	GmISU01.16G098600.1.p, GmISU01.02G039300.1.p, GmISU01.01G124100.1.p, GmISU01.11G075600.1.p
