Orthogroup	A_vesiculosa.proteins	G_max.proteins
OG0000004	Av_00021085-RA, Av_00017332-RA, Av_00020245-RA, Av_00022895-RA, Av_00016045-RA, Av_00010786-RA, Av_00016655-RA, Av_00002333-RA, Av_00022396-RA, Av_00012654-RA, Av_00018301-RA, Av_00018072-RA, Av_00013431-RA, Av_00007050-RA, Av_00013496-RA, Av_00006792-RA, Av_00007387-RA, Av_00007610-RA, Av_00010923-RA, Av_00022969-RA, Av_00012080-RA, Av_00010527-RA, Av_00017192-RA, Av_00001811-RA, Av_00021703-RA, Av_00017287-RA, Av_00019734-RA, Av_00012087-RA, Av_00016629-RA, Av_00007611-RA, Av_00005875-RA, Av_00018770-RA, Av_00008585-RA, Av_00017451-RA, Av_00012246-RA, Av_00014084-RA, Av_00002165-RA, Av_00009477-RA, Av_00006793-RA, Av_00017193-RA, Av_00011747-RA, Av_00015851-RA, Av_00024618-RA, Av_00023339-RA, Av_00020528-RA, Av_00015718-RA, Av_00023813-RA, Av_00019177-RA, Av_00020244-RA, Av_00005111-RA, Av_00018074-RA, Av_00005107-RA, Av_00003109-RA, Av_00009979-RA, Av_00024303-RA, Av_00023380-RA, Av_00018948-RA, Av_00009972-RA, Av_00019258-RA, Av_00001240-RA, Av_00022001-RA, Av_00011326-RA, Av_00016460-RA, Av_00023100-RA, Av_00022044-RA, Av_00020971-RA, Av_00012462-RA, Av_00003257-RA, Av_00022055-RA, Av_00013829-RA, Av_00015699-RA, Av_00015710-RA, Av_00013432-RA, Av_00010787-RA, Av_00020409-RA, Av_00021999-RA, Av_00024213-RA, Av_00020312-RA, Av_00019261-RA, Av_00021815-RA, Av_00017778-RA, Av_00018067-RA, Av_00021374-RA, Av_00017235-RA, Av_00017173-RA, Av_00017635-RA, Av_00018073-RA, Av_00017552-RA, Av_00003765-RA, Av_00002171-RA, Av_00008577-RA, Av_00014742-RA, Av_00020647-RA, Av_00022233-RA, Av_00009539-RA, Av_00017466-RA, Av_00016850-RA, Av_00024571-RA, Av_00021338-RA, Av_00020766-RA, Av_00020373-RA, Av_00011852-RA, Av_00013532-RA, Av_00024516-RA, Av_00018081-RA, Av_00009935-RA, Av_00012245-RA, Av_00014810-RA, Av_00010560-RA, Av_00023334-RA, Av_00023548-RA, Av_00016853-RA, Av_00018090-RA, Av_00023416-RA, Av_00016628-RA, Av_00021150-RA, Av_00015295-RA, Av_00023792-RA, Av_00024152-RA, Av_00015651-RA, Av_00005158-RA, Av_00020717-RA, Av_00017520-RA, Av_00018946-RA, Av_00016421-RA, Av_00009422-RA, Av_00016852-RA, Av_00014070-RA, Av_00023975-RA, Av_00019782-RA, Av_00020526-RA, Av_00024357-RA, Av_00017331-RA, Av_00014972-RA, Av_00024109-RA, Av_00019655-RA, Av_00009160-RA, Av_00015711-RA, Av_00021118-RA, Av_00012396-RA, Av_00024662-RA, Av_00020755-RA, Av_00022592-RA, Av_00021964-RA, Av_00019372-RA, Av_00022894-RA, Av_00006126-RA, Av_00003962-RA, Av_00014134-RA, Av_00023467-RA, Av_00024570-RA, Av_00008148-RA, Av_00021086-RA, Av_00022810-RA, Av_00019255-RA, Av_00016822-RA, Av_00020523-RA, Av_00015305-RA, Av_00005012-RA, Av_00018294-RA, Av_00017447-RA, Av_00022598-RA, Av_00024442-RA, Av_00023964-RA, Av_00017548-RA, Av_00021372-RA, Av_00024471-RA, Av_00012984-RA, Av_00019335-RA, Av_00009980-RA, Av_00010792-RA, Av_00024857-RA, Av_00020732-RA, Av_00022031-RA, Av_00024853-RA, Av_00015712-RA, Av_00011746-RA, Av_00023437-RA, Av_00024869-RA, Av_00009090-RA, Av_00016104-RA, Av_00002786-RA, Av_00014928-RA, Av_00022893-RA, Av_00022000-RA, Av_00020497-RA, Av_00016039-RA, Av_00002332-RA, Av_00014077-RA, Av_00021186-RA, Av_00021276-RA, Av_00017810-RA, Av_00010924-RA, Av_00000368-RA, Av_00019997-RA, Av_00024151-RA, Av_00017233-RA, Av_00016838-RA, Av_00010790-RA, Av_00008680-RA, Av_00002450-RA, Av_00023338-RA, Av_00013495-RA, Av_00022805-RA, Av_00020130-RA, Av_00006468-RA, Av_00007789-RA, Av_00014088-RA, Av_00000462-RA, Av_00024631-RA, Av_00024078-RA, Av_00012991-RA, Av_00018071-RA, Av_00011416-RA, Av_00018769-RA, Av_00020372-RA, Av_00017191-RA, Av_00022038-RA, Av_00009633-RA, Av_00010785-RA, Av_00016231-RA, Av_00014042-RA, Av_00021704-RA, Av_00022042-RA, Av_00023378-RA, Av_00007388-RA, Av_00023997-RA, Av_00018079-RA, Av_00022083-RA, Av_00016884-RA, Av_00003255-RA, Av_00002331-RA, Av_00022232-RA, Av_00020970-RA, Av_00006389-RA, Av_00018087-RA, Av_00018300-RA, Av_00016849-RA, Av_00019336-RA, Av_00016656-RA, Av_00019601-RA, Av_00023415-RA, Av_00023973-RA, Av_00002043-RA, Av_00016061-RA, Av_00021185-RA, Av_00002170-RA, Av_00022529-RA, Av_00000500-RA, Av_00013830-RA, Av_00010873-RA, Av_00003108-RA, Av_00016044-RA, Av_00021337-RA, Av_00005874-RA, Av_00023373-RA, Av_00021817-RA, Av_00022395-RA, Av_00017665-RA, Av_00022054-RA, Av_00021750-RA, Av_00016854-RA, Av_00019175-RA, Av_00018391-RA, Av_00001524-RA, Av_00001241-RA, Av_00013587-RA, Av_00014069-RA, Av_00019848-RA, Av_00015697-RA, Av_00024162-RA, Av_00019887-RA, Av_00017190-RA, Av_00025091-RA, Av_00022157-RA, Av_00009537-RA, Av_00023916-RA, Av_00022959-RA, Av_00021356-RA, Av_00010512-RA, Av_00022422-RA, Av_00021472-RA, Av_00014927-RA, Av_00012651-RA, Av_00010922-RA, Av_00020645-RA, Av_00011417-RA, Av_00017070-RA, Av_00001062-RA, Av_00018088-RA, Av_00005108-RA, Av_00024515-RA, Av_00008388-RA, Av_00003265-RA, Av_00003766-RA, Av_00022804-RA, Av_00011853-RA, Av_00011744-RA, Av_00015852-RA, Av_00005011-RA, Av_00009748-RA, Av_00020482-RA, Av_00022590-RA, Av_00019914-RA, Av_00010912-RA, Av_00010498-RA, Av_00020646-RA, Av_00024902-RA, Av_00023963-RA, Av_00008194-RA, Av_00023279-RA, Av_00004077-RA, Av_00013827-RA, Av_00023329-RA, Av_00017781-RA, Av_00012995-RA, Av_00022486-RA, Av_00018392-RA, Av_00021436-RA, Av_00024860-RA, Av_00024245-RA, Av_00024117-RA, Av_00023160-RA, Av_00022646-RA, Av_00005604-RA, Av_00021989-RA, Av_00023629-RA, Av_00018378-RA, Av_00015044-RA, Av_00024388-RA, Av_00017333-RA, Av_00023761-RA, Av_00021979-RA, Av_00019184-RA, Av_00023920-RA, Av_00021184-RA, Av_00024315-RA, Av_00017770-RA, Av_00023538-RA, Av_00022027-RA, Av_00023725-RA, Av_00010817-RA, Av_00021383-RA, Av_00023379-RA, Av_00016839-RA, Av_00000369-RA, Av_00019464-RA, Av_00021881-RA, Av_00014811-RA, Av_00023099-RA, Av_00022043-RA, Av_00017288-RA, Av_00014973-RA, Av_00015294-RA, Av_00006390-RA, Av_00015698-RA, Av_00017186-RA, Av_00018947-RA, Av_00017957-RA, Av_00024966-RA, Av_00017017-RA, Av_00025097-RA, Av_00012079-RA, Av_00022575-RA, Av_00018419-RA, Av_00024077-RA, Av_00017422-RA, Av_00009936-RA, Av_00023549-RA, Av_00020765-RA, Av_00014588-RA, Av_00019339-RA, Av_00008679-RA, Av_00017172-RA, Av_00004134-RA, Av_00023452-RA, Av_00019176-RA, Av_00020527-RA, Av_00024484-RA, Av_00024483-RA, Av_00024661-RA, Av_00017990-RA, Av_00004598-RA, Av_00003486-RA, Av_00019784-RA, Av_00020247-RA, Av_00011683-RA, Av_00019319-RA, Av_00012604-RA, Av_00007609-RA, Av_00010559-RA, Av_00013533-RA, Av_00016046-RA, Av_00022411-RA, Av_00021014-RA, Av_00018080-RA, Av_00003256-RA, Av_00010526-RA, Av_00010791-RA, Av_00015286-RA, Av_00009950-RA, Av_00019783-RA, Av_00019735-RA, Av_00020397-RA, Av_00012461-RA, Av_00017876-RA, Av_00024619-RA, Av_00019371-RA, Av_00006570-RA, Av_00015143-RA, Av_00022158-RA, Av_00023333-RA, Av_00004597-RA, Av_00001812-RA, Av_00005110-RA, Av_00021013-RA, Av_00017234-RA, Av_00016885-RA, Av_00002451-RA, Av_00022421-RA	GmISU01.06G029800.1.p
OG0000008	Av_00016512-RA	GmISU01.07G091700.1.p
OG0000009	Av_00023163-RA, Av_00010257-RA, Av_00014948-RA, Av_00017212-RA, Av_00017786-RA, Av_00012049-RA, Av_00024760-RA, Av_00012225-RA	GmISU01.13G229500.1.p
OG0000011	Av_00002197-RA	GmISU01.03G128600.1.p, GmISU01.19G132900.1.p, GmISU01.19G132800.1.p, GmISU01.03G128900.1.p, GmISU01.03G128500.2.p, GmISU01.03G129000.1.p
OG0000015	Av_00016901-RA, Av_00010123-RA, Av_00014290-RA	GmISU01.06G218200.1.p
OG0000018	Av_00017038-RA, Av_00013504-RA	GmISU01.18G125000.1.p, GmISU01.08G313800.1.p, GmISU01.08G313900.1.p, GmISU01.08G314000.1.p, GmISU01.09G114300.1.p
OG0000018	Av_00002303-RA, Av_00009695-RA	GmISU01.13G093800.1.p
OG0000021	Av_00016821-RA, Av_00016683-RA	GmISU01.10G209300.1.p, GmISU01.10G209200.1.p, GmISU01.20G112900.1.p, GmISU01.20G113000.1.p, GmISU01.10G167700.1.p, GmISU01.11G099600.1.p, GmISU01.13G228800.1.p
OG0000021	Av_00016682-RA	GmISU01.09G236300.1.p, GmISU01.07G075000.1.p, GmISU01.03G018200.1.p, GmISU01.18G170100.1.p, GmISU01.18G169800.1.p, GmISU01.18G169900.1.p
OG0000022	Av_00004844-RA	GmISU01.15G141400.1.p
