target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	814.812	125	16.8909
Dm_00008772-RA	1272	1069.81	129	13.2765
Dm_00008770-RA	1722	1519.81	173	12.5331
Dm_00008771-RA	636	434.123	57	14.4565
Dm_00008682-RA	906	703.812	920	143.924
Dm_00008591-RA	1308	1105.81	11	1.09525
Dm_00008592-RA	2436	2233.81	578	28.4893
Dm_00008593-RA	759	556.928	1655	327.189
Dm_00008594-RA	969	766.812	801	115.012
Dm_00010209-RA	468	267.477	0	0
Dm_00010051-RA	693	491.035	3	0.672682
Dm_00009727-RA	234	57.0368	0	0
Dm_00009728-RA	1161	958.812	2	0.229666
Dm_00009413-RA	1368	1165.81	168	15.8665
Dm_00009412-RA	2105	1902.81	452	26.1543
Dm_00009411-RA	2682	2479.81	124	5.50559
Dm_00009410-RA	432	232.339	13	6.16059
Dm_00009021-RA	1668	1465.81	274	20.5813
Dm_00009020-RA	414	214.881	23	11.785
Dm_00009748-RA	1554	1351.81	284	23.1314
Dm_00009749-RA	1092	889.812	328	40.586
Dm_00009750-RA	941	738.812	259	38.5982
Dm_00010290-RA	1116	913.812	47	5.66294
Dm_00010291-RA	969	766.812	1	0.143586
Dm_00007855-RA	945	742.812	162	24.0125
Dm_00007856-RA	786	583.871	141	26.589
Dm_00007858-RA	2466	2263.81	961	46.7395
Dm_00007859-RA	2304	2101.81	586	30.6976
Dm_00007857-RA	873	670.812	129	21.1734
Dm_00009353-RA	471	270.342	7	2.85092
Dm_00009317-RA	312	120.273	153	140.063
Dm_00010173-RA	1548	1345.81	358	29.2886
Dm_00010171-RA	228	52.7704	14	29.2105
Dm_00010172-RA	258	75.4845	3	4.37587
Dm_00009367-RA	1566	1363.81	830	67.0076
Dm_00009368-RA	171	16.1375	67	457.129
Dm_00009369-RA	984	781.812	58	8.1682
Dm_00009983-RA	1065	862.812	4	0.51044
Dm_00009982-RA	975	772.812	34	4.84402
Dm_00009984-RA	537	335.764	0	0
Dm_00009718-RA	1158	955.812	3732	429.902
Dm_00009717-RA	753	550.928	153	30.5771
Dm_00009950-RA	1842	1639.81	6	0.402863
Dm_00009953-RA	1437	1234.81	145	12.9291
Dm_00009948-RA	1638	1435.81	580	44.4765
Dm_00009949-RA	879	676.812	167	27.1675
Dm_00009951-RA	729	526.983	0	0
Dm_00009952-RA	444	243.907	1	0.451415
Dm_00009009-RA	738	535.983	1	0.205423
Dm_00009010-RA	303	112.433	1.02182	1.00064
Dm_00009007-RA	891	688.812	0	0
Dm_00009008-RA	1164	961.812	50	5.72375
Dm_00009011-RA	3048	2845.81	11.0124	0.426065
Dm_00009012-RA	684	482.035	0	0
Dm_00010080-RA	1113	910.812	7	0.846194
Dm_00010081-RA	354	158.189	190	132.244
Dm_00010084-RA	1518	1315.81	320	26.7767
Dm_00010083-RA	1140	937.812	214	25.1246
Dm_00010082-RA	375	177.714	34	21.0648
Dm_00010098-RA	1200	997.812	1	0.110345
Dm_00010096-RA	390	191.819	0	0
Dm_00010097-RA	666	464.035	48	11.3892
Dm_00008796-RA	414	214.881	0	0
Dm_00010370-RA	1886	1683.81	772	50.4806
Dm_00010369-RA	192	28.7322	0	0
Dm_00009774-RA	1998	1795.81	339	20.7845
Dm_00009775-RA	354	158.189	116	80.7386
Dm_00010288-RA	1401	1198.81	257	23.6038
Dm_00009493-RA	963	760.812	228	32.9958
Dm_00009494-RA	984	781.812	71	9.999
Dm_00009495-RA	714	512.035	0	0
Dm_00006316-RA	993	790.812	5	0.696141
Dm_00008938-RA	897	694.812	348	55.1458
Dm_00008942-RA	1680	1477.81	550	40.9774
Dm_00008940-RA	834	631.812	118	20.5634
Dm_00008939-RA	651	449.035	91	22.3132
Dm_00008941-RA	531	329.83	88	29.376
Dm_00010031-RA	3168	2965.81	926	34.377
Dm_00009533-RA	1185	982.812	10	1.12029
Dm_00009536-RA	1041	838.812	335.893	44.0897
Dm_00009535-RA	792	589.871	1203	224.548
Dm_00009534-RA	1146	943.812	5506	642.32
Dm_00009696-RA	606	404.25	0	0
Dm_00009720-RA	456	255.555	0	0
Dm_00009719-RA	795	592.871	0	0
Dm_00009254-RA	1287	1084.81	79	8.01813
Dm_00009255-RA	4353	4150.81	52	1.37934
Dm_00009256-RA	834	631.812	388	67.6152
Dm_00009072-RA	282	94.63	0	0
Dm_00009813-RA	6525	6322.81	939	16.3514
Dm_00009814-RA	2781	2578.81	214	9.13681
Dm_00009915-RA	564	362.523	0	0
Dm_00009914-RA	258	75.4845	0	0
Dm_00009695-RA	2650	2447.81	1891	85.0578
Dm_00009694-RA	624	422.209	317	82.667
Dm_00009693-RA	861	658.812	266	44.455
Dm_00008273-RA	1188	985.812	1	0.111688
Dm_00008274-RA	912	709.812	290	44.9837
Dm_00008656-RA	612	410.25	0	0
Dm_00009771-RA	1848	1645.81	58	3.88015
Dm_00010784-RA	594	392.37	0	0
Dm_00010112-RA	711	509.035	1040	224.95
Dm_00010111-RA	402	203.261	178	96.42
Dm_00009955-RA	255	73.0853	36	54.2342
Dm_00009954-RA	1899	1696.81	295	19.1421
Dm_00010107-RA	1728	1525.81	341	24.6067
Dm_00010108-RA	582	380.448	0	0
Dm_00010391-RA	2043	1840.81	1914	114.481
Dm_00010390-RA	711	509.035	0	0
Dm_00008774-RA	1182	979.812	232	26.0703
Dm_00008773-RA	2106	1903.81	371	21.4561
Dm_00009260-RA	264	80.1894	1684	2312.2
Dm_00009262-RA	1596	1393.81	1211	95.6622
Dm_00009259-RA	873	670.812	93.6378	15.3692
Dm_00009261-RA	858	655.812	343	57.5858
Dm_00010532-RA	2697	2494.81	148	6.53167
Dm_00008895-RA	687	485.035	687.073	155.966
Dm_00010337-RA	1866	1663.81	2762	182.776
Dm_00010336-RA	1530	1327.81	545	45.1919
Dm_00010339-RA	1194	991.812	79	8.76998
Dm_00010335-RA	630	428.166	537	138.09
Dm_00010338-RA	594	392.37	176	49.3876
Dm_00008749-RA	558	356.523	317	97.8977
