target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	812.942	220	15.5805
Dm_00008772-RA	1272	1067.94	184.81	9.96312
Dm_00008770-RA	1722	1517.94	216	8.19252
Dm_00008771-RA	636	432.135	56	7.46083
Dm_00008682-RA	906	701.942	43	3.52684
Dm_00008591-RA	1308	1103.94	49	2.55546
Dm_00008592-RA	2436	2231.94	1837	47.3854
Dm_00008593-RA	759	554.942	2463	255.526
Dm_00008594-RA	969	764.942	1005	75.6408
Dm_00010209-RA	468	265.604	0	0
Dm_00010051-RA	693	489.091	1	0.117714
Dm_00009727-RA	234	56.3763	0	0
Dm_00009728-RA	1161	956.942	0	0
Dm_00009413-RA	1368	1163.94	299	14.7897
Dm_00009412-RA	2105	1900.94	732	22.1698
Dm_00009411-RA	2682	2477.94	175	4.06598
Dm_00009410-RA	432	230.26	13	3.25045
Dm_00009021-RA	1668	1463.94	720	28.3157
Dm_00009020-RA	414	212.842	262	70.8699
Dm_00009748-RA	1554	1349.94	148	6.31198
Dm_00009749-RA	1092	887.942	352	22.8232
Dm_00009750-RA	941	736.942	224	17.4998
Dm_00010290-RA	1116	911.942	77	4.86119
Dm_00010291-RA	969	764.942	0	0
Dm_00007855-RA	945	740.942	316	24.554
Dm_00007856-RA	786	581.942	330.753	32.7223
Dm_00007858-RA	2466	2261.94	996	25.3511
Dm_00007859-RA	2304	2099.94	681	18.6706
Dm_00007857-RA	873	668.942	235	20.2254
Dm_00009353-RA	471	268.55	9	1.92946
Dm_00009317-RA	312	119.123	231	111.644
Dm_00010173-RA	1548	1343.94	660	28.2737
Dm_00010171-RA	228	52.1206	7	7.73228
Dm_00010172-RA	258	74.4759	12	9.2765
Dm_00009367-RA	1566	1361.94	1087	45.9504
Dm_00009368-RA	171	16.3677	70	246.223
Dm_00009369-RA	984	779.942	85	6.27445
Dm_00009983-RA	1065	860.942	306	20.4629
Dm_00009982-RA	975	770.942	369	27.5565
Dm_00009984-RA	537	333.665	0	0
Dm_00009718-RA	1158	953.942	6563	396.095
Dm_00009717-RA	753	548.942	225	23.598
Dm_00009950-RA	1842	1637.94	1	0.0351496
Dm_00009953-RA	1437	1232.94	318	14.8492
Dm_00009948-RA	1638	1433.94	748	30.0323
Dm_00009949-RA	879	674.942	190	16.2071
Dm_00009951-RA	729	524.942	1	0.109675
Dm_00009952-RA	444	241.88	0	0
Dm_00009009-RA	738	533.942	0	0
Dm_00009010-RA	303	111.487	2.02656	1.04654
Dm_00009007-RA	891	686.942	0	0
Dm_00009008-RA	1164	959.942	55	3.29865
Dm_00009011-RA	3048	2843.94	10.0103	0.202649
Dm_00009012-RA	684	480.091	0	0
Dm_00010080-RA	1113	908.942	7	0.443385
Dm_00010081-RA	354	156.719	160	58.7782
Dm_00010084-RA	1518	1313.94	833	36.4996
Dm_00010083-RA	1140	935.942	200.572	12.3378
Dm_00010082-RA	375	176.119	67	21.9022
Dm_00010098-RA	1200	995.942	0	0
Dm_00010096-RA	390	190.099	0	0
Dm_00010097-RA	666	462.091	67	8.34768
Dm_00008796-RA	414	212.842	0	0
Dm_00010370-RA	1886	1681.94	1180	40.3915
Dm_00010369-RA	192	28.4205	0	0
Dm_00009774-RA	1998	1793.94	502	16.1107
Dm_00009775-RA	354	156.719	179	65.7581
Dm_00010288-RA	1401	1196.94	149	7.16691
Dm_00009493-RA	963	758.942	447	33.9092
Dm_00009494-RA	984	779.942	124	9.15331
Dm_00009495-RA	714	509.942	0	0
Dm_00006316-RA	993	788.942	10	0.729749
Dm_00008938-RA	897	692.942	2111	175.392
Dm_00008942-RA	1680	1475.94	872	34.0146
Dm_00008940-RA	834	629.942	160	14.6231
Dm_00008939-RA	651	447.091	174	22.4064
Dm_00008941-RA	531	327.764	205	36.009
Dm_00010031-RA	3168	2963.94	1356	26.3396
Dm_00009533-RA	1185	980.942	2	0.117383
Dm_00009536-RA	1041	836.942	1733.74	119.263
Dm_00009535-RA	792	587.942	1551	151.878
Dm_00009534-RA	1146	941.942	4421	270.218
Dm_00009696-RA	606	402.342	0	0
Dm_00009720-RA	456	253.682	0	0
Dm_00009719-RA	795	590.942	0	0
Dm_00009254-RA	1287	1082.94	159	8.453
Dm_00009255-RA	4353	4148.94	111	1.5403
Dm_00009256-RA	834	629.942	437	39.9392
Dm_00009072-RA	282	93.8533	0	0
Dm_00009813-RA	6525	6320.94	943	8.58912
Dm_00009814-RA	2781	2576.94	227	5.07154
Dm_00009915-RA	564	360.457	0	0
Dm_00009914-RA	258	74.4759	0	0
Dm_00009695-RA	2650	2445.94	2783	65.5067
Dm_00009694-RA	624	420.177	430	58.9189
Dm_00009693-RA	861	656.942	376	32.9518
Dm_00008273-RA	1188	983.942	19	1.11174
Dm_00008274-RA	912	707.942	556	45.2164
Dm_00008656-RA	612	408.301	0	0
Dm_00009771-RA	1848	1643.94	9	0.315192
Dm_00010784-RA	594	390.382	0	0
Dm_00010112-RA	711	506.993	1287	146.149
Dm_00010111-RA	402	201.345	237	67.7681
Dm_00009955-RA	255	72.2453	71	56.5806
Dm_00009954-RA	1899	1694.94	641	21.7732
Dm_00010107-RA	1728	1523.94	1073.09	40.5401
Dm_00010108-RA	582	378.421	4	0.60856
Dm_00010391-RA	2043	1838.94	2429.57	76.0643
Dm_00010390-RA	711	506.993	0	0
Dm_00008774-RA	1182	977.942	311	18.3091
Dm_00008773-RA	2106	1901.94	589	17.8294
Dm_00009260-RA	264	79.2786	3291	2389.96
Dm_00009262-RA	1596	1391.94	1745	72.176
Dm_00009259-RA	873	668.942	166.368	14.3186
Dm_00009261-RA	858	653.942	463	40.7625
Dm_00010532-RA	2697	2492.94	146	3.37178
Dm_00008895-RA	687	483.091	1806.55	215.297
Dm_00010337-RA	1866	1661.94	2961	102.575
Dm_00010336-RA	1530	1325.94	546	23.7076
Dm_00010339-RA	1194	989.942	293	17.0403
Dm_00010335-RA	630	426.135	764	103.22
Dm_00010338-RA	594	390.382	509	75.0666
Dm_00008749-RA	558	354.529	453	73.564
Dm_00008748-RA	213	41.9751	45	61.722
Dm_00008876-RA	1122	917.942	613	38.4471
Dm_00008877-RA	1599	1394.94	4	0.165091
Dm_00008875-RA	630	426.135	0	0
Dm_00009056-RA	951	746.942	0	0
Dm_00010140-RA	3342	3137.94	49	0.899021
Dm_00009531-RA	459	256.682	0	0
Dm_00009530-RA	525	321.829	0	0
Dm_00009739-RA	1890	1685.94	195	6.65903
Dm_00009740-RA	1218	1013.94	145	8.23329
Dm_00009741-RA	2091	1886.94	533	16.2625
