,gene_ID,module,ATgene_ID,TopBLASTHit_Symbol,TopBLASTHit_Name,TopBLASTHit_Position,,Orthogroup
1,Dm_00007716-RA,2,AT1G75660.1,"Symbols: AtXRN3, XRN3","5'-3' EXORIBONUCLEASE 3, 5'-3' exoribonuclease 3",chr1:28408289-28414825 FORWARD LENGTH=1020,,OG0004512
2,Dm_00013940-RA,2,AT4G36050.2,Symbols: APE2,APURINIC/APYRIMIDINIC ENDONUCLEASE2,chr4:17052323-17055044 REVERSE LENGTH=610,,OG0004704
3,Dm_00001852-RA,2,AT5G63420.1,"Symbols: emb2746, RNJ, AtRNJ","embryo defective 2746, Ribonuclease J",chr5:25400515-25405807 FORWARD LENGTH=911,,OG0005764
4,Dm_00016061-RA,2,AT1G34380.2,Symbols: OEX2,organellar exonuclease 2,chr1:12552839-12554299 REVERSE LENGTH=347,,OG0006667
5,Dm_00017664-RA,2,AT1G34380.2,Symbols: OEX2,organellar exonuclease 2,chr1:12552839-12554299 REVERSE LENGTH=347,,OG0006667
6,Dm_00001836-RA,3,AT1G54490.2,"Symbols: XRN4, ATXRN4, AIN1, EIN5","ACC INSENSITIVE 1, ETHYLENE INSENSITIVE 5, EXORIBONUCLEASE 4, exoribonuclease 4",chr1:20350697-20356650 FORWARD LENGTH=889,,OG0003103
7,Dm_00001837-RA,3,AT1G54490.1,"Symbols: XRN4, ATXRN4, AIN1, EIN5","ACC INSENSITIVE 1, ETHYLENE INSENSITIVE 5, EXORIBONUCLEASE 4, exoribonuclease 4",chr1:20350300-20356650 FORWARD LENGTH=947,,OG0020122
8,Dm_00001839-RA,3,AT1G54490.2,"Symbols: XRN4, ATXRN4, AIN1, EIN5","ACC INSENSITIVE 1, ETHYLENE INSENSITIVE 5, EXORIBONUCLEASE 4, exoribonuclease 4",chr1:20350697-20356650 FORWARD LENGTH=889,,OG0003103
9,Dm_00002668-RA,3,AT1G55870.1,"Symbols: ATPARN, PARN, AHG2","ARABIDOPSIS THALIANA POLY(A) RIBONUCLEASE, ABA-HYPERSENSITIVE GERMINATION 2",chr1:20895663-20898359 FORWARD LENGTH=689,,OG0002434
10,Dm_00001715-RA,3,AT1G68290.1,"Symbols: AtBFN2, ENDO2",endonuclease 2,chr1:25596718-25598264 FORWARD LENGTH=290,,OG0002250
11,Dm_00006276-RA,3,AT5G26680.5,"Symbols: SAV6, FEN1","Flap Endonuclease I, SHADE AVOIDANCE 6",chr5:9312128-9315458 REVERSE LENGTH=417,,OG0002402
12,Dm_00013818-RA,3,AT5G09840.1,Symbols: MNU2,Mitochondrial Nuclease2,chr5:3059027-3061970 FORWARD LENGTH=924,,OG0006142
13,Dm_00001999-RA,3,AT2G02990.1,"Symbols: ATRNS1, RNS1","RIBONUCLEASE 1, ribonuclease 1",chr2:873714-874667 FORWARD LENGTH=230,,OG0018242
14,Dm_00005374-RA,3,AT2G02990.1,"Symbols: ATRNS1, RNS1","RIBONUCLEASE 1, ribonuclease 1",chr2:873714-874667 FORWARD LENGTH=230,,OG0002658
15,Dm_00002418-RA,3,AT3G50100.1,Symbols: SDN1,small RNA degrading nuclease 1,chr3:18578411-18580594 FORWARD LENGTH=409,,OG0005406
16,Dm_00017274-RA,4,AT5G61390.1,Symbols: NEN2,NAC45/86-DEPENDENT EXONUCLEASE-DOMAIN PROTEIN 2,chr5:24678802-24680857 REVERSE LENGTH=487,,OG0003975
17,Dm_00005936-RA,6,AT4G13870.2,"Symbols: ATWRNEXO, WEX, ATWEX, WRNEXO",Werner syndrome-like exonuclease,chr4:8023563-8025542 REVERSE LENGTH=288,,OG0000115
18,Dm_00015583-RA,7,AT1G19660.2,"Symbols: BBD2, AtBBD2",bifunctional nuclease in basal defense response 2,chr1:6800361-6802240 REVERSE LENGTH=329,,OG0002419
19,Dm_00020079-RA,7,AT5G60370.1,Symbols: EXOVL,exonuclease V-like,chr5:24282858-24284760 FORWARD LENGTH=413,,OG0006092
20,Dm_00014883-RA,7,AT3G52050.5,Symbols: OEX1,organellar exonuclease 1,chr3:19305159-19308931 FORWARD LENGTH=365,,OG0004176
21,Dm_00001471-RA,9,AT1G11190.1,"Symbols: ENDO1, BFN1","ENDONUCLEASE 1, bifunctional nuclease i",chr1:3750338-3752696 REVERSE LENGTH=305,,OG0009468
22,Dm_00007168-RA,10,AT1G75380.4,"Symbols: ATBBD1, BBD1",bifunctional nuclease in basal defense response 1,chr1:28281789-28283631 REVERSE LENGTH=325,,OG0002419
23,Dm_00008286-RA,10,AT2G39780.2,Symbols: RNS2,ribonuclease 2,chr2:16591256-16593515 FORWARD LENGTH=227,,OG0004934
24,Dm_00005937-RA,10,AT4G13870.1,"Symbols: ATWRNEXO, WEX, ATWEX, WRNEXO",Werner syndrome-like exonuclease,chr4:8023563-8025542 REVERSE LENGTH=285,,OG0000115
25,Dm_00006102-RA,16,AT2G41460.4,Symbols: ARP,apurinic endonuclease-redox protein,chr2:17286207-17288769 FORWARD LENGTH=489,,OG0007139
26,Dm_00018825-RA,16,AT2G40410.2,"Symbols: AtCaN2, CAN2","Ca2+-dependent nuclease, calcium dependent nuclease 2",chr2:16873509-16875215 FORWARD LENGTH=332,,OG0004817
27,Dm_00003209-RA,16,AT2G22140.1,"Symbols: ATEME1B, EME1B",essential meiotic endonuclease 1B,chr2:9414895-9418584 REVERSE LENGTH=551,,OG0004185
