Orthogroup	L_sativa.proteins	D_muscipula.proteins
OG0000011	Lsat_1_v5_gn_6_100741.1, Lsat_1_v5_gn_9_41461.1, Lsat_1_v5_gn_4_41280.1, Lsat_1_v5_gn_4_41340.1, Lsat_1_v5_gn_4_41240.1, Lsat_1_v5_gn_1_81560.1, Lsat_1_v5_gn_1_81560.2	Dm_00003465-RA
OG0000011	Lsat_1_v5_gn_5_183260.1, Lsat_1_v5_gn_5_183260.6, Lsat_1_v5_gn_5_183260.3	Dm_00013516-RA
OG0000015	Lsat_1_v5_gn_7_20161.1, Lsat_1_v5_gn_7_18821.1, Lsat_1_v5_gn_7_20121.1, Lsat_1_v5_gn_7_18801.1, Lsat_1_v5_gn_7_18781.1, Lsat_1_v5_gn_7_18721.2, Lsat_1_v5_gn_7_18721.1	Dm_00009736-RA
OG0000015	Lsat_1_v5_gn_8_19401.4, Lsat_1_v5_gn_8_19401.6, Lsat_1_v5_gn_7_49320.1, Lsat_1_v5_gn_7_49320.3, Lsat_1_v5_gn_8_19481.2, Lsat_1_v5_gn_8_19481.1, Lsat_1_v5_gn_8_19501.1, Lsat_1_v5_gn_8_19501.3, Lsat_1_v5_gn_8_19521.3, Lsat_1_v5_gn_8_19521.1, Lsat_1_v5_gn_8_19641.3, Lsat_1_v5_gn_8_19641.1, Lsat_1_v5_gn_1_113320.2, Lsat_1_v5_gn_1_113320.1, Lsat_1_v5_gn_1_113320.3, Lsat_1_v5_gn_8_19381.1, Lsat_1_v5_gn_8_19381.2, Lsat_1_v5_gn_3_33700.1, Lsat_1_v5_gn_3_33700.3, Lsat_1_v5_gn_8_142060.1, Lsat_1_v5_gn_8_142060.3, Lsat_1_v5_gn_8_142140.2, Lsat_1_v5_gn_8_142140.1, Lsat_1_v5_gn_7_80960.2, Lsat_1_v5_gn_7_80960.1, Lsat_1_v5_gn_8_19660.3, Lsat_1_v5_gn_8_19660.1, Lsat_1_v5_gn_8_19660.2, Lsat_1_v5_gn_2_113361.1, Lsat_1_v5_gn_6_112280.5, Lsat_1_v5_gn_2_113381.1, Lsat_1_v5_gn_2_113381.2, Lsat_1_v5_gn_2_113381.3, Lsat_1_v5_gn_2_113361.3, Lsat_1_v5_gn_2_113341.3, Lsat_1_v5_gn_2_113341.1	Dm_00001315-RA
OG0000018	Lsat_1_v5_gn_3_111780.1	Dm_00020011-RA
OG0000018	Lsat_1_v5_gn_9_8761.2, Lsat_1_v5_gn_9_8761.1, Lsat_1_v5_gn_9_8761.3	Dm_00012812-RA
OG0000021	Lsat_1_v5_gn_8_141940.1	Dm_00010344-RA
OG0000021	Lsat_1_v5_gn_7_7821.2, Lsat_1_v5_gn_4_37601.2, Lsat_1_v5_gn_4_37601.1, Lsat_1_v5_gn_7_7921.1, Lsat_1_v5_gn_7_7781.1, Lsat_1_v5_gn_7_7681.1, Lsat_1_v5_gn_7_7761.1, Lsat_1_v5_gn_7_7761.2, Lsat_1_v5_gn_7_65320.1, Lsat_1_v5_gn_8_157801.1	Dm_00010968-RA, Dm_00020262-RA, Dm_00001605-RA, Dm_00003958-RA, Dm_00016187-RA, Dm_00018023-RA, Dm_00013333-RA, Dm_00010156-RA
OG0000022	Lsat_1_v5_gn_3_115260.1, Lsat_1_v5_gn_3_115260.3	Dm_00009918-RA
OG0000024	Lsat_1_v5_gn_3_36420.1, Lsat_1_v5_gn_3_36380.1, Lsat_1_v5_gn_3_36440.1, Lsat_1_v5_gn_3_36440.2, Lsat_1_v5_gn_3_36460.1, Lsat_1_v5_gn_3_36500.1, Lsat_1_v5_gn_3_36500.2, Lsat_1_v5_gn_8_141000.1, Lsat_1_v5_gn_8_32121.1, Lsat_1_v5_gn_8_32181.3, Lsat_1_v5_gn_8_32181.1, Lsat_1_v5_gn_8_32281.1, Lsat_1_v5_gn_8_32281.2, Lsat_1_v5_gn_8_32181.4, Lsat_1_v5_gn_8_32181.2, Lsat_1_v5_gn_8_30980.1, Lsat_1_v5_gn_8_31000.1, Lsat_1_v5_gn_8_31061.1, Lsat_1_v5_gn_8_31081.1, Lsat_1_v5_gn_4_27761.1, Lsat_1_v5_gn_4_27761.2	Dm_00008089-RA, Dm_00016700-RA, Dm_00004789-RA, Dm_00009149-RA, Dm_00014846-RA, Dm_00017809-RA
OG0000025	Lsat_1_v5_gn_3_45220.2, Lsat_1_v5_gn_3_45220.1, Lsat_1_v5_gn_3_45260.1, Lsat_1_v5_gn_3_45260.2	Dm_00003442-RA, Dm_00003443-RA, Dm_00007239-RA
OG0000027	Lsat_1_v5_gn_5_85480.2	Dm_00002324-RA, Dm_00004939-RA, Dm_00004749-RA, Dm_00000738-RA
OG0000027	Lsat_1_v5_gn_5_90761.1	Dm_00000274-RA
OG0000028	Lsat_1_v5_gn_7_98860.4, Lsat_1_v5_gn_7_98860.1, Lsat_1_v5_gn_7_98841.1, Lsat_1_v5_gn_7_98860.3	Dm_00006419-RA, Dm_00006416-RA, Dm_00006418-RA, Dm_00001425-RA, Dm_00020344-RA, Dm_00016376-RA, Dm_00001424-RA, Dm_00006415-RA, Dm_00001427-RA, Dm_00006417-RA, Dm_00006319-RA, Dm_00006317-RA, Dm_00005629-RA, Dm_00015141-RA, Dm_00006322-RA, Dm_00006318-RA, Dm_00002878-RA, Dm_00002994-RA, Dm_00005634-RA, Dm_00016871-RA, Dm_00002995-RA, Dm_00006320-RA, Dm_00006321-RA, Dm_00001442-RA, Dm_00001444-RA, Dm_00006805-RA, Dm_00008234-RA, Dm_00012131-RA, Dm_00020576-RA, Dm_00006032-RA, Dm_00006033-RA, Dm_00006031-RA
OG0000030	Lsat_1_v5_gn_4_71121.1, Lsat_1_v5_gn_4_71020.1, Lsat_1_v5_gn_4_71060.2, Lsat_1_v5_gn_4_71060.1, Lsat_1_v5_gn_4_71080.1, Lsat_1_v5_gn_4_71101.1	Dm_00000141-RA
OG0000032	Lsat_1_v5_gn_9_107401.1	Dm_00020696-RA
OG0000034	Lsat_1_v5_gn_1_122360.3, Lsat_1_v5_gn_1_122360.1	Dm_00017791-RA
OG0000037	Lsat_1_v5_gn_6_113241.1, Lsat_1_v5_gn_6_113241.3, Lsat_1_v5_gn_6_113301.1, Lsat_1_v5_gn_6_113301.2, Lsat_1_v5_gn_6_113220.1, Lsat_1_v5_gn_6_113220.3	Dm_00015941-RA, Dm_00016029-RA
OG0000037	Lsat_1_v5_gn_4_120521.1, Lsat_1_v5_gn_4_120521.4, Lsat_1_v5_gn_4_120340.1	Dm_00020788-RA
OG0000038	Lsat_1_v5_gn_1_70980.4	Dm_00004693-RA
OG0000038	Lsat_1_v5_gn_4_76080.1, Lsat_1_v5_gn_4_75941.1, Lsat_1_v5_gn_4_78521.1, Lsat_1_v5_gn_4_94821.1, Lsat_1_v5_gn_1_28540.1, Lsat_1_v5_gn_1_70980.1, Lsat_1_v5_gn_1_70980.3, Lsat_1_v5_gn_1_70980.2, Lsat_1_v5_gn_1_71160.3, Lsat_1_v5_gn_1_71160.1, Lsat_1_v5_gn_1_71080.1, Lsat_1_v5_gn_1_70900.3, Lsat_1_v5_gn_1_70900.1, Lsat_1_v5_gn_1_28480.4, Lsat_1_v5_gn_1_28480.1, Lsat_1_v5_gn_1_11940.1, Lsat_1_v5_gn_1_11940.3, Lsat_1_v5_gn_1_12561.2, Lsat_1_v5_gn_1_12561.1, Lsat_1_v5_gn_4_45060.1, Lsat_1_v5_gn_1_27281.1, Lsat_1_v5_gn_1_27341.2, Lsat_1_v5_gn_1_27321.1, Lsat_1_v5_gn_1_27341.1, Lsat_1_v5_gn_5_14040.1, Lsat_1_v5_gn_5_14040.2, Lsat_1_v5_gn_5_14000.1, Lsat_1_v5_gn_5_12760.1, Lsat_1_v5_gn_1_28501.3, Lsat_1_v5_gn_1_28501.1	Dm_00019675-RA, Dm_00001701-RA, Dm_00001700-RA
