Orthogroup	A_coerulea.proteins	A_hypochondriacus.proteins	A_thaliana.proteins	A_vesiculosa.proteins	B_vulgaris.proteins	D_muscipula.proteins	D_spatulata.proteins	G_max.proteins	L_sativa.proteins	P_amilis.proteins	S_lycopersicum.proteins	V_vinifera.proteins
OG0033517	Aqcoe0131s0003.1.p											
OG0033518	Aqcoe0571s0002.1.p											
OG0033519	Aqcoe1004s0001.1.p											
OG0033520	Aqcoe1004s0001.2.p											
OG0033521	Aqcoe1133s0001.1.p											
OG0033522	Aqcoe0033s0003.1.p											
OG0033523	Aqcoe0020s0001.1.p											
OG0033524	Aqcoe0020s0002.1.p											
OG0033525	Aqcoe0020s0006.1.p											
OG0033526	Aqcoe0934s0001.1.p											
OG0033527	Aqcoe2G146200.1.p											
OG0033528	Aqcoe2G186800.1.p											
OG0033529	Aqcoe2G251400.1.p											
OG0033530	Aqcoe2G303900.1.p											
OG0033531	Aqcoe2G143600.1.p											
OG0033532	Aqcoe2G147600.1.p											
OG0033533	Aqcoe2G209200.1.p											
OG0033534	Aqcoe2G118700.1.p											
OG0033535	Aqcoe2G348900.1.p											
OG0033536	Aqcoe2G302700.1.p											
OG0033537	Aqcoe2G124600.1.p											
OG0033538	Aqcoe2G312300.1.p											
OG0033539	Aqcoe2G222600.1.p											
OG0033540	Aqcoe2G124800.1.p											
OG0033541	Aqcoe2G419600.1.p											
OG0033542	Aqcoe2G413200.1.p											
OG0033543	Aqcoe2G232800.1.p											
OG0033544	Aqcoe2G293500.1.p											
OG0033545	Aqcoe2G108600.1.p											
OG0033546	Aqcoe2G012800.1.p											
OG0033547	Aqcoe2G206800.1.p											
OG0033548	Aqcoe2G396100.1.p											
OG0033549	Aqcoe2G173700.1.p											
OG0033550	Aqcoe2G199800.1.p											
OG0033551	Aqcoe2G214900.1.p											
OG0033552	Aqcoe2G261600.1.p											
OG0033553	Aqcoe2G099300.1.p											
OG0033554	Aqcoe2G380400.1.p											
OG0033555	Aqcoe2G287200.1.p											
OG0033556	Aqcoe2G078600.1.p											
OG0033557	Aqcoe2G437500.1.p											
OG0033558	Aqcoe2G022700.1.p											
