Orthogroup	P_amilis.proteins	A_thaliana.proteins
OG0000008	FUN_043886-T1, FUN_047418-T1, FUN_043880-T1	AT4G26800.1
OG0000008	FUN_036140-T1, FUN_036168-T1, FUN_036161-T1, FUN_036173-T1, FUN_036162-T1, FUN_036170-T1, FUN_036152-T1, FUN_036156-T1, FUN_036154-T1, FUN_036149-T1, FUN_036174-T1, FUN_036141-T1, FUN_036160-T1, FUN_036171-T1	AT1G64583.2, AT1G64583.1, AT5G16640.1, AT3G16710.2, AT3G16710.1, AT5G41170.2, AT5G41170.1, AT4G26800.3, AT4G26800.2, AT1G62680.1, AT1G62680.2, AT1G63070.1, AT1G12700.2, AT1G12700.3, AT1G12700.1, AT1G12620.1, AT1G12300.1, AT1G12775.1
OG0000011	FUN_045628-T1	AT4G08850.1, AT4G08850.2, AT1G35710.1
OG0000015	FUN_008515-T1, FUN_035466-T1, FUN_035347-T1, FUN_035469-T1	AT4G21380.1, AT4G21380.2, AT1G65800.2, AT1G65800.1, AT1G65790.3, AT1G65790.2, AT1G65790.1
OG0000016	FUN_043544-T1, FUN_017493-T1, FUN_005884-T1	AT3G47110.1, AT3G47580.1, AT3G47090.1, AT3G47570.1, AT5G39390.1, AT5G20480.1, AT5G20480.2
OG0000018	FUN_012656-T1, FUN_019095-T1, FUN_015179-T1, FUN_015183-T1, FUN_015176-T2, FUN_015177-T2, FUN_015177-T1, FUN_015185-T1, FUN_015185-T2, FUN_015184-T1, FUN_011156-T2, FUN_011156-T1, FUN_042066-T1	AT5G59540.1, AT5G59540.2, AT5G59530.1, AT1G04350.1, AT2G30830.1, AT2G25450.1, AT2G30840.1, AT2G30840.3, AT2G30840.2, AT1G06645.1, AT1G03410.1, AT1G03410.2, AT1G03400.2, AT1G03400.1, AT1G06620.2, AT1G06620.1
OG0000021	FUN_024282-T1, FUN_049370-T1, FUN_049412-T1, FUN_049416-T1, FUN_001018-T1, FUN_049365-T1, FUN_036352-T1, FUN_049386-T1, FUN_049389-T1, FUN_001215-T1, FUN_049373-T1, FUN_049378-T1, FUN_049390-T1, FUN_049379-T1, FUN_049403-T1, FUN_049408-T1, FUN_049406-T1, FUN_049400-T1, FUN_049575-T1, FUN_049377-T1, FUN_049392-T1, FUN_036356-T1, FUN_045184-T1, FUN_049402-T1, FUN_049413-T1, FUN_049368-T1, FUN_049366-T1, FUN_052103-T1, FUN_052099-T1, FUN_052110-T1, FUN_052108-T1, FUN_046257-T1, FUN_037728-T1, FUN_037727-T1, FUN_037716-T1, FUN_037717-T1, FUN_037729-T1	AT3G61040.1, AT3G61040.2, AT2G45560.2, AT2G45560.3, AT2G45560.1, AT2G45570.1, AT2G45550.1, AT1G33730.1, AT1G33730.2, AT1G33720.3, AT1G33720.5, AT1G33720.2, AT1G33720.4, AT1G33720.1
OG0000023	FUN_005579-T1	AT1G33540.1, AT1G33540.2
OG0000023	FUN_024415-T1	AT5G09640.1
OG0000024	FUN_010896-T1, FUN_010897-T1, FUN_010895-T1	AT1G17060.1
OG0000025	FUN_050791-T1, FUN_051656-T1	AT4G34770.1
OG0000025	FUN_051653-T1, FUN_051654-T1, FUN_050790-T1, FUN_050780-T1, FUN_050779-T1, FUN_051671-T1, FUN_051670-T1, FUN_051667-T1	AT4G34800.1
OG0000026	FUN_028423-T2, FUN_028423-T1, FUN_020313-T1, FUN_020306-T1, FUN_020306-T2, FUN_020311-T1	AT5G23960.2, AT5G23960.1
OG0000027	FUN_047527-T1	AT2G24520.4, AT5G57350.3, AT3G47950.1, AT3G47950.2, AT5G62670.1
OG0000027	FUN_049510-T1	AT3G60330.2, AT3G60330.1, AT3G60330.4, AT3G60330.3
OG0000027	FUN_024104-T2, FUN_024104-T1	AT1G17260.1
OG0000027	FUN_005343-T1, FUN_005343-T2	AT2G24520.3, AT2G24520.1, AT2G24520.2
OG0000027	FUN_053156-T1	AT2G07560.1, AT3G42640.1
OG0000027	FUN_052200-T1, FUN_005491-T1	AT1G80660.2, AT1G80660.1, AT1G80660.3, AT1G80660.4
OG0000028	FUN_050968-T1, FUN_008999-T1, FUN_050957-T1, FUN_050972-T1, FUN_003756-T1, FUN_050973-T1, FUN_050954-T1, FUN_050898-T1, FUN_010675-T1, FUN_011515-T1, FUN_011513-T2, FUN_011513-T3, FUN_011513-T1, FUN_011518-T1, FUN_011514-T1, FUN_050956-T1, FUN_017952-T1, FUN_017950-T1, FUN_005868-T1, FUN_005865-T1, FUN_003755-T1, FUN_023817-T1, FUN_050971-T1, FUN_050955-T1, FUN_011516-T1	AT1G47890.1, AT1G45616.1
OG0000029	FUN_010620-T1, FUN_010619-T1, FUN_010621-T1, FUN_001276-T1	AT1G21240.2, AT1G21240.1, AT1G21245.1, AT3G25490.1, AT1G21230.1, AT1G21250.1, AT1G21270.1, AT1G21210.1
OG0000030	FUN_012798-T1, FUN_004143-T1, FUN_004142-T1	AT4G35680.1, AT4G35660.1
OG0000030	FUN_025680-T1, FUN_025681-T1, FUN_025682-T1, FUN_046131-T1, FUN_046111-T1, FUN_046117-T1, FUN_046121-T1, FUN_046133-T1, FUN_046120-T1, FUN_046114-T1, FUN_046125-T1, FUN_046123-T1, FUN_046129-T1, FUN_046110-T1, FUN_046122-T1, FUN_046116-T1, FUN_046128-T1, FUN_046126-T1, FUN_046113-T1, FUN_046132-T1, FUN_046137-T1, FUN_046135-T1, FUN_046136-T1, FUN_002402-T1	AT2G17070.1, AT2G17080.1, AT4G35210.1, AT4G35200.1, AT2G17043.1
OG0000030	FUN_004132-T1	AT4G35720.1
OG0000031	FUN_009434-T1	AT4G36470.1
OG0000031	FUN_038338-T1	AT1G19640.1
OG0000032	FUN_047445-T1, FUN_047444-T1, FUN_047446-T1, FUN_047439-T1, FUN_047440-T1, FUN_047438-T1, FUN_047441-T1, FUN_047436-T1, FUN_047442-T1, FUN_010876-T1, FUN_010877-T1, FUN_031303-T1, FUN_012015-T1, FUN_018438-T1, FUN_018443-T1, FUN_018442-T1, FUN_018440-T1, FUN_037257-T1, FUN_043669-T1, FUN_024434-T1	AT3G04200.1, AT3G04180.1, AT3G04190.1, AT3G04150.2, AT3G04150.1, AT3G04170.1, AT3G05950.1, AT5G38940.2, AT5G38940.1, AT5G38930.1, AT5G38910.2, AT5G38910.1, AT5G38960.1, AT4G14630.1, AT5G39190.1, AT5G39190.2, AT5G39160.2, AT5G39160.3, AT5G39160.1, AT5G39130.1, AT5G39110.1, AT5G39100.1, AT5G39150.1, AT5G39180.1, AT5G39120.1
OG0000034	FUN_012533-T1	AT4G23320.2, AT4G23320.1, AT4G23320.3
OG0000034	FUN_035361-T1, FUN_035361-T2, FUN_035361-T3, FUN_035360-T2, FUN_035360-T3, FUN_035360-T1, FUN_035359-T1, FUN_035359-T2, FUN_012498-T2, FUN_012498-T1	AT4G23150.1, AT4G23140.2, AT4G23140.1, AT4G23160.1, AT4G23230.1, AT4G23180.3, AT4G23180.2, AT4G23180.1, AT4G05200.1, AT4G05200.2
OG0000034	FUN_012547-T1	AT4G23220.1
OG0000034	FUN_035333-T2, FUN_035333-T1, FUN_035332-T1	AT4G38830.1
OG0000037	FUN_000651-T1	AT3G25180.1, AT3G25180.2
