Orthogroup	P_amilis.proteins	S_lycopersicum.proteins
OG0000008	FUN_036140-T1, FUN_036168-T1, FUN_036161-T1, FUN_036173-T1, FUN_036162-T1, FUN_036170-T1, FUN_036152-T1, FUN_036156-T1, FUN_036154-T1, FUN_036149-T1, FUN_036174-T1, FUN_036141-T1, FUN_036160-T1, FUN_036171-T1	Solyc04g080120.1.1, Solyc06g007740.1.1, Solyc06g007300.2.1
OG0000011	FUN_045628-T1	Solyc04g071680.2.1, Solyc04g074020.2.1, Solyc04g074050.3.1, Solyc04g074030.3.1, Solyc04g074000.3.1
OG0000011	FUN_018895-T1, FUN_018893-T1, FUN_018889-T1, FUN_018888-T1, FUN_024842-T1, FUN_024845-T1, FUN_024844-T1, FUN_024840-T1	Solyc09g072810.3.1
OG0000011	FUN_018896-T1	Solyc01g057680.3.1
OG0000015	FUN_008515-T1, FUN_035466-T1, FUN_035347-T1, FUN_035469-T1	Solyc02g079590.3.1, Solyc03g006770.3.1
OG0000016	FUN_038365-T1, FUN_036994-T1	Solyc10g012140.1.1
OG0000016	FUN_005881-T2, FUN_005881-T1, FUN_043248-T1, FUN_012840-T1, FUN_037845-T1, FUN_020623-T1	Solyc07g018180.2.1
OG0000016	FUN_043544-T1, FUN_017493-T1, FUN_005884-T1	Solyc03g118330.2.1, Solyc03g019980.2.1, Solyc03g098400.2.1
OG0000016	FUN_051992-T1, FUN_041846-T1, FUN_020836-T1, FUN_052216-T1, FUN_052215-T1, FUN_052217-T1, FUN_038364-T1, FUN_004692-T1, FUN_002249-T1, FUN_020759-T1, FUN_002301-T1, FUN_002248-T1, FUN_002301-T2, FUN_002242-T1, FUN_002244-T1, FUN_018370-T1, FUN_052249-T1, FUN_002247-T1, FUN_002304-T1, FUN_043138-T1, FUN_002303-T1, FUN_045120-T1, FUN_052261-T2, FUN_052261-T1, FUN_036960-T1, FUN_036965-T1, FUN_036969-T1, FUN_036995-T1, FUN_036991-T1, FUN_036974-T1, FUN_036955-T1, FUN_036972-T1, FUN_036966-T1, FUN_036993-T1, FUN_052218-T1, FUN_036967-T1, FUN_036992-T1, FUN_036959-T1, FUN_036988-T3, FUN_036988-T1, FUN_036988-T2, FUN_036999-T1, FUN_036954-T1, FUN_036986-T1, FUN_036998-T1, FUN_036963-T1, FUN_036962-T1, FUN_036985-T1, FUN_036970-T1, FUN_017494-T1, FUN_036949-T1, FUN_036949-T2, FUN_036987-T1	Solyc11g020270.1.1
OG0000018	FUN_012656-T1, FUN_019095-T1, FUN_015179-T1, FUN_015183-T1, FUN_015176-T2, FUN_015177-T2, FUN_015177-T1, FUN_015185-T1, FUN_015185-T2, FUN_015184-T1, FUN_011156-T2, FUN_011156-T1, FUN_042066-T1	Solyc09g010000.3.1, Solyc09g089580.3.1, Solyc03g095900.3.1, Solyc09g089740.3.1, Solyc09g089730.3.1, Solyc09g089720.2.1, Solyc09g089760.1.1, Solyc09g089690.3.1, Solyc12g006380.2.1, Solyc09g089680.3.1, Solyc09g009985.1.1, Solyc09g010040.2.1
OG0000018	FUN_012653-T1, FUN_015188-T1	Solyc09g089700.3.1, Solyc03g095920.2.1
OG0000018	FUN_011477-T1, FUN_011476-T1, FUN_011478-T1, FUN_048627-T1, FUN_048629-T1, FUN_047268-T1, FUN_047265-T1, FUN_046104-T1, FUN_046104-T2, FUN_051744-T1, FUN_012787-T1	Solyc09g089790.3.1, Solyc09g089830.3.1, Solyc09g089810.1.1, Solyc09g089800.2.1, Solyc09g089780.3.1, Solyc09g089820.2.1
OG0000021	FUN_018674-T1, FUN_018644-T1	Solyc02g090265.1.1
