,target_id,AT_gene_id,Symbol,Description,Position
1,Dm_00011513-RA,AT5G52660.1, Symbols: RVE6 , REVEILLE 6 , chr5:21359423-21362037 REVERSE LENGTH=330
2,Dm_00008435-RA,AT1G02500.2," Symbols: METK1, SAM-1, AtSAM1, SAM1, MAT1 "," S-adenosylmethionine synthetase 1, S-ADENOSYLMETHIONINE SYNTHETASE-1 ", chr1:519037-520218 FORWARD LENGTH=393
3,Dm_00020939-RA,AT1G02500.2," Symbols: METK1, SAM-1, AtSAM1, SAM1, MAT1 "," S-adenosylmethionine synthetase 1, S-ADENOSYLMETHIONINE SYNTHETASE-1 ", chr1:519037-520218 FORWARD LENGTH=393
4,Dm_00011118-RA,AT5G54590.4, Symbols: CRLK1 , calcium/calmodulin-regulated receptor-like kinase 1 , chr5:22180480-22182698 FORWARD LENGTH=440
5,Dm_00016714-RA,AT3G13470.1," Symbols: CPNB2, Cpn60beta2 ", chaperonin-60beta2 , chr3:4389685-4392624 FORWARD LENGTH=596
6,Dm_00017245-RA,AT1G21680.1, Symbols: no symbol available , no full name available , chr1:7613028-7615148 FORWARD LENGTH=706
7,Dm_00003749-RA,AT5G59480.5, Symbols: no symbol available , no full name available , chr5:23979619-23981156 REVERSE LENGTH=282
8,Dm_00014046-RA,AT3G02380.1," Symbols: BBX3, COL2, ATCOL2 "," CONSTANS-LIKE 2, CONSTANS-like 2, B-box domain protein 3 ", chr3:487438-488624 REVERSE LENGTH=347
9,Dm_00018220-RA,AT5G54470.1, Symbols: BBX29 , B-box domain protein 29 , chr5:22114584-22115315 REVERSE LENGTH=215
10,Dm_00007997-RA,AT1G78570.1," Symbols: RHM1, ATRHM1, ROL1 "," REPRESSOR OF LRX1 1, rhamnose biosynthesis 1, ARABIDOPSIS THALIANA RHAMNOSE BIOSYNTHESIS 1 ", chr1:29550110-29552207 FORWARD LENGTH=669
11,Dm_00006413-RA,AT1G71040.1, Symbols: LPR2 , Low Phosphate Root2 , chr1:26797201-26800224 REVERSE LENGTH=581
12,Dm_00010505-RA,AT5G08200.1, Symbols: no symbol available , no full name available , chr5:2638385-2640508 FORWARD LENGTH=409
13,Dm_00000138-RA,NA,,,
14,Dm_00017594-RA,AT5G15650.1," Symbols: MUR5, ATRGP2, RGP2 "," MURUS 5, REVERSIBLY GLYCOSYLATED POLYPEPTIDE 2, reversibly glycosylated polypeptide 2 ", chr5:5092203-5094093 FORWARD LENGTH=360
15,Dm_00018599-RA,AT1G48405.1, Symbols: no symbol available , no full name available , chr1:17884645-17885614 REVERSE LENGTH=297
16,Dm_00020970-RA,AT2G36950.1, Symbols: AtHMP20 , HEAVY METAL ASSOCIATED PROTEIN 20 , chr2:15515216-15516754 FORWARD LENGTH=386
17,Dm_00010472-RA,AT3G07770.3," Symbols: Hsp89.1, AtHsp90.6, AtHsp90-6 "," HEAT SHOCK PROTEIN 90.6, HEAT SHOCK PROTEIN 89.1, HEAT SHOCK PROTEIN 90-6 ", chr3:2479611-2483970 FORWARD LENGTH=799
18,Dm_00000441-RA,AT4G27720.1, Symbols: no symbol available , no full name available , chr4:13831203-13833521 FORWARD LENGTH=460
19,Dm_00013761-RA,AT5G06610.1, Symbols: BDR1 , Boundary of ROP domain1 , chr5:2029953-2033620 FORWARD LENGTH=368
20,Dm_00017206-RA,AT1G79160.1, Symbols: no symbol available , no full name available , chr1:29779862-29780668 REVERSE LENGTH=239
21,Dm_00011074-RA,AT3G12630.1, Symbols: SAP5 , stress associated protein 5 , chr3:4012707-4013189 FORWARD LENGTH=160
22,Dm_00011829-RA,NA,,,
23,Dm_00009899-RA,AT2G04030.1," Symbols: CR88, EMB1956, AtHsp90.5, HSP90C, AtHsp90C, Hsp88.1, HSP90.5 "," HEAT SHOCK PROTEIN 90.5, EMBRYO DEFECTIVE 1956, HEAT SHOCK PROTEIN 88.1 ", chr2:1281983-1285909 FORWARD LENGTH=780
24,Dm_00004115-RA,NA,,,
25,Dm_00002706-RA,AT5G16620.1," Symbols: PDE120, TIC40, ATTIC40 "," translocon at the inner envelope membrane of chloroplasts 40, pigment defective embryo 120 ", chr5:5450808-5454256 FORWARD LENGTH=447
26,Dm_00007763-RA,AT3G21090.1, Symbols: ABCG15 , ATP-binding cassette G15 , chr3:7391497-7394933 REVERSE LENGTH=691
27,Dm_00010235-RA,AT3G48940.1, Symbols: no symbol available , no full name available , chr3:18142863-18144163 REVERSE LENGTH=175
28,Dm_00007507-RA,AT4G13410.2," Symbols: ATCSLA15, CSLA15 ", CELLULOSE SYNTHASE LIKE A15 , chr4:7793457-7795824 REVERSE LENGTH=398
29,Dm_00001775-RA,AT2G05630.1, Symbols: ATG8D ,  , chr2:2083211-2084775 REVERSE LENGTH=120
