Orthogroup	A_vesiculosa.proteins	S_lycopersicum.proteins
OG0000005	Av_00007495-RA, Av_00024486-RA, Av_00022371-RA, Av_00019607-RA, Av_00012217-RA, Av_00021532-RA, Av_00022864-RA, Av_00023461-RA, Av_00024984-RA, Av_00020486-RA, Av_00024292-RA, Av_00024666-RA, Av_00023531-RA, Av_00024923-RA, Av_00021429-RA, Av_00009848-RA, Av_00024577-RA, Av_00023506-RA, Av_00024960-RA, Av_00013801-RA, Av_00024223-RA, Av_00022326-RA, Av_00007382-RA, Av_00016966-RA, Av_00023509-RA, Av_00007367-RA, Av_00015996-RA, Av_00001980-RA, Av_00020470-RA, Av_00025023-RA, Av_00007527-RA, Av_00010666-RA, Av_00013327-RA, Av_00022113-RA, Av_00015858-RA, Av_00011754-RA, Av_00012028-RA, Av_00020162-RA, Av_00006067-RA, Av_00016983-RA, Av_00010478-RA, Av_00023230-RA, Av_00018491-RA, Av_00021957-RA, Av_00021958-RA, Av_00019109-RA, Av_00008544-RA, Av_00012509-RA, Av_00025121-RA, Av_00019226-RA, Av_00005669-RA, Av_00006438-RA, Av_00018955-RA, Av_00020469-RA, Av_00020540-RA, Av_00024914-RA, Av_00025001-RA, Av_00017091-RA, Av_00023266-RA, Av_00005696-RA, Av_00022114-RA, Av_00023111-RA, Av_00024503-RA, Av_00020163-RA, Av_00009451-RA, Av_00019410-RA, Av_00012941-RA, Av_00007493-RA, Av_00004819-RA, Av_00019227-RA, Av_00014006-RA, Av_00020550-RA, Av_00022050-RA, Av_00019700-RA, Av_00002339-RA, Av_00020229-RA, Av_00017146-RA, Av_00018062-RA, Av_00009579-RA, Av_00010154-RA, Av_00024440-RA, Av_00019210-RA, Av_00023750-RA, Av_00016920-RA, Av_00014260-RA, Av_00023264-RA, Av_00009850-RA, Av_00021724-RA, Av_00011309-RA, Av_00003670-RA, Av_00010521-RA, Av_00010037-RA, Av_00019324-RA, Av_00005697-RA, Av_00007528-RA, Av_00013326-RA, Av_00006393-RA, Av_00024866-RA, Av_00009847-RA, Av_00018684-RA, Av_00005276-RA, Av_00022648-RA, Av_00019698-RA, Av_00015650-RA, Av_00024924-RA, Av_00024831-RA, Av_00024070-RA, Av_00005969-RA, Av_00005688-RA, Av_00018101-RA, Av_00024982-RA, Av_00002341-RA, Av_00009846-RA, Av_00023265-RA, Av_00014095-RA, Av_00003091-RA, Av_00018683-RA, Av_00015994-RA, Av_00018172-RA, Av_00011446-RA, Av_00018063-RA, Av_00025089-RA, Av_00004596-RA, Av_00005123-RA, Av_00000975-RA, Av_00003220-RA, Av_00019916-RA, Av_00007667-RA, Av_00022967-RA, Av_00024978-RA, Av_00004821-RA, Av_00006461-RA, Av_00023569-RA, Av_00005725-RA, Av_00012796-RA, Av_00004255-RA, Av_00022151-RA, Av_00024441-RA, Av_00021739-RA, Av_00007036-RA, Av_00024784-RA, Av_00023192-RA, Av_00025069-RA, Av_00008799-RA, Av_00020406-RA, Av_00017026-RA, Av_00022439-RA, Av_00001356-RA, Av_00015995-RA, Av_00019904-RA, Av_00006068-RA, Av_00019917-RA, Av_00018367-RA, Av_00002609-RA, Av_00011046-RA, Av_00011880-RA, Av_00018055-RA, Av_00020161-RA, Av_00016577-RA, Av_00007494-RA, Av_00002340-RA, Av_00004822-RA, Av_00024998-RA, Av_00014554-RA, Av_00024667-RA, Av_00014995-RA, Av_00022016-RA, Av_00024273-RA, Av_00020632-RA, Av_00012601-RA, Av_00010519-RA, Av_00014456-RA, Av_00006395-RA, Av_00019777-RA, Av_00017755-RA, Av_00020160-RA, Av_00017142-RA, Av_00024246-RA, Av_00022325-RA, Av_00023530-RA, Av_00022236-RA, Av_00024837-RA, Av_00005724-RA, Av_00005970-RA, Av_00015997-RA, Av_00009542-RA, Av_00023464-RA, Av_00013328-RA, Av_00023231-RA, Av_00025068-RA, Av_00009690-RA, Av_00024983-RA, Av_00017147-RA, Av_00019228-RA, Av_00013576-RA, Av_00011310-RA, Av_00024785-RA, Av_00018673-RA, Av_00007529-RA, Av_00012075-RA, Av_00007420-RA, Av_00020484-RA, Av_00005668-RA, Av_00013987-RA, Av_00019658-RA, Av_00019722-RA, Av_00005726-RA, Av_00000506-RA, Av_00024504-RA, Av_00023112-RA, Av_00019952-RA, Av_00016567-RA, Av_00022437-RA, Av_00010537-RA, Av_00020998-RA, Av_00023890-RA, Av_00013457-RA, Av_00016984-RA, Av_00021959-RA, Av_00009543-RA, Av_00010477-RA, Av_00024290-RA, Av_00020636-RA, Av_00024281-RA, Av_00022613-RA, Av_00016921-RA, Av_00018786-RA, Av_00013329-RA, Av_00022866-RA, Av_00015998-RA, Av_00020549-RA, Av_00016856-RA, Av_00015717-RA, Av_00006396-RA, Av_00025090-RA, Av_00024349-RA, Av_00010038-RA, Av_00021516-RA, Av_00019229-RA, Av_00004159-RA, Av_00009849-RA, Av_00002556-RA, Av_00015801-RA, Av_00023056-RA, Av_00007383-RA, Av_00023650-RA, Av_00022441-RA, Av_00024836-RA, Av_00019325-RA, Av_00024272-RA, Av_00022112-RA, Av_00019412-RA, Av_00003156-RA, Av_00012510-RA, Av_00004450-RA, Av_00023233-RA, Av_00008539-RA, Av_00019209-RA, Av_00009452-RA, Av_00025055-RA, Av_00025065-RA, Av_00023749-RA, Av_00006460-RA, Av_00021146-RA, Av_00023626-RA, Av_00020539-RA, Av_00024116-RA, Av_00017515-RA, Av_00004953-RA, Av_00018423-RA, Av_00012868-RA, Av_00011311-RA, Av_00024925-RA, Av_00025078-RA, Av_00020228-RA, Av_00021430-RA, Av_00017526-RA, Av_00017202-RA, Av_00013955-RA, Av_00022324-RA, Av_00024917-RA, Av_00022681-RA, Av_00023460-RA, Av_00020256-RA, Av_00023463-RA, Av_00004594-RA, Av_00024291-RA, Av_00012797-RA, Av_00024280-RA, Av_00021562-RA, Av_00007366-RA, Av_00013800-RA, Av_00025058-RA, Av_00025057-RA, Av_00025077-RA, Av_00025081-RA, Av_00025079-RA, Av_00025059-RA, Av_00025080-RA, Av_00025120-RA, Av_00020485-RA, Av_00010667-RA, Av_00019411-RA, Av_00014007-RA, Av_00021145-RA, Av_00004798-RA, Av_00004960-RA, Av_00016054-RA, Av_00017201-RA, Av_00012076-RA, Av_00023508-RA, Av_00004072-RA, Av_00023232-RA, Av_00022237-RA, Av_00016808-RA, Av_00007556-RA, Av_00023529-RA, Av_00022700-RA, Av_00009372-RA, Av_00019701-RA, Av_00004580-RA, Av_00003092-RA, Av_00020637-RA, Av_00005602-RA, Av_00004797-RA, Av_00009541-RA, Av_00023560-RA, Av_00019721-RA, Av_00018422-RA, Av_00024999-RA, Av_00022370-RA, Av_00015490-RA, Av_00011212-RA, Av_00025022-RA, Av_00004449-RA, Av_00024105-RA, Av_00025064-RA, Av_00019370-RA, Av_00010292-RA, Av_00024847-RA, Av_00012508-RA, Av_00014186-RA, Av_00022440-RA, Av_00007255-RA, Av_00015941-RA, Av_00005144-RA, Av_00014994-RA, Av_00018054-RA, Av_00021009-RA, Av_00003483-RA, Av_00024224-RA, Av_00003098-RA, Av_00015792-RA, Av_00023399-RA, Av_00003865-RA, Av_00009354-RA, Av_00014145-RA, Av_00022372-RA, Av_00021290-RA, Av_00013804-RA, Av_00003831-RA, Av_00005143-RA, Av_00005762-RA, Av_00024767-RA, Av_00004513-RA, Av_00016135-RA, Av_00024814-RA, Av_00011879-RA, Av_00023544-RA, Av_00021398-RA, Av_00022933-RA, Av_00015391-RA, Av_00012867-RA, Av_00008545-RA, Av_00022836-RA, Av_00022105-RA, Av_00024103-RA, Av_00001117-RA, Av_00010700-RA, Av_00005560-RA, Av_00009371-RA, Av_00004441-RA, Av_00014459-RA, Av_00018142-RA, Av_00022152-RA, Av_00014728-RA, Av_00006074-RA, Av_00024305-RA, Av_00022996-RA, Av_00020319-RA, Av_00004777-RA, Av_00014094-RA, Av_00018685-RA, Av_00009578-RA, Av_00016055-RA, Av_00020560-RA, Av_00022614-RA, Av_00022241-RA, Av_00017516-RA, Av_00019699-RA, Av_00006394-RA, Av_00020660-RA, Av_00021650-RA, Av_00006439-RA, Av_00023513-RA, Av_00018173-RA, Av_00008817-RA, Av_00023465-RA, Av_00002151-RA, Av_00001958-RA, Av_00020561-RA, Av_00023263-RA, Av_00023234-RA, Av_00003219-RA, Av_00000974-RA, Av_00016576-RA, Av_00024274-RA, Av_00016956-RA, Av_00005723-RA, Av_00005971-RA, Av_00025054-RA, Av_00003157-RA, Av_00012077-RA, Av_00018061-RA, Av_00020257-RA, Av_00010520-RA, Av_00004595-RA, Av_00001453-RA, Av_00024279-RA, Av_00024115-RA, Av_00024916-RA, Av_00022622-RA	Solyc02g050207.1.1
OG0000011	Av_00002197-RA	Solyc09g072810.3.1
OG0000016	Av_00024235-RA	Solyc07g018180.2.1
OG0000018	Av_00017038-RA, Av_00013504-RA	Solyc09g089770.3.1
OG0000021	Av_00016821-RA, Av_00016683-RA	Solyc02g090265.1.1
OG0000021	Av_00016682-RA	Solyc06g084820.2.1, Solyc06g066270.1.1, Solyc06g066280.3.1
OG0000022	Av_00004844-RA	Solyc04g051880.2.1
OG0000022	Av_00010967-RA	Solyc04g011700.2.1
OG0000023	Av_00004265-RA	Solyc12g088260.1.1, Solyc12g019560.1.1
OG0000024	Av_00007869-RA	Solyc07g052073.1.1
