Orthogroup	A_vesiculosa.proteins	B_vulgaris.proteins
OG0000005	Av_00002340-RA, Av_00004822-RA, Av_00024998-RA, Av_00014554-RA, Av_00024667-RA, Av_00014995-RA, Av_00022016-RA, Av_00024273-RA, Av_00020632-RA, Av_00012601-RA, Av_00010519-RA, Av_00014456-RA, Av_00006395-RA, Av_00019777-RA, Av_00017755-RA, Av_00020160-RA, Av_00017142-RA, Av_00024246-RA, Av_00022325-RA, Av_00023530-RA, Av_00022236-RA, Av_00024837-RA, Av_00005724-RA, Av_00005970-RA, Av_00015997-RA, Av_00009542-RA, Av_00023464-RA, Av_00013328-RA, Av_00023231-RA, Av_00025068-RA, Av_00009690-RA, Av_00024983-RA, Av_00017147-RA, Av_00019228-RA, Av_00013576-RA, Av_00011310-RA, Av_00024785-RA, Av_00018673-RA, Av_00007529-RA, Av_00012075-RA, Av_00007420-RA, Av_00020484-RA, Av_00005668-RA, Av_00013987-RA, Av_00019658-RA, Av_00019722-RA, Av_00005726-RA, Av_00000506-RA, Av_00024504-RA, Av_00023112-RA, Av_00019952-RA, Av_00016567-RA, Av_00022437-RA, Av_00010537-RA, Av_00020998-RA, Av_00023890-RA, Av_00013457-RA, Av_00016984-RA, Av_00021959-RA, Av_00009543-RA, Av_00010477-RA, Av_00024290-RA, Av_00020636-RA, Av_00024281-RA, Av_00022613-RA, Av_00016921-RA, Av_00018786-RA, Av_00013329-RA, Av_00022866-RA, Av_00015998-RA, Av_00020549-RA, Av_00016856-RA, Av_00015717-RA, Av_00006396-RA, Av_00025090-RA, Av_00024349-RA, Av_00010038-RA, Av_00021516-RA, Av_00019229-RA, Av_00004159-RA, Av_00009849-RA, Av_00002556-RA, Av_00015801-RA, Av_00023056-RA, Av_00007383-RA, Av_00023650-RA, Av_00022441-RA, Av_00024836-RA, Av_00019325-RA, Av_00024272-RA, Av_00022112-RA, Av_00019412-RA, Av_00003156-RA, Av_00012510-RA, Av_00004450-RA, Av_00023233-RA, Av_00008539-RA, Av_00019209-RA, Av_00009452-RA, Av_00025055-RA, Av_00025065-RA, Av_00023749-RA, Av_00006460-RA, Av_00021146-RA, Av_00023626-RA, Av_00020539-RA, Av_00024116-RA, Av_00017515-RA, Av_00004953-RA, Av_00018423-RA, Av_00012868-RA, Av_00011311-RA, Av_00024925-RA, Av_00025078-RA, Av_00020228-RA, Av_00021430-RA, Av_00017526-RA, Av_00017202-RA, Av_00013955-RA, Av_00022324-RA, Av_00024917-RA, Av_00022681-RA, Av_00023460-RA, Av_00020256-RA, Av_00023463-RA, Av_00004594-RA, Av_00024291-RA, Av_00012797-RA, Av_00024280-RA, Av_00021562-RA, Av_00007366-RA, Av_00013800-RA	Bevul.6G144600.1.p
OG0000008	Av_00017274-RA, Av_00024183-RA	Bevul.4G169600.1.p, Bevul.4G164800.1.p, Bevul.8G132800.1.p, Bevul.4G167500.1.p, Bevul.4G167700.1.p, Bevul.4G161700.1.p, Bevul.4G162100.1.p, Bevul.4G175000.1.p, Bevul.4G171100.1.p, Bevul.4G158600.1.p, Bevul.4G162000.1.p, Bevul.4G158700.1.p, Bevul.4G163200.1.p, Bevul.4G160400.1.p, Bevul.4G163300.1.p, Bevul.4G163900.1.p, Bevul.4G171200.1.p, Bevul.4G171300.1.p, Bevul.4G171400.1.p, Bevul.4G199500.1.p, Bevul.4G199400.1.p, Bevul.4G199300.1.p, Bevul.4G192000.1.p, Bevul.4G188200.1.p, Bevul.4G192200.1.p, Bevul.4G177300.1.p, Bevul.4G188000.1.p, Bevul.4G191800.1.p, Bevul.4G191900.1.p, Bevul.4G187800.1.p, Bevul.4G188300.1.p, Bevul.4G192300.1.p, Bevul.4G192100.1.p, Bevul.4G184600.1.p, Bevul.4G192400.1.p, Bevul.4G194600.1.p
OG0000008	Av_00023836-RA	Bevul.5G243000.1.p
OG0000009	Av_00017212-RA, Av_00017786-RA	Bevul.8G212100.1.p, Bevul.1G086700.1.p, Bevul.1G091900.1.p, Bevul.7G138300.1.p, Bevul.8G195200.1.p
OG0000011	Av_00002197-RA	Bevul.7G111500.1.p, Bevul.7G111300.1.p
OG0000013	Av_00017081-RA, Av_00020185-RA, Av_00020490-RA, Av_00021381-RA, Av_00021974-RA, Av_00024358-RA, Av_00022875-RA, Av_00020439-RA, Av_00022149-RA	Bevul.9G069400.1.p, Bevul.2G085500.1.p
OG0000015	Av_00016901-RA, Av_00010123-RA, Av_00014290-RA	Bevul.9G113800.1.p, Bevul.9G113800.4.p, Bevul.9G113800.3.p, Bevul.9G113800.5.p, Bevul.9G113800.2.p
OG0000016	Av_00024235-RA	Bevul.9G202400.1.p, Bevul.6G093300.1.p, Bevul.1G082700.1.p, Bevul.6G098600.1.p
OG0000018	Av_00017038-RA	Bevul.6G029800.1.p
OG0000018	Av_00013504-RA	Bevul.3G012700.1.p, Bevul.3G012800.1.p
