target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	814.38	109	10.0445
Dm_00008772-RA	1272	1069.38	77	5.40365
Dm_00008770-RA	1722	1519.38	158	7.80403
Dm_00008771-RA	636	433.761	23	3.9793
Dm_00008682-RA	906	703.452	140	14.9356
Dm_00008591-RA	1308	1105.38	69	4.68453
Dm_00008592-RA	2436	2233.38	445	14.9529
Dm_00008593-RA	759	556.578	1536	207.107
Dm_00008594-RA	969	766.38	729	71.3858
Dm_00010209-RA	468	266.871	0	0
Dm_00010051-RA	693	490.578	3	0.458925
Dm_00009727-RA	234	56.8715	0	0
Dm_00009728-RA	1161	958.38	0	0
Dm_00009413-RA	1368	1165.38	344	22.1523
Dm_00009412-RA	2105	1902.38	222	8.75758
Dm_00009411-RA	2682	2479.38	90	2.72413
Dm_00009410-RA	432	231.857	1	0.323674
Dm_00009021-RA	1668	1465.38	1959	100.326
Dm_00009020-RA	414	214.667	39	13.6341
Dm_00009748-RA	1554	1351.38	245	13.6056
Dm_00009749-RA	1092	889.38	371	31.3051
Dm_00009750-RA	941	738.38	331	33.6416
Dm_00010290-RA	1116	913.38	156	12.8174
Dm_00010291-RA	969	766.38	19	1.86053
Dm_00007855-RA	945	742.38	475	48.0171
Dm_00007856-RA	786	583.578	174	22.3758
Dm_00007858-RA	2466	2263.38	246	8.15654
Dm_00007859-RA	2304	2101.38	38	1.35709
Dm_00007857-RA	873	670.519	527	58.9832
Dm_00009353-RA	471	269.791	57	15.8554
Dm_00009317-RA	312	120.293	727	453.547
Dm_00010173-RA	1548	1345.38	432	24.0972
Dm_00010171-RA	228	52.545	49	69.9831
Dm_00010172-RA	258	74.8024	5	5.01629
Dm_00009367-RA	1566	1363.38	588	32.366
Dm_00009368-RA	171	16.38	48	219.915
Dm_00009369-RA	984	781.38	101	9.70035
Dm_00009983-RA	1065	862.38	29	2.52364
Dm_00009982-RA	975	772.38	4	0.388649
Dm_00009984-RA	537	335.344	0	0
Dm_00009718-RA	1158	955.38	2182	171.398
Dm_00009717-RA	753	550.578	197	26.852
Dm_00009950-RA	1842	1639.38	0	0
Dm_00009953-RA	1437	1234.38	120	7.29559
Dm_00009948-RA	1638	1435.38	468	24.4685
Dm_00009949-RA	879	676.452	128	14.2004
Dm_00009951-RA	729	526.578	17	2.42278
Dm_00009952-RA	444	243.401	0	0
Dm_00009009-RA	738	535.578	2	0.280244
