,target_id,AT_gene_id,Symbol,Description,Position
1,Dm_00011949-RA,AT4G18910.1," Symbols: ATNLM2, NIP1;2, NLM2 "," NOD26-like intrinsic protein 1;2, NOD26-LIKE INTRINSIC PROTEIN 2 ", chr4:10366211-10368179 FORWARD LENGTH=294
2,Dm_00013232-RA,AT5G26667.4, Symbols: PYR6 ,  , chr5:9276659-9278091 FORWARD LENGTH=202
3,Dm_00009382-RA,AT1G02520.3," Symbols: ABCB11, MDR8, PGP11 "," ATP-binding cassette B11, multi-drug resistance 8, P-glycoprotein 11 ", chr1:524134-528745 FORWARD LENGTH=1278
4,Dm_00000978-RA,AT5G13080.1," Symbols: WRKY75, ATWRKY75 "," WRKY DNA-binding protein 75, ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 75 ", chr5:4149928-4151019 REVERSE LENGTH=145
5,Dm_00012495-RA,AT1G63690.1," Symbols: SPPL2, ATSPPL2 ", SIGNAL PEPTIDE PEPTIDASE-LIKE 2 , chr1:23618490-23622082 FORWARD LENGTH=540
6,Dm_00018090-RA,AT1G66400.1, Symbols: CML23 , calmodulin like 23 , chr1:24770856-24771329 REVERSE LENGTH=157
7,Dm_00012748-RA,NA,,,
8,Dm_00012435-RA,AT3G26040.1, Symbols: no symbol available , no full name available , chr3:9519741-9521069 FORWARD LENGTH=442
9,Dm_00014822-RA,AT3G15030.4," Symbols: MEE35, TCP4 "," TCP family transcription factor 4, maternal effect embryo arrest 35 ", chr3:5062308-5063570 FORWARD LENGTH=420
10,Dm_00005035-RA,AT1G56580.1, Symbols: SVB , SMALLER WITH VARIABLE BRANCHES , chr1:21198402-21198902 REVERSE LENGTH=166
11,Dm_00005762-RA,AT2G37090.1, Symbols: IRX9 , IRREGULAR XYLEM 9 , chr2:15587671-15589223 REVERSE LENGTH=351
12,Dm_00005318-RA,AT3G51060.1," Symbols: SRS1, AtSTY1, STY1 "," SHI RELATED SEQUENCE 1, STYLISH 1 ", chr3:18964606-18966130 FORWARD LENGTH=370
13,Dm_00016345-RA,AT3G54960.1," Symbols: PDI1, PDIL1-3, ATPDIL1-3, ATPDI1 "," ARABIDOPSIS THALIANA PROTEIN DISULFIDE ISOMERASE 1, PDI-like 1-3, PROTEIN DISULFIDE ISOMERASE 1 ", chr3:20363514-20366822 REVERSE LENGTH=579
14,Dm_00014939-RA,AT5G60970.1, Symbols: TCP5 ," ""TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 5"" ", chr5:24535570-24536652 REVERSE LENGTH=360
15,Dm_00013957-RA,AT5G65730.1, Symbols: XTH6 , xyloglucan endotransglucosylase/hydrolase 6 , chr5:26299080-26300290 FORWARD LENGTH=292
