Orthogroup	G_max.proteins	Other
OG0000011	GmISU01.03G128600.1.p, GmISU01.19G132900.1.p, GmISU01.19G132800.1.p, GmISU01.03G128900.1.p, GmISU01.03G128500.2.p, GmISU01.03G129000.1.p	Bevul.7G111600.1.p
OG0000027	GmISU01.17G087900.3.p, GmISU01.17G087900.4.p, GmISU01.17G087900.1.p, GmISU01.17G087900.7.p, GmISU01.05G027900.3.p, GmISU01.05G027900.1.p, GmISU01.05G027900.4.p, GmISU01.05G027900.5.p, GmISU01.17G087900.6.p, GmISU01.17G087900.5.p, GmISU01.05G027900.2.p, GmISU01.04G141400.1.p, GmISU01.04G141400.3.p, GmISU01.06G173000.1.p, GmISU01.13G043700.1.p, GmISU01.19G016900.1.p	FUN_008000-T1
OG0000040	GmISU01.10G230300.1.p, GmISU01.11G143200.1.p	FUN_012619-T1
OG0000042	GmISU01.12G054200.1.p	Bevul.7G199900.1.p
OG0000068	GmISU01.01G011200.1.p, GmISU01.01G011200.2.p	FUN_004607-T1, FUN_038067-T1, FUN_004616-T1, FUN_004614-T1, FUN_005998-T1, FUN_004619-T1
OG0000114	GmISU01.08G314100.5.p, GmISU01.08G314100.6.p, GmISU01.08G314100.7.p, GmISU01.08G314100.3.p, GmISU01.08G314100.4.p, GmISU01.08G314100.2.p, GmISU01.08G314100.1.p, GmISU01.08G314400.1.p, GmISU01.08G314300.1.p, GmISU01.13G214600.1.p, GmISU01.13G214600.2.p, GmISU01.03G061200.2.p, GmISU01.03G061200.1.p, GmISU01.16G081700.2.p, GmISU01.16G081700.1.p	Solyc04g008385.1.1, Solyc04g008370.2.1, Solyc04g008390.2.1, Solyc04g058110.3.1
OG0000118	GmISU01.08G243200.1.p	Ds_00004923-RA
OG0000163	GmISU01.13G093000.1.p, GmISU01.13G093000.3.p, GmISU01.13G093000.5.p, GmISU01.10G031600.2.p, GmISU01.10G031600.1.p, GmISU01.13G093000.2.p, GmISU01.13G093000.4.p	AH010762-RA
OG0000163	GmISU01.13G093000.1.p, GmISU01.13G093000.3.p, GmISU01.13G093000.5.p, GmISU01.10G031600.2.p, GmISU01.10G031600.1.p, GmISU01.13G093000.2.p, GmISU01.13G093000.4.p	FUN_011634-T1
OG0000248	GmISU01.02G027000.1.p, GmISU01.01G032900.1.p, GmISU01.01G127900.1.p, GmISU01.01G127900.2.p	FUN_009157-T1
