target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	822.957	23	3.95904
Dm_00008772-RA	1272	1077.96	53	6.96488
Dm_00008770-RA	1722	1527.96	101	9.36374
Dm_00008771-RA	636	442.141	21	6.72819
Dm_00008682-RA	906	711.957	808	160.767
Dm_00008591-RA	1308	1113.96	67	8.52012
Dm_00008592-RA	2436	2241.96	291	18.3868
Dm_00008593-RA	759	565.095	1147	287.529
Dm_00008594-RA	969	774.957	282	51.5479
Dm_00010209-RA	468	274.692	0	0
Dm_00010051-RA	693	499.095	5	1.41914
Dm_00009727-RA	234	57.5189	0	0
Dm_00009728-RA	1161	966.957	0	0
Dm_00009413-RA	1368	1173.96	97	11.7047
Dm_00009412-RA	2105	1910.96	411	30.467
Dm_00009411-RA	2682	2487.96	44	2.50524
Dm_00009410-RA	432	239.003	5	2.96351
Dm_00009021-RA	1668	1473.96	485	46.6118
Dm_00009020-RA	414	221.301	12	7.68134
Dm_00009748-RA	1554	1359.96	300	31.2489
Dm_00009749-RA	1092	897.957	282	44.487
Dm_00009750-RA	941	746.957	94	17.8267
Dm_00010290-RA	1116	921.957	41	6.29959
Dm_00010291-RA	969	774.957	103	18.8278
Dm_00007855-RA	945	750.957	211	39.8022
Dm_00007856-RA	786	592.095	93	22.25
Dm_00007858-RA	2466	2271.96	448	27.933
Dm_00007859-RA	2304	2109.96	228	15.3074
Dm_00007857-RA	873	679.028	56	11.6826
Dm_00009353-RA	471	277.664	8	4.0814
Dm_00009317-RA	312	123.689	225	257.686
Dm_00010173-RA	1548	1353.96	198	20.7157
Dm_00010171-RA	228	52.9727	17	45.4607
Dm_00010172-RA	258	76.7084	0	0
Dm_00009367-RA	1566	1371.96	324	33.4537
Dm_00009368-RA	171	15.9635	34	301.711
Dm_00009369-RA	984	789.957	74	13.2699
Dm_00009983-RA	1065	870.957	17	2.76498
Dm_00009982-RA	975	780.957	9	1.63251
Dm_00009984-RA	537	343.367	0	0
Dm_00009718-RA	1158	963.957	770	113.155
Dm_00009717-RA	753	559.095	110	27.8706
Dm_00009950-RA	1842	1647.96	0	0
Dm_00009953-RA	1437	1242.96	108	12.3086
Dm_00009948-RA	1638	1443.96	370	36.2983
Dm_00009949-RA	879	685.028	83	17.1636
Dm_00009951-RA	729	535.095	0	0
Dm_00009952-RA	444	250.905	0	0
Dm_00009009-RA	738	544.095	0	0
Dm_00009010-RA	303	115.551	1.01454	1.24375
Dm_00009007-RA	891	697.028	0	0
Dm_00009008-RA	1164	969.957	22	3.21299
Dm_00009011-RA	3048	2853.96	5.00484	0.248418
Dm_00009012-RA	684	490.095	0	0
