target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	817.383	106	10.0155
Dm_00008772-RA	1272	1072.38	89	6.40961
Dm_00008770-RA	1722	1522.38	247	12.5304
Dm_00008771-RA	636	436.502	94	16.6316
Dm_00008682-RA	906	706.383	115	12.5733
Dm_00008591-RA	1308	1108.38	235	16.3745
Dm_00008592-RA	2436	2236.38	1111	38.3671
Dm_00008593-RA	759	559.449	1110	153.234
Dm_00008594-RA	969	769.383	993	99.6777
Dm_00010209-RA	468	269.409	0	0
Dm_00010051-RA	693	493.502	8	1.25197
Dm_00009727-RA	234	57.5987	0	0
Dm_00009728-RA	1161	961.383	0	0
Dm_00009413-RA	1368	1168.38	308	20.359
Dm_00009412-RA	2105	1905.38	1122	45.4781
Dm_00009411-RA	2682	2482.38	206	6.40899
Dm_00009410-RA	432	234.254	12	3.95626
Dm_00009021-RA	1668	1468.38	547	28.77
Dm_00009020-RA	414	216.526	128	45.6554
Dm_00009748-RA	1554	1354.38	197	11.2335
Dm_00009749-RA	1092	892.383	300	25.9634
Dm_00009750-RA	941	741.383	282	29.3763
Dm_00010290-RA	1116	916.383	101	8.51208
Dm_00010291-RA	969	769.383	2	0.200761
Dm_00007855-RA	945	745.383	619	64.1361
Dm_00007856-RA	786	586.449	182.208	23.9954
Dm_00007858-RA	2466	2266.38	898	30.6009
Dm_00007859-RA	2304	2104.38	482	17.6894
Dm_00007857-RA	873	673.383	125	14.3364
Dm_00009353-RA	471	272.382	32	9.07327
Dm_00009317-RA	312	121.715	384	243.656
Dm_00010173-RA	1548	1348.38	619	35.4543
Dm_00010171-RA	228	53.2915	65	94.1991
Dm_00010172-RA	258	75.9758	5	5.0826
Dm_00009367-RA	1566	1366.38	867	49.0047
Dm_00009368-RA	171	16.2996	75	355.365
Dm_00009369-RA	984	784.383	122	12.0122
Dm_00009983-RA	1065	865.383	99	8.83523
Dm_00009982-RA	975	775.383	18	1.79286
Dm_00009984-RA	537	337.878	0	0
Dm_00009718-RA	1158	958.383	2821	227.329
Dm_00009717-RA	753	553.449	262	36.5607
Dm_00009950-RA	1842	1642.38	1	0.0470237
Dm_00009953-RA	1437	1237.38	219	13.6688
Dm_00009948-RA	1638	1438.38	782	41.9878
Dm_00009949-RA	879	679.383	121	13.755
Dm_00009951-RA	729	529.502	10	1.45856
Dm_00009952-RA	444	245.87	0	0
Dm_00009009-RA	738	538.449	3.02921	0.434486
Dm_00009010-RA	303	113.899	3.01163	2.04209
Dm_00009007-RA	891	691.383	0	0
Dm_00009008-RA	1164	964.383	76	6.08633
Dm_00009011-RA	3048	2848.38	11.0043	0.298369
Dm_00009012-RA	684	484.502	1	0.159403
Dm_00010080-RA	1113	913.383	1.03832	0.0877951
Dm_00010081-RA	354	159.539	350	169.431
Dm_00010084-RA	1518	1318.38	662	38.78
Dm_00010083-RA	1140	940.383	188	15.4399
Dm_00010082-RA	375	179.09	100	43.124
Dm_00010098-RA	1200	1000.38	0	0
Dm_00010096-RA	390	193.323	0	0
Dm_00010097-RA	666	466.502	193	31.9518
Dm_00008796-RA	414	216.526	0	0
Dm_00010370-RA	1886	1686.38	764	34.9888
Dm_00010369-RA	192	28.9802	0	0
Dm_00009774-RA	1998	1798.38	414	17.7791
Dm_00009775-RA	354	159.539	136	65.8361
