Orthogroup	L_sativa.proteins	A_hypochondriacus.proteins
OG0000008	Lsat_1_v5_gn_3_111360.3, Lsat_1_v5_gn_3_111340.3, Lsat_1_v5_gn_3_111340.1	AH000127-RA
OG0000011	Lsat_1_v5_gn_6_100741.1, Lsat_1_v5_gn_9_41461.1, Lsat_1_v5_gn_4_41280.1, Lsat_1_v5_gn_4_41340.1, Lsat_1_v5_gn_4_41240.1, Lsat_1_v5_gn_1_81560.1, Lsat_1_v5_gn_1_81560.2	AH002194-RA
OG0000011	Lsat_1_v5_gn_1_47320.1, Lsat_1_v5_gn_1_47320.4, Lsat_1_v5_gn_2_11081.3, Lsat_1_v5_gn_2_11081.1, Lsat_1_v5_gn_4_26720.3	AH001485-RA, AH001483-RA, AH001487-RA
OG0000011	Lsat_1_v5_gn_5_183260.1, Lsat_1_v5_gn_5_183260.6, Lsat_1_v5_gn_5_183260.3	AH022040-RA, AH022041-RA, AH022042-RA, AH022043-RA
OG0000015	Lsat_1_v5_gn_7_20161.1, Lsat_1_v5_gn_7_18821.1, Lsat_1_v5_gn_7_20121.1, Lsat_1_v5_gn_7_18801.1, Lsat_1_v5_gn_7_18781.1, Lsat_1_v5_gn_7_18721.2, Lsat_1_v5_gn_7_18721.1	AH015162-RA, AH021574-RA
OG0000015	Lsat_1_v5_gn_5_49520.2	AH008115-RA, AH008114-RA, AH009972-RA
OG0000016	Lsat_1_v5_gn_2_122720.3, Lsat_1_v5_gn_2_122720.1	AH005855-RA
OG0000016	Lsat_1_v5_gn_2_120441.5, Lsat_1_v5_gn_2_120721.1	AH013795-RA
OG0000016	Lsat_1_v5_gn_2_120801.1, Lsat_1_v5_gn_2_120441.2, Lsat_1_v5_gn_3_43541.1, Lsat_1_v5_gn_2_120781.1, Lsat_1_v5_gn_2_44620.1, Lsat_1_v5_gn_9_104161.1, Lsat_1_v5_gn_9_104161.3, Lsat_1_v5_gn_2_38141.1, Lsat_1_v5_gn_2_38141.3, Lsat_1_v5_gn_2_121160.1, Lsat_1_v5_gn_2_121060.1, Lsat_1_v5_gn_2_121060.2, Lsat_1_v5_gn_2_120901.1, Lsat_1_v5_gn_2_120901.3, Lsat_1_v5_gn_2_122340.1, Lsat_1_v5_gn_2_122340.3, Lsat_1_v5_gn_2_120441.1, Lsat_1_v5_gn_2_120741.4, Lsat_1_v5_gn_2_120821.1, Lsat_1_v5_gn_2_120441.4, Lsat_1_v5_gn_2_120741.5, Lsat_1_v5_gn_2_120501.4, Lsat_1_v5_gn_2_120501.1, Lsat_1_v5_gn_2_120461.1, Lsat_1_v5_gn_2_120461.3, Lsat_1_v5_gn_2_120861.1, Lsat_1_v5_gn_2_117861.1, Lsat_1_v5_gn_2_121001.1, Lsat_1_v5_gn_2_122160.2, Lsat_1_v5_gn_2_122160.3, Lsat_1_v5_gn_2_122160.1, Lsat_1_v5_gn_2_120701.1, Lsat_1_v5_gn_2_120741.1	AH007101-RA
OG0000018	Lsat_1_v5_gn_5_159640.1, Lsat_1_v5_gn_3_63520.1, Lsat_1_v5_gn_3_63520.2, Lsat_1_v5_gn_9_62660.1, Lsat_1_v5_gn_5_159640.3, Lsat_1_v5_gn_4_165860.3, Lsat_1_v5_gn_4_165860.1, Lsat_1_v5_gn_6_18560.1, Lsat_1_v5_gn_4_168381.1, Lsat_1_v5_gn_5_11300.2, Lsat_1_v5_gn_3_121100.3, Lsat_1_v5_gn_3_121100.1, Lsat_1_v5_gn_3_121180.5, Lsat_1_v5_gn_3_121180.4, Lsat_1_v5_gn_3_120981.1, Lsat_1_v5_gn_3_120981.3, Lsat_1_v5_gn_3_121041.1, Lsat_1_v5_gn_3_121081.1, Lsat_1_v5_gn_3_121300.2, Lsat_1_v5_gn_3_121300.1, Lsat_1_v5_gn_3_121280.1, Lsat_1_v5_gn_3_120060.1, Lsat_1_v5_gn_3_120060.2, Lsat_1_v5_gn_3_121660.1, Lsat_1_v5_gn_3_122040.1, Lsat_1_v5_gn_3_122040.2, Lsat_1_v5_gn_3_121600.1, Lsat_1_v5_gn_3_121560.1, Lsat_1_v5_gn_3_121560.3, Lsat_1_v5_gn_0_19261.2, Lsat_1_v5_gn_0_19261.1, Lsat_1_v5_gn_3_121180.1, Lsat_1_v5_gn_3_121021.1, Lsat_1_v5_gn_3_121220.3, Lsat_1_v5_gn_5_124860.1	AH019393-RA
OG0000018	Lsat_1_v5_gn_5_71340.1, Lsat_1_v5_gn_5_71340.3, Lsat_1_v5_gn_5_71221.1	AH019902-RA, AH019903-RA, AH007232-RA, AH007233-RA
