Orthogroup	A_thaliana.proteins	Other
OG0000024	AT1G17060.1	FUN_011699-T1
OG0000027	AT2G24520.4, AT5G57350.3, AT3G47950.1, AT3G47950.2, AT5G62670.1	FUN_008000-T1
OG0000027	AT2G24520.4, AT5G57350.3	AH000640-RA
OG0000040	AT5G38240.2, AT5G38240.1, AT5G38240.3, AT5G38250.1, AT1G66920.1, AT1G66920.3, AT1G66920.2, AT5G38260.1	FUN_012621-T1, FUN_012619-T1
OG0000042	AT1G07440.2, AT2G29170.1	Bevul.7G199900.1.p
OG0000068	AT5G35810.1	FUN_045170-T1, FUN_045068-T1
OG0000112	ATCG00860.1, ATCG01280.1	Av_00019578-RA, Av_00020886-RA, Av_00015155-RA, Av_00018537-RA, Av_00024991-RA
OG0000114	AT1G11350.1, AT1G11330.3, AT1G11330.2, AT1G11330.1, AT1G11300.2, AT1G11300.1, AT1G11303.1	Solyc02g079540.2.1, Solyc02g079533.1.1, Solyc02g079550.2.1, Solyc04g008385.1.1, Solyc04g008370.2.1, Solyc04g008390.2.1, Solyc04g058110.3.1
OG0000118	AT3G08690.1, AT3G08690.2	Ds_00004923-RA
OG0000163	AT3G58160.3, AT3G58160.4, AT3G58160.1, AT3G58160.5, AT3G58160.2	AH010762-RA
OG0000163	AT3G58160.3, AT3G58160.4, AT3G58160.1, AT3G58160.5, AT3G58160.2	FUN_011634-T1
OG0000182	AT2G39010.2	Dm_00018679-RA, Dm_00009374-RA
OG0000255	AT1G78370.1, AT1G78380.1, AT1G78340.1, AT1G17190.1, AT1G17170.1, AT1G17180.1, AT1G78360.1	AH000042-RA, AH010279-RA, AH001023-RA, AH001025-RA
OG0000367	AT4G35785.2	Av_00004876-RA
OG0000395	AT3G54030.1	Solyc10g085000.2.1, Solyc09g011750.3.1
OG0000398	AT3G10185.1	FUN_036311-T1
OG0000398	AT3G10185.1	Bevul.3G203500.1.p
OG0000532	AT3G23220.1, AT1G04370.1, AT5G43410.1	Solyc03g005500.1.1, Solyc09g089910.1.1
OG0000543	AT4G09760.1, AT4G09760.2, AT1G71697.1	Av_00003864-RA
OG0000543	AT4G09760.1, AT4G09760.2, AT1G71697.1	Dm_00018213-RA
OG0000543	AT4G09760.1, AT4G09760.2, AT1G71697.1	Ds_00006591-RA
OG0000543	AT4G09760.1, AT4G09760.2, AT1G71697.1	AH008549-RA
OG0000543	AT4G09760.1, AT4G09760.2, AT1G71697.1	Bevul.1G068600.1.p
OG0000543	AT4G09760.1, AT4G09760.2, AT1G71697.1	FUN_038028-T1, FUN_038028-T2
OG0000543	AT4G09760.1, AT4G09760.2, AT1G71697.1	Lsat_1_v5_gn_6_101381.1, Lsat_1_v5_gn_2_70740.1
OG0000543	AT4G09760.1, AT4G09760.2, AT1G71697.1	Solyc04g072020.3.1
OG0000543	AT4G09760.1, AT4G09760.2, AT1G71697.1	VIT_218s0157g00190.3, VIT_218s0157g00190.2, VIT_218s0157g00190.4, VIT_218s0157g00190.5, VIT_218s0157g00190.1
OG0000585	AT1G60390.1, AT1G70370.2, AT1G70370.1, AT1G23760.1	Solyc05g005550.3.1, Solyc05g005540.3.1, Solyc05g005560.4.1, Solyc05g005570.3.1
OG0000665	AT4G34420.1, AT2G15730.3, AT2G15730.1	FUN_027043-T1
OG0000692	AT3G03880.1	Lsat_1_v5_gn_1_59781.3, Lsat_1_v5_gn_1_59781.1, Lsat_1_v5_gn_6_37381.1, Lsat_1_v5_gn_6_37381.3
OG0000698	AT1G30400.2, AT1G30400.1, AT2G34660.1, AT2G34660.2, AT2G34660.3	Dm_00007721-RA
OG0000723	AT4G23490.1, AT4G11350.1, AT5G41460.1	FUN_040977-T1
OG0000723	AT4G23490.1, AT4G11350.1, AT5G41460.1	AH011270-RA
OG0001012	AT3G56310.2, AT3G56310.1	FUN_029256-T1, FUN_029256-T2
OG0001172	AT1G64630.1	Bevul.5G059700.1.p
OG0001372	AT5G56610.2, AT5G56610.1	Dm_00010073-RA
OG0001372	AT5G56610.2, AT5G56610.1	Av_00019288-RA
OG0001540	AT1G55740.1	Bevul.4G001200.1.p
OG0001540	AT1G55740.1	FUN_046496-T3, FUN_046496-T1
OG0001540	AT1G55740.1	Av_00021301-RA
OG0001540	AT1G55740.1	Ds_00004929-RA
OG0001540	AT1G55740.1	Solyc07g065980.3.1
OG0001540	AT1G55740.1	Lsat_1_v5_gn_5_661.3, Lsat_1_v5_gn_5_661.2, Lsat_1_v5_gn_5_661.1
OG0001540	AT1G55740.1	VIT_219s0015g01350.1, VIT_219s0015g01350.3
OG0001588	AT4G08160.2, AT4G08160.1	FUN_024324-T1
OG0001739	AT4G02370.1, AT1G02816.1	Av_00000752-RA
OG0001809	AT5G24290.1, AT5G24290.2	AH007334-RA
OG0001834	AT5G61310.3, AT5G61310.1, AT5G61310.4, AT5G61310.5, AT5G61310.6, AT5G61310.2, AT3G62400.1, AT2G47380.2, AT2G47380.1	FUN_044741-T1
OG0001900	AT5G11130.2, AT5G11130.1	Av_00020213-RA
OG0001900	AT5G11130.2, AT5G11130.1	Ds_00017783-RA
OG0001900	AT5G11130.2, AT5G11130.1	AH023235-RA
OG0001900	AT5G11130.2, AT5G11130.1	Bevul.2G176500.1.p
OG0001900	AT5G11130.2, AT5G11130.1	FUN_008472-T1
OG0001900	AT5G11130.2, AT5G11130.1	Lsat_1_v5_gn_6_20700.1
OG0001900	AT5G11130.2, AT5G11130.1	VIT_204s0008g05720.1
OG0002089	AT1G17880.1, AT1G73230.1	Lsat_1_v5_gn_5_161741.2, Lsat_1_v5_gn_5_161741.3, Lsat_1_v5_gn_5_161741.1, Lsat_1_v5_gn_5_158561.1, Lsat_1_v5_gn_5_158561.3
OG0002089	AT1G17880.1, AT1G73230.1	Solyc07g008720.4.1, Solyc09g010330.3.1
OG0002122	AT5G09300.2, AT5G09300.1	Dm_00020575-RA
OG0002122	AT5G09300.2, AT5G09300.1	Ds_00010868-RA
OG0002122	AT5G09300.2, AT5G09300.1	Av_00015886-RA
OG0002122	AT5G09300.2, AT5G09300.1	FUN_038831-T2
OG0002122	AT5G09300.2, AT5G09300.1	Bevul.1G084600.1.p
OG0002122	AT5G09300.2, AT5G09300.1	AH008658-RA, AH002773-RA
OG0002122	AT5G09300.2, AT5G09300.1	VIT_218s0001g14980.1
OG0002122	AT5G09300.2, AT5G09300.1	Lsat_1_v5_gn_1_9280.3, Lsat_1_v5_gn_1_9280.1
OG0002122	AT5G09300.2, AT5G09300.1	Solyc06g059850.2.1, Solyc04g063350.3.1, Solyc06g059840.3.1
OG0002221	AT3G06370.4, AT3G06370.3, AT3G06370.2	Solyc06g008820.3.1
OG0002221	AT3G05030.1, AT3G05030.2, AT3G05030.4, AT3G05030.3, AT5G27150.1	Solyc01g098190.3.1
OG0002692	AT5G27970.1, AT5G27970.2, AT5G27970.4, AT5G27970.3, AT5G27970.5	Dm_00001834-RA
OG0002708	AT2G38230.1, AT2G38210.1	AH013816-RA
OG0002780	AT3G44450.1, AT3G52740.1	Av_00022223-RA, Av_00022171-RA
OG0002780	AT3G44450.1, AT3G52740.1	Ds_00015543-RA
OG0002784	AT3G48790.2, AT3G48790.1	Solyc06g030590.2.1
OG0002813	AT1G08600.3, AT1G08600.1, AT1G08600.2, AT1G08600.4	Dm_00005679-RA
OG0002918	AT2G03870.2, AT2G03870.1	Av_00017993-RA
OG0003203	AT2G28380.1	Av_00020705-RA, Av_00012709-RA, Av_00021161-RA
OG0003601	AT5G64970.3, AT5G64970.1, AT5G64970.2	Lsat_1_v5_gn_9_41660.3, Lsat_1_v5_gn_9_41660.2, Lsat_1_v5_gn_9_41660.4
OG0003680	AT5G54680.1	Solyc07g064040.3.1, Solyc10g006510.3.1
OG0004133	AT5G51660.1, AT5G51660.4, AT5G51660.2, AT5G51660.3	FUN_025910-T1
OG0004571	AT1G19100.1	FUN_010783-T1, FUN_010783-T2
OG0004571	AT1G19100.1	AH017960-RA
OG0004813	AT2G29630.4	Ds_00011599-RA
OG0004813	AT2G29630.4	Av_00021092-RA
OG0004813	AT2G29630.4	Dm_00007348-RA
OG0004813	AT2G29630.4	VIT_206s0004g06130.5
OG0004906	AT1G27385.1, AT1G27385.4, AT1G27385.3, AT1G27385.2	Dm_00009156-RA
OG0005212	AT4G25540.1	Dm_00005501-RA, Dm_00007698-RA
OG0005344	AT4G30480.1, AT4G30480.3, AT4G30480.2	Dm_00000997-RA
OG0005540	AT1G60430.1, AT1G60430.3, AT1G60430.2, AT1G60430.4	Bevul.8G166200.1.p, Bevul.8G166400.1.p
OG0005556	AT4G11160.3, AT4G11160.1, AT4G11160.2	Av_00000176-RA
OG0005580	AT1G61850.2, AT1G61850.1	AH010189-RA
OG0005584	AT5G23870.4, AT5G23870.1, AT5G23870.3, AT5G23870.2	AH012413-RA
OG0005646	AT5G12920.2, AT5G12920.7, AT5G12920.8, AT5G12920.3, AT5G12920.1, AT5G12920.6, AT5G12920.5, AT5G12920.4	Solyc11g045527.1.1
OG0005663	AT2G26920.1, AT5G12120.1	AH007500-RA
OG0005728	AT3G06810.1	FUN_007555-T1
OG0006477	AT3G57570.1, AT3G57570.2	Bevul.3G191500.1.p
OG0006741	AT3G28760.1, AT3G28760.2	AH015755-RA
OG0007026	AT1G52780.1	AH002043-RA
OG0007093	AT4G26050.1, AT4G29880.1, AT2G19330.1	Av_00024465-RA
OG0007659	AT2G28390.1	AH019026-RA
OG0008119	AT1G78190.1, AT1G22270.1	FUN_038383-T1
OG0008619	AT2G47560.1	FUN_042971-T1
OG0008816	AT4G08870.1	AH009124-RA
OG0009290	AT5G48890.1, AT5G48890.2	Lsat_1_v5_gn_9_36521.1, Lsat_1_v5_gn_9_36460.1
OG0009667	AT5G54910.1	AH014117-RA
OG0010164	AT5G11480.1	AH023292-RA
