Orthogroup	P_amilis.proteins	A_hypochondriacus.proteins
OG0000008	FUN_051598-T1, FUN_036151-T1, FUN_036169-T1, FUN_034370-T1, FUN_051593-T1, FUN_043089-T1, FUN_036172-T1, FUN_043886-T1, FUN_047418-T1, FUN_043880-T1	AH000127-RA
OG0000008	FUN_043368-T1, FUN_034449-T1, FUN_001227-T1, FUN_034381-T1, FUN_043087-T1	AH011176-RA, AH011177-RA, AH011187-RA, AH011181-RA, AH011178-RA, AH011185-RA, AH011186-RA, AH011182-RA, AH011175-RA, AH011188-RA, AH011179-RA
OG0000008	FUN_026496-T1, FUN_026487-T1	AH008576-RA, AH010059-RA, AH020450-RA
OG0000011	FUN_045628-T1	AH002194-RA
OG0000011	FUN_018895-T1, FUN_018893-T1, FUN_018889-T1, FUN_018888-T1, FUN_024842-T1, FUN_024845-T1, FUN_024844-T1, FUN_024840-T1	AH022040-RA, AH022041-RA, AH022042-RA, AH022043-RA
OG0000015	FUN_008515-T1, FUN_035466-T1, FUN_035347-T1, FUN_035469-T1	AH015162-RA, AH021574-RA
OG0000015	FUN_045850-T1	AH008115-RA, AH008114-RA, AH009972-RA
OG0000016	FUN_005881-T2, FUN_005881-T1, FUN_043248-T1, FUN_012840-T1, FUN_037845-T1, FUN_020623-T1	AH005855-RA
OG0000016	FUN_043544-T1, FUN_017493-T1, FUN_005884-T1	AH013795-RA
OG0000016	FUN_051992-T1, FUN_041846-T1, FUN_020836-T1	AH007101-RA
OG0000018	FUN_012656-T1, FUN_019095-T1, FUN_015179-T1, FUN_015183-T1, FUN_015176-T2, FUN_015177-T2, FUN_015177-T1, FUN_015185-T1, FUN_015185-T2, FUN_015184-T1, FUN_011156-T2, FUN_011156-T1	AH019393-RA
OG0000018	FUN_011477-T1, FUN_011476-T1, FUN_011478-T1, FUN_048627-T1, FUN_048629-T1, FUN_047268-T1, FUN_047265-T1, FUN_046104-T1, FUN_046104-T2	AH019902-RA, AH019903-RA, AH007232-RA
OG0000018	FUN_051744-T1, FUN_012787-T1	AH007233-RA
OG0000021	FUN_040665-T1	AH003127-RA, AH003133-RA
OG0000021	FUN_024282-T1	AH022150-RA, AH022153-RA, AH022151-RA, AH009173-RA, AH009171-RA, AH009170-RA, AH006881-RA, AH009424-RA, AH022152-RA, AH002452-RA, AH003417-RA, AH000687-RA, AH004291-RA, AH023178-RA
OG0000021	FUN_049370-T1, FUN_049412-T1, FUN_049416-T1, FUN_001018-T1, FUN_049365-T1, FUN_036352-T1, FUN_049386-T1, FUN_049389-T1, FUN_001215-T1, FUN_049373-T1, FUN_049378-T1, FUN_049390-T1, FUN_049379-T1, FUN_049403-T1, FUN_049408-T1, FUN_049406-T1, FUN_049400-T1, FUN_049575-T1, FUN_049377-T1, FUN_049392-T1, FUN_036356-T1, FUN_045184-T1, FUN_049402-T1, FUN_049413-T1, FUN_049368-T1, FUN_049366-T1	AH022149-RA, AH022148-RA
OG0000022	FUN_020730-T1, FUN_020932-T1	AH012456-RA, AH021712-RA
OG0000023	FUN_014378-T2, FUN_014378-T1, FUN_015007-T1	AH013573-RA, AH014496-RA, AH007059-RA
OG0000023	FUN_011960-T1, FUN_011960-T2, FUN_011960-T3, FUN_007934-T1, FUN_007934-T3, FUN_007934-T2, FUN_007934-T4, FUN_007929-T1, FUN_007939-T1, FUN_020168-T1, FUN_020170-T1	AH021142-RA
OG0000023	FUN_005579-T1	AH000663-RA
OG0000024	FUN_010896-T1, FUN_010897-T1, FUN_010895-T1	AH017854-RA, AH007410-RA
OG0000024	FUN_020355-T1	AH012583-RA
OG0000024	FUN_015806-T1, FUN_047602-T2, FUN_047602-T1, FUN_047086-T4, FUN_047086-T2, FUN_047086-T1, FUN_047607-T1, FUN_047607-T2, FUN_047086-T3, FUN_047274-T1	AH007961-RA
OG0000024	FUN_044962-T1, FUN_008514-T1, FUN_044964-T2, FUN_044964-T1	AH007960-RA, AH007959-RA
OG0000025	FUN_050791-T1, FUN_051656-T1	AH001710-RA, AH001709-RA, AH023136-RA
OG0000025	FUN_051653-T1, FUN_051654-T1	AH001717-RA
OG0000025	FUN_050780-T1, FUN_050779-T1	AH001716-RA
OG0000025	FUN_051671-T1, FUN_051670-T1, FUN_051667-T1	AH001699-RA, AH001703-RA, AH001700-RA, AH001701-RA, AH001705-RA, AH001698-RA, AH001704-RA
OG0000026	FUN_020313-T1, FUN_020306-T1, FUN_020306-T2, FUN_020311-T1	AH012493-RA
OG0000026	FUN_046668-T1	AH010288-RA
