Orthogroup	A_vesiculosa.proteins	V_vinifera.proteins
OG0000008	Av_00011034-RA	VIT_205s0020g04920.1
OG0000008	Av_00023836-RA	VIT_207s0141g00780.1
OG0000011	Av_00002197-RA	VIT_207s0005g04060.1, VIT_207s0005g04050.1, VIT_207s0005g04020.1, VIT_207s0005g04040.1, VIT_207s0005g04080.1, VIT_207s0005g04100.1
OG0000016	Av_00024235-RA	VIT_216s0098g00430.1
OG0000018	Av_00017038-RA, Av_00013504-RA	VIT_205s0049g00390.1, VIT_205s0049g00400.1, VIT_205s0049g00410.1, VIT_205s0049g00420.1, VIT_212s0028g02420.2, VIT_212s0028g02420.4, VIT_212s0028g02420.3, VIT_212s0028g02410.1, VIT_212s0028g02420.1, VIT_205s0049g00370.1, VIT_200s1313g00010.2, VIT_205s0049g00340.2, VIT_205s0049g00330.1, VIT_205s0049g00340.1, VIT_200s1313g00010.1, VIT_205s0049g00350.2, VIT_205s0049g00350.1
OG0000018	Av_00002303-RA, Av_00009695-RA	VIT_207s0005g03060.1
OG0000021	Av_00016821-RA, Av_00016683-RA	VIT_202s0012g02360.1
OG0000021	Av_00016682-RA	VIT_202s0012g02340.1, VIT_202s0012g02370.1, VIT_202s0025g04864.4, VIT_202s0025g04864.1, VIT_202s0025g04864.6, VIT_202s0025g04864.2, VIT_202s0025g04864.7, VIT_202s0025g04864.3, VIT_202s0025g04880.1, VIT_202s0025g04890.1, VIT_202s0025g04864.5, VIT_215s0048g01515.1, VIT_215s0048g01500.1, VIT_215s0048g01490.1, VIT_215s0048g01470.1, VIT_215s0048g01440.1, VIT_215s0048g01530.1, VIT_215s0048g01600.1, VIT_202s0012g02810.1, VIT_202s0012g02820.1, VIT_203s0097g00460.1
OG0000022	Av_00004844-RA	VIT_205s0020g01630.1, VIT_205s0020g01640.1, VIT_205s0020g01643.1
OG0000022	Av_00010967-RA	VIT_207s0031g01450.1
OG0000023	Av_00004265-RA	VIT_211s0052g00750.1, VIT_211s0052g00750.2, VIT_211s0052g00790.1, VIT_211s0052g00770.3, VIT_211s0052g00770.1, VIT_211s0052g00770.2, VIT_203s0091g01200.3, VIT_203s0091g01200.1, VIT_203s0091g01200.2, VIT_203s0088g00160.1
OG0000023	Av_00008849-RA	VIT_203s0088g00260.3, VIT_203s0088g00260.2, VIT_203s0088g00260.1
OG0000023	Av_00008789-RA	VIT_203s0088g00050.1, VIT_203s0088g00110.1
OG0000023	Av_00019809-RA	VIT_203s0091g01290.2, VIT_203s0091g01290.1
OG0000024	Av_00007869-RA	VIT_219s0027g00030.1
OG0000025	Av_00009754-RA	VIT_203s0038g01190.1, VIT_203s0038g01090.1, VIT_203s0038g01150.1, VIT_203s0038g01170.1, VIT_203s0038g01250.1, VIT_203s0038g01210.1, VIT_203s0038g01110.1, VIT_203s0038g01270.1, VIT_203s0038g01285.1, VIT_203s0038g01130.1, VIT_203s0038g01230.1, VIT_203s0038g01300.1, VIT_203s0038g01080.1, VIT_203s0038g01160.1, VIT_203s0038g01120.1, VIT_203s0038g01100.1, VIT_203s0038g01280.1, VIT_203s0038g01290.1, VIT_203s0038g01260.1, VIT_203s0038g01220.1, VIT_203s0038g01180.1
OG0000027	Av_00004170-RA, Av_00006838-RA, Av_00007948-RA, Av_00015408-RA	VIT_209s0002g00130.3, VIT_209s0002g00130.4
OG0000028	Av_00012390-RA, Av_00014990-RA, Av_00012397-RA, Av_00014996-RA, Av_00014977-RA, Av_00014985-RA, Av_00014998-RA, Av_00014993-RA, Av_00014979-RA, Av_00014987-RA, Av_00014981-RA, Av_00014983-RA, Av_00015000-RA, Av_00012389-RA, Av_00014999-RA, Av_00014991-RA, Av_00012392-RA, Av_00014982-RA, Av_00014988-RA, Av_00014984-RA, Av_00012395-RA, Av_00014997-RA, Av_00012393-RA, Av_00015001-RA, Av_00009279-RA, Av_00009277-RA, Av_00009278-RA	VIT_213s0064g00135.1, VIT_212s0057g00780.1, VIT_216s0013g01700.1, VIT_216s0013g01730.1
OG0000031	Av_00023882-RA	VIT_210s0003g04920.1
OG0000031	Av_00004188-RA, Av_00015999-RA, Av_00023881-RA, Av_00019981-RA	VIT_204s0023g03790.1, VIT_204s0023g03810.1
OG0000031	Av_00023880-RA	VIT_204s0023g02170.2, VIT_204s0023g02170.1
