target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	819.01	120	10.0828
Dm_00008772-RA	1272	1074.01	108	6.91999
Dm_00008770-RA	1722	1524.01	219	9.88886
Dm_00008771-RA	636	438.061	64	10.0539
Dm_00008682-RA	906	708.01	30	2.91589
Dm_00008591-RA	1308	1110.01	225	13.9491
Dm_00008592-RA	2436	2238.01	952	29.2728
Dm_00008593-RA	759	561.01	1159	142.168
Dm_00008594-RA	969	771.01	1064	94.9667
Dm_00010209-RA	468	270.886	0	0
Dm_00010051-RA	693	495.061	9	1.25105
Dm_00009727-RA	234	57.4491	0	0
Dm_00009728-RA	1161	963.01	0	0
Dm_00009413-RA	1368	1170.01	518	30.467
Dm_00009412-RA	2105	1907.01	3181	114.789
Dm_00009411-RA	2682	2484.01	238	6.59346
Dm_00009410-RA	432	235.338	19	5.55587
Dm_00009021-RA	1668	1470.01	917	42.9278
Dm_00009020-RA	414	217.833	34	10.741
Dm_00009748-RA	1554	1356.01	237	12.0275
Dm_00009749-RA	1092	894.01	517	39.7959
Dm_00009750-RA	941	743.01	231	21.3947
Dm_00010290-RA	1116	918.01	187	14.0179
Dm_00010291-RA	969	771.01	13	1.16031
Dm_00007855-RA	945	747.01	461	42.4682
Dm_00007856-RA	786	588.01	239	27.9707
Dm_00007858-RA	2466	2268.01	818	24.8198
Dm_00007859-RA	2304	2106.01	491	16.0439
Dm_00007857-RA	873	675.01	122	12.4377
Dm_00009353-RA	471	273.886	59	14.8242
Dm_00009317-RA	312	121.801	254	143.507
Dm_00010173-RA	1548	1350.01	529	26.9655
Dm_00010171-RA	228	52.9237	41	53.3118
Dm_00010172-RA	258	76.0432	8	7.23968
Dm_00009367-RA	1566	1368.01	789	39.6897
Dm_00009368-RA	171	16.2521	85	359.915
Dm_00009369-RA	984	786.01	331	28.9794
Dm_00009983-RA	1065	867.01	43	3.41298
Dm_00009982-RA	975	777.01	7	0.619957
Dm_00009984-RA	537	339.444	0	0
Dm_00009718-RA	1158	960.01	2099	150.462
Dm_00009717-RA	753	555.01	316	39.1811
Dm_00009950-RA	1842	1644.01	4	0.167435
Dm_00009953-RA	1437	1239.01	340	18.884
Dm_00009948-RA	1638	1440.01	624	29.8201
Dm_00009949-RA	879	681.01	128	12.9344
Dm_00009951-RA	729	531.01	7	0.907163
Dm_00009952-RA	444	247.143	0	0
Dm_00009009-RA	738	540.01	4	0.509739
Dm_00009010-RA	303	113.877	4.03115	2.43603
Dm_00009007-RA	891	693.01	0	0
Dm_00009008-RA	1164	966.01	69	4.91538
Dm_00009011-RA	3048	2850.01	8.00413	0.193267
Dm_00009012-RA	684	486.061	2	0.283158
Dm_00010080-RA	1113	915.01	5	0.37604
Dm_00010081-RA	354	160.28	316	135.674
Dm_00010084-RA	1518	1320.01	500	26.0665
Dm_00010083-RA	1140	942.01	206	15.0488
Dm_00010082-RA	375	180.21	93	35.5136
Dm_00010098-RA	1200	1002.01	1	0.068678
Dm_00010096-RA	390	194.432	0	0
Dm_00010097-RA	666	468.061	221	32.4922
Dm_00008796-RA	414	217.833	0	0
Dm_00010370-RA	1886	1688.01	696	28.3742
Dm_00010369-RA	192	28.8032	0	0
Dm_00009774-RA	1998	1800.01	971	37.1222
Dm_00009775-RA	354	160.28	177	75.9947
Dm_00010288-RA	1401	1203.01	318	18.1906
Dm_00009493-RA	963	765.01	251	22.5786
Dm_00009494-RA	984	786.01	331	28.9794
Dm_00009495-RA	714	516.01	0	0
Dm_00006316-RA	993	795.01	6	0.51936
Dm_00008938-RA	897	699.01	356	35.0475
Dm_00008942-RA	1680	1482.01	695	32.2718
Dm_00008940-RA	834	636.01	179	19.3677
Dm_00008939-RA	651	453.061	119	18.0751
Dm_00008941-RA	531	333.444	163	33.6399
Dm_00010031-RA	3168	2970.01	1041	24.1203
Dm_00009533-RA	1185	987.01	149	10.3885
Dm_00009536-RA	1041	843.01	1293.23	105.568
Dm_00009535-RA	792	594.01	1366	158.251
Dm_00009534-RA	1146	948.01	2439	177.047
Dm_00009696-RA	606	408.103	0	0
Dm_00009720-RA	456	258.993	32	8.5026
Dm_00009719-RA	795	597.01	0	0
Dm_00009254-RA	1287	1089.01	95	6.00318
Dm_00009255-RA	4353	4155.01	131	2.16965
Dm_00009256-RA	834	636.01	563	60.9164
Dm_00009072-RA	282	95.8749	0	0
Dm_00009813-RA	6525	6327.01	938	10.2022
Dm_00009814-RA	2781	2583.01	164	4.36926
Dm_00009915-RA	564	366.336	0	0
Dm_00009914-RA	258	76.0432	0	0
Dm_00009695-RA	2650	2452.01	1326	37.2144
Dm_00009694-RA	624	426.061	280	45.2247
Dm_00009693-RA	861	663.01	245	25.4294
Dm_00008273-RA	1188	990.01	22	1.52923
Dm_00008274-RA	912	714.01	185	17.8302
Dm_00008656-RA	612	414.103	0	0
Dm_00009771-RA	1848	1650.01	25	1.04266
Dm_00010784-RA	594	396.143	0	0
Dm_00010112-RA	711	513.061	1336	179.195
Dm_00010111-RA	402	206.091	195	65.1127
Dm_00009955-RA	255	73.6915	32	29.8829
Dm_00009954-RA	1899	1701.01	351	14.2001
Dm_00010107-RA	1728	1530.01	446	20.06
Dm_00010108-RA	582	384.299	3	0.537207
Dm_00010391-RA	2043	1845.01	1582.3	59.0172
Dm_00010390-RA	711	513.061	1	0.134128
Dm_00008774-RA	1182	984.01	340	23.7777
Dm_00008773-RA	2106	1908.01	518	18.6827
Dm_00009260-RA	264	80.8833	3134	2666.43
Dm_00009262-RA	1596	1398.01	1531	75.3624
Dm_00009259-RA	873	675.01	3	0.305845
Dm_00009261-RA	858	660.01	467	48.6918
Dm_00010532-RA	2697	2499.01	177	4.87411
Dm_00008895-RA	687	489.061	1012.52	142.473
Dm_00010337-RA	1866	1668.01	1510	62.2971
Dm_00010336-RA	1530	1332.01	637	32.9095
Dm_00010339-RA	1194	996.01	105	7.25463
Dm_00010335-RA	630	432.061	200	31.8548
Dm_00010338-RA	594	396.143	467	81.1251
Dm_00008749-RA	558	360.409	596	113.799
Dm_00008748-RA	213	42.4825	39.7324	64.3612
Dm_00008876-RA	1122	924.01	272	20.2573
Dm_00008877-RA	1599	1401.01	2	0.0982378
Dm_00008875-RA	630	432.061	0	0
Dm_00009056-RA	951	753.01	0	0
Dm_00010140-RA	3342	3144.01	22	0.481536
Dm_00009531-RA	459	261.967	0	0
Dm_00009530-RA	525	327.477	0	0
Dm_00009739-RA	1890	1692.01	233	9.47639
Dm_00009740-RA	1218	1020.01	132	8.90552
Dm_00009741-RA	2091	1893.01	395	14.3593
Dm_00010362-RA	240	61.9952	442	490.63
Dm_00010363-RA	1167	969.01	0	0
Dm_00010361-RA	534	336.444	0	0
Dm_00009129-RA	2028	1830.01	370	13.9136
Dm_00009128-RA	915	717.01	146	14.0126
Dm_00009306-RA	1404	1206.01	3	0.171183
Dm_00009305-RA	1164	966.01	233	16.5983
Dm_00009307-RA	1806	1608.01	533	22.8102
Dm_00009499-RA	183	23.3114	356	1050.92
Dm_00009501-RA	870	672.01	0	0
Dm_00009500-RA	498	300.568	1218	278.865
Dm_00010493-RA	3159	2961.01	61	1.41768
Dm_00010494-RA	1440	1242.01	3136	173.756
Dm_00009313-RA	1662	1464.01	228.828	10.7561
Dm_00009314-RA	420	223.634	12.5926	3.87495
Dm_00009349-RA	687	489.061	443	62.3347
Dm_00009351-RA	1443	1245.01	698	38.5809
Dm_00009352-RA	3111	2913.01	11	0.259861
Dm_00009350-RA	648	450.061	0	0
Dm_00009554-RA	933	735.01	338	31.6456
Dm_00010117-RA	876	678.01	330	33.4941
Dm_00010120-RA	1881	1683.01	256	10.4675
Dm_00010119-RA	4431	4233.01	467	7.59202
Dm_00010118-RA	1494	1296.01	446	23.6819
Dm_00007975-RA	1485	1287.01	450	24.0614
Dm_00007974-RA	942	744.01	850.473	78.6632
Dm_00007970-RA	447	250.069	401	110.351
Dm_00007971-RA	1302	1104.01	660.497	41.1707
Dm_00007973-RA	762	564.01	4	0.488049
Dm_00007972-RA	1257	1059.01	127.503	8.28531
Dm_00008368-RA	1161	963.01	2919	208.59
Dm_00008369-RA	585	387.26	21	3.7317
Dm_00008843-RA	1494	1296.01	892	47.3638
Dm_00008840-RA	2103	1905.01	265.665	9.5968
Dm_00008839-RA	1515	1317.01	97.3354	5.08594
Dm_00008841-RA	1482	1284.01	173	9.27187
Dm_00008842-RA	942	744.01	222	20.5335
Dm_00008381-RA	606	408.103	164	27.6544
Dm_00008383-RA	846	648.01	331.646	35.2195
Dm_00008384-RA	387	191.704	105	37.6918
Dm_00008382-RA	384	188.839	103.354	37.664
Dm_00009073-RA	546	348.409	0	0
Dm_00010371-RA	240	61.9952	486	539.471
Dm_00008977-RA	2196	1998.01	664.579	22.8896
Dm_00008976-RA	996	798.01	334	28.8024
Dm_00008269-RA	1308	1110.01	7	0.433971
Dm_00008270-RA	723	525.01	2	0.262151
Dm_00009303-RA	801	603.01	709	80.9117
Dm_00009304-RA	408	212.049	4.37323	1.41924
Dm_00009862-RA	462	264.967	0	0
Dm_00010316-RA	594	396.143	0	0
Dm_00008332-RA	1092	894.01	133	10.2376
Dm_00008333-RA	789	591.01	89	10.363
Dm_00009851-RA	1779	1581.01	541	23.5479
Dm_00009850-RA	864	666.01	256	26.4514
Dm_00009852-RA	1932	1734.01	478	18.9699
Dm_00008652-RA	2698	2500.01	70	1.92684
Dm_00008653-RA	456	258.993	9	2.39136
Dm_00010127-RA	3123	2925.01	336	7.905
Dm_00010128-RA	624	426.061	60	9.69101
Dm_00010221-RA	816	618.01	0	0
Dm_00009485-RA	1305	1107.01	93	5.78124
Dm_00009484-RA	597	399.143	19.6003	3.37929
Dm_00009483-RA	705	507.061	992	134.63
Dm_00009766-RA	960	762.01	3	0.270926
Dm_00009765-RA	2610	2412.01	110	3.13836
Dm_00010378-RA	711	513.061	0	0
Dm_00010377-RA	426	229.43	0	0
Dm_00010379-RA	912	714.01	153.679	14.8116
Dm_00010380-RA	804	606.01	9	1.022
Dm_00011200-RA	603	405.103	313	53.1703
Dm_00011194-RA	834	636.01	851	92.0779
Dm_00011196-RA	2163	1965.01	75	2.62655
Dm_00011199-RA	1188	990.01	1809	125.744
Dm_00011195-RA	414	217.833	9	2.8432
Dm_00011197-RA	1131	933.01	61.4655	4.53351
Dm_00011198-RA	1170	972.01	2393.53	169.457
Dm_00009322-RA	408	212.049	13.121	4.25814
Dm_00009173-RA	930	732.01	364	34.2195
