"","...1","GO.ID","Term","Annotated","Significant","Expected","raw.p.value","Module"
"1",49,"GO:0009888","tissue development",855,105,72.64,"0.00013","4"
"2",50,"GO:0007166","cell surface receptor signaling pathway",17,7,1.44,"0.00015","4"
"3",51,"GO:0009620","response to fungus",335,85,28.46,"0.00015","4"
"4",52,"GO:0080135","regulation of cellular response to stress",56,13,4.76,"0.00024","4"
"5",53,"GO:0009626","plant-type hypersensitive response",36,10,3.06,"0.00026","4"
"6",54,"GO:0006952","defense response",901,190,76.55,"0.00027","4"
"7",55,"GO:0002237","response to molecule of bacterial origin",45,13,3.82,"0.00029","4"
"8",56,"GO:0009739","response to gibberellin",72,15,6.12,"0.00029","4"
"9",57,"GO:0009733","response to auxin",190,34,16.14,"0.00030","4"
"10",58,"GO:0045087","innate immune response",101,27,8.58,"0.00033","4"
"11",59,"GO:0009863","salicylic acid mediated signaling pathway",37,10,3.14,"0.00034","4"
"12",60,"GO:0030307","positive regulation of cell growth",14,6,1.19,"0.00034","4"
"13",61,"GO:0009867","jasmonic acid mediated signaling pathway",73,15,6.2,"0.00035","4"
"14",62,"GO:1901615","organic hydroxy compound metabolic process",222,47,18.86,"0.00038","4"
"15",63,"GO:0009415","response to water",433,83,36.79,"0.00038","4"
"16",64,"GO:0002682","regulation of immune system process",65,22,5.52,"0.00040","4"
"17",65,"GO:1901617","organic hydroxy compound biosynthetic process",124,26,10.53,"0.00046","4"
"18",66,"GO:0005992","trehalose biosynthetic process",10,5,0.85,"0.00047","4"
"19",67,"GO:0016192","vesicle-mediated transport",313,41,26.59,"0.00047","4"
"20",68,"GO:0019722","calcium-mediated signaling",20,7,1.7,"0.00048","4"
"21",69,"GO:0009408","response to heat",178,32,15.12,"0.00058","4"
"22",70,"GO:0044281","small molecule metabolic process",1434,170,121.83,"0.00059","4"
"23",71,"GO:0009631","cold acclimation",33,9,2.8,"0.00062","4"
"24",72,"GO:0010286","heat acclimation",33,9,2.8,"0.00062","4"
"25",73,"GO:0010150","leaf senescence",111,19,9.43,"0.00070","4"
"26",74,"GO:0090558","plant epidermis development",300,39,25.49,"0.00075","4"
"27",75,"GO:0002218","activation of innate immune response",16,6,1.36,"0.00080","4"
"28",76,"GO:0045892","negative regulation of DNA-templated transcription",130,21,11.04,"0.00083","4"
"29",77,"GO:0060548","negative regulation of cell death",22,7,1.87,"0.00091","4"
"30",78,"GO:0045893","positive regulation of DNA-templated transcription",227,31,19.29,"0.00113","4"
"31",79,"GO:0045926","negative regulation of growth",17,6,1.44,"0.00116","4"
"32",80,"GO:0009266","response to temperature stimulus",466,85,39.59,"0.00120","4"
"33",81,"GO:0001666","response to hypoxia",119,43,10.11,"0.00122","4"
"34",82,"GO:0010035","response to inorganic substance",908,143,77.14,"0.00132","4"
"35",83,"GO:0008610","lipid biosynthetic process",437,54,37.13,"0.00144","4"
"36",84,"GO:0005513","detection of calcium ion",4,3,0.34,"0.00168","4"
"37",85,"GO:0009734","auxin-activated signaling pathway",60,12,5.1,"0.00169","4"
"38",86,"GO:0010337","regulation of salicylic acid metabolic process",13,7,1.1,"0.00183","4"
"39",87,"GO:0031348","negative regulation of defense response",38,9,3.23,"0.00185","4"
"40",88,"GO:0009966","regulation of signal transduction",201,32,17.08,"0.00191","4"
"41",89,"GO:0071248","cellular response to metal ion",13,5,1.1,"0.00197","4"
"42",90,"GO:0009768","photosynthesis, light harvesting in photosystem I",13,5,1.1,"0.00197","4"
"43",91,"GO:0072330","monocarboxylic acid biosynthetic process",148,27,12.57,"0.00227","4"
