target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	817.638	211	12.4031
Dm_00008772-RA	1272	1072.64	142	6.36275
Dm_00008770-RA	1722	1522.64	218	6.88129
Dm_00008771-RA	636	436.797	41	4.51143
Dm_00008682-RA	906	706.638	209	14.2154
Dm_00008591-RA	1308	1108.64	87	3.77172
Dm_00008592-RA	2436	2236.64	806	17.32
Dm_00008593-RA	759	559.705	2169	186.256
Dm_00008594-RA	969	769.638	1052	65.696
Dm_00010209-RA	468	269.608	0	0
Dm_00010051-RA	693	493.705	8	0.778811
Dm_00009727-RA	234	57.4773	0	0
Dm_00009728-RA	1161	961.638	0	0
Dm_00009413-RA	1368	1168.64	584	24.0183
Dm_00009412-RA	2105	1905.64	319	8.04563
Dm_00009411-RA	2682	2482.64	167	3.23305
Dm_00009410-RA	432	234.406	14	2.87058
Dm_00009021-RA	1668	1468.64	2720	89.0151
Dm_00009020-RA	414	216.948	49	10.8555
Dm_00009748-RA	1554	1354.64	382	13.5535
Dm_00009749-RA	1092	892.638	593	31.9293
Dm_00009750-RA	941	741.638	606	39.2727
Dm_00010290-RA	1116	916.638	231	12.1122
Dm_00010291-RA	969	769.638	12	0.749384
Dm_00007855-RA	945	745.638	809	52.1471
Dm_00007856-RA	786	586.705	233	19.0874
Dm_00007858-RA	2466	2266.64	382	8.10011
Dm_00007859-RA	2304	2104.64	125	2.85458
Dm_00007857-RA	873	673.638	855	61.0027
Dm_00009353-RA	471	272.608	91	16.044
Dm_00009317-RA	312	121.392	1256	497.288
Dm_00010173-RA	1548	1348.64	531	18.9238
Dm_00010171-RA	228	52.9568	63	57.178
Dm_00010172-RA	258	75.8252	2	1.26773
Dm_00009367-RA	1566	1366.64	1030	36.2238
Dm_00009368-RA	171	16.5777	82	237.738
Dm_00009369-RA	984	784.638	186	11.3934
Dm_00009983-RA	1065	865.638	33	1.83226
Dm_00009982-RA	975	775.638	6	0.371794
Dm_00009984-RA	537	338.154	0	0
Dm_00009718-RA	1158	958.638	3431	172.019
Dm_00009717-RA	753	553.705	329	28.558
Dm_00009950-RA	1842	1642.64	3	0.0877787
Dm_00009953-RA	1437	1237.64	187	7.26202
Dm_00009948-RA	1638	1438.64	674	22.5174
Dm_00009949-RA	879	679.638	178	12.5879
Dm_00009951-RA	729	529.705	54	4.8997
Dm_00009952-RA	444	246.066	0	0
Dm_00009009-RA	738	538.705	0	0
Dm_00009010-RA	303	113.302	2.02245	0.85793
Dm_00009007-RA	891	691.638	0	0
Dm_00009008-RA	1164	964.638	117	5.8295
Dm_00009011-RA	3048	2848.64	16.0111	0.270143
Dm_00009012-RA	684	484.705	0	0
Dm_00010080-RA	1113	913.638	14	0.736485
Dm_00010081-RA	354	159.715	610	183.567
Dm_00010084-RA	1518	1318.64	661	24.0927
Dm_00010083-RA	1140	940.638	254	12.9784
Dm_00010082-RA	375	179.555	217	58.0862
Dm_00010098-RA	1200	1000.64	0	0
Dm_00010096-RA	390	193.931	0	0
Dm_00010097-RA	666	466.705	438	45.1067
Dm_00008796-RA	414	216.948	0	0
Dm_00010370-RA	1886	1686.64	527	15.0175
Dm_00010369-RA	192	28.8297	0	0
Dm_00009774-RA	1998	1798.64	1097	29.3138
Dm_00009775-RA	354	159.715	255	76.7371
Dm_00010288-RA	1401	1201.64	148	5.91967
Dm_00009493-RA	963	763.638	552	34.7425
Dm_00009494-RA	984	784.638	374	22.9093
