Orthogroup	A_coerulea.proteins	A_vesiculosa.proteins
OG0000008	Aqcoe5G395200.1.p, Aqcoe5G128900.1.p	Av_00016512-RA
OG0000008	Aqcoe5G292100.1.p, Aqcoe5G371800.4.p, Aqcoe5G371800.8.p, Aqcoe5G371800.6.p, Aqcoe4G095300.2.p, Aqcoe4G095300.3.p, Aqcoe5G369100.1.p, Aqcoe5G370300.3.p, Aqcoe5G371800.2.p, Aqcoe5G371800.3.p, Aqcoe5G371800.5.p, Aqcoe5G371800.7.p, Aqcoe5G368700.2.p, Aqcoe4G095300.4.p, Aqcoe5G361500.2.p, Aqcoe5G361500.1.p, Aqcoe5G361500.3.p	Av_00011034-RA
OG0000008	Aqcoe4G095300.1.p, Aqcoe5G367200.1.p, Aqcoe5G367200.2.p, Aqcoe5G355800.1.p, Aqcoe5G370400.1.p, Aqcoe5G366700.1.p, Aqcoe5G370300.5.p, Aqcoe5G370300.4.p, Aqcoe5G370300.1.p, Aqcoe5G370300.2.p, Aqcoe5G369000.1.p, Aqcoe6G222400.1.p, Aqcoe5G368700.1.p, Aqcoe5G371800.1.p, Aqcoe5G452800.2.p, Aqcoe5G452800.1.p, Aqcoe5G379400.1.p, Aqcoe5G367100.1.p, Aqcoe5G378200.1.p	Av_00023836-RA
OG0000011	Aqcoe5G018800.1.p, Aqcoe5G018900.1.p	Av_00002197-RA
OG0000018	Aqcoe5G029400.1.p, Aqcoe5G029300.1.p	Av_00002303-RA, Av_00009695-RA
OG0000021	Aqcoe4G117700.1.p, Aqcoe4G114000.1.p, Aqcoe4G069900.1.p, Aqcoe4G070100.1.p, Aqcoe4G070300.1.p, Aqcoe3G358600.1.p, Aqcoe3G417500.1.p, Aqcoe3G417300.1.p, Aqcoe3G417400.1.p	Av_00016682-RA
OG0000022	Aqcoe5G366100.1.p	Av_00004844-RA
OG0000022	Aqcoe5G365600.1.p, Aqcoe5G365500.1.p, Aqcoe5G402600.1.p, Aqcoe5G368400.1.p, Aqcoe5G366200.1.p, Aqcoe5G436000.1.p, Aqcoe5G366500.1.p, Aqcoe5G366400.1.p	Av_00010967-RA, Av_00004845-RA, Av_00003462-RA, Av_00003476-RA, Av_00003461-RA, Av_00004843-RA, Av_00021879-RA, Av_00002137-RA, Av_00001706-RA, Av_00009282-RA
OG0000023	Aqcoe6G271700.1.p, Aqcoe6G271700.2.p, Aqcoe6G271600.1.p, Aqcoe6G271800.1.p, Aqcoe6G272000.1.p, Aqcoe6G272000.2.p	Av_00008849-RA, Av_00018735-RA, Av_00008789-RA, Av_00019809-RA
OG0000024	Aqcoe4G121400.1.p	Av_00007869-RA
OG0000024	Aqcoe4G138900.1.p, Aqcoe4G137400.1.p, Aqcoe4G136900.1.p, Aqcoe4G121600.1.p, Aqcoe4G122100.1.p, Aqcoe4G138000.1.p, Aqcoe5G329900.1.p, Aqcoe4G232800.1.p, Aqcoe4G232800.3.p, Aqcoe4G232800.2.p, Aqcoe4G261600.1.p, Aqcoe4G261400.1.p, Aqcoe4G121300.1.p, Aqcoe4G121900.1.p, Aqcoe4G137900.1.p, Aqcoe4G136800.1.p, Aqcoe4G122000.1.p, Aqcoe4G140000.1.p, Aqcoe4G139300.1.p, Aqcoe4G140300.1.p	Av_00004852-RA
OG0000025	Aqcoe5G229000.1.p, Aqcoe5G228000.1.p	Av_00009754-RA
OG0000025	Aqcoe6G170300.1.p, Aqcoe5G228100.1.p, Aqcoe5G228300.1.p, Aqcoe5G228600.1.p, Aqcoe5G228500.1.p, Aqcoe5G228200.1.p, Aqcoe5G228900.1.p, Aqcoe5G229100.1.p, Aqcoe6G170200.1.p, Aqcoe5G228400.2.p, Aqcoe5G228400.1.p, Aqcoe5G230100.1.p, Aqcoe6G178000.1.p, Aqcoe5G229800.1.p	Av_00000980-RA, Av_00012375-RA, Av_00020768-RA, Av_00004540-RA, Av_00008813-RA, Av_00008810-RA, Av_00007185-RA, Av_00020767-RA
