target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	825.021	25	7.07584
Dm_00008772-RA	1272	1080.02	38	8.21589
Dm_00008770-RA	1722	1530.02	81	12.3621
Dm_00008771-RA	636	444.021	26	13.6733
Dm_00008682-RA	906	714.021	214	69.9852
Dm_00008591-RA	1308	1116.02	45	9.4155
Dm_00008592-RA	2436	2244.02	251	26.1186
Dm_00008593-RA	759	567.021	443	182.435
Dm_00008594-RA	969	777.021	288	86.5492
Dm_00010209-RA	468	276.56	0	0
Dm_00010051-RA	693	501.021	2	0.932132
Dm_00009727-RA	234	58.8591	0	0
Dm_00009728-RA	1161	969.021	0	0
Dm_00009413-RA	1368	1176.02	136	27.0039
Dm_00009412-RA	2105	1913.02	309	37.7174
Dm_00009411-RA	2682	2490.02	73	6.84578
Dm_00009410-RA	432	240.792	1	0.969751
Dm_00009021-RA	1668	1476.02	840	132.889
Dm_00009020-RA	414	222.955	5	5.23668
Dm_00009748-RA	1554	1362.02	147	25.2021
Dm_00009749-RA	1092	900.021	136	35.2849
Dm_00009750-RA	941	749.021	95	29.6164
Dm_00010290-RA	1116	924.021	34	8.59212
Dm_00010291-RA	969	777.021	2	0.601036
Dm_00007855-RA	945	753.021	213	66.0504
Dm_00007856-RA	786	594.021	89	34.9858
Dm_00007858-RA	2466	2274.02	213	21.872
Dm_00007859-RA	2304	2112.02	112	12.3829
Dm_00007857-RA	873	681.021	69	23.6587
Dm_00009353-RA	471	279.56	18	15.0349
Dm_00009317-RA	312	125.189	126	235.021
Dm_00010173-RA	1548	1356.02	152	26.1746
Dm_00010171-RA	228	54.2145	23	99.0639
Dm_00010172-RA	258	77.7981	2	6.00294
Dm_00009367-RA	1566	1374.02	245	41.6367
Dm_00009368-RA	171	16.4931	33	467.213
Dm_00009369-RA	984	792.021	39	11.4982
Dm_00009983-RA	1065	873.021	16	4.27955
Dm_00009982-RA	975	783.021	3	0.894646
Dm_00009984-RA	537	345.323	0	0
Dm_00009718-RA	1158	966.021	687	166.063
Dm_00009717-RA	753	561.021	92	38.2923
Dm_00009950-RA	1842	1650.02	0	0
Dm_00009953-RA	1437	1245.02	90	16.8799
Dm_00009948-RA	1638	1446.02	290	46.8303
Dm_00009949-RA	879	687.021	49	16.6544
Dm_00009951-RA	729	537.021	0	0
Dm_00009952-RA	444	252.693	0	0
Dm_00009009-RA	738	546.021	0	0
Dm_00009010-RA	303	116.814	2.02447	4.04688
Dm_00009007-RA	891	699.021	0	0
Dm_00009008-RA	1164	972.021	23	5.52529
Dm_00009011-RA	3048	2856.02	1.00049	0.0818006
Dm_00009012-RA	684	492.021	0	0
Dm_00010080-RA	1113	921.021	5	1.26766
Dm_00010081-RA	354	164.499	125	177.439
Dm_00010084-RA	1518	1326.02	143	25.1819
Dm_00010083-RA	1140	948.021	64	15.764
Dm_00010082-RA	375	184.908	31	39.1479
Dm_00010098-RA	1200	1008.02	1.14167	0.264469
Dm_00010096-RA	390	199.524	0	0
Dm_00010097-RA	666	474.021	83	40.8869
Dm_00008796-RA	414	222.955	0	0
Dm_00010370-RA	1886	1694.02	197	27.155
Dm_00010369-RA	192	29.1137	0	0
Dm_00009774-RA	1998	1806.02	292	37.754
Dm_00009775-RA	354	164.499	47	66.7172
Dm_00010288-RA	1401	1209.02	37	7.14613
Dm_00009493-RA	963	771.021	151	45.7313
Dm_00009494-RA	984	792.021	90	26.5344
Dm_00009495-RA	714	522.021	0	0
Dm_00006316-RA	993	801.021	3	0.874542
Dm_00008938-RA	897	705.021	174	57.6302
Dm_00008942-RA	1680	1488.02	153	24.0096
Dm_00008940-RA	834	642.021	32	11.6387
Dm_00008939-RA	651	459.021	27	13.7352
Dm_00008941-RA	531	339.323	58	39.9133
Dm_00010031-RA	3168	2976.02	297	23.3036
Dm_00009533-RA	1185	993.021	51	11.9926
Dm_00009536-RA	1041	849.021	558.96	153.732
Dm_00009535-RA	792	600.021	1237	481.4
Dm_00009534-RA	1146	954.021	1352	330.919
Dm_00009696-RA	606	414.021	0	0
Dm_00009720-RA	456	264.641	7	6.17651
Dm_00009719-RA	795	603.021	0	0
Dm_00009254-RA	1287	1095.02	41	8.74308
Dm_00009255-RA	4353	4161.02	39	2.18861
Dm_00009256-RA	834	642.021	109	39.6443
Dm_00009072-RA	282	98.4061	0	0
Dm_00009813-RA	6525	6333.02	293	10.8034
Dm_00009814-RA	2781	2589.02	48	4.32921
Dm_00009915-RA	564	372.18	0	0
Dm_00009914-RA	258	77.7981	0	0
Dm_00009695-RA	2650	2458.02	346	32.8695
Dm_00009694-RA	624	432.021	66	35.6732
Dm_00009693-RA	861	669.021	63	21.9889
Dm_00008273-RA	1188	996.021	5	1.17221
Dm_00008274-RA	912	720.021	37	11.9994
Dm_00008656-RA	612	420.021	0	0
Dm_00009771-RA	1848	1656.02	8	1.12805
Dm_00010784-RA	594	402.102	0	0
Dm_00010112-RA	711	519.021	391	175.912
Dm_00010111-RA	402	211.237	76	84.0128
Dm_00009955-RA	255	75.3625	15	46.4771
