Orthogroup	A_vesiculosa.proteins	D_spatulata.proteins
OG0000008	Av_00016512-RA	Ds_00005008-RA
OG0000008	Av_00017274-RA	Ds_00004058-RA, Ds_00005252-RA, Ds_00011612-RA
OG0000008	Av_00024183-RA	Ds_00001046-RA, Ds_00004374-RA, Ds_00004371-RA, Ds_00009680-RA, Ds_00006455-RA
OG0000009	Av_00017212-RA, Av_00017786-RA	Ds_00013068-RA
OG0000011	Av_00002197-RA	Ds_00014454-RA, Ds_00015367-RA
OG0000013	Av_00021381-RA	Ds_00018006-RA
OG0000013	Av_00024358-RA, Av_00022875-RA, Av_00020439-RA, Av_00022149-RA	Ds_00013865-RA, Ds_00016661-RA, Ds_00017474-RA, Ds_00007048-RA, Ds_00007851-RA, Ds_00011334-RA, Ds_00010326-RA, Ds_00008961-RA, Ds_00017098-RA, Ds_00015155-RA, Ds_00007835-RA
OG0000015	Av_00005634-RA	Ds_00013984-RA, Ds_00015603-RA
OG0000015	Av_00010123-RA	Ds_00016102-RA
OG0000015	Av_00014290-RA	Ds_00004166-RA
OG0000016	Av_00024235-RA	Ds_00000802-RA, Ds_00013779-RA, Ds_00012502-RA, Ds_00011161-RA, Ds_00004889-RA, Ds_00009386-RA, Ds_00009382-RA, Ds_00014480-RA
OG0000018	Av_00017038-RA	Ds_00006436-RA, Ds_00006435-RA
OG0000018	Av_00013504-RA	Ds_00014529-RA, Ds_00003183-RA
OG0000018	Av_00002303-RA, Av_00009695-RA	Ds_00015426-RA
OG0000020	Av_00024519-RA, Av_00021422-RA, Av_00019988-RA, Av_00024756-RA, Av_00024215-RA, Av_00021800-RA, Av_00023495-RA, Av_00021451-RA	Ds_00017581-RA
OG0000020	Av_00019093-RA	Ds_00009233-RA, Ds_00013241-RA
OG0000021	Av_00016821-RA, Av_00016683-RA	Ds_00010245-RA
OG0000021	Av_00016682-RA	Ds_00016546-RA, Ds_00010246-RA, Ds_00013127-RA, Ds_00011994-RA
OG0000022	Av_00004844-RA	Ds_00000786-RA, Ds_00000789-RA, Ds_00013099-RA, Ds_00000790-RA, Ds_00000787-RA, Ds_00000788-RA
OG0000022	Av_00004845-RA, Av_00003462-RA, Av_00003476-RA, Av_00003461-RA, Av_00004843-RA, Av_00021879-RA, Av_00002137-RA, Av_00001706-RA, Av_00009282-RA	Ds_00003849-RA, Ds_00003832-RA, Ds_00007689-RA, Ds_00013775-RA, Ds_00009114-RA, Ds_00005092-RA
OG0000023	Av_00008789-RA	Ds_00012138-RA
OG0000023	Av_00019809-RA	Ds_00005184-RA, Ds_00006219-RA
OG0000024	Av_00007869-RA	Ds_00010656-RA, Ds_00010658-RA, Ds_00010657-RA
OG0000024	Av_00004852-RA	Ds_00007357-RA, Ds_00007354-RA
OG0000025	Av_00000980-RA, Av_00012375-RA	Ds_00000314-RA
OG0000025	Av_00008810-RA, Av_00007185-RA, Av_00020767-RA	Ds_00011235-RA
OG0000027	Av_00013864-RA, Av_00001746-RA, Av_00017675-RA, Av_00011272-RA	Ds_00016246-RA
OG0000027	Av_00004078-RA, Av_00023371-RA	Ds_00002306-RA
OG0000027	Av_00006838-RA, Av_00007948-RA, Av_00015408-RA	Ds_00000646-RA
OG0000027	Av_00001022-RA, Av_00004483-RA, Av_00024230-RA, Av_00011040-RA, Av_00023589-RA, Av_00018214-RA, Av_00017102-RA	Ds_00007953-RA, Ds_00009832-RA
OG0000027	Av_00009069-RA	Ds_00007193-RA
OG0000028	Av_00012390-RA, Av_00014990-RA, Av_00012397-RA, Av_00014996-RA, Av_00014977-RA, Av_00014985-RA, Av_00014998-RA, Av_00014993-RA, Av_00014979-RA, Av_00014987-RA, Av_00014981-RA, Av_00014983-RA, Av_00015000-RA, Av_00012389-RA, Av_00014999-RA, Av_00014991-RA, Av_00012392-RA, Av_00014982-RA, Av_00014988-RA, Av_00014984-RA, Av_00012395-RA, Av_00014997-RA, Av_00012393-RA, Av_00015001-RA, Av_00009279-RA, Av_00009277-RA, Av_00009278-RA	Ds_00011383-RA, Ds_00011387-RA, Ds_00011371-RA, Ds_00011381-RA, Ds_00011382-RA, Ds_00011384-RA, Ds_00007266-RA, Ds_00017487-RA, Ds_00017857-RA, Ds_00017485-RA, Ds_00011376-RA, Ds_00017484-RA, Ds_00017856-RA, Ds_00017796-RA
OG0000028	Av_00011314-RA	Ds_00011377-RA, Ds_00011385-RA
OG0000028	Av_00014202-RA	Ds_00017488-RA
OG0000029	Av_00016651-RA	Ds_00003603-RA, Ds_00014221-RA
OG0000029	Av_00023395-RA	Ds_00008364-RA, Ds_00015383-RA, Ds_00015428-RA, Ds_00002808-RA, Ds_00015382-RA
OG0000031	Av_00004188-RA, Av_00015999-RA	Ds_00009778-RA, Ds_00017965-RA, Ds_00017922-RA, Ds_00002506-RA
OG0000031	Av_00023881-RA, Av_00019981-RA	Ds_00004983-RA, Ds_00004982-RA
OG0000031	Av_00023880-RA	Ds_00001472-RA
OG0000034	Av_00010139-RA	Ds_00010206-RA, Ds_00010205-RA, Ds_00010204-RA, Ds_00010207-RA, Ds_00010200-RA, Ds_00015919-RA
OG0000034	Av_00014124-RA, Av_00014125-RA	Ds_00015077-RA
OG0000037	Av_00004452-RA	Ds_00010987-RA
OG0000037	Av_00001047-RA	Ds_00009807-RA
OG0000037	Av_00005925-RA	Ds_00015216-RA
OG0000038	Av_00017650-RA, Av_00017651-RA, Av_00017652-RA, Av_00010482-RA	Ds_00013786-RA
OG0000038	Av_00000257-RA	Ds_00017774-RA
OG0000038	Av_00001694-RA	Ds_00013784-RA, Ds_00013785-RA
OG0000040	Av_00004970-RA	Ds_00008461-RA, Ds_00008462-RA
OG0000041	Av_00009871-RA, Av_00011079-RA, Av_00018306-RA, Av_00007268-RA	Ds_00000048-RA
OG0000041	Av_00004285-RA, Av_00015969-RA, Av_00011385-RA	Ds_00013581-RA
OG0000041	Av_00012197-RA, Av_00005774-RA	Ds_00016658-RA
OG0000041	Av_00003333-RA, Av_00021658-RA, Av_00002584-RA	Ds_00008539-RA, Ds_00005900-RA
OG0000041	Av_00000583-RA, Av_00019204-RA	Ds_00009329-RA
OG0000041	Av_00023746-RA, Av_00022768-RA	Ds_00012521-RA
OG0000041	Av_00021262-RA, Av_00001083-RA	Ds_00003435-RA
OG0000041	Av_00009917-RA, Av_00011128-RA	Ds_00016022-RA
OG0000041	Av_00013005-RA	Ds_00000091-RA
OG0000041	Av_00004338-RA, Av_00008161-RA, Av_00012068-RA	Ds_00006077-RA
OG0000042	Av_00019089-RA	Ds_00012464-RA
OG0000042	Av_00009478-RA, Av_00008427-RA	Ds_00007701-RA
OG0000044	Av_00015365-RA, Av_00000401-RA, Av_00024396-RA, Av_00001881-RA	Ds_00010910-RA, Ds_00011206-RA
OG0000044	Av_00016449-RA	Ds_00007873-RA
OG0000044	Av_00012555-RA, Av_00002870-RA	Ds_00008781-RA
OG0000044	Av_00023445-RA, Av_00018109-RA, Av_00006768-RA, Av_00022336-RA, Av_00020253-RA, Av_00004110-RA	Ds_00012803-RA
OG0000044	Av_00002322-RA, Av_00009708-RA	Ds_00008624-RA
OG0000046	Av_00004429-RA, Av_00012280-RA	Ds_00016515-RA, Ds_00004346-RA
OG0000046	Av_00024394-RA, Av_00011655-RA, Av_00014209-RA, Av_00001876-RA	Ds_00010906-RA, Ds_00011215-RA
OG0000046	Av_00015934-RA, Av_00011412-RA, Av_00004246-RA, Av_00024458-RA	Ds_00013053-RA
OG0000046	Av_00002747-RA	Ds_00008610-RA
OG0000046	Av_00009129-RA, Av_00005749-RA	Ds_00008496-RA, Ds_00012090-RA
OG0000046	Av_00024073-RA, Av_00006807-RA	Ds_00000726-RA
OG0000047	Av_00021683-RA	Ds_00001929-RA
OG0000047	Av_00004600-RA, Av_00004281-RA, Av_00015966-RA, Av_00011387-RA, Av_00015257-RA, Av_00010932-RA, Av_00011403-RA, Av_00015951-RA	Ds_00013036-RA
OG0000047	Av_00024563-RA	Ds_00005948-RA
OG0000047	Av_00018720-RA	Ds_00000942-RA
OG0000047	Av_00011450-RA, Av_00000054-RA	Ds_00008795-RA
OG0000047	Av_00015234-RA, Av_00010903-RA	Ds_00012963-RA, Ds_00012019-RA, Ds_00012017-RA
OG0000047	Av_00011809-RA	Ds_00004014-RA
OG0000048	Av_00020140-RA	Ds_00006839-RA, Ds_00015981-RA, Ds_00006837-RA, Ds_00006838-RA, Ds_00001864-RA
OG0000048	Av_00019438-RA	Ds_00015046-RA
OG0000048	Av_00005053-RA, Av_00010310-RA	Ds_00014304-RA
OG0000050	Av_00012807-RA, Av_00021668-RA	Ds_00013143-RA, Ds_00006666-RA, Ds_00008163-RA
OG0000050	Av_00002378-RA	Ds_00008162-RA, Ds_00014906-RA, Ds_00017061-RA, Ds_00010616-RA, Ds_00007525-RA, Ds_00014948-RA
OG0000050	Av_00024445-RA	Ds_00016172-RA
OG0000051	Av_00024209-RA, Av_00016836-RA	Ds_00017549-RA, Ds_00000574-RA, Ds_00007078-RA, Ds_00007846-RA
OG0000051	Av_00010341-RA	Ds_00002936-RA, Ds_00016530-RA
OG0000051	Av_00016049-RA	Ds_00007321-RA
OG0000055	Av_00002758-RA	Ds_00010593-RA
OG0000055	Av_00013256-RA, Av_00017858-RA, Av_00022659-RA	Ds_00014521-RA
OG0000055	Av_00017818-RA	Ds_00001014-RA
OG0000055	Av_00024743-RA, Av_00019729-RA	Ds_00002955-RA
OG0000055	Av_00016413-RA, Av_00013445-RA	Ds_00001660-RA
OG0000058	Av_00008430-RA	Ds_00011609-RA, Ds_00005255-RA
OG0000058	Av_00002928-RA	Ds_00002073-RA
OG0000059	Av_00013645-RA	Ds_00013728-RA
OG0000060	Av_00002915-RA	Ds_00012663-RA
OG0000063	Av_00002221-RA	Ds_00001207-RA
OG0000063	Av_00017394-RA, Av_00017390-RA, Av_00017389-RA	Ds_00010181-RA
OG0000063	Av_00005674-RA	Ds_00014318-RA
OG0000065	Av_00001967-RA	Ds_00009318-RA, Ds_00016604-RA
OG0000067	Av_00014269-RA, Av_00010147-RA	Ds_00004112-RA
OG0000067	Av_00012703-RA, Av_00018513-RA	Ds_00014586-RA, Ds_00005210-RA
OG0000067	Av_00002873-RA	Ds_00010296-RA
OG0000067	Av_00024311-RA, Av_00023884-RA	Ds_00015402-RA
OG0000070	Av_00015377-RA, Av_00013697-RA, Av_00001861-RA	Ds_00003633-RA
OG0000070	Av_00000389-RA	Ds_00016135-RA
OG0000070	Av_00012230-RA, Av_00020252-RA, Av_00005363-RA, Av_00002635-RA	Ds_00010078-RA
OG0000070	Av_00006141-RA, Av_00020546-RA	Ds_00014701-RA
OG0000071	Av_00011182-RA, Av_00001686-RA	Ds_00003826-RA
OG0000071	Av_00009962-RA	Ds_00005567-RA
OG0000071	Av_00021173-RA	Ds_00002033-RA
OG0000071	Av_00000661-RA, Av_00023726-RA	Ds_00013248-RA
OG0000071	Av_00013211-RA, Av_00018792-RA	Ds_00007141-RA
OG0000071	Av_00001473-RA, Av_00022951-RA, Av_00009647-RA	Ds_00006568-RA
OG0000071	Av_00002646-RA, Av_00005357-RA	Ds_00012035-RA, Ds_00010724-RA
OG0000072	Av_00011117-RA, Av_00011868-RA, Av_00016563-RA, Av_00011359-RA, Av_00007236-RA, Av_00007010-RA	Ds_00000109-RA
OG0000073	Av_00025085-RA, Av_00024865-RA, Av_00023889-RA, Av_00024854-RA, Av_00017819-RA	Ds_00002589-RA
OG0000073	Av_00025098-RA, Av_00023706-RA, Av_00024625-RA, Av_00025117-RA, Av_00024856-RA, Av_00024965-RA, Av_00025011-RA, Av_00024566-RA, Av_00024850-RA, Av_00020639-RA, Av_00023891-RA, Av_00024670-RA, Av_00025020-RA, Av_00017209-RA, Av_00015297-RA, Av_00024293-RA, Av_00016834-RA, Av_00023004-RA, Av_00023479-RA, Av_00025099-RA, Av_00019845-RA, Av_00024980-RA, Av_00017464-RA, Av_00025019-RA, Av_00024417-RA	Ds_00002588-RA, Ds_00011442-RA
OG0000073	Av_00024703-RA, Av_00024912-RA, Av_00025047-RA, Av_00024849-RA, Av_00019955-RA, Av_00023763-RA, Av_00025056-RA, Av_00024806-RA, Av_00025118-RA, Av_00024677-RA, Av_00025050-RA, Av_00023307-RA, Av_00023785-RA, Av_00025076-RA, Av_00023478-RA, Av_00019099-RA, Av_00025103-RA, Av_00024475-RA, Av_00024565-RA, Av_00022693-RA, Av_00021114-RA, Av_00021327-RA, Av_00024863-RA, Av_00024829-RA, Av_00018048-RA, Av_00024926-RA, Av_00023319-RA, Av_00022662-RA, Av_00024668-RA, Av_00024477-RA, Av_00021555-RA, Av_00019944-RA, Av_00018093-RA, Av_00024855-RA, Av_00017325-RA, Av_00024805-RA, Av_00022373-RA, Av_00014794-RA, Av_00025046-RA, Av_00024749-RA, Av_00024985-RA, Av_00025084-RA, Av_00019024-RA, Av_00024645-RA, Av_00024815-RA, Av_00021336-RA, Av_00023269-RA, Av_00019495-RA, Av_00024886-RA, Av_00020623-RA, Av_00021157-RA, Av_00024660-RA, Av_00024478-RA, Av_00023503-RA, Av_00021446-RA, Av_00022663-RA, Av_00024690-RA, Av_00024890-RA, Av_00024595-RA, Av_00016833-RA, Av_00024876-RA, Av_00024128-RA, Av_00024669-RA, Av_00024961-RA, Av_00025010-RA, Av_00025061-RA, Av_00022841-RA, Av_00024888-RA, Av_00024596-RA, Av_00024852-RA, Av_00024873-RA, Av_00024580-RA, Av_00023892-RA, Av_00012050-RA, Av_00025082-RA, Av_00024969-RA, Av_00024875-RA	Ds_00008118-RA
