Orthogroup	A_vesiculosa.proteins	D_muscipula.proteins
OG0000004	Av_00021085-RA	Dm_00018819-RA
OG0000004	Av_00010923-RA, Av_00022969-RA	Dm_00006207-RA
OG0000004	Av_00012080-RA, Av_00010527-RA, Av_00017192-RA	Dm_00012545-RA
OG0000004	Av_00012087-RA, Av_00016629-RA, Av_00007611-RA, Av_00005875-RA, Av_00018770-RA, Av_00008585-RA, Av_00017451-RA, Av_00012246-RA, Av_00014084-RA, Av_00002165-RA, Av_00009477-RA, Av_00006793-RA, Av_00017193-RA, Av_00011747-RA, Av_00015851-RA, Av_00024618-RA	Dm_00009468-RA
OG0000004	Av_00023339-RA, Av_00020528-RA, Av_00015718-RA, Av_00023813-RA, Av_00019177-RA, Av_00020244-RA, Av_00005111-RA, Av_00018074-RA, Av_00005107-RA, Av_00003109-RA, Av_00009979-RA, Av_00024303-RA, Av_00023380-RA, Av_00018948-RA, Av_00009972-RA, Av_00019258-RA, Av_00001240-RA, Av_00022001-RA, Av_00011326-RA, Av_00016460-RA, Av_00023100-RA, Av_00022044-RA, Av_00020971-RA, Av_00012462-RA, Av_00003257-RA, Av_00022055-RA, Av_00013829-RA, Av_00015699-RA, Av_00015710-RA, Av_00013432-RA, Av_00010787-RA, Av_00020409-RA, Av_00021999-RA, Av_00024213-RA, Av_00020312-RA, Av_00019261-RA, Av_00021815-RA, Av_00017778-RA, Av_00018067-RA, Av_00021374-RA, Av_00017235-RA, Av_00017173-RA, Av_00017635-RA, Av_00018073-RA, Av_00017552-RA, Av_00003765-RA, Av_00002171-RA, Av_00008577-RA, Av_00014742-RA, Av_00020647-RA, Av_00022233-RA, Av_00009539-RA, Av_00017466-RA, Av_00016850-RA, Av_00024571-RA, Av_00021338-RA, Av_00020766-RA, Av_00020373-RA, Av_00011852-RA, Av_00013532-RA, Av_00024516-RA, Av_00018081-RA, Av_00009935-RA, Av_00012245-RA, Av_00014810-RA, Av_00010560-RA, Av_00023334-RA, Av_00023548-RA, Av_00016853-RA, Av_00018090-RA, Av_00023416-RA	Dm_00018820-RA
OG0000004	Av_00015651-RA, Av_00005158-RA, Av_00020717-RA, Av_00017520-RA, Av_00018946-RA	Dm_00005394-RA
OG0000004	Av_00016421-RA, Av_00009422-RA, Av_00016852-RA, Av_00014070-RA, Av_00023975-RA, Av_00019782-RA, Av_00020526-RA, Av_00024357-RA, Av_00017331-RA	Dm_00016017-RA
OG0000004	Av_00021276-RA, Av_00017810-RA	Dm_00016812-RA
OG0000004	Av_00018769-RA, Av_00020372-RA, Av_00017191-RA	Dm_00004832-RA
OG0000004	Av_00022038-RA, Av_00009633-RA, Av_00010785-RA, Av_00016231-RA, Av_00014042-RA	Dm_00016813-RA
OG0000004	Av_00021704-RA, Av_00022042-RA, Av_00023378-RA, Av_00007388-RA, Av_00023997-RA, Av_00018079-RA, Av_00022083-RA, Av_00016884-RA, Av_00003255-RA, Av_00002331-RA, Av_00022232-RA, Av_00020970-RA, Av_00006389-RA, Av_00018087-RA, Av_00018300-RA, Av_00016849-RA, Av_00019336-RA, Av_00016656-RA, Av_00019601-RA, Av_00023415-RA, Av_00023973-RA, Av_00002043-RA, Av_00016061-RA, Av_00021185-RA, Av_00002170-RA, Av_00022529-RA, Av_00000500-RA, Av_00013830-RA, Av_00010873-RA, Av_00003108-RA, Av_00016044-RA, Av_00021337-RA, Av_00005874-RA, Av_00023373-RA, Av_00021817-RA, Av_00022395-RA, Av_00017665-RA, Av_00022054-RA, Av_00021750-RA, Av_00016854-RA, Av_00019175-RA, Av_00018391-RA, Av_00001524-RA, Av_00001241-RA, Av_00013587-RA, Av_00014069-RA, Av_00019848-RA, Av_00015697-RA, Av_00024162-RA, Av_00019887-RA, Av_00017190-RA, Av_00025091-RA, Av_00022157-RA, Av_00009537-RA, Av_00023916-RA, Av_00022959-RA, Av_00021356-RA, Av_00010512-RA	Dm_00009100-RA
OG0000004	Av_00022422-RA, Av_00021472-RA, Av_00014927-RA, Av_00012651-RA, Av_00010922-RA, Av_00020645-RA, Av_00011417-RA, Av_00017070-RA	Dm_00018818-RA
OG0000004	Av_00003766-RA, Av_00022804-RA, Av_00011853-RA, Av_00011744-RA, Av_00015852-RA, Av_00005011-RA, Av_00009748-RA, Av_00020482-RA, Av_00022590-RA, Av_00019914-RA, Av_00010912-RA, Av_00010498-RA, Av_00020646-RA, Av_00024902-RA, Av_00023963-RA, Av_00008194-RA, Av_00023279-RA, Av_00004077-RA, Av_00013827-RA, Av_00023329-RA, Av_00017781-RA, Av_00012995-RA, Av_00022486-RA, Av_00018392-RA, Av_00021436-RA, Av_00024860-RA, Av_00024245-RA, Av_00024117-RA, Av_00023160-RA, Av_00022646-RA, Av_00005604-RA, Av_00021989-RA, Av_00023629-RA, Av_00018378-RA, Av_00015044-RA, Av_00024388-RA, Av_00017333-RA, Av_00023761-RA, Av_00021979-RA, Av_00019184-RA, Av_00023920-RA, Av_00021184-RA, Av_00024315-RA, Av_00017770-RA, Av_00023538-RA, Av_00022027-RA, Av_00023725-RA, Av_00010817-RA, Av_00021383-RA, Av_00023379-RA, Av_00016839-RA, Av_00000369-RA	Dm_00010848-RA
OG0000004	Av_00019464-RA, Av_00021881-RA, Av_00014811-RA	Dm_00005854-RA
OG0000004	Av_00015294-RA, Av_00006390-RA, Av_00015698-RA, Av_00017186-RA, Av_00018947-RA, Av_00017957-RA	Dm_00009467-RA, Dm_00017247-RA
OG0000004	Av_00024966-RA, Av_00017017-RA, Av_00025097-RA, Av_00012079-RA, Av_00022575-RA, Av_00018419-RA, Av_00024077-RA, Av_00017422-RA, Av_00009936-RA, Av_00023549-RA, Av_00020765-RA, Av_00014588-RA, Av_00019339-RA	Dm_00006234-RA
OG0000004	Av_00024484-RA, Av_00024483-RA, Av_00024661-RA, Av_00017990-RA, Av_00004598-RA, Av_00003486-RA, Av_00019784-RA, Av_00020247-RA, Av_00011683-RA, Av_00019319-RA, Av_00012604-RA, Av_00007609-RA, Av_00010559-RA, Av_00013533-RA	Dm_00007639-RA
OG0000008	Av_00011034-RA	Dm_00017627-RA, Dm_00015033-RA
OG0000008	Av_00017274-RA	Dm_00017626-RA, Dm_00017535-RA
OG0000008	Av_00024183-RA	Dm_00017356-RA, Dm_00015034-RA, Dm_00018541-RA, Dm_00016863-RA
OG0000009	Av_00023163-RA, Av_00010257-RA	Dm_00019312-RA, Dm_00019953-RA, Dm_00013967-RA, Dm_00015045-RA, Dm_00020938-RA, Dm_00016492-RA, Dm_00015906-RA, Dm_00009125-RA, Dm_00008509-RA, Dm_00013003-RA, Dm_00011368-RA, Dm_00020089-RA, Dm_00019418-RA, Dm_00018074-RA, Dm_00016687-RA, Dm_00013056-RA
OG0000009	Av_00014948-RA	Dm_00021104-RA, Dm_00013107-RA, Dm_00010327-RA, Dm_00018556-RA, Dm_00017633-RA, Dm_00012988-RA, Dm_00020686-RA, Dm_00014000-RA, Dm_00020987-RA, Dm_00015119-RA, Dm_00011788-RA, Dm_00018544-RA, Dm_00017198-RA, Dm_00010304-RA, Dm_00019490-RA, Dm_00016005-RA, Dm_00007205-RA, Dm_00013535-RA
OG0000009	Av_00017212-RA	Dm_00014133-RA, Dm_00007027-RA, Dm_00020798-RA, Dm_00018592-RA
