Orthogroup	D_muscipula.proteins	P_amilis.proteins
OG0000008	Dm_00017627-RA, Dm_00015033-RA	FUN_043886-T1, FUN_047418-T1, FUN_043880-T1
OG0000008	Dm_00017626-RA, Dm_00017535-RA, Dm_00017356-RA, Dm_00015034-RA, Dm_00018541-RA, Dm_00016863-RA	FUN_036142-T1, FUN_047416-T1, FUN_043120-T1, FUN_043122-T1, FUN_047419-T1, FUN_014318-T1, FUN_049774-T1, FUN_030291-T1, FUN_043115-T1, FUN_043123-T1, FUN_043367-T1, FUN_043831-T1, FUN_043884-T1, FUN_001224-T1, FUN_043364-T1, FUN_043368-T1, FUN_034449-T1, FUN_001227-T1, FUN_034381-T1, FUN_043087-T1, FUN_026496-T1, FUN_026487-T1
OG0000011	Dm_00003465-RA	FUN_045628-T1
OG0000011	Dm_00013516-RA	FUN_018895-T1, FUN_018893-T1, FUN_018889-T1, FUN_018888-T1, FUN_024842-T1, FUN_024845-T1, FUN_024844-T1, FUN_024840-T1
OG0000015	Dm_00009736-RA	FUN_008515-T1, FUN_035466-T1, FUN_035347-T1, FUN_035469-T1
OG0000018	Dm_00012812-RA	FUN_051184-T1
OG0000020	Dm_00014559-RA, Dm_00021028-RA, Dm_00016788-RA, Dm_00017040-RA, Dm_00015679-RA, Dm_00015072-RA, Dm_00012321-RA, Dm_00019301-RA, Dm_00014417-RA, Dm_00017634-RA, Dm_00018703-RA, Dm_00016599-RA, Dm_00005581-RA, Dm_00019882-RA, Dm_00014532-RA, Dm_00020450-RA, Dm_00017674-RA, Dm_00020228-RA, Dm_00018259-RA, Dm_00015009-RA, Dm_00019850-RA, Dm_00017618-RA, Dm_00019357-RA, Dm_00019902-RA, Dm_00020291-RA, Dm_00018624-RA, Dm_00013964-RA, Dm_00014101-RA, Dm_00018863-RA, Dm_00020881-RA, Dm_00017448-RA, Dm_00019253-RA, Dm_00020398-RA, Dm_00006247-RA, Dm_00016989-RA, Dm_00020785-RA, Dm_00020167-RA, Dm_00017993-RA, Dm_00008498-RA, Dm_00018094-RA, Dm_00016881-RA, Dm_00018369-RA, Dm_00010425-RA, Dm_00017133-RA, Dm_00013001-RA, Dm_00017994-RA, Dm_00016890-RA, Dm_00009784-RA, Dm_00015615-RA, Dm_00020439-RA, Dm_00012638-RA, Dm_00010988-RA, Dm_00016138-RA, Dm_00016805-RA, Dm_00010244-RA, Dm_00020397-RA, Dm_00011257-RA, Dm_00015947-RA, Dm_00015099-RA, Dm_00017579-RA, Dm_00020187-RA, Dm_00020957-RA, Dm_00012446-RA, Dm_00018720-RA, Dm_00016786-RA, Dm_00017941-RA, Dm_00015413-RA, Dm_00016856-RA, Dm_00011131-RA, Dm_00019410-RA, Dm_00009650-RA, Dm_00011685-RA, Dm_00017424-RA, Dm_00020638-RA, Dm_00016373-RA, Dm_00019111-RA, Dm_00007983-RA, Dm_00020701-RA, Dm_00020521-RA, Dm_00017052-RA, Dm_00020662-RA, Dm_00014531-RA, Dm_00013963-RA, Dm_00017442-RA, Dm_00015770-RA, Dm_00006313-RA, Dm_00007229-RA, Dm_00015621-RA, Dm_00010715-RA, Dm_00015377-RA, Dm_00020968-RA, Dm_00016438-RA, Dm_00017391-RA, Dm_00017779-RA, Dm_00014424-RA, Dm_00014430-RA, Dm_00012757-RA, Dm_00013510-RA, Dm_00016843-RA, Dm_00019877-RA, Dm_00019845-RA, Dm_00015412-RA, Dm_00013337-RA, Dm_00008859-RA, Dm_00016915-RA, Dm_00020874-RA, Dm_00020258-RA, Dm_00015173-RA, Dm_00018310-RA, Dm_00020731-RA	FUN_052313-T1
OG0000020	Dm_00011749-RA, Dm_00019082-RA, Dm_00017569-RA, Dm_00020366-RA, Dm_00010309-RA, Dm_00013471-RA, Dm_00017109-RA, Dm_00017423-RA, Dm_00010590-RA, Dm_00016323-RA, Dm_00013245-RA, Dm_00015128-RA, Dm_00016115-RA, Dm_00019416-RA, Dm_00018721-RA, Dm_00018351-RA, Dm_00019807-RA, Dm_00019379-RA, Dm_00021015-RA, Dm_00020708-RA, Dm_00017922-RA, Dm_00020633-RA, Dm_00013495-RA, Dm_00017097-RA, Dm_00019649-RA, Dm_00018168-RA, Dm_00014849-RA, Dm_00003766-RA, Dm_00014950-RA, Dm_00015816-RA, Dm_00021087-RA, Dm_00015965-RA, Dm_00009665-RA, Dm_00018299-RA, Dm_00014560-RA, Dm_00020331-RA, Dm_00015352-RA, Dm_00012829-RA, Dm_00015010-RA, Dm_00019851-RA, Dm_00007382-RA, Dm_00018643-RA, Dm_00016598-RA, Dm_00019302-RA, Dm_00018228-RA, Dm_00015206-RA, Dm_00018352-RA, Dm_00015559-RA, Dm_00018807-RA, Dm_00005356-RA, Dm_00019573-RA, Dm_00020309-RA, Dm_00018311-RA, Dm_00020197-RA, Dm_00019361-RA, Dm_00014530-RA	FUN_027597-T1
OG0000021	Dm_00010344-RA	FUN_040665-T1, FUN_018674-T1, FUN_018644-T1
OG0000021	Dm_00010968-RA, Dm_00020262-RA, Dm_00001605-RA, Dm_00003958-RA, Dm_00016187-RA, Dm_00018023-RA, Dm_00013333-RA, Dm_00010156-RA	FUN_040982-T1, FUN_040985-T1, FUN_024282-T1, FUN_049370-T1, FUN_049412-T1, FUN_049416-T1, FUN_001018-T1, FUN_049365-T1, FUN_036352-T1, FUN_049386-T1, FUN_049389-T1, FUN_001215-T1, FUN_049373-T1, FUN_049378-T1, FUN_049390-T1, FUN_049379-T1, FUN_049403-T1, FUN_049408-T1, FUN_049406-T1, FUN_049400-T1, FUN_049575-T1, FUN_049377-T1, FUN_049392-T1, FUN_036356-T1, FUN_045184-T1, FUN_049402-T1, FUN_049413-T1, FUN_049368-T1, FUN_049366-T1, FUN_052103-T1, FUN_052099-T1, FUN_052110-T1, FUN_052108-T1, FUN_046257-T1, FUN_037728-T1, FUN_037727-T1, FUN_037716-T1, FUN_037717-T1, FUN_037729-T1
